"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","18/286","40/3974",0.45,6.2527972027972,9.29715978274119,4.25119394044747e-11,1.30936773365782e-08,1.17690948035546e-08,"HLA-A/NEO1/PTPRS/SDC4/CADM1/CD276/CD99L2/CDH2/CNTN1/CXADR/ESAM/F11R/GLG1/ITGA8/ITGAV/ITGB1/JAM3/NECTIN2",18,"cell adhesion molecule (cam) interaction",0.0629370629370629,6.2527972027972
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","12/286","19/3974",0.631578947368421,8.77585572322414,9.4601624321622,4.93381870142186e-10,7.59808080018966e-08,6.82944378144183e-08,"C4A/C4BPA/CLU/F5/PROS1/SERPIND1/SERPINF2/VTN/CD46/CD55/CD59/PLAT",12,"complement and coagulation cascades",0.041958041958042,8.77585572322414
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","15/286","39/3974",0.384615384615385,5.34427111350188,7.59143186651152,2.60510222099464e-08,2.6745716135545e-06,2.40400661095295e-06,"COL1A1/FN1/SDC4/SV2A/THBS1/VTN/CD47/FRAS1/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/LAMC1",15,"ecm-receptor interaction",0.0524475524475524,5.34427111350188
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","12/286","31/3974",0.387096774193548,5.37875028197609,6.81497833556028,6.27394471259613e-07,4.83093742869902e-05,4.34223015634943e-05,"BMP4/IFNAR1/IFNGR1/IL13RA1/IL6ST/TNFRSF10B/ACVR1B/ACVR2A/BMPR1A/EDA2R/IL10RB/RELT",12,"cytokine-cytokine receptor interaction",0.041958041958042,5.37875028197609
NA,NA,"hsa04518","Integrin signaling","18/286","72/3974",0.25,3.47377622377622,5.89834090363495,1.85686945283319e-06,0.000114383158294525,0.000102811929704238,"COL1A1/ERBB2/FLT1/FN1/THBS1/VTN/EGFR/FRAS1/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/LAMC1/MET/PGF/VEGFB",18,"integrin signaling",0.0629370629370629,3.47377622377622
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","7/286","11/3974",0.636363636363636,8.84233947870312,7.25231714150067,2.39029017197684e-06,0.000122701562161478,0.000110288827233317,"LAMP1/LAMP2/NRP2/PCDH1/PCDH7/PCDH9/TFRC",7,"virion - lassa virus and sfts virus",0.0244755244755245,8.84233947870312
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","9/286","22/3974",0.409090909090909,5.684361093452,6.13479536224518,9.86600772144788e-06,0.000434104339743707,0.000390189478306886,"APOA1/APOC3/APOE/APOH/LDLR/NPC2/SCARB1/SORT1/VDAC2",9,"cholesterol metabolism",0.0314685314685315,5.684361093452
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","19/286","114/3974",0.166666666666667,2.31585081585082,3.96928488443486,0.00040490036559673,0.0155886640754741,0.0140116837042026,"COL1A1/ERBB2/FLT1/FN1/THBS1/VTN/CAV1/EGFR/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/LAMC1/MET/PGF/PPP1CB/VEGFB",19,"focal adhesion",0.0664335664335664,2.31585081585082
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","10/286","42/3974",0.238095238095238,3.30835830835831,4.18762665364058,0.000591551233879137,0.0202441977816416,0.0181962543286799,"HMGCS1/ACAA2/ACAT2/AUH/BCAT2/DLD/HADHB/HMGCL/IVD/OXCT1",10,"valine, leucine and isoleucine degradation",0.034965034965035,3.30835830835831
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","9/286","37/3974",0.243243243243243,3.37989037989038,4.04969159802131,0.000941568626736052,0.0290003137034704,0.0260665840875349,"GJA1/CDH2/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/SGCE",9,"arrhythmogenic right ventricular cardiomyopathy",0.0314685314685315,3.37989037989038
