"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","21/659","40/3974",0.525,3.16593323216995,6.1378759395735,1.72165298188991e-07,5.8708366682446e-05,5.40055356424415e-05,"HLA-A/NEO1/PTPRS/ALCAM/CADM1/CD276/CD58/CDH2/CNTN1/CXADR/F11R/GLG1/HLA-B/ITGA8/ITGAV/ITGB1/JAM3/NECTIN1/NECTIN2/NRXN3/SDC2",21,"cell adhesion molecule (cam) interaction",0.031866464339909,3.16593323216995
"Genetic Information Processing","Translation","hsa03010","Ribosome","50/659","164/3974",0.304878048780488,1.8385210407491,4.88915295666641,4.65141997642834e-06,0.000793067105981033,0.00072953850156613,"DAP3/FAU/MRPL11/MRPL18/MRPL19/MRPL3/MRPL38/MRPL39/MRPL45/MRPL46/MRPL48/MRPL51/MRPS10/MRPS15/MRPS17/MRPS2/MRPS22/MRPS23/MRPS28/MRPS33/MRPS9/RACK1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA",50,"ribosome",0.0758725341426404,1.8385210407491
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","22/659","57/3974",0.385964912280702,2.32750312807816,4.50045494894612,5.12266107257373e-05,0.00582275808582547,0.0053563263144806,"RPE/BCAT1/ENO1/ENO2/ENO3/GAPDH/GLUL/GOT1/GOT2/IDH1/MAT2A/PGAM1/PKLR/PKM/PRPS1/PRPS2/PSPH/SHMT1/SHMT2/TALDO1/TKT/TPI1",22,"biosynthesis of amino acids",0.0333839150227618,2.32750312807816
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","7/659","10/3974",0.7,4.22124430955994,4.54691740098957,0.000253188807057404,0.0215843458016437,0.0198553327639754,"RPE/AKR1A1/AKR1B1/C11orf54/DCXR/GUSB/SORD",7,"pentose and glucuronate interconversions",0.0106221547799697,4.22124430955994
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","10/659","19/3974",0.526315789473684,3.17386790192477,4.23444922915831,0.000324319094973764,0.0221185622772107,0.0203467558530909,"C4BPA/CLU/F5/PROS1/SERPINF2/VTN/CD46/CD55/PLAT/SERPINE2",10,"complement and coagulation cascades",0.0151745068285281,3.17386790192477
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","29/659","97/3974",0.298969072164948,1.80288784944386,3.5690536443074,0.000690500295945452,0.0294325751146749,0.0270748800252296,"AK1/AKR1A1/ALDH3A2/ALPL/BCAT1/CTPS2/DHODH/DLD/GSS/GUSB/MAT2A/MMAB/MOCS1/MOCS2/MTHFD2/NADK2/NADSYN1/NAPRT/NME1/NME2/NME3/NMNAT1/PDXK/PMM2/PNPO/PTS/RFK/SHMT1/SHMT2",29,"biosynthesis of cofactors",0.0440060698027314,1.80288784944386
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","15/659","38/3974",0.394736842105263,2.38040092644358,3.81179660555612,0.000609346124066943,0.0294325751146749,0.0270748800252296,"ADRM1/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3",15,"proteasome",0.0227617602427921,2.38040092644358
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","8/659","14/3974",0.571428571428571,3.44591372208975,4.08712369709471,0.000646552387206204,0.0294325751146749,0.0270748800252296,"PTGES3/PTGS2/CBR1/CBR3/GPX4/PLA2G12A/PRXL2B/PTGR2",8,"arachidonic acid metabolism",0.0121396054628225,3.44591372208975
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","15/659","39/3974",0.384615384615385,2.31936500525271,3.69134909898398,0.000841455930619202,0.0318818302601276,0.0293279376987745,"COL1A1/COL1A2/FN1/THBS1/VTN/DAG1/ITGA1/ITGA3/ITGA5/ITGA8/ITGAV/ITGB1/ITGB5/LAMB1/LAMC1",15,"ecm-receptor interaction",0.0227617602427921,2.31936500525271
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","8/659","15/3974",0.533333333333333,3.2161861406171,3.83371069748232,0.00118582730414216,0.0404367110712475,0.0371975301720382,"AKR1B1/ALPL/CBR1/MOCOS/MOCS1/MOCS2/PTS/QDPR",8,"folate biosynthesis",0.0121396054628225,3.2161861406171
