"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num"
"R-HSA-382551","Transport of small molecules","54/441","282/5397",0.191489361702128,2.3434650455927,6.91222271582776,1.15866100535533e-09,1.03120829476624e-06,1.02084132787622e-06,"ABCA3/ABCB10/PRKACG/SLC11A2/SLC39A7/ABCB1/ABCB7/ANO10/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP6V0A1/ATP6V0A2/ATP7A/ATP9A/CES3/DERL1/DERL2/ERLIN1/ERLIN2/GNB1/GNB4/LDLRAP1/LMF2/LRRC8E/MCU/MICU2/PCSK6/PHB1/PHB2/PMPCB/SLC25A1/SLC25A10/SLC25A11/SLC25A4/SLC25A5/SLC25A6/SLC30A5/SLC31A1/SLC39A1/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SLC9A6/SOAT1/STOM/STOML2/TFRC/YME1L1",54,"transport of small molecules",0.122448979591837
"R-HSA-425407","SLC-mediated transmembrane transport","19/441","66/5397",0.287878787878788,3.52308802308802,6.15162204949288,6.84201379063058e-07,0.000304469613683061,0.000301408712776726,"SLC11A2/SLC39A7/SLC25A1/SLC25A10/SLC25A11/SLC25A4/SLC25A5/SLC25A6/SLC30A5/SLC31A1/SLC39A1/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SLC9A6",19,"slc-mediated transmembrane transport",0.0430839002267574
"R-HSA-556833","Metabolism of lipids","55/441","383/5397",0.143603133159269,1.75742882009201,4.58710482212852,1.6426914469192e-05,0.00487331795919363,0.00482432540726796,"CHKA/CLOCK/GK/LPGAT1/MTMR12/PLEKHA3/PLPP3/PRKACG/TRIB3/ACOT9/ACOX3/ACSS3/AGPAT3/AGPAT4/CDK19/CERS5/CPT2/DDHD1/ECHS1/ETNK1/FADS1/FAM120B/GNPAT/GPAT4/GPD2/HADHA/HADHB/HSD17B12/INPP5K/LDLRAP1/LPCAT1/MED12/MED13/MED13L/MED17/MIGA1/MLYCD/NSDHL/NUDT19/PCCA/PECR/PTDSS1/PTEN/PTPMT1/SACM1L/SBF1/SCAP/SCD5/SEC24B/SGPL1/SLC25A17/SLC27A3/SPTLC2/TBL1X/UGCG",55,"metabolism of lipids",0.124716553287982
"R-HSA-1483206","Glycerophospholipid biosynthesis","15/441","58/5397",0.258620689655172,3.16502463054187,4.94466068101795,4.24269314918408e-05,0.00711752717266956,0.0070459730851856,"CHKA/LPGAT1/AGPAT3/AGPAT4/DDHD1/ETNK1/GNPAT/GPAT4/GPD2/HADHA/HADHB/LPCAT1/MIGA1/PTDSS1/PTPMT1",15,"glycerophospholipid biosynthesis",0.0340136054421769
"R-HSA-425366","Transport of bile salts and organic acids, metal ions and amine compounds","8/441","18/5397",0.444444444444444,5.43915343915344,5.6269784699047,3.92016432291726e-05,0.00711752717266956,0.0070459730851856,"SLC11A2/SLC39A7/SLC30A5/SLC31A1/SLC39A1/SLC39A14/SLC6A15/SLC6A9",8,"transport of bile salts and organic acids, metal ions and amine compounds",0.018140589569161
"R-HSA-8949664","Processing of SMDT1","7/441","14/5397",0.5,6.11904761904762,5.72045553029475,4.79833292539521e-05,0.00711752717266956,0.0070459730851856,"MCU/MICU2/PHB1/PHB2/PMPCB/STOML2/YME1L1",7,"processing of smdt1",0.0158730158730159
"R-HSA-1483166","Synthesis of PA","8/441","19/5397",0.421052631578947,5.15288220551378,5.40885863129824,6.29171767886695e-05,0.00799946962027369,0.0079190491687393,"AGPAT3/AGPAT4/DDHD1/GNPAT/GPAT4/GPD2/LPCAT1/MIGA1",8,"synthesis of pa",0.018140589569161
"R-HSA-1483257","Phospholipid metabolism","21/441","111/5397",0.189189189189189,2.31531531531532,4.17654729190055,0.000202400319317132,0.0225170355240309,0.0222906667458473,"CHKA/LPGAT1/MTMR12/PLEKHA3/AGPAT3/AGPAT4/DDHD1/ETNK1/GNPAT/GPAT4/GPD2/HADHA/HADHB/INPP5K/LPCAT1/MIGA1/PTDSS1/PTEN/PTPMT1/SACM1L/SBF1",21,"phospholipid metabolism",0.0476190476190476
"R-HSA-3781860","Diseases associated with N-glycosylation of proteins","7/441","18/5397",0.388888888888889,4.75925925925926,4.76515876384659,0.000333132184741925,0.032943071602257,0.0326118875589463,"ALG1/ALG11/ALG2/ALG3/ALG8/ALG9/DPAGT1",7,"diseases associated with n-glycosylation of proteins",0.0158730158730159
"R-HSA-9609507","Protein localization","22/441","127/5397",0.173228346456693,2.11998500187477,3.80976665367499,0.000527594687873918,0.0391299393506489,0.0387365573465324,"PEX13/TIMM23/ACOX3/ATP5F1A/ATP5F1B/CS/GNPAT/IDH3G/MLYCD/MTX2/NUDT19/PECR/PEX1/PITRM1/PMPCB/SLC25A12/SLC25A17/SLC25A4/SLC25A6/TIMM21/TIMM50/TYSND1",22,"protein localization",0.0498866213151927
"R-HSA-1268020","Mitochondrial protein import","13/441","57/5397",0.228070175438596,2.79114452798663,4.05496440544014,0.000527059394436615,0.0391299393506489,0.0387365573465324,"TIMM23/ATP5F1A/ATP5F1B/CS/IDH3G/MTX2/PITRM1/PMPCB/SLC25A12/SLC25A4/SLC25A6/TIMM21/TIMM50",13,"mitochondrial protein import",0.0294784580498866
"R-HSA-8949215","Mitochondrial calcium ion transport","7/441","19/5397",0.368421052631579,4.50877192982456,4.56994694255735,0.00049075760604799,0.0391299393506489,0.0387365573465324,"MCU/MICU2/PHB1/PHB2/PMPCB/STOML2/YME1L1",7,"mitochondrial calcium ion transport",0.0158730158730159
"R-HSA-936837","Ion transport by P-type ATPases","6/441","16/5397",0.375,4.58928571428571,4.28870468325396,0.00113358558152402,0.0776070128889522,0.0768268122862838,"ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP7A/ATP9A",6,"ion transport by p-type atpases",0.0136054421768707
