"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","10/50","68/5359",0.147058823529412,15.7617647058824,11.8878645569813,3.76168500627e-10,1.44448704240768e-07,1.27105356527649e-07,"APOH/F13A1/F5/FN1/PROS1/SERPINF2/SPP2/TIMP3/CHID1/PRKCA",10
"R-HSA-114608","Platelet degranulation","9/50","65/5359",0.138461538461538,14.8403076923077,10.8940772181754,5.44163276093848e-09,1.04479349010019e-06,9.19349534874343e-07,"APOH/F13A1/F5/FN1/PROS1/SERPINF2/SPP2/TIMP3/CHID1",9
"R-HSA-76002","Platelet activation, signaling and aggregation","11/50","132/5359",0.0833333333333333,8.93166666666667,8.95375412203596,2.19854566639512e-08,2.81413845298576e-06,2.47625669793977e-06,"APOH/COL1A2/F13A1/F5/FN1/PROS1/SERPINF2/SPP2/TIMP3/CHID1/PRKCA",11
"R-HSA-109582","Hemostasis","13/50","297/5359",0.0437710437710438,4.69138047138047,6.35164122347185,1.98277381530348e-06,0.000190346286269134,0.000167492209134847,"APOH/COL1A2/F13A1/F5/FN1/MAFK/PROS1/SERPINF2/SPP2/TIMP3/CAV1/CHID1/PRKCA",13
"R-HSA-3000170","Syndecan interactions","4/50","19/5359",0.210526315789474,22.5642105263158,9.13733881963699,2.34509753106391e-05,0.00166794386722663,0.00146768087001027,"COL1A2/FN1/VTN/PRKCA",4
"R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/50","7/5359",0.428571428571429,45.9342857142857,11.5438002747568,2.60616229254161e-05,0.00166794386722663,0.00146768087001027,"F13A1/F5/PROS1",3
"R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","3/50","10/5359",0.3,32.154,9.56880073543128,8.76040584110812e-05,0.0037377731588728,0.00328899447367919,"F13A1/F5/PROS1",3
"R-HSA-166658","Complement cascade","3/50","10/5359",0.3,32.154,9.56880073543128,8.76040584110812e-05,0.0037377731588728,0.00328899447367919,"C4BPA/PROS1/VTN",3
"R-HSA-977606","Regulation of Complement cascade","3/50","10/5359",0.3,32.154,9.56880073543128,8.76040584110812e-05,0.0037377731588728,0.00328899447367919,"C4BPA/PROS1/VTN",3
"R-HSA-3000171","Non-integrin membrane-ECM interactions","4/50","36/5359",0.111111111111111,11.9088888888889,6.37284755378565,0.000317089674029892,0.0121762434827479,0.0107142931961679,"COL1A2/FN1/VTN/PRKCA",4
"R-HSA-1474244","Extracellular matrix organization","6/50","111/5359",0.0540540540540541,5.79351351351351,4.95220399738618,0.000521916284269647,0.0182196230145041,0.0160320695933547,"ADAMTS1/COL1A2/FN1/MFAP3/VTN/PRKCA",6
"R-HSA-2129379","Molecules associated with elastic fibres","3/50","21/5359",0.142857142857143,15.3114285714286,6.37651439014009,0.000903156457374723,0.0289010066359911,0.0254309844576567,"FN1/MFAP3/VTN",3
"R-HSA-8957275","Post-translational protein phosphorylation","4/50","49/5359",0.0816326530612245,8.74938775510204,5.28808181532846,0.00104326296728598,0.0308163830336782,0.0271163896760162,"F5/FN1/ITIH2/SPP2",4
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","4/50","50/5359",0.08,8.5744,5.2216393182499,0.00112624010939755,0.0308911572863328,0.0271821860989935,"F5/FN1/ITIH2/SPP2",4
"R-HSA-1566948","Elastic fibre formation","3/50","24/5359",0.125,13.3975,5.90680345278687,0.00134762198941951,0.0344991229291395,0.0303569584985027,"FN1/MFAP3/VTN",3
"R-HSA-202733","Cell surface interactions at the vascular wall","4/50","57/5359",0.0701754385964912,7.52140350877193,4.80328806442872,0.00184134012627302,0.0441921630305525,0.0388861960877395,"COL1A2/FN1/PROS1/CAV1",4
"R-HSA-216083","Integrin cell surface interactions","3/50","32/5359",0.09375,10.048125,4.98163870103476,0.00313378237116121,0.0707866135603472,0.0622875629190555,"COL1A2/FN1/VTN",3
"R-HSA-3000178","ECM proteoglycans","3/50","33/5359",0.0909090909090909,9.74363636363636,4.88909493784826,0.00342467463923279,0.0730597256369662,0.0642877519996331,"COL1A2/FN1/VTN",3
"R-HSA-1912420","Pre-NOTCH Processing in Golgi","2/50","11/5359",0.181818181818182,19.4872727272727,5.95598349346795,0.0044471497693785,0.0853852755720672,0.0751334250510789,"ST3GAL6/TMED2",2
"R-HSA-9700645","ALK mutants bind TKIs","2/50","11/5359",0.181818181818182,19.4872727272727,5.95598349346795,0.0044471497693785,0.0853852755720672,0.0751334250510789,"FN1/NPM1",2
"R-HSA-1474228","Degradation of the extracellular matrix","3/50","39/5359",0.0769230769230769,8.24461538461538,4.40627720051258,0.00551581719269014,0.100860657237762,0.0887507427996759,"ADAMTS1/COL1A2/FN1",3
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","3/50","40/5359",0.075,8.0385,4.3358585893412,0.00592423714511142,0.103404866532854,0.0909894795971658,"COL1A2/F13A1/FN1",3
"R-HSA-8874081","MET activates PTK2 signaling","2/50","17/5359",0.117647058823529,12.6094117647059,4.65224660987575,0.0106110218942296,0.177157930755834,0.155887323938111,"COL1A2/FN1",2
"R-HSA-204005","COPII-mediated vesicle transport","3/50","51/5359",0.0588235294117647,6.30470588235294,3.69369417631666,0.0116233283665496,0.185973253864794,0.163644228318527,"F5/TBC1D20/TMED2",3
