"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5625970","RHO GTPases activate KTN1","7/340","11/5359",0.636363636363636,10.0302139037433,7.80244824170978,1.03003389605039e-06,0.00102900386215434,0.000955220907810941,"KIF5B/KLC4/KIF5A/KLC1/KLC2/KLC3/RHOA",7
"R-HSA-195258","RHO GTPase Effectors","31/340","216/5359",0.143518518518519,2.26210511982571,4.92772379639737,1.19534409006227e-05,0.00597074372986104,0.00554262180707821,"KIF5B/KLC4/MRTFA/WASF1/WASF2/ARPC3/BAIAP2/CDC25C/CDKN1B/CENPE/CLIP1/CTTN/DYNC1I1/FLNA/KIF5A/KLC1/KLC2/KLC3/MYH9/NDC80/NDE1/PIN1/PPP1R14A/RHOA/SKA1/SPDL1/WASF3/WIPF1/WIPF2/WIPF3/ZWINT",31
"R-HSA-75893","TNF signaling","9/340","37/5359",0.243243243243243,3.83394276629571,4.5018053952804,0.000380964682482154,0.06349904019966,0.0589459505989152,"TAX1BP1/TNFRSF1A/UBE2D1/FADD/MAP3K7/RIPK1/TAB2/TAB3/UBE2L3",9
"R-HSA-380270","Recruitment of mitotic centrosome proteins and complexes","13/340","71/5359",0.183098591549296,2.88595691797846,4.16339325329172,0.000432429932472838,0.06349904019966,0.0589459505989152,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/MZT2A/MZT2B/NDE1/ODF2/PCNT",13
"R-HSA-380287","Centrosome maturation","13/340","71/5359",0.183098591549296,2.88595691797846,4.16339325329172,0.000432429932472838,0.06349904019966,0.0589459505989152,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/MZT2A/MZT2B/NDE1/ODF2/PCNT",13
"R-HSA-73887","Death Receptor Signaling","15/340","91/5359",0.164835164835165,2.5980930833872,4.00158549539703,0.000522481175277194,0.06349904019966,0.0589459505989152,"TAX1BP1/TNFRSF10D/TNFRSF1A/UBE2D1/ARHGEF18/BAD/FADD/ITSN1/MAP3K7/RHOA/RIPK1/SQSTM1/TAB2/TAB3/UBE2L3",15
"R-HSA-5663213","RHO GTPases Activate WASPs and WAVEs","8/340","31/5359",0.258064516129032,4.06755218216319,4.45782395240683,0.000524447429537491,0.06349904019966,0.0589459505989152,"WASF1/WASF2/ARPC3/BAIAP2/WASF3/WIPF1/WIPF2/WIPF3",8
"R-HSA-8854518","AURKA Activation by TPX2","12/340","64/5359",0.1875,2.95533088235294,4.09552404114765,0.000571657273599874,0.06349904019966,0.0589459505989152,"CEP41/HMMR/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/NDE1/ODF2/PCNT",12
"R-HSA-5620912","Anchoring of the basal body to the plasma membrane","13/340","73/5359",0.178082191780822,2.80688960515713,4.04540200548392,0.000572063425222162,0.06349904019966,0.0589459505989152,"B9D1/CEP41/SCLT1/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/NDE1/ODF2/PCNT",13
"R-HSA-8856828","Clathrin-mediated endocytosis","16/340","104/5359",0.153846153846154,2.42488687782805,3.81894067340684,0.000756344964313264,0.075558861934895,0.07014104353263,"TGOLN2/AMPH/ARPC3/BIN1/CTTN/EPN1/FNBP1/FNBP1L/ITSN1/PACSIN2/SH3GL1/SH3GL2/SH3GL3/SH3KBP1/SYNJ1/TRIP10",16
"R-HSA-380320","Recruitment of NuMA to mitotic centrosomes","13/340","76/5359",0.171052631578947,2.69609133126935,3.87568025662515,0.000851857486395125,0.0773641480826118,0.0718168847381919,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/MZT2A/MZT2B/NDE1/ODF2/PCNT",13
"R-HSA-380259","Loss of Nlp from mitotic centrosomes","11/340","61/5359",0.180327868852459,2.84228543876567,3.76615400664323,0.0013507206454074,0.0837035728370845,0.0777017519303213,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/NDE1/ODF2/PCNT",11
"R-HSA-380284","Loss of proteins required for interphase microtubule organization from the centrosome","11/340","61/5359",0.180327868852459,2.84228543876567,3.76615400664323,0.0013507206454074,0.0837035728370845,0.0777017519303213,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/NDE1/ODF2/PCNT",11
"R-HSA-199991","Membrane Trafficking","46/340","466/5359",0.0987124463519313,1.55588235294118,3.26828900495902,0.00137444045348552,0.0837035728370845,0.0777017519303213,"ARF3/BLOC1S4/KIF5B/KLC4/TBC1D25/TGOLN2/VPS25/VPS37B/AMPH/ARPC3/BICD2/BIN1/BLOC1S1/BLOC1S6/CENPE/CHMP4A/CTTN/DCTN3/DYNC1I1/EPN1/FNBP1/FNBP1L/GCC2/GGA1/GGA2/GGA3/GOLGA1/GOLGA4/ITSN1/KIF5A/KLC1/KLC2/KLC3/MYH9/NAA38/PACSIN2/PAFAH1B3/SH3D19/SH3GL1/SH3GL2/SH3GL3/SH3KBP1/SNAPIN/SYNJ1/TRIP10/VPS28",46
"R-HSA-9664407","Parasite infection","9/340","44/5359",0.204545454545455,3.22399732620321,3.85514910551949,0.00146346246650939,0.0837035728370845,0.0777017519303213,"WASF1/WASF2/ARPC3/BAIAP2/MYH9/WASF3/WIPF1/WIPF2/WIPF3",9
"R-HSA-9664417","Leishmania phagocytosis","9/340","44/5359",0.204545454545455,3.22399732620321,3.85514910551949,0.00146346246650939,0.0837035728370845,0.0777017519303213,"WASF1/WASF2/ARPC3/BAIAP2/MYH9/WASF3/WIPF1/WIPF2/WIPF3",9
"R-HSA-9664422","FCGR3A-mediated phagocytosis","9/340","44/5359",0.204545454545455,3.22399732620321,3.85514910551949,0.00146346246650939,0.0837035728370845,0.0777017519303213,"WASF1/WASF2/ARPC3/BAIAP2/MYH9/WASF3/WIPF1/WIPF2/WIPF3",9
"R-HSA-5653656","Vesicle-mediated transport","47/340","481/5359",0.0977130977130977,1.54013085483674,3.2313413823751,0.00150817248355107,0.0837035728370845,0.0777017519303213,"ARF3/BLOC1S4/COLEC12/KIF5B/KLC4/TBC1D25/TGOLN2/VPS25/VPS37B/AMPH/ARPC3/BICD2/BIN1/BLOC1S1/BLOC1S6/CENPE/CHMP4A/CTTN/DCTN3/DYNC1I1/EPN1/FNBP1/FNBP1L/GCC2/GGA1/GGA2/GGA3/GOLGA1/GOLGA4/ITSN1/KIF5A/KLC1/KLC2/KLC3/MYH9/NAA38/PACSIN2/PAFAH1B3/SH3D19/SH3GL1/SH3GL2/SH3GL3/SH3KBP1/SNAPIN/SYNJ1/TRIP10/VPS28",47
"R-HSA-5617833","Cilium Assembly","18/340","135/5359",0.133333333333333,2.10156862745098,3.3737202988931,0.00199770207156751,0.101530434069154,0.0942503687001998,"B9D1/CEP41/IFT81/SCLT1/ARL3/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/DYNLRB1/IFT74/NDE1/ODF2/PCNT/TRAF3IP1",18
"R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation","9/340","46/5359",0.195652173913043,3.08382352941176,3.69404482250132,0.00203264132270579,0.101530434069154,0.0942503687001998,"WASF1/WASF2/ARPC3/BAIAP2/MYH9/WASF3/WIPF1/WIPF2/WIPF3",9
"R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition","12/340","75/5359",0.16,2.52188235294118,3.45431965496564,0.00242048802704261,0.115146073286456,0.106889721895967,"CEP41/AJUBA/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/NDE1/ODF2/PCNT",12
"R-HSA-9658195","Leishmania infection","13/340","89/5359",0.146067415730337,2.30228023793787,3.2242325736325,0.00371427489952602,0.161328722809848,0.149760923866472,"FURIN/GNG5/WASF1/WASF2/ARPC3/BAIAP2/GNG12/GNG4/MYH9/WASF3/WIPF1/WIPF2/WIPF3",13
"R-HSA-9824443","Parasitic Infection Pathways","13/340","89/5359",0.146067415730337,2.30228023793787,3.2242325736325,0.00371427489952602,0.161328722809848,0.149760923866472,"FURIN/GNG5/WASF1/WASF2/ARPC3/BAIAP2/GNG12/GNG4/MYH9/WASF3/WIPF1/WIPF2/WIPF3",13
"R-HSA-5689896","Ovarian tumor domain proteases","6/340","25/5359",0.24,3.78282352941176,3.62962185046855,0.00394076219488375,0.162196737616922,0.150566699162856,"UBE2D1/RHOA/RIPK1/TNIP1/TNIP2/TRAF3",6
"R-HSA-9014325","TICAM1,TRAF6-dependent induction of TAK1 complex","3/340","6/5359",0.5,7.88088235294118,4.38887640941909,0.00438369561126816,0.162196737616922,0.150566699162856,"MAP3K7/TAB2/TAB3",3
"R-HSA-937042","IRAK2 mediated activation of TAK1 complex","3/340","6/5359",0.5,7.88088235294118,4.38887640941909,0.00438369561126816,0.162196737616922,0.150566699162856,"MAP3K7/TAB2/TAB3",3
"R-HSA-975163","IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","3/340","6/5359",0.5,7.88088235294118,4.38887640941909,0.00438369561126816,0.162196737616922,0.150566699162856,"MAP3K7/TAB2/TAB3",3
"R-HSA-392451","G beta:gamma signalling through PI3Kgamma","4/340","12/5359",0.333333333333333,5.25392156862745,3.83934575572073,0.0052408703718319,0.178364335175785,0.165575026910981,"GNG5/GNG12/GNG4/RHOA",4
"R-HSA-8875360","InlB-mediated entry of Listeria monocytogenes into host cell","4/340","12/5359",0.333333333333333,5.25392156862745,3.83934575572073,0.0052408703718319,0.178364335175785,0.165575026910981,"SH3GL1/SH3GL2/SH3GL3/SH3KBP1",4
"R-HSA-69278","Cell Cycle, Mitotic","41/340","433/5359",0.0946882217090069,1.49245347099579,2.78159670105467,0.00536202871703428,0.178364335175785,0.165575026910981,"CDKN2A/CEP41/CKS1B/FKBPL/HMMR/POLD4/PTTG1/UBE2D1/AJUBA/ARPP19/CDC25C/CDC26/CDKN1B/CENPE/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CHMP4A/CLIP1/DCTN3/DYNC1I1/ENSA/GMNN/GTSE1/IST1/KMT5A/MZT2A/MZT2B/NDC80/NDE1/ODF2/PCNT/POLE4/PSMD9/RRM2/SKA1/SPDL1/ZWINT",41
"R-HSA-182971","EGFR downregulation","5/340","19/5359",0.263157894736842,4.14783281733746,3.57725620795067,0.00553482921966901,0.178364335175785,0.165575026910981,"EPN1/SH3GL1/SH3GL2/SH3GL3/SH3KBP1",5
"R-HSA-69275","G2/M Transition","19/340","161/5359",0.118012422360248,1.86008403361345,2.88381835263885,0.00607063829814928,0.182640117745961,0.169544221836775,"CEP41/FKBPL/HMMR/AJUBA/CDC25C/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/GTSE1/MZT2A/MZT2B/NDE1/ODF2/PCNT/PSMD9",19
"R-HSA-453274","Mitotic G2-G2/M phases","19/340","162/5359",0.117283950617284,1.84860203340595,2.85441708566322,0.00648840134832464,0.182640117745961,0.169544221836775,"CEP41/FKBPL/HMMR/AJUBA/CDC25C/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/GTSE1/MZT2A/MZT2B/NDE1/ODF2/PCNT/PSMD9",19
"R-HSA-1296041","Activation of G protein gated Potassium channels","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3
"R-HSA-1296059","G protein gated Potassium channels","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3
"R-HSA-1296065","Inwardly rectifying K+ channels","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3
"R-HSA-8964315","G beta:gamma signalling through BTK","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3
"R-HSA-937072","TRAF6-mediated induction of TAK1 complex within TLR4 complex","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"MAP3K7/TAB2/TAB3",3
"R-HSA-9645460","Alpha-protein kinase 1 signaling pathway","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"MAP3K7/TAB2/TAB3",3
"R-HSA-997272","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3
