"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-5617833","Cilium Assembly","18/340","135/5359",0.133333333333333,2.10156862745098,3.3737202988931,0.00199770207156751,0.101530434069154,0.0942503687001998,"B9D1/CEP41/IFT81/SCLT1/ARL3/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/DYNLRB1/IFT74/NDE1/ODF2/PCNT/TRAF3IP1",18,"cilium assembly",FALSE,FALSE,FALSE,TRUE
"R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation","9/340","46/5359",0.195652173913043,3.08382352941176,3.69404482250132,0.00203264132270579,0.101530434069154,0.0942503687001998,"WASF1/WASF2/ARPC3/BAIAP2/MYH9/WASF3/WIPF1/WIPF2/WIPF3",9,"regulation of actin dynamics for phagocytic cup formation",FALSE,FALSE,FALSE,TRUE
"R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition","12/340","75/5359",0.16,2.52188235294118,3.45431965496564,0.00242048802704261,0.115146073286456,0.106889721895967,"CEP41/AJUBA/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/NDE1/ODF2/PCNT",12,"regulation of plk1 activity at g2/m transition",FALSE,FALSE,FALSE,TRUE
"R-HSA-9658195","Leishmania infection","13/340","89/5359",0.146067415730337,2.30228023793787,3.2242325736325,0.00371427489952602,0.161328722809848,0.149760923866472,"FURIN/GNG5/WASF1/WASF2/ARPC3/BAIAP2/GNG12/GNG4/MYH9/WASF3/WIPF1/WIPF2/WIPF3",13,"leishmania infection",FALSE,FALSE,FALSE,TRUE
"R-HSA-9824443","Parasitic Infection Pathways","13/340","89/5359",0.146067415730337,2.30228023793787,3.2242325736325,0.00371427489952602,0.161328722809848,0.149760923866472,"FURIN/GNG5/WASF1/WASF2/ARPC3/BAIAP2/GNG12/GNG4/MYH9/WASF3/WIPF1/WIPF2/WIPF3",13,"parasitic infection pathways",FALSE,FALSE,FALSE,TRUE
"R-HSA-5689896","Ovarian tumor domain proteases","6/340","25/5359",0.24,3.78282352941176,3.62962185046855,0.00394076219488375,0.162196737616922,0.150566699162856,"UBE2D1/RHOA/RIPK1/TNIP1/TNIP2/TRAF3",6,"ovarian tumor domain proteases",FALSE,FALSE,FALSE,TRUE
"R-HSA-9014325","TICAM1,TRAF6-dependent induction of TAK1 complex","3/340","6/5359",0.5,7.88088235294118,4.38887640941909,0.00438369561126816,0.162196737616922,0.150566699162856,"MAP3K7/TAB2/TAB3",3,"ticam1,traf6-dependent induction of tak1 complex",FALSE,FALSE,FALSE,TRUE
"R-HSA-937042","IRAK2 mediated activation of TAK1 complex","3/340","6/5359",0.5,7.88088235294118,4.38887640941909,0.00438369561126816,0.162196737616922,0.150566699162856,"MAP3K7/TAB2/TAB3",3,"irak2 mediated activation of tak1 complex",FALSE,FALSE,FALSE,TRUE
"R-HSA-975163","IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","3/340","6/5359",0.5,7.88088235294118,4.38887640941909,0.00438369561126816,0.162196737616922,0.150566699162856,"MAP3K7/TAB2/TAB3",3,"irak2 mediated activation of tak1 complex upon tlr7/8 or 9 stimulation",FALSE,FALSE,FALSE,TRUE
"R-HSA-392451","G beta:gamma signalling through PI3Kgamma","4/340","12/5359",0.333333333333333,5.25392156862745,3.83934575572073,0.0052408703718319,0.178364335175785,0.165575026910981,"GNG5/GNG12/GNG4/RHOA",4,"g beta:gamma signalling through pi3kgamma",FALSE,FALSE,FALSE,TRUE
"R-HSA-8875360","InlB-mediated entry of Listeria monocytogenes into host cell","4/340","12/5359",0.333333333333333,5.25392156862745,3.83934575572073,0.0052408703718319,0.178364335175785,0.165575026910981,"SH3GL1/SH3GL2/SH3GL3/SH3KBP1",4,"inlb-mediated entry of listeria monocytogenes into host cell",FALSE,FALSE,FALSE,TRUE
"R-HSA-69278","Cell Cycle, Mitotic","41/340","433/5359",0.0946882217090069,1.49245347099579,2.78159670105467,0.00536202871703428,0.178364335175785,0.165575026910981,"CDKN2A/CEP41/CKS1B/FKBPL/HMMR/POLD4/PTTG1/UBE2D1/AJUBA/ARPP19/CDC25C/CDC26/CDKN1B/CENPE/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CHMP4A/CLIP1/DCTN3/DYNC1I1/ENSA/GMNN/GTSE1/IST1/KMT5A/MZT2A/MZT2B/NDC80/NDE1/ODF2/PCNT/POLE4/PSMD9/RRM2/SKA1/SPDL1/ZWINT",41,"cell cycle, mitotic",FALSE,FALSE,FALSE,TRUE
"R-HSA-182971","EGFR downregulation","5/340","19/5359",0.263157894736842,4.14783281733746,3.57725620795067,0.00553482921966901,0.178364335175785,0.165575026910981,"EPN1/SH3GL1/SH3GL2/SH3GL3/SH3KBP1",5,"egfr downregulation",FALSE,FALSE,FALSE,TRUE
"R-HSA-69275","G2/M Transition","19/340","161/5359",0.118012422360248,1.86008403361345,2.88381835263885,0.00607063829814928,0.182640117745961,0.169544221836775,"CEP41/FKBPL/HMMR/AJUBA/CDC25C/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/GTSE1/MZT2A/MZT2B/NDE1/ODF2/PCNT/PSMD9",19,"g2/m transition",FALSE,FALSE,FALSE,TRUE
"R-HSA-453274","Mitotic G2-G2/M phases","19/340","162/5359",0.117283950617284,1.84860203340595,2.85441708566322,0.00648840134832464,0.182640117745961,0.169544221836775,"CEP41/FKBPL/HMMR/AJUBA/CDC25C/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/DCTN3/GTSE1/MZT2A/MZT2B/NDE1/ODF2/PCNT/PSMD9",19,"mitotic g2-g2/m phases",FALSE,FALSE,FALSE,TRUE
"R-HSA-1296041","Activation of G protein gated Potassium channels","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3,"activation of g protein gated potassium channels",FALSE,FALSE,FALSE,TRUE
"R-HSA-1296059","G protein gated Potassium channels","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3,"g protein gated potassium channels",FALSE,FALSE,FALSE,TRUE
"R-HSA-1296065","Inwardly rectifying K+ channels","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3,"inwardly rectifying k+ channels",FALSE,FALSE,FALSE,TRUE
"R-HSA-8964315","G beta:gamma signalling through BTK","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3,"g beta:gamma signalling through btk",FALSE,FALSE,FALSE,TRUE
"R-HSA-937072","TRAF6-mediated induction of TAK1 complex within TLR4 complex","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"MAP3K7/TAB2/TAB3",3,"traf6-mediated induction of tak1 complex within tlr4 complex",FALSE,FALSE,FALSE,TRUE
"R-HSA-9645460","Alpha-protein kinase 1 signaling pathway","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"MAP3K7/TAB2/TAB3",3,"alpha-protein kinase 1 signaling pathway",FALSE,FALSE,FALSE,TRUE
"R-HSA-997272","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","3/340","7/5359",0.428571428571429,6.75504201680672,3.96526011505361,0.00731291762746591,0.182640117745961,0.169544221836775,"GNG5/GNG12/GNG4",3,"inhibition  of voltage gated ca2+ channels via gbeta/gamma subunits",FALSE,FALSE,FALSE,TRUE
