"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-9603798","Class I peroxisomal membrane protein import","3/89","16/5359",0.1875,11.2900280898876,5.35642483403386,0.00212054326519174,0.127780898266395,0.117831885308724,"PEX19/ABCD3/SLC25A17",3,"class i peroxisomal membrane protein import",FALSE,FALSE,FALSE,TRUE
"R-HSA-5696395","Formation of Incision Complex in GG-NER","4/89","35/5359",0.114285714285714,6.88154093097913,4.53625200167699,0.00251201648592965,0.127780898266395,0.117831885308724,"PIAS1/GTF2H3/GTF2H4/PARP2",4,"formation of incision complex in gg-ner",FALSE,FALSE,FALSE,TRUE
"R-HSA-8963693","Aspartate and asparagine metabolism","2/89","5/5359",0.4,24.085393258427,6.71079768788458,0.00264010120385113,0.127780898266395,0.117831885308724,"SLC25A12/SLC25A13",2,"aspartate and asparagine metabolism",FALSE,FALSE,TRUE,TRUE
"R-HSA-111996","Ca-dependent events","3/89","19/5359",0.157894736842105,9.50739207569485,4.8271819697794,0.00353955919540734,0.14276222088143,0.131646763057256,"PRKACG/PLA2G4A/PRKCA",3,"ca-dependent events",FALSE,FALSE,FALSE,TRUE
"R-HSA-8949215","Mitochondrial calcium ion transport","3/89","19/5359",0.157894736842105,9.50739207569485,4.8271819697794,0.00353955919540734,0.14276222088143,0.131646763057256,"MAIP1/PHB2/STOML2",3,"mitochondrial calcium ion transport",FALSE,FALSE,FALSE,TRUE
"R-HSA-1482925","Acyl chain remodelling of PG","2/89","6/5359",0.333333333333333,20.0711610486891,6.07358602983481,0.00391743398668427,0.145849080735014,0.134493280190618,"LPGAT1/PLA2G4A",2,"acyl chain remodelling of pg",FALSE,FALSE,TRUE,TRUE
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","5/89","68/5359",0.0735294117647059,4.42746199603437,3.69614732898937,0.00516918682710913,0.175057037160072,0.16142710690707,"SPP2/TIMP3/APOOL/CHID1/PRKCA",5,"response to elevated platelet cytosolic ca2+",FALSE,FALSE,FALSE,TRUE
"R-HSA-9840373","Cellular response to mitochondrial stress","2/89","7/5359",0.285714285714286,17.2038523274478,5.57442779680242,0.00542532139958902,0.175057037160072,0.16142710690707,"PHB2/STOML2",2,"cellular response to mitochondrial stress",FALSE,FALSE,TRUE,TRUE
"R-HSA-450341","Activation of the AP-1 family of transcription factors","2/89","8/5359",0.25,15.0533707865169,5.16891122451672,0.00715592648811058,0.178879265715153,0.16495173697961,"FOS/JUN",2,"activation of the ap-1 family of transcription factors",FALSE,FALSE,TRUE,TRUE
"R-HSA-9010642","ROBO receptors bind AKAP5","2/89","8/5359",0.25,15.0533707865169,5.16891122451672,0.00715592648811058,0.178879265715153,0.16495173697961,"PRKACG/PRKCA",2,"robo receptors bind akap5",FALSE,FALSE,TRUE,TRUE
"R-HSA-9856872","Malate-aspartate shuttle","2/89","8/5359",0.25,15.0533707865169,5.16891122451672,0.00715592648811058,0.178879265715153,0.16495173697961,"SLC25A12/SLC25A13",2,"malate-aspartate shuttle",FALSE,FALSE,TRUE,TRUE
"R-HSA-1592230","Mitochondrial biogenesis","5/89","74/5359",0.0675675675675676,4.0684785909505,3.45388212617214,0.00739170519484101,0.178879265715153,0.16495173697961,"APOOL/ATP5F1A/ATP5F1C/ATP5MF/GLUD1",5,"mitochondrial biogenesis",FALSE,FALSE,FALSE,TRUE
"R-HSA-5696399","Global Genome Nucleotide Excision Repair (GG-NER)","5/89","74/5359",0.0675675675675676,4.0684785909505,3.45388212617214,0.00739170519484101,0.178879265715153,0.16495173697961,"LIG3/PIAS1/GTF2H3/GTF2H4/PARP2",5,"global genome nucleotide excision repair (gg-ner)",FALSE,FALSE,FALSE,TRUE
