"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission","12/363","75/5359",0.16,2.36209366391185,3.20184019437495,0.00415072834847391,0.100974555673044,0.0923185149558163,"GNB2/PRKACG/TUBA4A/AP2A1/AP2M1/GNAI3/GNB1/GNB4/NBEA/PRKACA/PRKACB/PRKAG1",12,"neurotransmitter receptors and postsynaptic signal transmission",FALSE,FALSE,FALSE,TRUE
"R-HSA-392518","Signal amplification","5/363","17/5359",0.294117647058824,4.34208394101442,3.71991764133175,0.00434876858665274,0.100974555673044,0.0923185149558163,"GNB2/GNA11/GNAI3/GNB1/GNB4",5,"signal amplification",FALSE,FALSE,FALSE,TRUE
"R-HSA-418594","G alpha (i) signalling events","10/363","57/5359",0.175438596491228,2.59001498235948,3.25283650383604,0.00440002907365976,0.100974555673044,0.0923185149558163,"GNB2/PRKACG/GNA11/GNAI3/GNB1/GNB4/NBEA/PPP2R1B/PRKACA/PRKACB",10,"g alpha (i) signalling events",FALSE,FALSE,FALSE,TRUE
"R-HSA-400042","Adrenaline,noradrenaline inhibits insulin secretion","4/363","11/5359",0.363636363636364,5.36839469070874,3.90900266200775,0.00466312335257396,0.100974555673044,0.0923185149558163,"GNB2/CACNB3/GNB1/GNB4",4,"adrenaline,noradrenaline inhibits insulin secretion",FALSE,FALSE,FALSE,TRUE
"R-HSA-428930","Thromboxane signalling through TP receptor","4/363","11/5359",0.363636363636364,5.36839469070874,3.90900266200775,0.00466312335257396,0.100974555673044,0.0923185149558163,"GNB2/GNA11/GNB1/GNB4",4,"thromboxane signalling through tp receptor",FALSE,FALSE,FALSE,TRUE
"R-HSA-5140745","WNT5A-dependent internalization of FZD2, FZD5 and ROR2","4/363","11/5359",0.363636363636364,5.36839469070874,3.90900266200775,0.00466312335257396,0.100974555673044,0.0923185149558163,"WNT5A/AP2A1/AP2M1/CLTC",4,"wnt5a-dependent internalization of fzd2, fzd5 and ror2",FALSE,FALSE,FALSE,TRUE
"R-HSA-9634600","Regulation of glycolysis by fructose 2,6-bisphosphate metabolism","4/363","11/5359",0.363636363636364,5.36839469070874,3.90900266200775,0.00466312335257396,0.100974555673044,0.0923185149558163,"PRKACG/PPP2R1B/PRKACA/PRKACB",4,"regulation of glycolysis by fructose 2,6-bisphosphate metabolism",FALSE,FALSE,FALSE,TRUE
"R-HSA-977443","GABA receptor activation","4/363","11/5359",0.363636363636364,5.36839469070874,3.90900266200775,0.00466312335257396,0.100974555673044,0.0923185149558163,"GNB2/GNAI3/GNB1/GNB4",4,"gaba receptor activation",FALSE,FALSE,FALSE,TRUE
"R-HSA-109582","Hemostasis","32/363","297/5359",0.107744107744108,1.5906354639137,2.82280011588853,0.00537116875750226,0.114112000395237,0.104329752628346,"CD84/ENDOD1/GNB2/ORAI1/PRKACG/SERPIND1/TUBA4A/ATP2A2/CABLES1/CD109/DAGLB/DGKE/FYN/GNA11/GNAI3/GNB1/GNB4/KIF16B/MFN2/PPP2R1B/PPP2R5B/PRKACA/PRKACB/PRKCE/SLC16A1/SLC7A5/SLC7A6/SLC7A8/SYK/VAV2/VPS45/WEE1",32,"hemostasis",FALSE,FALSE,FALSE,TRUE
"R-HSA-418346","Platelet homeostasis","7/363","33/5359",0.212121212121212,3.1315635695801,3.31053459283492,0.00567106860638136,0.114459561308379,0.104647518892769,"GNB2/ORAI1/ATP2A2/GNB1/GNB4/PPP2R1B/PPP2R5B",7,"platelet homeostasis",FALSE,FALSE,FALSE,TRUE
