"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"R-HSA-5368286","Mitochondrial translation initiation","25/553","86/5359",0.290697674418605,2.81708650489928,5.76193002834144,9.22678935774579e-07,0.000364765739276217,0.000354826706529452,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation initiation",0.0452079566003617,2.81708650489928
"R-HSA-5389840","Mitochondrial translation elongation","25/553","86/5359",0.290697674418605,2.81708650489928,5.76193002834144,9.22678935774579e-07,0.000364765739276217,0.000354826706529452,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation elongation",0.0452079566003617,2.81708650489928
"R-HSA-5419276","Mitochondrial translation termination","25/553","86/5359",0.290697674418605,2.81708650489928,5.76193002834144,9.22678935774579e-07,0.000364765739276217,0.000354826706529452,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation termination",0.0452079566003617,2.81708650489928
"R-HSA-5368287","Mitochondrial translation","25/553","92/5359",0.271739130434783,2.63336347197107,5.36002888978517,3.62143904919129e-06,0.000859005342468174,0.000835599410087085,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation",0.0452079566003617,2.63336347197107
"R-HSA-8854518","AURKA Activation by TPX2","20/553","64/5359",0.3125,3.02836799276673,5.53701615562553,3.34987677631039e-06,0.000859005342468174,0.000835599410087085,"CEP41/HMMR/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/HAUS1/HAUS7/HAUS8/NDE1/ODF2/PCM1/PCNT/SDCCAG8/SSNA1/TPX2",20,"aurka activation by tpx2",0.0361663652802893,3.02836799276673
"R-HSA-5620912","Anchoring of the basal body to the plasma membrane","21/553","73/5359",0.287671232876712,2.78775793306745,5.21649267148526,8.2981315710301e-06,0.00164026400720695,0.00159557056172789,"B9D1/CEP41/SCLT1/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/FBF1/HAUS1/HAUS7/HAUS8/NDE1/ODF2/PCM1/PCNT/SDCCAG8/SSNA1",21,"anchoring of the basal body to the plasma membrane",0.0379746835443038,2.78775793306745
"R-HSA-195258","RHO GTPase Effectors","43/553","216/5359",0.199074074074074,1.92918257316992,4.72815501283092,1.30035076444983e-05,0.00195551981955333,0.00190223637368461,"KIF5B/KLC4/MRTFA/SFN/WASF1/WASF2/ABI1/ABI2/ABL1/ARPC3/BAIAP2/BRK1/BUB1B/CDC25C/CDKN1B/CENPE/CLIP1/CTTN/DIAPH3/DYNC1I1/DYNC1LI1/FLNA/KIF5A/KLC1/KLC2/KLC3/MYH9/MYL6/NDC80/NDE1/PIN1/PPP1R12A/RHOA/ROCK1/SKA1/SKA2/SPDL1/SRGAP2/WASF3/WIPF1/WIPF2/WIPF3/ZWINT",43,"rho gtpase effectors",0.0777576853526221,1.92918257316992
"R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition","21/553","75/5359",0.28,2.71341772151899,5.06855914549704,1.31906901824845e-05,0.00195551981955333,0.00190223637368461,"CEP41/AJUBA/CCNB1/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/HAUS1/HAUS7/HAUS8/NDE1/ODF2/PCM1/PCNT/PPP1R12A/SDCCAG8/SSNA1",21,"regulation of plk1 activity at g2/m transition",0.0379746835443038,2.71341772151899
"R-HSA-9864848","Complex IV assembly","13/553","34/5359",0.382352941176471,3.70529730879694,5.36743371716818,1.56691270118333e-05,0.00206484273733715,0.00200858049180928,"COX6A1/HIGD2A/NDUFA4/SMIM20/COA3/COA5/COX16/COX19/COX7A2L/COX7C/PET100/PET117/PNKD",13,"complex iv assembly",0.0235081374321881,3.70529730879694
"R-HSA-380270","Recruitment of mitotic centrosome proteins and complexes","20/553","71/5359",0.28169014084507,2.72979650052212,4.97680359840799,1.92034805871236e-05,0.00207048436148442,0.00201406839459211,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/HAUS1/HAUS7/HAUS8/MZT2A/MZT2B/NDE1/ODF2/PCM1/PCNT/SDCCAG8/SSNA1",20,"recruitment of mitotic centrosome proteins and complexes",0.0361663652802893,2.72979650052212
