"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8957275","Post-translational protein phosphorylation","24/348","49/5359",0.489795918367347,7.54257565095003,12.1235081218417,2.07851495216605e-16,2.14529159160376e-13,1.99276393458299e-13,"APLP2/APOA1/APOE/APP/BMP4/C4A/CCN1/F5/FN1/GPC3/ITIH2/MFGE8/SERPIND1/SPP2/TMEM132A/ADAM10/CDH2/LAMC1/P4HB/PRKCSH/PRSS23/QSOX1/STC2/TIMP1",24
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","24/348","50/5359",0.48,7.39172413793103,11.9653508507612,3.76366945895396e-16,2.14529159160376e-13,1.99276393458299e-13,"APLP2/APOA1/APOE/APP/BMP4/C4A/CCN1/F5/FN1/GPC3/ITIH2/MFGE8/SERPIND1/SPP2/TMEM132A/ADAM10/CDH2/LAMC1/P4HB/PRKCSH/PRSS23/QSOX1/STC2/TIMP1",24
"R-HSA-114608","Platelet degranulation","23/348","65/5359",0.353846153846154,5.44902740937224,9.50951934874481,4.3936125151477e-12,1.66957275575613e-09,1.55086813692582e-09,"APLP2/APOA1/APOH/APP/CLU/F5/FN1/ITIH4/PROS1/SERPINF2/SPP2/THBS1/TIMP3/CD109/HSPA5/LAMP2/PCDH7/PSAP/QSOX1/SCCPDH/SELENOP/TIMP1/VEGFB",23
"R-HSA-1474244","Extracellular matrix organization","30/348","111/5359",0.27027027027027,4.16200683442063,8.87066453593827,6.43633016868806e-12,1.8343540980761e-09,1.70393372360531e-09,"ADAM9/ADAMTS1/APP/BMP4/CD151/COL1A1/DDR2/FN1/MFAP3/MFAP4/PTPRS/SDC4/THBS1/VTN/ADAM10/CD47/CTSV/F11R/FBLN1/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/JAM3/LAMC1/P4HB/PPIB/TIMP1",30
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","23/348","68/5359",0.338235294117647,5.2086291413117,9.20354221777333,1.29494966410673e-11,2.95248523416334e-09,2.74256707808709e-09,"APLP2/APOA1/APOH/APP/CLU/F5/FN1/ITIH4/PROS1/SERPINF2/SPP2/THBS1/TIMP3/CD109/HSPA5/LAMP2/PCDH7/PSAP/QSOX1/SCCPDH/SELENOP/TIMP1/VEGFB",23
"R-HSA-166658","Complement cascade","9/348","10/5359",0.9,13.8594827586207,10.7254612163463,1.75622370644726e-10,2.86013575049983e-08,2.65678353185857e-08,"C4A/C4BPA/CD81/CLU/PROS1/VTN/CD46/CD55/CD59",9
"R-HSA-977606","Regulation of Complement cascade","9/348","10/5359",0.9,13.8594827586207,10.7254612163463,1.75622370644726e-10,2.86013575049983e-08,2.65678353185857e-08,"C4A/C4BPA/CD81/CLU/PROS1/VTN/CD46/CD55/CD59",9
"R-HSA-109582","Hemostasis","49/348","297/5359",0.164983164983165,2.54064592282983,7.19861203992661,4.88878771689008e-10,6.96652249656837e-08,6.4712111094624e-08,"APLP2/APOA1/APOH/APP/CLU/COL1A1/EHD3/F5/FN1/GNG5/ITIH4/PROS1/SDC4/SERPIND1/SERPINF2/SPP2/THBS1/TIMP3/TNFRSF10B/ANXA2/ATP1B1/C1QBP/CAV1/CD109/CD47/CD99L2/CXADR/ESAM/F11R/GLG1/GPC1/HSPA5/ITGA1/ITGAV/ITGB1/JAM3/KIF18A/LAMP2/P2RX4/PCDH7/PLA2G4A/PLAT/PSAP/QSOX1/SCCPDH/SELENOP/SLC7A8/TIMP1/VEGFB",49
"R-HSA-202733","Cell surface interactions at the vascular wall","18/348","57/5359",0.315789473684211,4.86297640653358,7.72624360325784,8.19405299587433e-09,1.03791337947741e-06,9.64118984075974e-07,"COL1A1/FN1/PROS1/SDC4/TNFRSF10B/ATP1B1/CAV1/CD47/CD99L2/CXADR/ESAM/F11R/GLG1/GPC1/ITGAV/ITGB1/JAM3/SLC7A8",18
"R-HSA-216083","Integrin cell surface interactions","13/348","32/5359",0.40625,6.25601652298851,7.85812870790624,3.28914096960558e-08,3.74962070535036e-06,3.4830271741297e-06,"COL1A1/FN1/THBS1/VTN/CD47/F11R/ITGA1/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/JAM3",13
"R-HSA-2129379","Molecules associated with elastic fibres","10/348","21/5359",0.476190476190476,7.33305966064587,7.66236290503707,2.17389554858264e-07,2.12454495327594e-05,1.97349235733665e-05,"BMP4/FN1/MFAP3/MFAP4/VTN/FBLN1/ITGA8/ITGAV/ITGB1/ITGB5",10
"R-HSA-76002","Platelet activation, signaling and aggregation","26/348","132/5359",0.196969696969697,3.03322013235806,6.23266654292301,2.23636310871152e-07,2.12454495327594e-05,1.97349235733665e-05,"APLP2/APOA1/APOH/APP/CLU/COL1A1/F5/FN1/GNG5/ITIH4/PROS1/SERPINF2/SPP2/THBS1/TIMP3/CD109/HSPA5/LAMP2/PCDH7/PLA2G4A/PSAP/QSOX1/SCCPDH/SELENOP/TIMP1/VEGFB",26
"R-HSA-1566948","Elastic fibre formation","10/348","24/5359",0.416666666666667,6.41642720306514,7.00777411896094,1.01301360444652e-06,8.88335006976179e-05,8.25175454310282e-05,"BMP4/FN1/MFAP3/MFAP4/VTN/FBLN1/ITGA8/ITGAV/ITGB1/ITGB5",10
"R-HSA-3000178","ECM proteoglycans","11/348","33/5359",0.333333333333333,5.13314176245211,6.27574755429598,3.9138144198556e-06,0.000318696317045385,0.000296037391456747,"APP/COL1A1/FN1/PTPRS/VTN/ITGA7/ITGA8/ITGAV/ITGB1/ITGB5/LAMC1",11
"R-HSA-6806667","Metabolism of fat-soluble vitamins","8/348","18/5359",0.444444444444444,6.84418901660281,6.54452291270793,7.1831029881731e-06,0.000545915827101155,0.000507101867094887,"APOA1/APOC3/APOE/GPC3/LDLR/SDC4/GPC1/VKORC1L1",8
"R-HSA-3000170","Syndecan interactions","8/348","19/5359",0.421052631578947,6.48396854204477,6.31000788675125,1.17107497515333e-05,0.000834390919796747,0.00077506672697648,"COL1A1/FN1/SDC4/THBS1/VTN/ITGAV/ITGB1/ITGB5",8
"R-HSA-977225","Amyloid fiber formation","8/348","21/5359",0.380952380952381,5.86644772851669,5.88791051282871,2.80921281455954e-05,0.0018838250638811,0.00174988736312501,"APOA1/APOE/APP/BACE1/ITM2B/MFGE8/ADAM10/H4C16",8
"R-HSA-975634","Retinoid metabolism and transport","7/348","16/5359",0.4375,6.73724856321839,6.05619493056264,3.14588101616285e-05,0.00199239131023647,0.00185073467968411,"APOA1/APOC3/APOE/GPC3/LDLR/SDC4/GPC1",7
"R-HSA-500792","GPCR ligand binding","8/348","23/5359",0.347826086956522,5.35632183908046,5.51702230949135,6.0320059854407e-05,0.00361920359126442,0.00336188256030656,"APP/FZD7/GNG5/WNT5A/ADGRE5/CD55/NMU/PSAP",8
"R-HSA-3000171","Non-integrin membrane-ECM interactions","10/348","36/5359",0.277777777777778,4.27761813537676,5.19948280707733,6.49086467440815e-05,0.00369979286441264,0.00343674203287084,"COL1A1/DDR2/FN1/SDC4/THBS1/VTN/ITGAV/ITGB1/ITGB5/LAMC1",10
"R-HSA-8963888","Chylomicron assembly","4/348","5/5359",0.8,12.3195402298851,6.67272737301912,8.29874413037093e-05,0.00450106744151142,0.00418104694936334,"APOA1/APOC3/APOE/P4HB",4
"R-HSA-6798695","Neutrophil degranulation","35/348","277/5359",0.126353790613718,1.94577575833022,4.259312527128,8.6862705011624e-05,0.00450106744151142,0.00418104694936334,"BRI3/CMTM6/ERP44/GOLGA7/HSPA6/IGF2R/MME/NEU1/QPCT/SDCBP/ADAM10/ADGRE5/ANXA2/AOC1/CD47/CD55/CD59/CPNE3/GALNS/GRN/ITGAV/LAMP1/LAMP2/LAMTOR2/MGST1/NPC2/PGRMC1/PSAP/QSOX1/RAP2C/SNAP23/STOM/SYNGR1/TOLLIP/TXNDC5",35
"R-HSA-8963899","Plasma lipoprotein remodeling","5/348","9/5359",0.555555555555556,8.55523627075351,5.97752208389512,0.00011377064917242,0.0056390669589808,0.00523813606716038,"APOA1/APOC3/APOE/LMF2/P4HB",5
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","7/348","21/5359",0.333333333333333,5.13314176245211,5.00068431672453,0.000240669302592,0.01143179187312,0.0106190051933137,"CD81/COL1A1/HLA-A/CXADR/ITGB1/NECTIN2/ULBP3",7
"R-HSA-6806942","MET Receptor Activation","3/348","3/5359",1,15.3994252873563,6.57376655043573,0.000271629356543123,0.0119099025561215,0.0110631227806632,"HGFAC/SPINT2/MET",3
"R-HSA-8963901","Chylomicron remodeling","3/348","3/5359",1,15.3994252873563,6.57376655043573,0.000271629356543123,0.0119099025561215,0.0110631227806632,"APOA1/APOC3/APOE",3
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","35/348","300/5359",0.116666666666667,1.79659961685824,3.74194289970041,0.000422147855480034,0.0178240205647126,0.0165567540979694,"APOE/ATP6V0D2/COL1A1/EGR1/ERBB2/FGFR3/FLT1/FN1/FOS/HGFAC/LRIG1/MAPKAP1/PTPRS/RIT1/SPINT2/SPRY2/THBS1/TRIB3/ADAM10/ATP6V0A2/CAV1/CILP/EGFR/FLRT3/FOSB/ITGAV/ITGB1/LAMC1/MET/NRP2/PGF/PLAT/PTPRU/VEGFB/VRK3",35
"R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","6/348","17/5359",0.352941176470588,5.43509127789047,4.82618378848749,0.000481288919243552,0.0195953345692018,0.0182021298029704,"APOA1/APOE/COL1A1/HPX/CALR/SCARB1",6
"R-HSA-1660662","Glycosphingolipid metabolism","7/348","24/5359",0.291666666666667,4.49149904214559,4.51730184983907,0.000604450441010122,0.0237611552672945,0.0220717656499522,"B4GALT5/NEU1/GLB1L2/M6PR/PSAP/SMPD1/UGCG",7
"R-HSA-168249","Innate Immune System","54/348","539/5359",0.100185528756957,1.54279956496705,3.50137905606229,0.000628515195707851,0.0238835774368984,0.0221854837502491,"APP/ATP6V0D2/BRI3/C4A/C4BPA/CD81/CLU/CMTM6/ERP44/FOS/GOLGA7/HSPA6/IGF2R/MME/NEU1/PLD3/PROS1/QPCT/SDCBP/TIFA/TRIM21/VTN/ADAM10/ADGRE5/ANXA2/AOC1/ATP6V0A2/CD46/CD47/CD55/CD59/CPNE3/CTSV/GALNS/GRN/IKBIP/ITGAV/LAMP1/LAMP2/LAMTOR2/MGST1/NPC2/PGRMC1/PRKCSH/PSAP/PSMA6/QSOX1/RAP2C/SNAP23/STOM/SYNGR1/TOLLIP/TXNDC5/VRK3",54
"R-HSA-3906995","Diseases associated with O-glycosylation of proteins","5/348","13/5359",0.384615384615385,5.92285587975243,4.68277289454501,0.000934837035908524,0.0327442021597576,0.0304161286913353,"ADAMTS1/THBS1/B4GAT1/C1GALT1C1/NOTCH2",5
"R-HSA-3781865","Diseases of glycosylation","12/348","66/5359",0.181818181818182,2.79989550679206,3.87701149644614,0.000938804517194891,0.0327442021597576,0.0304161286913353,"ADAMTS1/CHSY1/GPC3/NEU1/OGN/SDC4/THBS1/B4GAT1/C1GALT1C1/EXT1/GPC1/NOTCH2",12
"R-HSA-2187338","Visual phototransduction","7/348","26/5359",0.269230769230769,4.1459991158267,4.23729063899562,0.00102611185352864,0.0327442021597576,0.0304161286913353,"APOA1/APOC3/APOE/GPC3/LDLR/SDC4/GPC1",7
"R-HSA-194313","VEGF ligand-receptor interactions","3/348","4/5359",0.75,11.5495689655172,5.56177926809629,0.00103402743662392,0.0327442021597576,0.0304161286913353,"FLT1/PGF/VEGFB",3
"R-HSA-195399","VEGF binds to VEGFR leading to receptor dimerization","3/348","4/5359",0.75,11.5495689655172,5.56177926809629,0.00103402743662392,0.0327442021597576,0.0304161286913353,"FLT1/PGF/VEGFB",3
"R-HSA-8964058","HDL remodeling","3/348","4/5359",0.75,11.5495689655172,5.56177926809629,0.00103402743662392,0.0327442021597576,0.0304161286913353,"APOA1/APOC3/APOE",3
"R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","8/348","34/5359",0.235294117647059,3.62339418526031,4.04363530113661,0.00118867136848266,0.0366239286505467,0.034020011285734,"APOA1/APOC3/APOE/LDLR/LMF2/NPC2/P4HB/SCARB1",8
"R-HSA-163210","Formation of ATP by chemiosmotic coupling","5/348","14/5359",0.357142857142857,5.4997947454844,4.44233844303983,0.00137750129745816,0.0413250389237449,0.0383868782615765,"ATP5MK/ATP5MF/ATP5MG/ATP5MJ/ATP5PB",5
"R-HSA-5173105","O-linked glycosylation","7/348","28/5359",0.25,3.84985632183908,3.98406499563958,0.00165011333980669,0.044946847655862,0.0417511807403483,"ADAMTS1/B4GALT5/GALNT10/GCNT1/THBS1/B4GAT1/C1GALT1C1",7
"R-HSA-5694530","Cargo concentration in the ER","6/348","21/5359",0.285714285714286,4.39983579638752,4.11345812062035,0.00169013070316915,0.044946847655862,0.0417511807403483,"F5/CD59/LMAN2/LMAN2L/MIA2/TMED2",6
"R-HSA-3656237","Defective EXT2 causes exostoses 2","4/348","9/5359",0.444444444444444,6.84418901660281,4.6237824546176,0.00169536355193164,0.044946847655862,0.0417511807403483,"GPC3/SDC4/EXT1/GPC1",4
"R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","4/348","9/5359",0.444444444444444,6.84418901660281,4.6237824546176,0.00169536355193164,0.044946847655862,0.0417511807403483,"GPC3/SDC4/EXT1/GPC1",4
"R-HSA-8963898","Plasma lipoprotein assembly","4/348","9/5359",0.444444444444444,6.84418901660281,4.6237824546176,0.00169536355193164,0.044946847655862,0.0417511807403483,"APOA1/APOC3/APOE/P4HB",4
"R-HSA-373080","Class B/2 (Secretin family receptors)","5/348","15/5359",0.333333333333333,5.13314176245211,4.22397638399248,0.00195746187571445,0.0507160576889652,0.0471102068652807,"FZD7/GNG5/WNT5A/ADGRE5/CD55",5
"R-HSA-373752","Netrin-1 signaling","6/348","22/5359",0.272727272727273,4.19984326018809,3.96296484508985,0.00219885418274602,0.0557043059628991,0.0517437966746782,"NEO1/NTN1/SLIT2/UNC5B/RGMA/ROBO1",6
"R-HSA-428542","Regulation of commissural axon pathfinding by SLIT and ROBO","3/348","5/5359",0.6,9.23965517241379,4.85717365693416,0.00246058742960425,0.0596823333989115,0.0554389911350923,"NTN1/SLIT2/ROBO1",3
"R-HSA-9683686","Maturation of spike protein","3/348","5/5359",0.6,9.23965517241379,4.85717365693416,0.00246058742960425,0.0596823333989115,0.0554389911350923,"CANX/GANAB/PRKCSH",3
"R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","4/348","10/5359",0.4,6.15977011494253,4.30351012492935,0.00268196219008897,0.0627594858225611,0.0582973617151398,"F5/PROS1/SERPIND1/C1QBP",4
"R-HSA-1638074","Keratan sulfate/keratin metabolism","5/348","16/5359",0.3125,4.81232040229885,4.02425574553305,0.0026975568467592,0.0627594858225611,0.0582973617151398,"B4GALT5/OGN/B4GAT1/GALNS/GLB1L2",5
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","6/348","23/5359",0.260869565217391,4.01724137931035,3.82115661277435,0.00281501465151236,0.0641823340544817,0.0596190471457143,"CHSY1/GPC3/OGN/SDC4/EXT1/GPC1",6
"R-HSA-1474228","Degradation of the extracellular matrix","8/348","39/5359",0.205128205128205,3.1588564692013,3.56557053331683,0.00302948839305702,0.0677179758448039,0.0629033090488207,"ADAM9/ADAMTS1/COL1A1/FN1/ADAM10/CTSV/LAMC1/TIMP1",8
"R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis","11/348","67/5359",0.164179104477612,2.52826385314805,3.3170697213252,0.0035334601913744,0.0764433716828783,0.0710083397165056,"CLTCL1/IGF2R/LDLR/WNT5A/EGFR/M6PR/SCARB2/SYT1/SYT11/TFRC/VAMP7",11
"R-HSA-9033241","Peroxisomal protein import","8/348","40/5359",0.2,3.07988505747126,3.47922976885609,0.00357768936794014,0.0764433716828783,0.0710083397165056,"ACOT8/ACOX1/CRAT/DHRS4/ECH1/GSTK1/HACL1/HMGCL",8
"R-HSA-8874081","MET activates PTK2 signaling","5/348","17/5359",0.294117647058824,4.52924273157539,3.84045625885473,0.00362100181655739,0.0764433716828783,0.0710083397165056,"COL1A1/FN1/ITGB1/LAMC1/MET",5
"R-HSA-3000480","Scavenging by Class A Receptors","4/348","11/5359",0.363636363636364,5.59979101358412,4.02408845889003,0.00400074705881678,0.0829245754009296,0.0770287376300417,"APOA1/APOE/COL1A1/CALR",4
"R-HSA-196854","Metabolism of vitamins and cofactors","15/348","110/5359",0.136363636363636,2.09992163009404,3.07148623972639,0.00463717406612613,0.0936996019405994,0.0870376727167526,"APOA1/APOC3/APOE/GPC3/LDLR/LMBRD1/NUDT8/PTGS2/SDC4/CD320/COQ3/GPC1/SHMT2/SLC19A1/VKORC1L1",15
"R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation","3/348","6/5359",0.5,7.69971264367816,4.32675151664694,0.00468498009702997,0.0936996019405994,0.0870376727167526,"PROS1/SERPIND1/C1QBP",3
"R-HSA-1630316","Glycosaminoglycan metabolism","10/348","60/5359",0.166666666666667,2.56657088122605,3.21556646271617,0.00476775294104236,0.0937110060825567,0.0870482660379058,"B4GALT5/CHSY1/GPC3/OGN/SDC4/B4GAT1/EXT1/GALNS/GLB1L2/GPC1",10
"R-HSA-9830674","Formation of the ureteric bud","4/348","12/5359",0.333333333333333,5.13314176245211,3.77697932560429,0.0056974372774558,0.110086076208468,0.102259088333997,"BMP4/SLIT2/ITGA8/ITGB1",4
"R-HSA-8949613","Cristae formation","6/348","27/5359",0.222222222222222,3.4220945083014,3.32473221808609,0.006622801201224,0.125833222823256,0.116886631726866,"ATP5MK/ATP5MF/ATP5MG/ATP5MJ/ATP5PB/DNAJC11",6
"R-HSA-3000157","Laminin interactions","5/348","20/5359",0.25,3.84985632183908,3.36462585470722,0.00772220830190591,0.131001901255151,0.121687823326576,"ITGA1/ITGA7/ITGAV/ITGB1/LAMC1",5
"R-HSA-9840310","Glycosphingolipid catabolism","5/348","20/5359",0.25,3.84985632183908,3.36462585470722,0.00772220830190591,0.131001901255151,0.121687823326576,"NEU1/GLB1L2/M6PR/PSAP/SMPD1",5
"R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/348","7/5359",0.428571428571429,6.59975369458128,3.90650754850578,0.00780652646686037,0.131001901255151,0.121687823326576,"F5/PROS1/SERPIND1",3
"R-HSA-2022857","Keratan sulfate degradation","3/348","7/5359",0.428571428571429,6.59975369458128,3.90650754850578,0.00780652646686037,0.131001901255151,0.121687823326576,"OGN/GALNS/GLB1L2",3
"R-HSA-6783783","Interleukin-10 signaling","3/348","7/5359",0.428571428571429,6.59975369458128,3.90650754850578,0.00780652646686037,0.131001901255151,0.121687823326576,"PTGS2/IL10RB/TIMP1",3
"R-HSA-75205","Dissolution of Fibrin Clot","3/348","7/5359",0.428571428571429,6.59975369458128,3.90650754850578,0.00780652646686037,0.131001901255151,0.121687823326576,"SERPINF2/ANXA2/PLAT",3
"R-HSA-75892","Platelet Adhesion to exposed collagen","3/348","7/5359",0.428571428571429,6.59975369458128,3.90650754850578,0.00780652646686037,0.131001901255151,0.121687823326576,"COL1A1/ITGA1/ITGB1",3
"R-HSA-2022928","HS-GAG biosynthesis","4/348","13/5359",0.307692307692308,4.73828470380194,3.55597212485048,0.00781414849592127,0.131001901255151,0.121687823326576,"GPC3/SDC4/EXT1/GPC1",4
"R-HSA-556833","Metabolism of lipids","37/348","383/5359",0.0966057441253264,1.48767293898743,2.60985652883684,0.00850040555964661,0.140441483159379,0.130456262288398,"ACOT13/APOA1/ARF3/B4GALT5/CLOCK/ELOVL5/HMGCS1/NEU1/PI4K2A/PLD3/PLPP3/PTGS2/TRIB3/ACAA2/ACAT2/ACOT8/ACOX1/CAV1/CPNE3/CPT2/CRAT/GLB1L2/HACL1/HADHB/HMGCL/IDI1/LPIN1/LSS/M6PR/OXCT1/PITPNB/PLA2G4A/PPP1CB/PSAP/SLC44A1/SMPD1/UGCG",37
"R-HSA-5668914","Diseases of metabolism","15/348","119/5359",0.126050420168067,1.94110402781802,2.73573637276883,0.00959528279664804,0.156266034116839,0.145155706668089,"ADAMTS1/CHSY1/GPC3/LMBRD1/NEU1/OGN/SDC4/THBS1/B4GAT1/C1GALT1C1/CD320/EXT1/GALNS/GPC1/NOTCH2",15
