"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-194315","Signaling by Rho GTPases","51/282","475/5359",0.107368421052632,2.04038073908175,5.59723585677384,3.76649227690973e-07,0.00032014205671132,0.000284384346638062,"ANKLE2/CDC42EP1/CYBA/MRTFA/NDEL1/OPHN1/PLEKHG1/SFN/SPC24/SPTBN1/SRGAP1/WASF2/ABL1/ABL2/ARFGAP3/ARHGAP11A/ARHGEF18/CCDC88A/CDC25C/CDC42EP4/CENPF/CTTN/DIAPH2/DIAPH3/DYNC1I1/DYNC1LI1/FAM83B/ITSN1/ITSN2/KLC1/KLC2/KLC3/NDC80/NDE1/PAK1/PDE5A/PEAK1/PLEKHG3/PPP1R12A/PTK2/RALBP1/RAPGEF1/SGO2/SH3PXD2A/SKA1/SRGAP2/UACA/WIPF1/WIPF2/WIPF3/ZWINT",51
"R-HSA-9716542","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","51/282","485/5359",0.105154639175258,1.9983110331213,5.43270727275628,7.24303295726968e-07,0.00032014205671132,0.000284384346638062,"ANKLE2/CDC42EP1/CYBA/MRTFA/NDEL1/OPHN1/PLEKHG1/SFN/SPC24/SPTBN1/SRGAP1/WASF2/ABL1/ABL2/ARFGAP3/ARHGAP11A/ARHGEF18/CCDC88A/CDC25C/CDC42EP4/CENPF/CTTN/DIAPH2/DIAPH3/DYNC1I1/DYNC1LI1/FAM83B/ITSN1/ITSN2/KLC1/KLC2/KLC3/NDC80/NDE1/PAK1/PDE5A/PEAK1/PLEKHG3/PPP1R12A/PTK2/RALBP1/RAPGEF1/SGO2/SH3PXD2A/SKA1/SRGAP2/UACA/WIPF1/WIPF2/WIPF3/ZWINT",51
"R-HSA-195258","RHO GTPase Effectors","29/282","216/5359",0.134259259259259,2.55140202258997,5.48485680534746,2.19093230355251e-06,0.00064559471878014,0.000573486139807078,"CYBA/MRTFA/NDEL1/SFN/SPC24/WASF2/ABL1/CDC25C/CENPF/CTTN/DIAPH2/DIAPH3/DYNC1I1/DYNC1LI1/KLC1/KLC2/KLC3/NDC80/NDE1/PAK1/PPP1R12A/PTK2/SGO2/SKA1/SRGAP2/WIPF1/WIPF2/WIPF3/ZWINT",29
"R-HSA-9013148","CDC42 GTPase cycle","16/282","91/5359",0.175824175824176,3.34128283064453,5.30852687583589,1.63662138740285e-05,0.00361693326616029,0.00321294619737506,"CDC42EP1/OPHN1/PLEKHG1/SRGAP1/ARFGAP3/CDC42EP4/DIAPH3/ITSN1/PAK1/PLEKHG3/RALBP1/SH3PXD2A/SRGAP2/WIPF1/WIPF2/WIPF3",16
"R-HSA-9013149","RAC1 GTPase cycle","17/282","107/5359",0.158878504672897,3.01925498773779,4.97213625629637,3.52847956652813e-05,0.00623835187362174,0.00554157001395787,"CDC42EP1/CYBA/OPHN1/PLEKHG1/SRGAP1/WASF2/ABL2/ARHGEF18/CDC42EP4/DIAPH3/PAK1/PLEKHG3/RALBP1/SRGAP2/WIPF1/WIPF2/WIPF3",17
"R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","9/282","35/5359",0.257142857142857,4.88662613981763,5.43638359290181,5.7249058873849e-05,0.00843469467408041,0.00749259612629672,"PCBP4/SFN/CCNB1/CDC25C/CDKN1A/CNOT2/CNOT3/TFDP1/TNKS1BP1",9
"R-HSA-2028269","Signaling by Hippo","6/282","16/5359",0.375,7.12632978723404,5.78349151804888,0.000103020158412863,0.0130099742909959,0.0115568478460144,"AMOT/AMOTL1/LATS2/WWC1/LATS1/YAP1",6
"R-HSA-69278","Cell Cycle, Mitotic","41/282","433/5359",0.0946882217090069,1.79941198630698,4.08874218702026,0.00012434324515471,0.0137399285895954,0.0122052711691334,"ANKLE2/CEP41/CKS1B/FKBPL/HMMR/NDEL1/NUMA1/PHF8/POLD4/PTTG1/SPC24/ABL1/ARPP19/CCNB1/CDC25C/CDCA5/CDKN1A/CDT1/CENPF/CEP135/CEP164/CEP250/DYNC1I1/DYNC1LI1/GOLGA2/GTSE1/MAX/MZT2A/MZT2B/NDC80/NDE1/NEDD1/ODF2/PPP1R12A/SGO2/SKA1/SPAST/TFDP1/TPX2/UBE2S/ZWINT",41
"R-HSA-1640170","Cell Cycle","47/282","531/5359",0.0885122410546139,1.68204645323289,3.90211362846183,0.000196899338132854,0.0193398905454936,0.0171797551166209,"ANKLE2/CEP41/CKS1B/FKBPL/HMMR/NDEL1/NUMA1/PCBP4/PHF8/POLD4/PTTG1/SFN/SPC24/ABL1/ARPP19/BRCA1/CCNB1/CDC25C/CDCA5/CDKN1A/CDT1/CENPF/CEP135/CEP164/CEP250/DYNC1I1/DYNC1LI1/EXO1/GOLGA2/GTSE1/MAX/MZT2A/MZT2B/NDC80/NDE1/NEDD1/ODF2/PPP1R12A/RBBP8/RNF168/SGO2/SKA1/SPAST/TFDP1/TPX2/UBE2S/ZWINT",47
"R-HSA-9012999","RHO GTPase cycle","31/282","307/5359",0.100977198697068,1.91892485041698,3.90786759037952,0.000291048036506333,0.0257286464271598,0.0228549300246025,"ANKLE2/CDC42EP1/CYBA/OPHN1/PLEKHG1/SPTBN1/SRGAP1/WASF2/ABL2/ARFGAP3/ARHGAP11A/ARHGEF18/CCDC88A/CDC42EP4/DIAPH2/DIAPH3/FAM83B/ITSN1/ITSN2/PAK1/PDE5A/PEAK1/PLEKHG3/RALBP1/RAPGEF1/SH3PXD2A/SRGAP2/UACA/WIPF1/WIPF2/WIPF3",31
"R-HSA-68877","Mitotic Prometaphase","21/282","182/5359",0.115384615384615,2.19271685761047,3.85794734693337,0.000509744367094696,0.0409649109556101,0.0363894064930759,"CEP41/NDEL1/NUMA1/SPC24/CCNB1/CDCA5/CENPF/CEP135/CEP164/CEP250/DYNC1I1/DYNC1LI1/MZT2A/MZT2B/NDC80/NDE1/NEDD1/ODF2/SGO2/SKA1/ZWINT",21
"R-HSA-445355","Smooth Muscle Contraction","6/282","22/5359",0.272727272727273,5.18278529980658,4.63287560294644,0.000734038183732553,0.05138580739184,0.0456463590310939,"CALD1/LMOD1/PAK1/PDE5A/SORBS1/SORBS3",6
"R-HSA-9013508","NOTCH3 Intracellular Domain Regulates Transcription","5/282","15/5359",0.333333333333333,6.33451536643026,4.87561834404916,0.000755673638115294,0.05138580739184,0.0456463590310939,"WWC1/DLGAP5/HEY1/MAML1/SNW1",5
"R-HSA-69275","G2/M Transition","18/282","161/5359",0.111801242236025,2.12462006079027,3.41446726668744,0.00183016183664212,0.0964011214514888,0.0856337658999888,"CEP41/FKBPL/HMMR/CCNB1/CDC25C/CDKN1A/CENPF/CEP135/CEP164/CEP250/GTSE1/MZT2A/MZT2B/NDE1/NEDD1/ODF2/PPP1R12A/TPX2",18
"R-HSA-9725554","Differentiation of keratinocytes in interfollicular epidermis in mammalian skin","4/282","11/5359",0.363636363636364,6.9103803997421,4.62421910765596,0.00184541030105436,0.0964011214514888,0.0856337658999888,"CSPG4/SBSN/PRSS3/YAP1",4
"R-HSA-9734767","Developmental Cell Lineages","4/282","11/5359",0.363636363636364,6.9103803997421,4.62421910765596,0.00184541030105436,0.0964011214514888,0.0856337658999888,"CSPG4/SBSN/PRSS3/YAP1",4
"R-HSA-9682385","FLT3 signaling in disease","5/282","18/5359",0.277777777777778,5.27876280535855,4.28514480722631,0.00189238268627299,0.0964011214514888,0.0856337658999888,"SPTBN1/CBL/CDKN1A/GOLGB1/TRIP11",5
