"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-9014325","TICAM1,TRAF6-dependent induction of TAK1 complex","3/282","6/5359",0.5,9.50177304964539,4.91030917514083,0.00256064321993763,0.107790886020232,0.0957513705299986,"MAP3K7/TAB2/TAB3",3,"ticam1,traf6-dependent induction of tak1 complex",FALSE,FALSE,FALSE,TRUE
"R-HSA-937042","IRAK2 mediated activation of TAK1 complex","3/282","6/5359",0.5,9.50177304964539,4.91030917514083,0.00256064321993763,0.107790886020232,0.0957513705299986,"MAP3K7/TAB2/TAB3",3,"irak2 mediated activation of tak1 complex",FALSE,FALSE,FALSE,TRUE
"R-HSA-975163","IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","3/282","6/5359",0.5,9.50177304964539,4.91030917514083,0.00256064321993763,0.107790886020232,0.0957513705299986,"MAP3K7/TAB2/TAB3",3,"irak2 mediated activation of tak1 complex upon tlr7/8 or 9 stimulation",FALSE,FALSE,FALSE,TRUE
"R-HSA-212436","Generic Transcription Pathway","50/282","647/5359",0.0772797527047913,1.46858934306729,2.99546489251513,0.00279127232967086,0.112158397246774,0.0996310601882517,"COX6A1/KDM5B/MED7/PCBP4/PIDD1/RARB/SFN/TEAD3/ZNF597/ABL1/ARID1A/ARID1B/ATF2/AUTS2/BRCA1/CCNB1/CCNT1/CDC25C/CDKN1A/CEBPB/CNOT2/CNOT3/ELF2/EXO1/FOXG1/HDAC4/HEY1/KRBA1/MAF/MAML1/MAX/MBD3/MED15/MED8/NCOR1/NCOR2/PITX2/RBBP8/SNW1/TCF12/TCF3/TFDP1/TNKS1BP1/TNRC6A/TNRC6B/TPX2/TXNIP/UBE2S/YAP1/ZNF200",50,"generic transcription pathway",FALSE,FALSE,FALSE,TRUE
"R-HSA-350054","Notch-HLH transcription pathway","5/282","20/5359",0.25,4.7508865248227,3.96042041183689,0.00314001856219817,0.115657350374299,0.102739203833326,"HDAC4/MAML1/NCOR1/NCOR2/SNW1",5,"notch-hlh transcription pathway",FALSE,FALSE,FALSE,TRUE
"R-HSA-77595","Processing of Intronless Pre-mRNAs","5/282","20/5359",0.25,4.7508865248227,3.96042041183689,0.00314001856219817,0.115657350374299,0.102739203833326,"FIP1L1/CSTF2T/PAPOLA/PCF11/WDR33",5,"processing of intronless pre-mrnas",FALSE,FALSE,FALSE,TRUE
"R-HSA-9013406","RHOQ GTPase cycle","8/282","49/5359",0.163265306122449,3.10261977131278,3.48444689827143,0.00364116048505126,0.128379271286171,0.114040171921271,"CDC42EP1/OPHN1/CDC42EP4/DIAPH3/ITSN1/PAK1/PLEKHG3/SRGAP2",8,"rhoq gtpase cycle",FALSE,FALSE,FALSE,TRUE
"R-HSA-68886","M Phase","28/282","315/5359",0.0888888888888889,1.68920409771474,2.97124125113818,0.00398070246822263,0.128379271286171,0.114040171921271,"ANKLE2/CEP41/NDEL1/NUMA1/PHF8/PTTG1/SPC24/ARPP19/CCNB1/CDCA5/CENPF/CEP135/CEP164/CEP250/DYNC1I1/DYNC1LI1/GOLGA2/MZT2A/MZT2B/NDC80/NDE1/NEDD1/ODF2/SGO2/SKA1/SPAST/UBE2S/ZWINT",28,"m phase",FALSE,FALSE,FALSE,TRUE
"R-HSA-2122947","NOTCH1 Intracellular Domain Regulates Transcription","6/282","30/5359",0.2,3.80070921985816,3.6251678136099,0.00409514851613401,0.128379271286171,0.114040171921271,"HDAC4/HEY1/MAML1/NCOR1/NCOR2/SNW1",6,"notch1 intracellular domain regulates transcription",FALSE,FALSE,FALSE,TRUE
"R-HSA-937072","TRAF6-mediated induction of TAK1 complex within TLR4 complex","3/282","7/5359",0.428571428571429,8.14437689969605,4.45735939312118,0.00430741528725705,0.128379271286171,0.114040171921271,"MAP3K7/TAB2/TAB3",3,"traf6-mediated induction of tak1 complex within tlr4 complex",FALSE,FALSE,FALSE,TRUE
"R-HSA-9645460","Alpha-protein kinase 1 signaling pathway","3/282","7/5359",0.428571428571429,8.14437689969605,4.45735939312118,0.00430741528725705,0.128379271286171,0.114040171921271,"MAP3K7/TAB2/TAB3",3,"alpha-protein kinase 1 signaling pathway",FALSE,FALSE,FALSE,TRUE
"R-HSA-5663220","RHO GTPases Activate Formins","14/282","122/5359",0.114754098360656,2.18073479827927,3.10894699908397,0.00454973602853137,0.128379271286171,0.114040171921271,"MRTFA/NDEL1/SPC24/CENPF/DIAPH2/DIAPH3/DYNC1I1/DYNC1LI1/NDC80/NDE1/SGO2/SKA1/SRGAP2/ZWINT",14,"rho gtpases activate formins",FALSE,FALSE,FALSE,TRUE
"R-HSA-5663213","RHO GTPases Activate WASPs and WAVEs","6/282","31/5359",0.193548387096774,3.67810569663693,3.52410450962498,0.0048584736105907,0.128379271286171,0.114040171921271,"WASF2/ABL1/PTK2/WIPF1/WIPF2/WIPF3",6,"rho gtpases activate wasps and waves",FALSE,FALSE,FALSE,TRUE
"R-HSA-5357956","TNFR1-induced NF-kappa-B signaling pathway","5/282","22/5359",0.227272727272727,4.31898774983881,3.67612876841118,0.00489177994235697,0.128379271286171,0.114040171921271,"BIRC2/MAP3K7/RIPK1/TAB2/TAB3",5,"tnfr1-induced nf-kappa-b signaling pathway",FALSE,FALSE,FALSE,TRUE
