"SYMBOL","ENTREZID"
"ABCA3","21"
"ABCB10","23456"
"ABCB6","10058"
"ABHD5","51099"
"ACE2","59272"
"ACOT13","55856"
"ACTMAP","284325"
"ADAM9","8754"
"ADAMTS1","9510"
"ADD1","118"
"ADGRG6","57211"
"AGA","175"
"AHDC1","27245"
"AIFM2","84883"
"AIRIM","54955"
"AKAP7","9465"
"AKIRIN2","55122"
"ALDH18A1","5832"
"ALDH1L2","160428"
"ALG1","56052"
"ALKBH8","91801"
"AMFR","267"
"AMMECR1","9949"
"AMOT","154796"
"AMOTL1","154810"
"ANAPC16","119504"
"ANAPC4","29945"
"ANGEL1","23357"
"ANKLE2","23141"
"ANXA4","307"
"APLP1","333"
"APLP2","334"
"APOA1","335"
"APOC3","345"
"APOE","348"
"APOH","350"
"APP","351"
"ARB2A","83989"
"ARF3","377"
"ARL5B","221079"
"ARL6IP1","23204"
"ARMC7","79637"
"ART5","116969"
"ASPRV1","151516"
"ATAD5","79915"
"ATF3","467"
"ATF4","468"
"ATP5MK","84833"
"ATP6V0D2","245972"
"ATP6V1D","51382"
"ATR","545"
"B3GALNT2","148789"
"B4GALT5","9334"
"B4GALT6","9331"
"B9D1","27077"
"BACE1","23621"
"BCL2L12","83596"
"BCOR","54880"
"BIRC2","329"
"BLM","641"
"BLOC1S4","55330"
"BMP2","650"
"BMP4","652"
"BMPR2","659"
"BNIP3","664"
"BOD1","91272"
"BORCS6","54785"
"BPGM","669"
"BPNT2","54928"
"BRI3","25798"
"BRI3BP","140707"
"BRWD3","254065"
"BTBD9","114781"
"BTN2A3P","54718"
"C1orf159","54991"
"C1orf198","84886"
"C2CD2L","9854"
"C4A","720"
"C4BPA","722"
"C6orf89","221477"
"C8orf88","100127983"
"C9orf72","203228"
"CABIN1","23523"
"CALCOCO2","10241"
"CAMKK1","84254"
"CARMIL2","146206"
"CASTOR2","729438"
"CBY1","25776"
"CCDC106","29903"
"CCDC120","90060"
"CCDC138","165055"
"CCDC158","339965"
"CCDC18","343099"
"CCDC186","55088"
"CCDC28B","79140"
"CCDC66","285331"
"CCDC82","79780"
"CCK","885"
"CCN1","3491"
"CCN2","1490"
"CCNQ","92002"
"CCPG1","9236"
"CD151","977"
"CD40","958"
"CD81","975"
"CD84","8832"
"CD99","4267"
"CDC42EP1","11135"
"CDCA7L","55536"
"CDK11A","728642"
"CDKN2A","1029"
"CEBPZOS","100505876"
"CENPW","387103"
"CENPX","201254"
"CEP170B","283638"
"CEP41","95681"
"CFAP97","57587"
"CHCHD4","131474"
"CHKA","1119"
"CHPF","79586"
"CHPF2","54480"
"CHSY1","22856"
"CISD1","55847"
"CKS1B","1163"
"CKS2","1164"
"CLK3","1198"
"CLOCK","9575"
"CLTCL1","8218"
"CLU","1191"
"CMTM6","54918"
"CNBP","7555"
"CNEP1R1","255919"
"CNOT8","9337"
"CNOT9","9125"
"COL1A1","1277"
"COL1A2","1278"
"COL4A6","1288"
"COLEC12","81035"
"COMMD3","23412"
"COMMD5","28991"
"COMMD8","54951"
"COMMD9","29099"
"COQ9","57017"
"COX6A1","1337"
"CPNE8","144402"
"CRABP2","1382"
"CRBN","51185"
"CREM","1390"
"CRIM1","51232"
"CRYGD","1421"
"CSPG4","1464"
"CSPG5","10675"
"CUL7","9820"
"CWC22","57703"
"CYBA","1535"
"CYBC1","79415"
"CYLD","1540"
"CYREN","78996"
"CYSTM1","84418"
"DACT1","51339"
"DBP","1628"
"DCBLD1","285761"
"DCTD","1635"
"DDIT4","54541"
"DDR2","4921"
"DDX19A","55308"
"DDX28","55794"
"DGCR2","9993"
"DGCR6","8214"
"DGCR6L","85359"
"DHDDS","79947"
"DHRS13","147015"
"DKK1","22943"
"DLX1","1745"
"DLX6","1750"
"DMTN","2039"
"DNA2","1763"
"DNAJB5","25822"
"DNAL4","10126"
"DNLZ","728489"
"DOLK","22845"
"DPH7","92715"
"DPM3","54344"
"EDIL3","10085"
"EEF1AKMT1","221143"
"EEF1G","1937"
"EFNA5","1946"
"EFR3A","23167"
"EFR3B","22979"
"EGLN3","112399"
"EGR1","1958"
"EHD3","30845"
"EIF1","10209"
"EIF1B","10289"
"EIF3C","8663"
"EIF4ENIF1","56478"
"EIF5","1983"
"ELOF1","84337"
"ELOVL1","64834"
"ELOVL5","60481"
"ENDOD1","23052"
"ENKD1","84080"
"ENTPD6","955"
"ENTR1","10807"
"EPHA4","2043"
"EPHA7","2045"
"ERAP1","51752"
"ERBB2","2064"
"ERC2","26059"
"ERCC8","1161"
"ERP44","23071"
"ERRFI1","54206"
"ESRRA","2101"
"ETAA1","54465"
"EVI5","7813"
"F13A1","2162"
"F5","2153"
"FAAP100","80233"
"FAM174A","345757"
"FAM174B","400451"
"FAM199X","139231"
