"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-9707587","Regulation of HMOX1 expression and activity","2/10","5/5359",0.4,214.36,20.6359219744396,3.12505920521759e-05,0.00253129795622625,0.00138160512230672,"HMOX1/NFE2L2",2,"regulation of hmox1 expression and activity",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818027","NFE2L2 regulating anti-oxidant/detoxification enzymes","2/10","13/5359",0.153846153846154,82.4461538461538,12.7113838938081,0.000241819757430369,0.00979370017592994,0.00534548937477658,"HMOX1/NFE2L2",2,"nfe2l2 regulating anti-oxidant/detoxification enzymes",FALSE,FALSE,TRUE,FALSE
"R-HSA-9707616","Heme signaling","2/10","34/5359",0.0588235294117647,31.5235294117647,7.71932733617362,0.00170322815307674,0.0453303628131516,0.0247417184945077,"HMOX1/NFE2L2",2,"heme signaling",FALSE,FALSE,TRUE,FALSE
"R-HSA-9707564","Cytoprotection by HMOX1","2/10","39/5359",0.0512820512820513,27.4820512820513,7.17617738449451,0.00223853643521736,0.0453303628131516,0.0247417184945077,"HMOX1/NFE2L2",2,"cytoprotection by hmox1",FALSE,FALSE,TRUE,FALSE
"R-HSA-427601","Multifunctional anion exchangers","1/10","3/5359",0.333333333333333,178.633333333333,13.3054591024962,0.00558866078510278,0.0535748744577391,0.0292416468775184,"SLC26A11",1,"multifunctional anion exchangers",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818025","NFE2L2 regulating TCA cycle genes","1/10","3/5359",0.333333333333333,178.633333333333,13.3054591024962,0.00558866078510278,0.0535748744577391,0.0292416468775184,"NFE2L2",1,"nfe2l2 regulating tca cycle genes",FALSE,FALSE,TRUE,FALSE
"R-HSA-425407","SLC-mediated transmembrane transport","2/10","66/5359",0.0303030303030303,16.2393939393939,5.38584402741438,0.00630790720027929,0.0535748744577391,0.0292416468775184,"SLC26A11/SLC39A7",2,"slc-mediated transmembrane transport",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818026","NFE2L2 regulating inflammation associated genes","1/10","4/5359",0.25,133.975,11.5023164788878,0.00744529136616123,0.0535748744577391,0.0292416468775184,"NFE2L2",1,"nfe2l2 regulating inflammation associated genes",FALSE,FALSE,TRUE,FALSE
"R-HSA-9759194","Nuclear events mediated by NFE2L2","2/10","75/5359",0.0266666666666667,14.2906666666667,5.01142284977825,0.00808768436094758,0.0535748744577391,0.0292416468775184,"HMOX1/NFE2L2",2,"nuclear events mediated by nfe2l2",FALSE,FALSE,TRUE,FALSE
"R-HSA-139853","Elevation of cytosolic Ca2+ levels","1/10","5/5359",0.2,107.18,10.2696015900168,0.00929880155968854,0.0535748744577391,0.0292416468775184,"ORAI1",1,"elevation of cytosolic ca2+ levels",FALSE,FALSE,TRUE,FALSE
"R-HSA-189483","Heme degradation","1/10","5/5359",0.2,107.18,10.2696015900168,0.00929880155968854,0.0535748744577391,0.0292416468775184,"HMOX1",1,"heme degradation",FALSE,FALSE,TRUE,FALSE
"R-HSA-442380","Zinc influx into cells by the SLC39 gene family","1/10","5/5359",0.2,107.18,10.2696015900168,0.00929880155968854,0.0535748744577391,0.0292416468775184,"SLC39A7",1,"zinc influx into cells by the slc39 gene family",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818035","NFE2L2 regulating ER-stress associated genes","1/10","5/5359",0.2,107.18,10.2696015900168,0.00929880155968854,0.0535748744577391,0.0292416468775184,"NFE2L2",1,"nfe2l2 regulating er-stress associated genes",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818032","NFE2L2 regulating MDR associated enzymes","1/10","6/5359",0.166666666666667,89.3166666666667,9.35803636083838,0.0111491960281985,0.0535748744577391,0.0292416468775184,"NFE2L2",1,"nfe2l2 regulating mdr associated enzymes",FALSE,FALSE,TRUE,FALSE
"R-HSA-435354","Zinc transporters","1/10","7/5359",0.142857142857143,76.5571428571428,8.64831600877003,0.0129964794281084,0.0535748744577391,0.0292416468775184,"SLC39A7",1,"zinc transporters",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818749","Regulation of NFE2L2 gene expression","1/10","7/5359",0.142857142857143,76.5571428571428,8.64831600877003,0.0129964794281084,0.0535748744577391,0.0292416468775184,"NFE2L2",1,"regulation of nfe2l2 gene expression",FALSE,FALSE,TRUE,FALSE
"R-HSA-9755511","KEAP1-NFE2L2 pathway","2/10","99/5359",0.0202020202020202,10.8262626262626,4.26656285696398,0.0138038205335862,0.0535748744577391,0.0292416468775184,"HMOX1/NFE2L2",2,"keap1-nfe2l2 pathway",FALSE,FALSE,TRUE,FALSE
"R-HSA-6803207","TP53 Regulates Transcription of Caspase Activators and Caspases","1/10","8/5359",0.125,66.9875,8.07521787458654,0.0148406564097453,0.0535748744577391,0.0292416468775184,"PIDD1",1,"tp53 regulates transcription of caspase activators and caspases",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818028","NFE2L2 regulates pentose phosphate pathway genes","1/10","8/5359",0.125,66.9875,8.07521787458654,0.0148406564097453,0.0535748744577391,0.0292416468775184,"NFE2L2",1,"nfe2l2 regulates pentose phosphate pathway genes",FALSE,FALSE,TRUE,FALSE
"R-HSA-9818030","NFE2L2 regulating tumorigenic genes","1/10","8/5359",0.125,66.9875,8.07521787458654,0.0148406564097453,0.0535748744577391,0.0292416468775184,"NFE2L2",1,"nfe2l2 regulating tumorigenic genes",FALSE,FALSE,TRUE,FALSE
"R-HSA-418360","Platelet calcium homeostasis","1/10","9/5359",0.111111111111111,59.5444444444444,7.59967654779373,0.0166817316173512,0.0535748744577391,0.0292416468775184,"ORAI1",1,"platelet calcium homeostasis",FALSE,FALSE,TRUE,FALSE
"R-HSA-425410","Metal ion SLC transporters","1/10","9/5359",0.111111111111111,59.5444444444444,7.59967654779373,0.0166817316173512,0.0535748744577391,0.0292416468775184,"SLC39A7",1,"metal ion slc transporters",FALSE,FALSE,TRUE,FALSE
"R-HSA-844456","The NLRP3 inflammasome","1/10","9/5359",0.111111111111111,59.5444444444444,7.59967654779373,0.0166817316173512,0.0535748744577391,0.0292416468775184,"HMOX1",1,"the nlrp3 inflammasome",FALSE,FALSE,TRUE,FALSE
"R-HSA-166658","Complement cascade","1/10","10/5359",0.1,53.59,7.19667561398361,0.018519709689095,0.0535748744577391,0.0292416468775184,"C4BPA",1,"complement cascade",FALSE,FALSE,TRUE,FALSE
"R-HSA-9660826","Purinergic signaling in leishmaniasis infection","1/10","10/5359",0.1,53.59,7.19667561398361,0.018519709689095,0.0535748744577391,0.0292416468775184,"HMOX1",1,"purinergic signaling in leishmaniasis infection",FALSE,FALSE,TRUE,FALSE
