"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation","11/502","46/5359",0.239130434782609,2.55278884462151,3.40009124338062,0.0027980193260333,0.116546519829963,0.105112216402598,"WASF2/ARPC5/BRK1/CDC42/CFL1/CRK/GRB2/RAC1/WASL/WIPF1/WIPF2",11,"regulation of actin dynamics for phagocytic cup formation",FALSE,FALSE,FALSE,TRUE
"R-HSA-8866652","Synthesis of active ubiquitin: roles of E1 and E2 enzymes","7/502","22/5359",0.318181818181818,3.39668598333937,3.62112099518048,0.00296639873098953,0.116546519829963,0.105112216402598,"UBE2T/UBE2A/UBE2B/UBE2G1/UBE2H/UBE2K/UBE2L3",7,"synthesis of active ubiquitin: roles of e1 and e2 enzymes",FALSE,FALSE,FALSE,TRUE
"R-HSA-8964208","Phenylalanine metabolism","3/502","4/5359",0.75,8.00647410358566,4.50628796242657,0.00304161812242402,0.116546519829963,0.105112216402598,"ASRGL1/PCBD1/QDPR",3,"phenylalanine metabolism",FALSE,FALSE,FALSE,TRUE
"R-HSA-9013694","Signaling by NOTCH4","13/502","60/5359",0.216666666666667,2.31298140770252,3.28780766239594,0.00307732907477331,0.116546519829963,0.105112216402598,"HES1/HEY1/PSEN2/PSMA1/PSMA3/PSMA4/PSMA5/PSMA7/PSMB1/PSMB2/PSMB3/PSME3/TACC3",13,"signaling by notch4",FALSE,FALSE,FALSE,TRUE
"R-HSA-8856828","Clathrin-mediated endocytosis","19/502","104/5359",0.182692307692308,1.95029497395035,3.14599409596112,0.00320325010415945,0.116546519829963,0.105112216402598,"AMPH/ARF6/ARPC5/ARRB1/BIN1/CLTB/COPS5/CTTN/EPN1/FNBP1/FNBP1L/GRB2/NECAP1/NECAP2/PACSIN2/SH3GL1/SH3GL2/TRIP10/WASL",19,"clathrin-mediated endocytosis",FALSE,FALSE,FALSE,TRUE
"R-HSA-196807","Nicotinate metabolism","5/502","12/5359",0.416666666666667,4.4480411686587,3.84394473379945,0.00320597222833232,0.116546519829963,0.105112216402598,"NAXD/NADK2/NADSYN1/NAMPT/NAPRT",5,"nicotinate metabolism",FALSE,FALSE,FALSE,TRUE
"R-HSA-2871837","FCERI mediated NF-kB activation","13/502","61/5359",0.213114754098361,2.2750636797074,3.21965973987875,0.00358579631868836,0.126629835711395,0.114206264706496,"BCL10/MALT1/PSMA1/PSMA3/PSMA4/PSMA5/PSMA7/PSMB1/PSMB2/PSMB3/PSME3/UBE2N/UBE2V1",13,"fceri mediated nf-kb activation",FALSE,FALSE,FALSE,TRUE
"R-HSA-72163","mRNA Splicing - Major Pathway","30/502","196/5359",0.153061224489796,1.63397430685422,2.90681767429225,0.00444828144879472,0.145531287503675,0.131253307329579,"C9orf78/CASC3/CWC27/DDX39B/DNAJC8/FAM32A/LENG1/LSM2/LSM3/LSM7/NSRP1/PPIH/PPIL3/PRCC/PRKRIP1/RNF113A/SDE2/SF1/SMNDC1/SNRNP27/SNRPA/SNRPA1/SNRPB2/SNRPC/SRSF11/STEEP1/SYF2/UBL5/WBP4/YBX1",30,"mrna splicing - major pathway",FALSE,FALSE,FALSE,TRUE
"R-HSA-4641257","Degradation of AXIN","10/502","42/5359",0.238095238095238,2.54173781066211,3.22456399191611,0.00445360241242385,0.145531287503675,0.131253307329579,"PSMA1/PSMA3/PSMA4/PSMA5/PSMA7/PSMB1/PSMB2/PSMB3/PSME3/RNF146",10,"degradation of axin",FALSE,FALSE,FALSE,TRUE
"R-HSA-3858494","Beta-catenin independent WNT signaling","17/502","92/5359",0.184782608695652,1.97260956175299,3.02496219103459,0.00458560078311658,0.145531287503675,0.131253307329579,"GNG5/CLTB/GNG7/PLCB3/PPP3R1/PSMA1/PSMA3/PSMA4/PSMA5/PSMA7/PSMB1/PSMB2/PSMB3/PSME3/RAC1/RHOA/TNRC6B",17,"beta-catenin independent wnt signaling",FALSE,FALSE,FALSE,TRUE
"R-HSA-8852135","Protein ubiquitination","11/502","49/5359",0.224489795918367,2.39649565005285,3.15689057267648,0.00472415747839011,0.145531287503675,0.131253307329579,"UBE2T/BCL10/SELENOS/UBE2A/UBE2B/UBE2G1/UBE2H/UBE2K/UBE2L3/UBE2N/UBE2V2",11,"protein ubiquitination",FALSE,FALSE,FALSE,TRUE
"R-HSA-202424","Downstream TCR signaling","13/502","63/5359",0.206349206349206,2.20283943590717,3.08725929092345,0.00480705121748872,0.145531287503675,0.131253307329579,"BCL10/MALT1/PSMA1/PSMA3/PSMA4/PSMA5/PSMA7/PSMB1/PSMB2/PSMB3/PSME3/UBE2N/UBE2V1",13,"downstream tcr signaling",FALSE,FALSE,FALSE,TRUE
"R-HSA-72702","Ribosomal scanning and start codon recognition","12/502","56/5359",0.214285714285714,2.2875640295959,3.1136600667771,0.00482749416476592,0.145531287503675,0.131253307329579,"EIF5/EIF3J/EIF4B/EIF4H/FAU/RPS10/RPS17/RPS19/RPS20/RPS3/RPS5/RPSA",12,"ribosomal scanning and start codon recognition",FALSE,FALSE,FALSE,TRUE
