"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"R-HSA-382551","Transport of small molecules","54/438","282/5359",0.191489361702128,2.34290294374818,6.91157978381776,1.15787681359903e-09,1.25513846594135e-06,1.22734942241497e-06,"ABCA3/ABCB10/PRKACG/SLC11A2/SLC39A7/ABCB1/ABCB7/ANO10/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP6V0A1/ATP6V0A2/ATP7A/ATP9A/CES3/DERL1/DERL2/ERLIN1/ERLIN2/GNB1/GNB4/LDLRAP1/LMF2/LRRC8E/MCU/MICU2/PCSK6/PHB1/PHB2/PMPCB/SLC25A1/SLC25A10/SLC25A11/SLC25A4/SLC25A5/SLC25A6/SLC30A5/SLC31A1/SLC39A1/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SLC9A6/SOAT1/STOM/STOML2/TFRC/YME1L1",54,"transport of small molecules",0.123287671232877,2.34290294374818
"R-HSA-425407","SLC-mediated transmembrane transport","19/438","66/5359",0.287878787878788,3.52224297772243,6.15063095621181,6.85643522094105e-07,0.000371618788975005,0.000363391066709876,"SLC11A2/SLC39A7/SLC25A1/SLC25A10/SLC25A11/SLC25A4/SLC25A5/SLC25A6/SLC30A5/SLC31A1/SLC39A1/SLC39A14/SLC4A7/SLC6A15/SLC6A9/SLC7A11/SLC7A6/SLC7A8/SLC9A6",19,"slc-mediated transmembrane transport",0.04337899543379,3.52224297772243
"R-HSA-556833","Metabolism of lipids","55/438","383/5359",0.143603133159269,1.75700728447608,4.58639005581073,1.64467013461015e-05,0.00530410575323184,0.00518667167751453,"CHKA/CLOCK/GK/LPGAT1/MTMR12/PLEKHA3/PLPP3/PRKACG/TRIB3/ACOT9/ACOX3/ACSS3/AGPAT3/AGPAT4/CDK19/CERS5/CPT2/DDHD1/ECHS1/ETNK1/FADS1/FAM120B/GNPAT/GPAT4/GPD2/HADHA/HADHB/HSD17B12/INPP5K/LDLRAP1/LPCAT1/MED12/MED13/MED13L/MED17/MIGA1/MLYCD/NSDHL/NUDT19/PCCA/PECR/PTDSS1/PTEN/PTPMT1/SACM1L/SBF1/SCAP/SCD5/SEC24B/SGPL1/SLC25A17/SLC27A3/SPTLC2/TBL1X/UGCG",55,"metabolism of lipids",0.125570776255708,1.75700728447608
"R-HSA-425410","Metal ion SLC transporters","6/438","9/5359",0.666666666666667,8.15677321156773,6.4102260732346,1.9572345952885e-05,0.00530410575323184,0.00518667167751453,"SLC11A2/SLC39A7/SLC30A5/SLC31A1/SLC39A1/SLC39A14",6,"metal ion slc transporters",0.0136986301369863,8.15677321156773
"R-HSA-1483206","Glycerophospholipid biosynthesis","15/438","58/5359",0.258620689655172,3.16426547000472,4.94375969527728,4.25084106059601e-05,0.00744024660544467,0.00727551789831305,"CHKA/LPGAT1/AGPAT3/AGPAT4/DDHD1/ETNK1/GNPAT/GPAT4/GPD2/HADHA/HADHB/LPCAT1/MIGA1/PTDSS1/PTPMT1",15,"glycerophospholipid biosynthesis",0.0342465753424658,3.16426547000472
"R-HSA-425366","Transport of bile salts and organic acids, metal ions and amine compounds","8/438","18/5359",0.444444444444444,5.43784880771182,5.62612261879763,3.92572553994787e-05,0.00744024660544467,0.00727551789831305,"SLC11A2/SLC39A7/SLC30A5/SLC31A1/SLC39A1/SLC39A14/SLC6A15/SLC6A9",8,"transport of bile salts and organic acids, metal ions and amine compounds",0.0182648401826484,5.43784880771182
"R-HSA-8949664","Processing of SMDT1","7/438","14/5359",0.5,6.1175799086758,5.71961140047858,4.80458729133881e-05,0.00744024660544467,0.00727551789831305,"MCU/MICU2/PHB1/PHB2/PMPCB/STOML2/YME1L1",7,"processing of smdt1",0.0159817351598174,6.1175799086758
"R-HSA-1483166","Synthesis of PA","8/438","19/5359",0.421052631578947,5.15164623888488,5.40801938406908,6.30057888812294e-05,0.00853728439340658,0.0083482670267629,"AGPAT3/AGPAT4/DDHD1/GNPAT/GPAT4/GPD2/LPCAT1/MIGA1",8,"synthesis of pa",0.0182648401826484,5.15164623888488
"R-HSA-1483257","Phospholipid metabolism","21/438","111/5359",0.189189189189189,2.3147599654449,4.17563736253572,0.000202822675672267,0.024428864492082,0.0238880040236226,"CHKA/LPGAT1/MTMR12/PLEKHA3/AGPAT3/AGPAT4/DDHD1/ETNK1/GNPAT/GPAT4/GPD2/HADHA/HADHB/INPP5K/LPCAT1/MIGA1/PTDSS1/PTEN/PTPMT1/SACM1L/SBF1",21,"phospholipid metabolism",0.0479452054794521,2.3147599654449
"R-HSA-3781860","Diseases associated with N-glycosylation of proteins","7/438","18/5359",0.388888888888889,4.75811770674784,4.7643874206115,0.000333551727153609,0.0335717297886688,0.0328284442582924,"ALG1/ALG11/ALG2/ALG3/ALG8/ALG9/DPAGT1",7,"diseases associated with n-glycosylation of proteins",0.0159817351598174,4.75811770674784
