"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-9830364","Formation of the nephric duct","2/21","8/5359",0.25,63.7976190476191,11.1478832865945,0.000403789131533556,0.043609226205624,0.0331532129048604,"BMP4/HOXA6",2,"formation of the nephric duct",FALSE,FALSE,TRUE,FALSE
"R-HSA-9830369","Kidney development","2/21","19/5359",0.105263157894737,26.8621553884712,7.08259822108265,0.00240272015988526,0.103479648125242,0.0786687383408271,"BMP4/HOXA6",2,"kidney development",FALSE,FALSE,TRUE,TRUE
"R-HSA-2129379","Molecules associated with elastic fibres","2/21","21/5359",0.0952380952380952,24.3038548752834,6.71073125542256,0.00293681022010353,0.103479648125242,0.0786687383408271,"BMP4/MFAP3",2,"molecules associated with elastic fibres",FALSE,FALSE,TRUE,TRUE
"R-HSA-1566948","Elastic fibre formation","2/21","24/5359",0.0833333333333333,21.265873015873,6.24058701812402,0.00383257956019414,0.103479648125242,0.0786687383408271,"BMP4/MFAP3",2,"elastic fibre formation",FALSE,FALSE,TRUE,TRUE
"R-HSA-9639288","Amino acids regulate mTORC1","2/21","32/5359",0.0625,15.9494047619048,5.3196034476503,0.00675884552760905,0.11520441236421,0.0875823017973525,"ATP6V0D2/CASTOR2",2,"amino acids regulate mtorc1",FALSE,FALSE,TRUE,TRUE
"R-HSA-9758881","Uptake of dietary cobalamins into enterocytes","1/21","3/5359",0.333333333333333,85.0634920634921,9.13417835517359,0.0117120947280422,0.11520441236421,0.0875823017973525,"LMBRD1",1,"uptake of dietary cobalamins into enterocytes",FALSE,FALSE,TRUE,TRUE
"R-HSA-9758920","Formation of lateral plate mesoderm","1/21","3/5359",0.333333333333333,85.0634920634921,9.13417835517359,0.0117120947280422,0.11520441236421,0.0875823017973525,"BMP4",1,"formation of lateral plate mesoderm",FALSE,FALSE,TRUE,TRUE
"R-HSA-9761174","Formation of intermediate mesoderm","1/21","3/5359",0.333333333333333,85.0634920634921,9.13417835517359,0.0117120947280422,0.11520441236421,0.0875823017973525,"BMP4",1,"formation of intermediate mesoderm",FALSE,FALSE,TRUE,TRUE
"R-HSA-9827857","Specification of primordial germ cells","1/21","3/5359",0.333333333333333,85.0634920634921,9.13417835517359,0.0117120947280422,0.11520441236421,0.0875823017973525,"BMP4",1,"specification of primordial germ cells",FALSE,FALSE,TRUE,TRUE
"R-HSA-9711097","Cellular response to starvation","3/21","124/5359",0.0241935483870968,6.17396313364055,3.6559272643017,0.0118609462437322,0.11520441236421,0.0875823017973525,"ATP6V0D2/CASTOR2/TRIB3",3,"cellular response to starvation",FALSE,FALSE,FALSE,TRUE
