"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"R-HSA-8873719","RAB geranylgeranylation","30/821","46/5359",0.652173913043478,4.25700365408039,9.43556565951521,1.90091781454022e-14,2.89319691373021e-11,2.50320861683138e-11,"CHM/PTP4A2/RAB10/RAB11A/RAB11B/RAB12/RAB14/RAB18/RAB1A/RAB1B/RAB21/RAB22A/RAB24/RAB31/RAB32/RAB35/RAB39A/RAB43/RAB4A/RAB4B/RAB5A/RAB5B/RAB5C/RAB6A/RAB6B/RAB7A/RAB8A/RAB8B/RAB9A/RAB9B",30,"rab geranylgeranylation",0.0365408038976857,4.25700365408039
"R-HSA-8957275","Post-translational protein phosphorylation","27/821","49/5359",0.551020408163265,3.59673369956996,7.76638437680809,1.14545091238812e-10,8.71688144327357e-08,7.54188995472387e-08,"APLP2/APOA1/APOE/APP/BMP4/CCN1/F5/FN1/GPC3/ITIH2/MFGE8/SPP2/TGOLN2/ADAM10/CDH2/IGFBP5/LAMB1/LAMC1/NUCB1/P4HB/PRKCSH/QSOX1/RCN1/SDC2/STC2/TIMP1/WFS1",27,"post-translational protein phosphorylation",0.0328867235079172,3.59673369956996
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","27/821","50/5359",0.54,3.52479902557856,7.62862278695177,2.13304261072487e-10,1.08216361784108e-07,9.36293440707652e-08,"APLP2/APOA1/APOE/APP/BMP4/CCN1/F5/FN1/GPC3/ITIH2/MFGE8/SPP2/TGOLN2/ADAM10/CDH2/IGFBP5/LAMB1/LAMC1/NUCB1/P4HB/PRKCSH/QSOX1/RCN1/SDC2/STC2/TIMP1/WFS1",27,"regulation of insulin-like growth factor (igf) transport and uptake by insulin-like growth factor binding proteins (igfbps)",0.0328867235079172,3.52479902557856
"R-HSA-71291","Metabolism of amino acids and derivatives","72/821","237/5359",0.30379746835443,1.98300929709061,6.5834372231833,1.51728777460542e-09,5.77327998237361e-07,4.99507106850362e-07,"SERINC1/SERINC3/ADI1/ADO/ALDH4A1/ALDH7A1/APIP/ASRGL1/BCAT1/BCKDHB/CKB/DLD/DLST/ETHE1/FAU/GLUL/GOT1/GOT2/GSR/GSTZ1/IVD/MTAP/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/PSPH/QDPR/RIDA/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/SARS1/SHMT1/SRM/SUOX/TXNRD1",72,"metabolism of amino acids and derivatives",0.0876979293544458,1.98300929709061
"R-HSA-6798695","Neutrophil degranulation","79/821","277/5359",0.285198555956679,1.86160665209725,6.26285396220856,6.080818829339e-09,1.85100125165079e-06,1.60149565379012e-06,"ATP6V1D/BRI3/CYSTM1/FTL/GOLGA7/IGF2R/NEU1/SDCBP/ADAM10/ADGRE5/AOC1/APEH/ATP6V0C/CAPN1/CD55/CD58/CD63/CPNE3/CPPED1/CSTB/ENPP4/FABP5/GAA/GALNS/GPI/GRN/GUSB/HLA-B/HSPA8/IDH1/IMPDH1/IMPDH2/IST1/ITGAV/KCNAB2/LAMP1/LAMP2/MGST1/NAPRT/NCSTN/NME2/NPC2/NRAS/PA2G4/PAFAH1B2/PDXK/PGAM1/PKM/PPIE/PRDX4/PSAP/PSMA5/PSMB1/PSMB7/QSOX1/RAB10/RAB14/RAB18/RAB24/RAB31/RAB4B/RAB5B/RAB5C/RAB6A/RAB7A/RAB9B/RAC1/RAP1A/RAP1B/RAP2B/RAP2C/SNAP23/SNAP29/STK10/SYNGR1/TIMP2/TOLLIP/VAMP8/YPEL5",79,"neutrophil degranulation",0.0962241169305725,1.86160665209725
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","49/821","144/5359",0.340277777777778,2.22113107321694,6.31767178361359,1.29055492198906e-08,3.27370765211225e-06,2.83242843404967e-06,"SLIT2/DAG1/FAU/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RBM8A/RBX1/ROBO1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/USP33",49,"regulation of expression of slits and robos",0.0596833130328867,2.22113107321694
"R-HSA-9735869","SARS-CoV-1 modulates host translation machinery","18/821","33/5359",0.545454545454545,3.56040305613996,6.27487983201552,1.91797127850296e-07,4.17021755125929e-05,3.60809333745444e-05,"FAU/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA",18,"sars-cov-1 modulates host translation machinery",0.0219244823386114,3.56040305613996
"R-HSA-422475","Axon guidance","88/821","348/5359",0.252873563218391,1.65060831338289,5.33811242765166,3.89107871738294e-07,7.40277725982104e-05,6.40492036242902e-05,"CLTCL1/EPHA4/EPHA7/NEO1/NTN1/SDCBP/SLIT2/UNC5B/ADAM10/AKAP5/ALCAM/CDC42/CFL1/CLTA/CLTB/CNTN1/CSNK2A1/DAG1/EFNB3/FAU/GRB2/HSPA8/ITGA1/ITGA5/ITGAV/ITGB1/KRAS/LAMB1/LAMC1/MSN/NCSTN/NRAS/PITPNA/PSEN2/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RAC1/RBM8A/RBX1/RDX/RHOC/ROBO1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/RRAS/SDC2/SEMA4D/SHTN1/UNC5C/USP33",88,"axon guidance",0.107186358099878,1.65060831338289
"R-HSA-376176","Signaling by ROBO receptors","53/821","179/5359",0.29608938547486,1.93269551371471,5.39811597483239,6.05107705295924e-07,0.000102330436384489,8.85368116169826e-05,"NTN1/SLIT2/AKAP5/CDC42/DAG1/FAU/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RAC1/RBM8A/RBX1/ROBO1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/USP33",53,"signaling by robo receptors",0.0645554202192448,1.93269551371471
"R-HSA-168249","Innate Immune System","123/821","539/5359",0.228200371057514,1.48955638062998,5.09699568834458,7.83196318588727e-07,0.000117120729273258,0.000101333447901547,"APP/ATP6V0D2/ATP6V1D/BRI3/C4BPA/CLU/CYSTM1/FTL/GOLGA7/IGF2R/NEU1/PLD3/PROS1/SDCBP/VTN/AAMP/ADAM10/ADGRE5/AOC1/APEH/ATP6V0C/ATP6V1E1/CAPN1/CAPZA1/CD46/CD55/CD58/CD63/CDC34/CDC42/CFL1/CNPY3/CPNE3/CPPED1/CRK/CSTB/CTSV/ENPP4/FABP5/FADD/GAA/GALNS/GPI/GRB2/GRN/GUSB/HLA-B/HSPA8/IDH1/IMPDH1/IMPDH2/IST1/ITGAV/JUN/KCNAB2/KRAS/LAMP1/LAMP2/LRRFIP1/MALT1/MEF2C/MGST1/NAPRT/NCSTN/NKIRAS1/NME2/NPC2/NRAS/OPTN/PA2G4/PAFAH1B2/PDXK/PGAM1/PKM/POLR3G/PPIE/PPP2CA/PPP2CB/PRDX4/PRKCSH/PSAP/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/QSOX1/RAB10/RAB14/RAB18/RAB24/RAB31/RAB4B/RAB5B/RAB5C/RAB6A/RAB7A/RAB9B/RAC1/RAP1A/RAP1B/RAP2B/RAP2C/SNAP23/SNAP29/STK10/SYNGR1/TIMP2/TOLLIP/TRIM56/UBE2K/UBE2V1/VAMP8/YPEL5",123,"innate immune system",0.149817295980512,1.48955638062998
