"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8873719","RAB geranylgeranylation","30/822","46/5359",0.652173913043478,4.25182481751825,9.42733679913021,1.96625037302909e-14,2.99263306775028e-11,2.62856628815468e-11,"CHM/PTP4A2/RAB10/RAB11A/RAB11B/RAB12/RAB14/RAB18/RAB1A/RAB1B/RAB21/RAB22A/RAB24/RAB31/RAB32/RAB35/RAB39A/RAB43/RAB4A/RAB4B/RAB5A/RAB5B/RAB5C/RAB6A/RAB6B/RAB7A/RAB8A/RAB8B/RAB9A/RAB9B",30
"R-HSA-8957275","Post-translational protein phosphorylation","27/822","49/5359",0.551020408163265,3.59235811112766,7.75887309388697,1.1788833595964e-10,8.97130236652863e-08,7.8799045615128e-08,"APLP2/APOA1/APOE/APP/BMP4/CCN1/F5/FN1/GPC3/ITIH2/MFGE8/SPP2/TGOLN2/ADAM10/CDH2/IGFBP5/LAMB1/LAMC1/NUCB1/P4HB/PRKCSH/QSOX1/RCN1/SDC2/STC2/TIMP1/WFS1",27
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","27/822","50/5359",0.54,3.52051094890511,7.62114284143281,2.19484048968398e-10,1.11351574176634e-07,9.78051726981984e-08,"APLP2/APOA1/APOE/APP/BMP4/CCN1/F5/FN1/GPC3/ITIH2/MFGE8/SPP2/TGOLN2/ADAM10/CDH2/IGFBP5/LAMB1/LAMC1/NUCB1/P4HB/PRKCSH/QSOX1/RCN1/SDC2/STC2/TIMP1/WFS1",27
"R-HSA-71291","Metabolism of amino acids and derivatives","72/822","237/5359",0.30379746835443,1.98059687702116,6.57200318891833,1.60400607211247e-09,6.10324310438793e-07,5.36075713574429e-07,"SERINC1/SERINC3/ADI1/ADO/ALDH4A1/ALDH7A1/APIP/ASRGL1/BCAT1/BCKDHB/CKB/DLD/DLST/ETHE1/FAU/GLUL/GOT1/GOT2/GSR/GSTZ1/IVD/MTAP/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/PSPH/QDPR/RIDA/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/SARS1/SHMT1/SRM/SUOX/TXNRD1",72
"R-HSA-6798695","Neutrophil degranulation","79/822","277/5359",0.285198555956679,1.85934192381003,6.25088382891362,6.44097892624234e-09,1.96063398514817e-06,1.72211436554269e-06,"ATP6V1D/BRI3/CYSTM1/FTL/GOLGA7/IGF2R/NEU1/SDCBP/ADAM10/ADGRE5/AOC1/APEH/ATP6V0C/CAPN1/CD55/CD58/CD63/CPNE3/CPPED1/CSTB/ENPP4/FABP5/GAA/GALNS/GPI/GRN/GUSB/HLA-B/HSPA8/IDH1/IMPDH1/IMPDH2/IST1/ITGAV/KCNAB2/LAMP1/LAMP2/MGST1/NAPRT/NCSTN/NME2/NPC2/NRAS/PA2G4/PAFAH1B2/PDXK/PGAM1/PKM/PPIE/PRDX4/PSAP/PSMA5/PSMB1/PSMB7/QSOX1/RAB10/RAB14/RAB18/RAB24/RAB31/RAB4B/RAB5B/RAB5C/RAB6A/RAB7A/RAB9B/RAC1/RAP1A/RAP1B/RAP2B/RAP2C/SNAP23/SNAP29/STK10/SYNGR1/TIMP2/TOLLIP/VAMP8/YPEL5",79
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","49/822","144/5359",0.340277777777778,2.21842896728846,6.30822505385917,1.34459870317249e-08,3.41079871038089e-06,2.99586026847204e-06,"SLIT2/DAG1/FAU/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RBM8A/RBX1/ROBO1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/USP33",49
"R-HSA-9735869","SARS-CoV-1 modulates host translation machinery","18/822","33/5359",0.545454545454545,3.55607166556072,6.26876931942772,1.95487794918651e-07,4.25046319808838e-05,3.73337593303288e-05,"FAU/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA",18
"R-HSA-422475","Axon guidance","88/822","348/5359",0.252873563218391,1.64860027407221,5.3254636200646,4.11413650047301e-07,7.82714469214991e-05,6.87493862579043e-05,"CLTCL1/EPHA4/EPHA7/NEO1/NTN1/SDCBP/SLIT2/UNC5B/ADAM10/AKAP5/ALCAM/CDC42/CFL1/CLTA/CLTB/CNTN1/CSNK2A1/DAG1/EFNB3/FAU/GRB2/HSPA8/ITGA1/ITGA5/ITGAV/ITGB1/KRAS/LAMB1/LAMC1/MSN/NCSTN/NRAS/PITPNA/PSEN2/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RAC1/RBM8A/RBX1/RDX/RHOC/ROBO1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/RRAS/SDC2/SEMA4D/SHTN1/UNC5C/USP33",88
"R-HSA-376176","Signaling by ROBO receptors","53/822","179/5359",0.29608938547486,1.93034430262747,5.38837995373524,6.29475192271151e-07,0.000106451249181855,9.35009934718551e-05,"NTN1/SLIT2/AKAP5/CDC42/DAG1/FAU/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/RAC1/RBM8A/RBX1/ROBO1/RPL11/RPL12/RPL17/RPL22/RPL23A/RPL26/RPL29/RPL30/RPL31/RPL34/RPL5/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/USP33",53
"R-HSA-9007101","Rab regulation of trafficking","31/822","84/5359",0.369047619047619,2.40599293245279,5.52795402493953,8.92437470101834e-07,0.000130441601283523,0.000114572815291565,"ARF6/CHM/GABARAP/GABARAPL2/OPTN/RAB10/RAB11A/RAB11B/RAB12/RAB14/RAB18/RAB1A/RAB1B/RAB21/RAB31/RAB32/RAB35/RAB39A/RAB4A/RAB5A/RAB5B/RAB5C/RAB6A/RAB6B/RAB7A/RAB8A/RAB8B/RAB9A/RAB9B/TBC1D17/TRAPPC5",31
