"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","16/821","58/5359",0.275862068965517,1.80066361459952,2.60750935330229,0.011436750989097,0.101793771961436,0.0880724868412454,"ANAPC10/BUB3/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3",16,"cdc20:phospho-apc/c mediated degradation of cyclin a",FALSE,FALSE,FALSE,TRUE
"R-HSA-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","16/821","58/5359",0.275862068965517,1.80066361459952,2.60750935330229,0.011436750989097,0.101793771961436,0.0880724868412454,"ANAPC10/BUB3/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3",16,"apc:cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",FALSE,FALSE,FALSE,TRUE
"R-HSA-202424","Downstream TCR signaling","17/821","63/5359",0.26984126984127,1.76136341666183,2.58540735024419,0.0116817873401061,0.103370234486288,0.0894364501987318,"CDC34/MALT1/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/UBE2V1",17,"downstream tcr signaling",FALSE,FALSE,FALSE,TRUE
"R-HSA-450531","Regulation of mRNA stability by proteins that bind AU-rich elements","19/821","73/5359",0.26027397260274,1.69891378706222,2.55718498493041,0.0118611093026551,0.104114034366502,0.090079989620647,"HSPA8/HSPB1/PSMA1/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME3/SET/YWHAB/YWHAZ",19,"regulation of mrna stability by proteins that bind au-rich elements",FALSE,FALSE,FALSE,TRUE
"R-HSA-9705683","SARS-CoV-2-host interactions","34/821","152/5359",0.223684210526316,1.46007756907494,2.44737067809522,0.0124729274540417,0.104114034366502,0.090079989620647,"CNBP/GJA1/HLA-A/IFNAR1/UVRAG/CAV1/FAU/GEMIN2/HLA-B/RAE1/RPS10/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS18/RPS2/RPS20/RPS21/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS7/RPSA/SAR1B/SMN2/SNRPE/UBE2V1/YWHAB/YWHAG/YWHAZ",34,"sars-cov-2-host interactions",FALSE,FALSE,FALSE,TRUE
"R-HSA-8979227","Triglyceride metabolism","6/821","14/5359",0.428571428571429,2.79745954410997,2.8641118548284,0.0126550534194503,0.104114034366502,0.090079989620647,"CAV1/FABP5/LPIN1/PPP1CA/PPP1CB/PPP1CC",6,"triglyceride metabolism",FALSE,FALSE,FALSE,TRUE
"R-HSA-9820960","Respiratory syncytial virus (RSV) attachment and entry","6/821","14/5359",0.428571428571429,2.79745954410997,2.8641118548284,0.0126550534194503,0.104114034366502,0.090079989620647,"GPC3/NCL/RAB5A/RAB5B/RAB5C/SDC2",6,"respiratory syncytial virus (rsv) attachment and entry",FALSE,FALSE,FALSE,TRUE
"R-HSA-112412","SOS-mediated signalling","3/821","4/5359",0.75,4.89555420219245,3.31482188099934,0.0126957850580248,0.104114034366502,0.090079989620647,"GRB2/KRAS/NRAS",3,"sos-mediated signalling",FALSE,FALSE,FALSE,TRUE
"R-HSA-194313","VEGF ligand-receptor interactions","3/821","4/5359",0.75,4.89555420219245,3.31482188099934,0.0126957850580248,0.104114034366502,0.090079989620647,"FLT1/PGF/VEGFB",3,"vegf ligand-receptor interactions",FALSE,FALSE,FALSE,TRUE
"R-HSA-195399","VEGF binds to VEGFR leading to receptor dimerization","3/821","4/5359",0.75,4.89555420219245,3.31482188099934,0.0126957850580248,0.104114034366502,0.090079989620647,"FLT1/PGF/VEGFB",3,"vegf binds to vegfr leading to receptor dimerization",FALSE,FALSE,FALSE,TRUE
"R-HSA-3065676","SUMO is conjugated to E1 (UBA2:SAE1)","3/821","4/5359",0.75,4.89555420219245,3.31482188099934,0.0126957850580248,0.104114034366502,0.090079989620647,"SAE1/SUMO2/SUMO3",3,"sumo is conjugated to e1 (uba2:sae1)",FALSE,FALSE,FALSE,TRUE
