"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
"R-HSA-109582","Hemostasis","32/367","296/5397",0.108108108108108,1.58980779144267,2.81912095133214,0.00542116187432813,0.10134253626295,0.0934000391667274,"CD84/ENDOD1/GNB2/ORAI1/PRKACG/SERPIND1/TUBA4A/ATP2A2/CABLES1/CD109/DAGLB/DGKE/FYN/GNA11/GNAI3/GNB1/GNB4/KIF16B/MFN2/PPP2R1B/PPP2R5B/PRKACA/PRKACB/PRKCE/SLC16A1/SLC7A5/SLC7A6/SLC7A8/SYK/VAV2/VPS45/WEE1",32,"hemostasis",FALSE,FALSE,FALSE,TRUE
"R-HSA-9664323","FCGR3A-mediated IL10 synthesis","5/367","18/5397",0.277777777777778,4.08492279745686,3.54090920190231,0.00578848195971721,0.104067178727512,0.0959111438054061,"PRKACG/FYN/PRKACA/PRKACB/SYK",5,"fcgr3a-mediated il10 synthesis",FALSE,FALSE,FALSE,TRUE
"R-HSA-437239","Recycling pathway of L1","7/367","33/5397",0.212121212121212,3.11939559078524,3.29844784896754,0.00579413331343133,0.104067178727512,0.0959111438054061,"RPS6KA4/TUBA4A/AP2A1/AP2M1/CLTC/DNM3/RPS6KA5",7,"recycling pathway of l1",FALSE,FALSE,FALSE,TRUE
"R-HSA-112315","Transmission across Chemical Synapses","14/367","98/5397",0.142857142857143,2.1008174386921,2.97040993677386,0.00605784703028104,0.106711305379566,0.0983480428802711,"GNB2/PRKACG/TUBA4A/AP2A1/AP2M1/CACNB3/GLS/GNAI3/GNB1/GNB4/NBEA/PRKACA/PRKACB/PRKAG1",14,"transmission across chemical synapses",FALSE,FALSE,FALSE,TRUE
"R-HSA-112316","Neuronal System","16/367","119/5397",0.134453781512605,1.97723994229845,2.91155505893729,0.00630848943449846,0.107970872607129,0.0995088943127071,"GNB2/PRKACG/TUBA4A/AP2A1/AP2M1/CACNB3/FLOT2/GLS/GNAI3/GNB1/GNB4/LRFN1/NBEA/PRKACA/PRKACB/PRKAG1",16,"neuronal system",FALSE,FALSE,FALSE,TRUE
"R-HSA-390466","Chaperonin-mediated protein folding","9/367","51/5397",0.176470588235294,2.59512742426671,3.0913701041087,0.00667837426756569,0.107970872607129,0.0995088943127071,"GNB2/TUBA4A/CCT6A/CCT7/GNA11/GNB1/GNB4/STAT3/TCP1",9,"chaperonin-mediated protein folding",FALSE,FALSE,FALSE,TRUE
"R-HSA-177504","Retrograde neurotrophin signalling","4/367","12/5397",0.333333333333333,4.90190735694823,3.65476732099554,0.00671871150502879,0.107970872607129,0.0995088943127071,"AP2A1/AP2M1/CLTC/DNM3",4,"retrograde neurotrophin signalling",FALSE,FALSE,FALSE,TRUE
"R-HSA-418592","ADP signalling through P2Y purinoceptor 1","4/367","12/5397",0.333333333333333,4.90190735694823,3.65476732099554,0.00671871150502879,0.107970872607129,0.0995088943127071,"GNB2/GNA11/GNB1/GNB4",4,"adp signalling through p2y purinoceptor 1",FALSE,FALSE,FALSE,TRUE
"R-HSA-5099900","WNT5A-dependent internalization of FZD4","4/367","12/5397",0.333333333333333,4.90190735694823,3.65476732099554,0.00671871150502879,0.107970872607129,0.0995088943127071,"WNT5A/AP2A1/AP2M1/CLTC",4,"wnt5a-dependent internalization of fzd4",FALSE,FALSE,FALSE,TRUE
"R-HSA-425393","Transport of inorganic cations/anions and amino acids/oligopeptides","7/367","34/5397",0.205882352941176,3.02764866164449,3.20341552103671,0.00688072336112995,0.108667975841294,0.10015136362298,"SLC12A2/SLC25A1/SLC6A15/SLC7A5/SLC7A6/SLC7A8/SLC9A6",7,"transport of inorganic cations/anions and amino acids/oligopeptides",FALSE,FALSE,FALSE,TRUE
"R-HSA-9013026","RHOB GTPase cycle","9/367","53/5397",0.169811320754717,2.49719808750193,2.95848235804842,0.00862895109944326,0.133968122154068,0.123468666935834,"OPHN1/RTKN/ABR/FLOT2/IQGAP3/JUP/TFRC/VANGL1/VAV2",9,"rhob gtpase cycle",FALSE,FALSE,FALSE,TRUE
"R-HSA-446193","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","8/367","46/5397",0.173913043478261,2.55751688188603,2.8653601267145,0.0112786129893109,0.1666625605884,0.153600751082391,"ALG1/ALG11/ALG2/ALG3/ALG5/ALG8/ALG9/GNE",8,"biosynthesis of the n-glycan precursor (dolichol lipid-linked oligosaccharide, llo) and transfer to a nascent protein",FALSE,FALSE,FALSE,TRUE
"R-HSA-5619115","Disorders of transmembrane transporters","13/367","95/5397",0.136842105263158,2.01236196758927,2.68882645386032,0.0114443381039548,0.1666625605884,0.153600751082391,"ABCA3/DERL1/DERL2/ERLIN1/NUP37/NUP93/POM121/PSMD2/PSMD3/PSMD6/SLC16A1/SLC2A1/SLC9A6",13,"disorders of transmembrane transporters",FALSE,FALSE,FALSE,TRUE
"R-HSA-112040","G-protein mediated events","6/367","29/5397",0.206896551724138,3.04256318707131,2.97888169582277,0.0118271895777417,0.1666625605884,0.153600751082391,"PRKACG/GNA11/GNAI3/NBEA/PRKACA/PRKACB",6,"g-protein mediated events",FALSE,FALSE,FALSE,TRUE
"R-HSA-193648","NRAGE signals death through JNK","6/367","29/5397",0.206896551724138,3.04256318707131,2.97888169582277,0.0118271895777417,0.1666625605884,0.153600751082391,"MAPK8/ABR/ARHGEF26/FGD1/TIAM1/VAV2",6,"nrage signals death through jnk",FALSE,FALSE,FALSE,TRUE
