"Gene","name","ID","Pathway","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered"
"KRTCAP2","KRTCAP2","Q8N6L1","ER-associated",-3.69,0.605,1.62
"SEC61A1","SEC61A1","P61619","ER-associated",-1.36,0.209,0.224
"PDIA5","PDIA5","Q14554","ER-associated",-0.645,0.0292,0.46
"DNAJC10","DNAJC10","Q8IXB1","ER-associated",-0.883,0.0119,0.313
"STT3B","STT3B","Q8TCJ2","ER-associated",-0.748,0.112,0.297
"STT3A","STT3A","P46977","ER-associated",-1.14,-0.145,0.341
"DDOST","DDOST","P39656","ER-associated",-0.838,-0.219,0.134
"RPN1","RPN1","P04843","ER-associated",-1.01,-0.158,0.0981
"RPN2","RPN2","P04844","ER-associated",-0.99,-0.0558,-0.0329
"MAN1A1","MAN1A1","P33908","ER-associated",-0.351,0.847,0.27
"SEC23A","SEC23A","Q15436","ER-associated",-0.542,0.38,-0.172
"SEC23B","SEC23B","Q15437","ER-associated",-0.783,0.262,-0.208
"RRBP1","RRBP1","Q9P2E9","ER-associated",0.914,-0.945,-0.449
"DNAJB14","DNAJB14","Q8TBM8","ER-associated",0.945,-0.601,-0.119
"DNAJC9","DNAJC9","Q8WXX5","ER-associated",1.05,-0.531,-0.302
"DAD1","DAD1","P61803","ER-associated",0.994,-0.194,-0.189
"DNAJB1","DNAJB1","P25685","ER-associated",0.961,0.0354,0.0841
"DNAJA2","DNAJA2","O60884","ER-associated",0.828,-0.171,0.331
"DNAJB12","DNAJB12","Q9NXW2","ER-associated",0.851,-0.403,0.261
"DNAJB6","DNAJB6","O75190","ER-associated",0.559,-0.13,0.191
"DNAJB9","DNAJB9","Q9UBS3","ER-associated",0.545,-0.148,-0.0571
"OSTC","OSTC","Q9NRP0","ER-associated",-0.306,0.0818,-0.169
"SEC31A","SEC31A","O94979","ER-associated",0.0573,0.0213,-0.415
"CKAP4","CKAP4","Q07065","ER-associated",-0.172,-0.707,0.146
"DNAJC1","DNAJC1","Q96KC8","ER-associated",0.354,-0.639,-0.0534
"EIF2AK3","EIF2AK3","Q9NZJ5","ER-associated",0.583,0.373,0.255
"SEC13","SEC13","P55735","ER-associated",0.748,0.23,0.249
"DNAJC11","DNAJC11","Q9NVH1","ER-associated",0.464,0.24,0.761
"PDIA6","PDIA6","Q15084","ER-associated",0.325,0.313,0.582
"SEC61B","SEC61B","P60468","ER-associated",0.616,-0.041,0.503
"DNAJA3","DNAJA3","Q96EY1","ER-associated",0.552,-0.0324,0.762
"GANAB","GANAB","Q14697","ER-associated",0.619,0.12,0.635
"PDIA3","PDIA3","P30101","ER-associated",0.571,0.0807,0.708
"MAGT1","MAGT1","Q9H0U3","ER-associated",-0.414,0.0742,0.224
"MOGS","MOGS","Q13724","ER-associated",-0.454,-0.026,0.39
"PREB","PREB","Q9HCU5","ER-associated",-0.32,-0.265,0.462
"SIL1","SIL1","Q9H173","ER-associated",-0.181,-0.248,0.165
"HYOU1","HYOU1","Q9Y4L1","ER-associated",0.05,0.374,0.626
"MAN1B1","MAN1B1","Q9UKM7","ER-associated",-0.0441,0.362,0.34
"PDIA4","PDIA4","P13667","ER-associated",0.00869,-0.0412,0.356
"SEC63","SEC63","Q9UGP8","ER-associated",0.0466,0.0391,0.697
"LMAN1","LMAN1","P49257","ER-associated",0.115,0.0345,0.554
"LMAN2","LMAN2","Q12907","ER-associated",1.88,-0.349,1.33
"CALR","CALR","P27797","ER-associated",2.18,0.422,1.53
"CANX","CANX","P27824","ER-associated",1.57,0.443,1.43
"PRKCSH","PRKCSH","P14314","ER-associated",1.81,0.381,1.42
"DNAJA1","DNAJA1","P31689","ER-associated",1.7,-0.423,0.402
"SEC61G","SEC61G","P60059","ER-associated",1.69,-0.0688,0.14
"SEC62","SEC62","Q99442","ER-associated",0.941,0.0817,0.938
"DNAJB11","DNAJB11","Q9UBS4","ER-associated",1.41,-0.175,0.999
"LMAN2L","LMAN2L","Q9H0V9","ER-associated",1.5,0.118,1.1
"DNAJB4","DNAJB4","Q9UDY4","ER-associated",1.25,0.223,0.328
"SAR1B","SAR1B","Q9Y6B6","ER-associated",1.44,0.408,0.795
"TMEM258","TMEM258","P61165","ER-associated",1.44,0.128,0.635
"DNAJB2","DNAJB2","P25686","ER-associated",1.69,0.212,0.712
