name,ID,log2fc_100uM_vs_vehicle,log2fc_200uM_vs_vehicle,padj_100uM_vs_vehicle,padj_200uM_vs_vehicle,call_100uM,call_200uM,direction_class,significant_either_dose,combined_abs_log2fc
ABCA3,Q99758,1.55,2.69,0.00830908347508824,1.6692929158032e-4,up,up,Up in both,TRUE,4.24
ABCB10,Q9NRK6,0.703,1.61,0.0314667176215237,1.3078403025677e-4,ns,up,200uM up only,TRUE,2.313
ABCB6,Q9NP58,-0.785,-0.172,0.464684544007689,0.894954051998303,ns,ns,Not significant,FALSE,0.9570000000000001
ABHD5,Q8WTS1,-1.62,-1.46,0.1173223405589,0.180416347463281,ns,ns,Not significant,FALSE,3.08
ACE2,Q9BYF1,1.54,3.34,0.442834615644397,0.115014091174064,ns,ns,Not significant,FALSE,4.88
ACOT13,Q9NPJ3,-0.44,0.652,0.0561762763714053,0.0104965449967208,ns,ns,Not significant,FALSE,1.092
ACTMAP,Q5BKX5,3.53,3.26,5.89071935583395e-10,1.26044290496956e-9,up,up,Up in both,TRUE,6.789999999999999
ADAM9,Q13443,-0.41,0.21,0.143038403562861,0.488578232519372,ns,ns,Not significant,FALSE,0.62
ADAMTS1,Q9UHI8,0.151,0.058,0.447809179230105,0.804730039339186,ns,ns,Not significant,FALSE,0.209
ADD1,P35611,0.403,-0.159,0.0149055959099953,0.340993400750866,ns,ns,Not significant,FALSE,0.562
ADGRG6,Q86SQ4,-0.793,0.0567,0.510159026476689,0.972190060676321,ns,ns,Not significant,FALSE,0.8497
AGA,P20933,-1.57,-1,0.0114214519346383,0.106016677989121,ns,ns,Not significant,FALSE,2.5700000000000003
AHDC1,Q5TGY3,-0.126,0.379,0.618213353542806,0.146669299261035,ns,ns,Not significant,FALSE,0.505
AIFM2,Q9BRQ8,-2.17,-2.03,0.0684007932743612,0.105655671893485,ns,ns,Not significant,FALSE,4.199999999999999
AIRIM,Q9NX04,-1.15,-0.886,0.0278380167093849,0.0992798404193555,ns,ns,Not significant,FALSE,2.036
AKAP7,Q9P0M2,-2.44,-2.38,0.197551357565685,0.239974362075722,ns,ns,Not significant,FALSE,4.82
AKIRIN2,Q53H80,-1.81,-1.74,4.2798756919527e-4,5.1666442969837e-4,down,down,Down in both,TRUE,3.55
ALDH18A1,P54886,1.15,1.83,0.0108233494766831,5.7208262740759e-4,ns,up,200uM up only,TRUE,2.98
ALDH1L2,Q3SY69,0.0383,0.0586,0.85514213051277,0.799776084482511,ns,ns,Not significant,FALSE,0.0969
ALG1,Q9BT22,2.9,3.08,5.49182224235359e-7,1.89790347738924e-7,up,up,Up in both,TRUE,5.98
ALKBH8,Q96BT7,2.44,-0.626,0.210297170748716,NA,ns,ns,Not significant,FALSE,3.066
AMFR,Q9UKV5,0.352,0.579,0.0750751897912558,0.00867692348382106,ns,ns,Not significant,FALSE,0.9309999999999999
