"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0006561","proline biosynthetic process",4,4,0.336,2.755,2.755,0.000478930955326174,3.31972709176743,1,0.00782566920467605,0.0657470598059018,"PYCR3,ALDH18A1,PYCR2,PYCR1","25846,9722,30262,9721"
NA,"Direct GO Biological Processes","GO:0010606","positive regulation of cytoplasmic mRNA processing body assembly",4,4,0.336,2.755,2.755,0.000478930955326174,3.31972709176743,1,0.00782566920467605,0.0657470598059018,"CNOT2,PAN3,PAN2,CNOT1","7878,29991,20074,7877"
NA,"Direct GO Biological Processes","GO:0035434","copper ion transmembrane transport",4,4,0.336,2.755,2.755,0.000478930955326174,3.31972709176743,1,0.00782566920467605,0.0657470598059018,"SLC39A11,SLC31A1,SLC46A3,SLC11A2","14463,11016,27501,10908"
NA,"Direct GO Biological Processes","GO:0015760","glucose-6-phosphate transport",3,3,0.252,2.755,2.755,0.00324094067834684,2.48932891815088,1,0.0287317436023656,0.241388642369885,"SLC37A4,SLC37A3,G6PC3","4061,20651,24861"
NA,"Direct GO Biological Processes","GO:0031281","positive regulation of cyclase activity",3,3,0.252,2.755,2.755,0.00324094067834684,2.48932891815088,1,0.0287317436023656,0.241388642369885,"MAPK3,MAPK8,MAPK14","6877,6881,6876"
NA,"Direct GO Biological Processes","GO:0038110","interleukin-2-mediated signaling pathway",3,3,0.252,2.755,2.755,0.00324094067834684,2.48932891815088,1,0.0287317436023656,0.241388642369885,"PRKACA,STAT3,JAK1","9380,11364,6190"
NA,"Direct GO Biological Processes","GO:0038113","interleukin-9-mediated signaling pathway",3,3,0.252,2.755,2.755,0.00324094067834684,2.48932891815088,1,0.0287317436023656,0.241388642369885,"STAT3,JAK1,STAT1","11364,6190,11362"
NA,"Direct GO Biological Processes","GO:0052651","monoacylglycerol catabolic process",3,3,0.252,2.755,2.755,0.00324094067834684,2.48932891815088,1,0.0287317436023656,0.241388642369885,"ABHD12,ABHD6,ABHD16A","15868,21398,13921"
NA,"Direct GO Biological Processes","GO:0140021","mitochondrial ADP transmembrane transport",3,3,0.252,2.755,2.755,0.00324094067834684,2.48932891815088,1,0.0287317436023656,0.241388642369885,"SLC25A6,SLC25A4,SLC25A5","10992,10990,10991"
NA,"Direct GO Biological Processes","GO:2001294","malonyl-CoA catabolic process",3,3,0.252,2.755,2.755,0.00324094067834684,2.48932891815088,1,0.0287317436023656,0.241388642369885,"MLYCD,NUDT8,NUDT19","7150,8055,32036"
NA,"Direct GO Biological Processes","GO:1904874","positive regulation of telomerase RNA localization to Cajal body",9,8,0.671,2.585,2.585,1.77371046601542e-06,5.75111727135558,0.00443427616503855,0.000130419887207016,0.00109571768238747,"CCT5,CCT3,CCT2,CCT6A,CCT7,CCT8,TCP1,CCT4","1618,1616,1615,1620,1622,1623,11655,1617"
NA,"Direct GO Biological Processes","GO:1904871","positive regulation of protein localization to Cajal body",10,8,0.671,2.433,2.433,7.70985145993466e-06,5.11295398910237,0.0192746286498367,0.000401554763538264,0.00337364695123065,"CCT6A,CCT7,CCT8,TCP1,CCT4,CCT5,CCT3,CCT2","1620,1622,1623,11655,1617,1618,1616,1615"
NA,"Direct GO Biological Processes","GO:0019370","leukotriene biosynthetic process",5,4,0.336,2.433,2.433,0.0021117610662878,2.67535522130057,1,0.0218157134947087,0.183283880564232,"MGST3,LTA4H,SYK,MGST2","7064,6710,11491,7063"
