"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-9735869","SARS-CoV-1 modulates host translation machinery",32,32,1.067,1.424,1.424,1.73332419693497e-14,13.7611202002567,4.33331049233743e-11,9.84843293713053e-13,8.27412317562608e-12,"RPS13,RPS20,RPS29,RPS5,RPS15A,RPS24,RPSA,RPS8,RPS18,RPS27,RPS3A,RPS11,RPS14,RPS21,RPS27L,RPS6,RPS16,RPS25,RPS2,RPS9,RPS12,RPS19,RPS28,RPS4X,RPS15,RPS23,FAU,RPS7,RPS17,RPS26,RPS3,RPS10","10386,10405,10419,10426,10389,10411,6502,10441,10401,10416,10421,10384,10387,10409,18476,10429,10396,10413,10404,10442,10385,10402,10418,10424,10388,10410,3597,10440,10397,10414,10420,10383"
NA,"PANTHER Pathway H.sap","P04375","5HT3 type receptor mediated signaling pathway",6,6,0.2,1.424,1.424,0.00267246910132705,2.57308730733555,1,0.0314966510014666,0.264617905883586,"STX3,SNAP23,VAMP2,VAMP3,VAMP8,SNAP29","11438,11131,12643,12644,12647,11133"
NA,"REACTOME pathway","R-HSA-156902","Peptide chain elongation",80,75,2.5,1.331,1.331,1e-25,25,2.5e-22,3.125e-23,2.62545676950765e-22,"RPL23,RPS7,RPS15,RPS23,RPL30,RPL37,RPL7,RPL18,RPS26,RPL36,RPS3,RPS10,RPS17,RPL31,RPL36A,RPSA,RPL10,RPL22,RPS29,RPL10L,RPS5,RPS13,RPS20,RPL35A,RPLP2,RPL5,RPL15,RPL26,RPL35,RPS8,RPS15A,RPS24,RPL27A,RPL37A,RPL7A,RPL19,RPS27,RPS27L,RPS3A,RPS11,RPS18,RPL32,RPLP0,RPL3,RPL12,RPL23A,RPL14,RPL22L1,RPS6,RPS14,RPS21,RPL36AL,RPL6,RPL17,RPL27,RPS25,RPL13A,RPS2,RPS9,RPS16,RPL29,RPL38,FAU,RPL8,RPL21,RPS28,RPL26L1,RPS4X,RPS12,RPS19,RPL34,RPLP1,RPL4,RPL13,RPL24","10316,10440,10388,10410,10333,10347,10363,10310,10414,13631,10420,10383,10397,10334,10359,6502,10298,10315,10419,17976,10426,10386,10405,10345,10377,10360,10306,10327,10344,10441,10389,10411,10329,10348,10364,10312,10416,18476,10421,10384,10401,10336,10371,10332,10302,10317,10305,27610,10429,10387,10409,10346,10362,10307,10328,10413,10304,10404,10442,10396,10331,10349,3597,10368,10313,10418,17050,10424,10385,10402,10340,10372,10353,10303,10325"
NA,"REACTOME pathway","R-HSA-72764","Eukaryotic Translation Termination",83,77,2.567,1.316,1.316,1e-25,25,2.5e-22,3.125e-23,2.62545676950765e-22,"RPL35,RPL35A,RPLP2,RPS8,RPS15A,RPS24,APEH,RPL7A,RPL19,RPL27A,RPS27L,RPL37A,RPS3A,RPS11,RPS18,RPS27,RPL3,RPL12,RPL23A,RPL14,RPL32,RPL10L,RPLP0,RPS6,RPS14,RPS21,RPL6,RPL17,RPL27,RPL13A,RPL36AL,RPS2,RPS9,RPS16,RPS25,FAU,RPL8,RPL21,RPL26L1,RPL38,RPS4X,RPS12,RPS19,RPS28,RPL29,RPL4,RPL13,RPL24,RPL23,RPL34,RPL22L1,RPLP1,RPS7,RPS15,RPS23,RPL7,RPL18,RPL30,RPL36,RPL37,RPS3,RPS10,RPS17,RPS26,RPSA,RPL10,RPL22,TRMT112,RPL36A,RPS5,RPS13,RPS20,RPS29,RPL31,RPL5,RPL15,RPL26","10344,10345,10377,10441,10389,10411,586,10364,10312,10329,18476,10348,10421,10384,10401,10416,10332,10302,10317,10305,10336,17976,10371,10429,10387,10409,10362,10307,10328,10304,10346,10404,10442,10396,10413,3597,10368,10313,17050,10349,10424,10385,10402,10418,10331,10353,10303,10325,10316,10340,27610,10372,10440,10388,10410,10363,10310,10333,13631,10347,10420,10383,10397,10414,6502,10298,10315,26940,10359,10426,10386,10405,10419,10334,10360,10306,10327"
NA,"REACTOME pathway","R-HSA-156842","Eukaryotic Translation Elongation",82,76,2.533,1.314,1.314,1e-25,25,2.5e-22,3.125e-23,2.62545676950765e-22,"RPL22,RPL31,RPL36A,RPSA,RPL10,RPS20,RPS29,RPL10L,RPS5,RPS13,RPL26,RPL35A,RPL5,RPL15,RPS24,RPL35,RPLP2,RPS8,RPS15A,RPL27A,RPL37A,EEF1B2,RPL7A,RPL19,RPS27,RPS27L,RPS3A,RPS11,RPS18,RPL23A,RPL32,RPL3,RPL12,RPS21,RPL14,RPL22L1,RPLP0,RPS6,RPS14,RPL27,RPL36AL,RPL6,RPL17,RPS25,RPL13A,RPS2,RPS9,RPS16,RPL29,RPL38,FAU,RPL8,RPL21,RPS28,RPL26L1,RPS4X,RPS12,RPS19,RPL24,RPL34,RPL4,RPL13,RPS23,RPL23,RPLP1,RPS7,RPS15,RPL30,RPL37,RPL7,RPL18,RPS26,RPL36,RPS3,RPS10,RPS17","10315,10334,10359,6502,10298,10405,10419,17976,10426,10386,10327,10345,10360,10306,10411,10344,10377,10441,10389,10329,10348,3208,10364,10312,10416,18476,10421,10384,10401,10317,10336,10332,10302,10409,10305,27610,10371,10429,10387,10328,10346,10362,10307,10413,10304,10404,10442,10396,10331,10349,3597,10368,10313,10418,17050,10424,10385,10402,10325,10340,10353,10303,10410,10316,10372,10440,10388,10333,10347,10363,10310,10414,13631,10420,10383,10397"
NA,"REACTOME pathway","R-HSA-192823","Viral mRNA Translation",81,75,2.5,1.313,1.313,1e-25,25,2.5e-22,3.125e-23,2.62545676950765e-22,"RPS14,RPL12,RPS21,RPL23A,RPL14,RPL32,RPLP0,RPS6,RPL3,RPL22L1,RPS9,RPL6,RPS16,RPL17,RPS25,RPL27,RPL13A,RPL36AL,RPS2,RPS12,RPL8,RPS19,RPL21,RPS28,RPL29,RPL38,RPS4X,FAU,RPL26L1,RPS7,RPL4,RPS15,RPL13,RPS23,RPL24,RPL23,RPL34,RPLP1,RPS10,RPL7,RPS17,RPL18,RPS26,RPL30,RPL37,RPS3,RPL36,RPS13,RPL10,RPS20,RPL22,RPS29,RPL31,RPL36A,RPS5,RPSA,RPL10L,RPS8,RPL5,RPS15A,RPL15,RPS24,RPL26,RPL35,RPL35A,RPLP2,RPS11,RPL7A,RPS18,RPL19,RPS27,RPL27A,RPL37A,RPS3A,RPS27L","10387,10302,10409,10317,10305,10336,10371,10429,10332,27610,10442,10362,10396,10307,10413,10328,10304,10346,10404,10385,10368,10402,10313,10418,10331,10349,10424,3597,17050,10440,10353,10388,10303,10410,10325,10316,10340,10372,10383,10363,10397,10310,10414,10333,10347,10420,13631,10386,10298,10405,10315,10419,10334,10359,10426,6502,17976,10441,10360,10389,10306,10411,10327,10344,10345,10377,10384,10364,10401,10312,10416,10329,10348,10421,18476"
NA,"KEGG Pathway H.sap","path:hsa03010","Ribosome",158,146,4.867,1.31,1.31,1e-25,25,2.5e-22,3.125e-23,2.62545676950765e-22,"MRPL2,RPS18,RPS26,RPS6,RPL37,MRPL38,RPL7A,MRPS17,RPS11,MRPL52,RPL24,DAP3,MRPL20,MRPL40,MRPS22,KGD4,RPL17,MRPL9,RPS20,RPS29,RPL32,RPS9,RPL4,MRPL30,RPLP1,MRPS6,RPS14,RPL21,MRPL55,RPL27A,RACK1,MRPL27,MRPS2,MRPS28,RPL12,MRPS35,MRPL15,RPS16,MRPL16,RPS24,RPS4X,RPL35A,RPL36,RPL6,MRPL51,MRPL3,MRPL48,RPL23A,RPS27L,MRPL34,MRPS10,MRPL43,RPL14,MRPL1,RPS19,RPS27,RPL30,RPS7,RPL37A,MRPL37,RPL8,MRPS16,RPS12,MRPL53,RPL26,RPL22L1,MRPL21,MRPL41,MRPS23,RPL10,MRPS18C,RPL18,MRPL13,RPS21,RPS3,RPL34,MRPL49,RPL36A,MRPL24,RPLP2,MRPL19,RPS15,RPL22,RPL26L1,RPL29,RPSA,MRPL28,MRPS7,MRPS18A,RPL13,MRPL44,MRPL10,RPS17,RPS25,RPS5,RPL36AL,MRPL39,RPL7,MRPS26,RPS10,MRPL50,MRPL23,RSL24D1,MRPL18,MRPL35,MRPS15,MRPS34,RPL15,MRPL4,RPS2,RPS28,RPL31,RPS8,RPL38,MRPL32,RPLP0,MRPS11,RPS13,MRPL54,RPL27,FAU,MRPL22,MRPL42,MRPS25,RPL11,MRPS33,RPL19,MRPL14,RPS23,RPS3A,RPL35,MRPL46,RPL5,MRPL11,MRPL12,MRPL17,RPS15A,RPL23,RPL10L,RPL3,MRPS30,MRPL33,MRPS9,MRPS18B,RPL13A,MRPL45","14056,10401,10414,10429,10347,14033,10364,14047,10384,16655,10325,2673,14478,14491,14508,16631,10307,14277,10405,10419,10336,10442,10353,14036,10372,14051,10387,10313,16686,10329,4399,14483,14495,14513,10302,16635,14054,10396,14476,10411,10424,10345,13631,10362,14044,10379,16653,10317,18476,14488,14502,14517,10305,14275,10402,10416,10333,10440,10348,14034,10368,14048,10385,16684,10327,27610,14479,14492,14509,10298,16633,10310,14278,10409,10420,10340,1176,10359,14037,10377,14052,10388,10315,17050,10331,6502,14484,14499,14515,10303,16650,14055,10397,10413,10426,10346,14027,10363,14045,10383,16654,10322,18479,14477,14489,14504,16618,10306,14276,10404,10418,10334,10441,10349,14035,10371,14050,10386,16685,10328,3597,14480,14493,14511,10301,16634,10312,14279,10410,10421,10344,1192,10360,14042,10378,14053,10389,10316,17976,10332,8769,14487,14501,14516,10304,16651"
NA,"REACTOME pathway","R-HSA-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",82,75,2.5,1.295,1.295,6.48951407624982e-25,24.1877878212126,1.62237851906246e-21,1.80264279895828e-22,1.51448343664936e-21,"RPL23,RPL37,RPS3,RPS10,RPL7,RPS17,RPL18,RPL30,RPL36,RPS26,RPL36A,RPS5,RPSA,RPS13,RPL10,RPS20,RPL22,RPL31,RPL10L,RPS29,RPL35A,RPLP2,RPS8,RPL5,RPS15A,RPL15,RPS24,RPL26,RPL35,RPL37A,RPS3A,RPS11,RPL7A,RPS18,RPL19,RPL27A,RPS27L,RPS27,RPLP0,RPS6,RPL3,RPS14,RPL12,RPS21,RPL23A,RPL32,RPL22L1,RPL14,RPL36AL,RPS2,RPS9,RPL6,RPS16,RPL17,RPS25,RPL27,RPL13A,RPL38,RPS4X,FAU,RPS12,RPL8,RPS19,RPL21,RPL29,RPL26L1,RPS28,RPL34,RPLP1,RPS7,RPL4,RPS15,RPL13,RPS23,RPL24","10316,10347,10420,10383,10363,10397,10310,10333,13631,10414,10359,10426,6502,10386,10298,10405,10315,10334,17976,10419,10345,10377,10441,10360,10389,10306,10411,10327,10344,10348,10421,10384,10364,10401,10312,10329,18476,10416,10371,10429,10332,10387,10302,10409,10317,10336,27610,10305,10346,10404,10442,10362,10396,10307,10413,10328,10304,10349,10424,3597,10385,10368,10402,10313,10331,17050,10418,10340,10372,10440,10353,10388,10303,10410,10325"
NA,"REACTOME pathway","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery",44,40,1.333,1.286,1.286,1.38087056780156e-13,12.8598470269419,3.4521764195039e-10,6.63880080673827e-12,5.57756304622844e-11,"RPS9,RPS16,RPS25,SNRPE,RPS2,RPS12,RPS19,RPS28,RPS27L,RPS4X,RPS15,RPS23,SNRPD2,FAU,RPS7,RPS10,RPS17,RPS26,SNRPF,RPS3,RPS13,RPS20,RPS29,GEMIN8,RPS5,RPS8,RPS15A,RPS24,SNRPD3,RPSA,RPS11,RPS18,RPS27,GEMIN2,RPS3A,RPS14,RPS21,SNRPD1,GEMIN6,RPS6","10442,10396,10413,11161,10404,10385,10402,10418,18476,10424,10388,10410,11159,3597,10440,10383,10397,10414,11162,10420,10386,10405,10419,26044,10426,10441,10389,10411,11160,6502,10384,10401,10416,10884,10421,10387,10409,11158,20044,10429"
NA,"REACTOME pathway","R-HSA-2024101","CS/DS degradation",11,10,0.333,1.286,1.286,0.000373138477146924,3.42812996524223,0.93284619286731,0.00561955537871873,0.0472124790741768,"IDS,CSPG4,HEXA,ARSB,IDUA,GLB1,HEXB,VCAN,GLB1L2,GUSB","5389,2466,4878,714,5391,4298,4879,2464,25129,4696"
NA,"REACTOME pathway","R-HSA-2408557","Selenocysteine synthesis",84,76,2.533,1.279,1.279,1.74170644610827e-24,23.75902504082,4.35426611527067e-21,4.35426611527066e-22,3.65821998354405e-21,"RPL24,RPL34,RPLP1,RPS7,RPL4,RPL13,RPS23,RPL14,RPL22L1,RPS15,RPL18,RPL30,RPL37,RPS3,RPL7,RPS17,RPS26,RPL13A,RPS10,RPL22,RPL31,RPL36A,RPS5,RPSA,RPL10,RPS20,RPS29,RPL26L1,RPS13,RPL26,RPL35A,RPLP2,RPL5,RPL15,RPS24,RPL23,RPS8,RPS15A,RPL19,RPL27A,RPL37A,RPS3A,RPL7A,RPS18,RPS27,RPL36,RPS11,RPL23A,RPL32,RPLP0,RPS6,RPL3,RPL12,RPS21,SARS1,RPL10L,RPS14,RPL27,RPL36AL,RPS2,RPL6,RPL17,RPS25,RPL35,RPS9,RPS16,RPL21,RPL29,RPL38,RPS4X,FAU,RPL8,RPS19,RPS28,RPS27L,RPS12","10325,10340,10372,10440,10353,10303,10410,10305,27610,10388,10310,10333,10347,10420,10363,10397,10414,10304,10383,10315,10334,10359,10426,6502,10298,10405,10419,17050,10386,10327,10345,10377,10360,10306,10411,10316,10441,10389,10312,10329,10348,10421,10364,10401,10416,13631,10384,10317,10336,10371,10429,10332,10302,10409,10537,17976,10387,10328,10346,10404,10362,10307,10413,10344,10442,10396,10313,10331,10349,10424,3597,10368,10402,10418,18476,10385"
NA,"REACTOME pathway","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",83,75,2.5,1.278,1.278,4.29529285842732e-24,23.3670072200835,1.07382321460683e-20,9.76202922369845e-22,8.20153142703701e-21,"RPL22L1,RPLP0,RPS6,RPS14,RPS21,RPL14,RPL32,RPL6,RPL17,RPL27,RPS2,RPS9,RPS16,RPS25,RPL13A,RPL36AL,FAU,RPL8,RPL21,RPL29,RPL26L1,RPL38,RPS4X,RPS12,RPS19,RPS28,RPL4,RPL13,RPL24,RPLP1,RPS7,RPS15,RPS23,RPL23,RPL34,RPL7,RPL18,RPL30,RPL36,RPL37,RPS3,RPS10,RPS17,RPS26,RPSA,RPL10,RPL22,RPL10L,RPL36A,RPS5,RPS13,RPS20,RPS29,RPL31,RPL5,RPL15,RPL26,RPLP2,RPS8,RPS15A,RPS24,RPL35,RPL35A,RPL7A,RPL19,RPL27A,RPS27L,RPL37A,RPS3A,RPS11,RPS18,RPS27,RPL3,RPL12,RPL23A","27610,10371,10429,10387,10409,10305,10336,10362,10307,10328,10404,10442,10396,10413,10304,10346,3597,10368,10313,10331,17050,10349,10424,10385,10402,10418,10353,10303,10325,10372,10440,10388,10410,10316,10340,10363,10310,10333,13631,10347,10420,10383,10397,10414,6502,10298,10315,17976,10359,10426,10386,10405,10419,10334,10360,10306,10327,10377,10441,10389,10411,10344,10345,10364,10312,10329,18476,10348,10421,10384,10401,10416,10332,10302,10317"
