"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0048179","activin receptor complex",5,4,0.329,2.404,2.404,0.00228834256464245,2.64047896117375,1,0.0421300856926557,0.353954299781506,"ACVR2B,ACVR1B,TGFBR1,ACVR2A","174,172,11772,173"
NA,"Direct GO Cellular Component","GO:0000796","condensin complex",8,5,0.411,2.047,2.047,0.00294336307665476,2.53115616248011,1,0.046868838800235,0.393766752342528,"NCAPG,SMC2,NCAPD2,NCAPD3,SMC4","24304,14011,24305,28952,14013"
NA,"Direct GO Cellular Component","GO:0160226","oligosaccharyltransferase complex A",8,5,0.411,2.047,2.047,0.00294336307665476,2.53115616248011,1,0.046868838800235,0.393766752342528,"RPN1,DDOST,RPN2,STT3A,KRTCAP2","10381,2728,10382,6172,28942"
NA,"Direct GO Cellular Component","GO:0031390","Ctf18 RFC-like complex",7,4,0.329,1.918,1.918,0.0124160448786491,1.90601672629574,1,0.0886860348474933,0.745092321763657,"RFC5,RFC2,CHTF18,RFC3","9973,9970,18435,9971"
NA,"Direct GO Cellular Component","GO:0160227","oligosaccharyltransferase complex B",7,4,0.329,1.918,1.918,0.0124160448786491,1.90601672629574,1,0.0886860348474933,0.745092321763657,"RPN2,DDOST,STT3B,RPN1","10382,2728,30611,10381"
NA,"Direct GO Cellular Component","GO:0042564","NLS-dependent protein nuclear import complex",9,5,0.411,1.877,1.877,0.00580130687116268,2.23647416109201,1,0.0659387872359538,0.553982193029631,"KPNA6,KPNA5,KPNA1,MYBBP1A,KPNA2","6399,6398,6394,7546,6395"
NA,"Direct GO Cellular Component","GO:0045275","respiratory chain complex III",9,5,0.411,1.877,1.877,0.00580130687116268,2.23647416109201,1,0.0659387872359538,0.553982193029631,"CYC1,UQCRQ,UQCRC1,BCS1L,UQCRC2","2579,29594,12585,1020,12586"
NA,"Direct GO Cellular Component","GO:0008250","oligosaccharyltransferase complex",11,6,0.493,1.851,1.851,0.00274982085378264,2.56069559880535,1,0.046868838800235,0.393766752342528,"KRTCAP2,RPN1,STT3B,DDOST,RPN2,STT3A","28942,10381,30611,2728,10382,6172"
NA,"Direct GO Cellular Component","GO:0045259","proton-transporting ATP synthase complex",14,7,0.575,1.725,1.725,0.00229187666168047,2.63980875781846,1,0.0421300856926557,0.353954299781506,"ATP5F1B,ATP5PO,ATP5F1C,ATP5MF,ATP5F1A,ATP5PB,ATP5MG","830,850,833,848,823,840,14247"
NA,"Direct GO Cellular Component","GO:0005798","Golgi-associated vesicle",10,5,0.411,1.725,1.725,0.0101701218477821,1.99267384378302,1,0.0858962993900516,0.721654466269654,"CHIC2,COPB1,VPS41,SCFD1,MAP6D1","1935,2231,12713,20726,25753"
