"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0006144","purine nucleobase metabolic process",4,4,0.217,2.125,2.125,0.00275377418033011,2.56007167637306,1,0.0353047971837194,0.29661190003869,"ADK,GMPR2,GMPR,PRPS1","257,4377,4376,9462"
NA,"Direct GO Biological Processes","GO:0032324","molybdopterin cofactor biosynthetic process",4,4,0.217,2.125,2.125,0.00275377418033011,2.56007167637306,1,0.0353047971837194,0.29661190003869,"MOCOS,MOCS2,GPHN,MOCS1","18234,7193,15465,7190"
NA,"Direct GO Biological Processes","GO:0043605","amide catabolic process",4,4,0.217,2.125,2.125,0.00275377418033011,2.56007167637306,1,0.0353047971837194,0.29661190003869,"NIT1,NT5C2,ADA,NT5C","7828,8022,186,17144"
NA,"Direct GO Biological Processes","GO:0051694","pointed-end actin filament capping",4,4,0.217,2.125,2.125,0.00275377418033011,2.56007167637306,1,0.0353047971837194,0.29661190003869,"TMOD3,TMOD1,TMOD2,LMOD1","11873,11871,11872,6647"
NA,"Direct GO Biological Processes","GO:2000813","negative regulation of barbed-end actin filament capping",4,4,0.217,2.125,2.125,0.00275377418033011,2.56007167637306,1,0.0353047971837194,0.29661190003869,"CRACD,CARMIL2,CARMIL1,WASHC2C","29219,27089,21581,23414"
NA,"Direct GO Biological Processes","GO:0051036","regulation of endosome size",9,8,0.434,1.955,1.955,5.40268198118258e-05,4.26739059564466,0.135067049529564,0.00232874223326835,0.0195648385944729,"SNAPIN,BORCS5,BLOC1S1,CHMP3,BORCS7,RAB5A,KXD1,BLOC1S2","17145,17950,4200,29865,23516,9783,28420,20984"
NA,"Direct GO Biological Processes","GO:0062196","regulation of lysosome size",7,6,0.325,1.903,1.903,0.000811270098746954,3.09083453066397,1,0.0149130532857896,0.125291445450255,"BORCS7,KXD1,BLOC1S2,BLOC1S1,BORCS5,SNAPIN","23516,28420,20984,4200,17950,17145"
NA,"Direct GO Biological Processes","GO:0000255","allantoin metabolic process",5,4,0.217,1.803,1.803,0.0112482005394441,1.94891694940128,1,0.0921983650774107,0.774601029536083,"DNPH1,NT5C2,ADA,NT5C","21218,8022,186,17144"
NA,"Direct GO Biological Processes","GO:0006015","5-phosphoribose 1-diphosphate biosynthetic process",5,4,0.217,1.803,1.803,0.0112482005394441,1.94891694940128,1,0.0921983650774107,0.774601029536083,"PRPSAP1,PRPS1,PRPSAP2,PRPS2","9466,9462,9467,9465"
NA,"Direct GO Biological Processes","GO:0031274","positive regulation of pseudopodium assembly",5,4,0.217,1.803,1.803,0.0112482005394441,1.94891694940128,1,0.0921983650774107,0.774601029536083,"CDC42EP1,APC,CDC42EP4,CDC42","17014,583,17147,1736"
