"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-5625970","RHO GTPases activate KTN1",6,5,0.292,1.972,1.972,0.00212820513446195,2.67198651337362,1,0.0328426718281165,0.27592644825551,"KLC4,KIF5B,RHOA,KLC2,KIF5A","21624,6324,667,20716,6323"
NA,"KEGG Pathway H.sap","md:hsa_M00154","Cytochrome c oxidase",12,9,0.526,1.82,1.82,0.000101389309555148,3.99400783441064,0.253473273887869,0.00378318319235625,0.0317842685525098,"COX6A1,COX7A2L,COX5A,COX6B1,COX17,COX7C,COX5B,COX7A2,COX4I1","2277,2289,2267,2280,2264,2292,2269,2288,2265"
NA,"REACTOME pathway","R-HSA-5627117","RHO GTPases Activate ROCKs",12,8,0.468,1.65,1.65,0.000884429325513667,3.05333686571158,1,0.0193953799454752,0.162949541040066,"MYH14,CFL1,PAK1,RHOA,MYH9,ROCK2,RHOB,PPP1R12A","23212,1874,8590,667,7579,10252,668,7618"
NA,"REACTOME pathway","R-HSA-5627123","RHO GTPases activate PAKs",9,6,0.351,1.65,1.65,0.00421722846129117,2.3749728711714,1,0.0551993254095703,0.463755016220199,"PPP1R12A,MYH14,CTTN,PAK1,MYH9,PAK2","7618,23212,3338,8590,7579,8591"
NA,"REACTOME pathway","R-HSA-1296041","Activation of G protein gated Potassium channels",6,4,0.234,1.65,1.65,0.0210464904612099,1.67682031314911,1,0.160905890376222,1,"GNG4,GNG12,GNG5,GNG7","4407,19663,4408,4410"
NA,"REACTOME pathway","R-HSA-1296059","G protein gated Potassium channels",6,4,0.234,1.65,1.65,0.0210464904612099,1.67682031314911,1,0.160905890376222,1,"GNG7,GNG4,GNG12,GNG5","4410,4407,19663,4408"
NA,"REACTOME pathway","R-HSA-1296065","Inwardly rectifying K+ channels",6,4,0.234,1.65,1.65,0.0210464904612099,1.67682031314911,1,0.160905890376222,1,"GNG4,GNG12,GNG5,GNG7","4407,19663,4408,4410"
NA,"REACTOME pathway","R-HSA-202433","Generation of second messenger molecules",6,4,0.234,1.65,1.65,0.0210464904612099,1.67682031314911,1,0.160905890376222,1,"PAK1,ENAH,PAK2,VASP","8590,18271,8591,12652"
NA,"REACTOME pathway","R-HSA-428540","Activation of RAC1",6,4,0.234,1.65,1.65,0.0210464904612099,1.67682031314911,1,0.160905890376222,1,"PAK2,ROBO1,PAK1,NCK2","8591,10249,8590,7665"
NA,"REACTOME pathway","R-HSA-8964315","G beta:gamma signalling through BTK",6,4,0.234,1.65,1.65,0.0210464904612099,1.67682031314911,1,0.160905890376222,1,"GNG4,GNG12,GNG5,GNG7","4407,19663,4408,4410"
NA,"REACTOME pathway","R-HSA-997272","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",6,4,0.234,1.65,1.65,0.0210464904612099,1.67682031314911,1,0.160905890376222,1,"GNG7,GNG4,GNG12,GNG5","4410,4407,19663,4408"
NA,"REACTOME pathway","R-HSA-9864848","Complex IV assembly",33,21,1.228,1.583,1.583,1.64060084899866e-07,6.78499706804084,0.000410150212249666,2.58056453099502e-05,0.000216805139745671,"COX4I1,COX7A2L,HIGD2A,COX6B1,HIGD1A,PET100,NDUFA4,COX19,COX5B,COX5A,SMIM20,COX7A2,COA3,PET117,SCO1,CMC1,COX6A1,COX17,COA5,COX7C,COX16","2265,2289,28311,2280,29527,40038,7687,28074,2269,2267,37260,2288,24990,40045,10603,28783,2277,2264,33848,2292,20213"
NA,"REACTOME pathway","R-HSA-162588","Budding and maturation of HIV virion",16,10,0.585,1.557,1.557,0.000410924093324025,3.38623839441368,1,0.0111664155794572,0.0938142123975091,"VPS37C,VPS4B,MVB12A,UBAP1,VPS37B,CHMP2B,CHMP4B,CHMP5,CHMP4C,VPS4A","26097,10895,25153,12461,25754,24537,16171,26942,30599,13488"
NA,"REACTOME pathway","R-HSA-175474","Assembly Of The HIV Virion",8,5,0.292,1.557,1.557,0.0135189694484514,1.86905641341726,1,0.118118203436864,0.992365557809271,"FURIN,VPS37B,UBAP1,MVB12A,VPS37C","8568,25754,12461,25153,26097"
NA,"REACTOME pathway","R-HSA-3928664","Ephrin signaling",8,5,0.292,1.557,1.557,0.0135189694484514,1.86905641341726,1,0.118118203436864,0.992365557809271,"EFNB1,PAK2,EFNB2,NCK2,PAK1","3226,8591,3227,7665,8590"
NA,"REACTOME pathway","R-HSA-418217","G beta:gamma signalling through PLC beta",8,5,0.292,1.557,1.557,0.0135189694484514,1.86905641341726,1,0.118118203436864,0.992365557809271,"GNG7,GNG4,PLCB1,GNG5,GNG12","4410,4407,15917,4408,19663"
NA,"REACTOME pathway","R-HSA-500657","Presynaptic function of Kainate receptors",8,5,0.292,1.557,1.557,0.0135189694484514,1.86905641341726,1,0.118118203436864,0.992365557809271,"GNG12,GNG7,GNG4,PLCB1,GNG5","19663,4410,4407,15917,4408"
NA,"REACTOME pathway","R-HSA-8964616","G beta:gamma signalling through CDC42",8,5,0.292,1.557,1.557,0.0135189694484514,1.86905641341726,1,0.118118203436864,0.992365557809271,"GNG5,GNG12,GNG7,GNG4,PAK1","4408,19663,4410,4407,8590"
NA,"REACTOME pathway","R-HSA-917729","Endosomal Sorting Complex Required For Transport (ESCRT)",21,13,0.76,1.543,1.543,6.20075110942205e-05,4.20755570035341,0.155018777735551,0.00262743691077205,0.0220743104762905,"VPS37C,SNF8,CHMP4C,UBAP1,HGS,VPS37B,CHMP2B,MVB12A,CHMP5,VPS4B,VPS25,VPS4A,CHMP4B","26097,17028,30599,12461,4897,25754,24537,25153,26942,10895,28122,13488,16171"
NA,"REACTOME pathway","R-HSA-1251985","Nuclear signaling by ERBB4",7,4,0.234,1.427,1.427,0.0409205298520842,1.38805875153987,1,0.235502142766263,1,"TAB2,YAP1,MXD4,STMN1","17075,16262,13906,6510"
