"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0000438","core TFIIH complex portion of holo TFIIH complex",3,3,0.629,4.077,4.077,0.00020689740565326,3.68424495504493,0.51724351413315,0.0129310878533287,0.108640038853184,"GTF2H2,GTF2H3,GTF2H4","4656,4657,4658"
NA,"Direct GO Cellular Component","GO:0005656","nuclear pre-replicative complex",2,2,0.419,4.077,4.077,0.00350505983850901,2.45530456334285,1,0.057930120213507,0.486697684073421,"ORC3,WDR18","8489,17956"
NA,"Direct GO Cellular Component","GO:0016507","mitochondrial fatty acid beta-oxidation multienzyme complex",2,2,0.419,4.077,4.077,0.00350505983850901,2.45530456334285,1,0.057930120213507,0.486697684073421,"HADHB,HADHA","4803,4801"
NA,"Direct GO Cellular Component","GO:1902495","transmembrane transporter complex",2,2,0.419,4.077,4.077,0.00350505983850901,2.45530456334285,1,0.057930120213507,0.486697684073421,"ATP5F1B,ATP5F1A","830,823"
NA,"Direct GO Cellular Component","GO:0000127","transcription factor TFIIIC complex",6,5,1.048,3.814,3.814,4.08946899322509e-06,5.38833308032611,0.0102236724830627,0.00124833632860164,0.0104878498065584,"GTF3C2,GTF3C3,GTF3C5,GTF3C1,GTF3C4","4665,4666,4668,4664,4667"
NA,"Direct GO Cellular Component","GO:0070418","DNA-dependent protein kinase complex",5,4,0.839,3.755,3.755,5.80764576792461e-05,4.23599988089737,0.145191144198115,0.00580764576792461,0.0487927132681604,"ZBTB7A,PRKDC,XRCC5,XRCC6","18078,9413,12833,4055"
NA,"Direct GO Cellular Component","GO:0005577","fibrinogen complex",3,2,0.419,3.492,3.492,0.0101013847042205,1.99561908877358,1,0.0956431122147882,0.803541940547507,"FN1,SERPINF2","3778,9075"
NA,"Direct GO Cellular Component","GO:0043564","Ku70:Ku80 complex",3,2,0.419,3.492,3.492,0.0101013847042205,1.99561908877358,1,0.0956431122147882,0.803541940547507,"XRCC6,XRCC5","4055,12833"
NA,"Direct GO Cellular Component","GO:0031089","platelet dense granule lumen",8,4,0.839,3.077,3.077,0.000704063223024116,3.15238834060552,1,0.0298331874162761,0.250642380345768,"APOH,CLEC3B,SPP2,TIMP3","616,11891,11256,11822"
NA,"Direct GO Cellular Component","GO:0035061","interchromatin granule",4,2,0.419,3.077,3.077,0.0194117455465587,1.71193541014728,1,0.124613776195115,1,"TARDBP,SMC6","11571,20466"
