"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-9639288","Amino acids regulate mTORC1",29,2,5.714,3.987,3.987,0.00692861768802013,2.15935340180181,1,0.122447316119,0.848860511176135,"ATP6V0D2,CASTOR2","18266,37073"
NA,"REACTOME pathway","R-HSA-74752","Signaling by Insulin receptor",32,2,5.714,3.845,3.845,0.00839577433440658,2.07593924310525,1,0.122447316119,0.848860511176135,"FGFR3,ATP6V0D2","3690,18266"
NA,"KEGG Pathway H.sap","path:hsa04721","Synaptic vesicle cycle",37,2,5.714,3.636,3.636,0.0111213371365166,1.95384299368027,1,0.122447316119,0.848860511176135,"CLTCL1,ATP6V0D2","2093,18266"
NA,"REACTOME pathway","R-HSA-425407","SLC-mediated transmembrane transport",58,2,5.714,2.987,2.987,0.0260781266888233,1.58372360917967,1,0.137568099505261,0.95368466185144,"SLC39A7,SLC26A11","4927,14471"
NA,"KEGG Pathway H.sap","path:hsa04020","Calcium signaling pathway",61,2,5.714,2.915,2.915,0.0286378489123886,1.54305960649563,1,0.144015520789787,0.998381119894113,"FGFR3,ORAI1","3690,25896"
NA,"REACTOME pathway","R-HSA-9755511","KEAP1-NFE2L2 pathway",76,2,5.714,2.597,2.597,0.0428357434866354,1.36819369078389,1,0.162043108584312,1,"TRIM21,NFE2L2","11312,7782"
NA,"KEGG Pathway H.sap","path:hsa04142","Lysosome",96,2,5.714,2.26,2.26,0.0649635559566114,1.18733021082866,1,0.181127867698405,1,"ATP6V0D2,CLTCL1","18266,2093"
NA,"REACTOME pathway","R-HSA-9711097","Cellular response to starvation",118,2,5.714,1.963,1.963,0.0927501053017236,1.03268558864627,1,0.216793945319069,1,"ATP6V0D2,CASTOR2","18266,37073"
NA,"REACTOME pathway","R-HSA-9711123","Cellular response to chemical stress",121,2,5.714,1.926,1.926,0.0967739210737169,1.01424166190354,1,0.219940729712993,1,"NFE2L2,TRIM21","7782,11312"
NA,"REACTOME pathway","R-HSA-382551","Transport of small molecules",242,3,8.571,1.511,1.511,0.0869278168138531,1.06084122751393,1,0.208036774370163,1,"SLC26A11,SLC39A7,ATP6V0D2","14471,4927,18266"
NA,"KEGG Pathway H.sap","path:hsa05012","Parkinson disease",175,2,5.714,1.394,1.394,0.176087288794749,0.754271993297599,1,0.299556778275091,1,"SLC39A7,NFE2L2","4927,7782"
NA,"KEGG Pathway H.sap","path:hsa04144","Endocytosis",185,2,5.714,1.314,1.314,0.191790641249715,0.71717258878564,1,0.316731466787441,1,"FGFR3,CLTCL1","3690,2093"
NA,"REACTOME pathway","R-HSA-3700989","Transcriptional Regulation by TP53",214,2,5.714,1.104,1.104,0.2382652578474,0.622939278782988,1,0.36340191846752,1,"PIDD1,PCBP4","16491,8652"
NA,"REACTOME pathway","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases",223,2,5.714,1.044,1.044,0.252860429931718,0.597119127978158,1,0.375697021216377,1,"FGFR3,ATP6V0D2","3690,18266"
NA,"REACTOME pathway","R-HSA-2262752","Cellular responses to stress",466,4,11.429,0.981,0.981,0.141806486286604,0.848303903891634,1,0.265598467800643,1,"ATP6V0D2,NFE2L2,CASTOR2,TRIM21","18266,7782,37073,11312"
NA,"KEGG Pathway H.sap","path:hsa05200","Pathways in cancer",250,2,5.714,0.88,0.88,0.296766150652203,0.527585636490422,1,0.417214025978036,1,"FGFR3,NFE2L2","3690,7782"
NA,"REACTOME pathway","R-HSA-212436","Generic Transcription Pathway",505,4,11.429,0.865,0.865,0.174193682340962,0.758967600041404,1,0.298433644899749,1,"PIDD1,ZNF627,PCBP4,ZNF71","16491,30570,8652,13141"
NA,"REACTOME pathway","R-HSA-1280218","Adaptive Immune System",381,3,8.571,0.857,0.857,0.228904774701693,0.640345148326021,1,0.355730393117496,1,"TRIM21,ORAI1,NFE2L2","11312,25896,7782"
NA,"REACTOME pathway","R-HSA-8953897","Cellular responses to stimuli",511,4,11.429,0.848,0.848,0.179402162572637,0.746172326131935,1,0.30340071611549,1,"ATP6V0D2,NFE2L2,CASTOR2,TRIM21","18266,7782,37073,11312"
NA,"REACTOME pathway","R-HSA-73857","RNA Polymerase II Transcription",601,4,11.429,0.614,0.614,0.263222942826476,0.579676259781901,1,0.388064454382546,1,"ZNF627,PCBP4,ZNF71,PIDD1","30570,8652,13141,16491"
