"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0097197","tetraspanin-enriched microdomain",5,2,2.299,5.21,5.21,0.00113080529694429,2.94661216584551,1,0.176649115642511,1,"CD81,TSPAN14","1701,23303"
NA,"Direct GO Cellular Component","GO:0009925","basal plasma membrane",27,3,3.448,3.362,3.362,0.0029578555742173,2.52902303549523,1,0.176649115642511,1,"SLC1A3,CD81,ERBB2","10941,1701,3430"
NA,"Direct GO Cellular Component","GO:0005796","Golgi lumen",30,2,2.299,2.625,2.625,0.0413125751337714,1.383917733333,1,0.180859578515352,1,"SDC4,WNT5A","10661,12784"
NA,"Direct GO Cellular Component","GO:0072562","blood microparticle",36,2,2.299,2.362,2.362,0.0574089400803752,1.24102047127371,1,0.207530932977534,1,"FN1,HSPA6","3778,5239"
NA,"Direct GO Cellular Component","GO:0035579","specific granule membrane",40,2,2.299,2.21,2.21,0.0691538317162493,1.16018375124346,1,0.224479294870053,1,"TSPAN14,CMTM6","23303,19177"
NA,"Direct GO Cellular Component","GO:0009897","external side of plasma membrane",75,3,3.448,1.888,1.888,0.0472080997124552,1.32598348105582,1,0.192300663028242,1,"CD40,ADAM9,CD84","11919,216,1704"
NA,"Direct GO Cellular Component","GO:0009986","cell surface",224,7,8.046,1.532,1.532,0.0104436501530194,1.98114768483435,1,0.176649115642511,1,"SLC1A3,ADGRG6,CD40,WNT5A,TSPAN14,SDC4,ADAM9","10941,13841,11919,12784,23303,10661,216"
NA,"Direct GO Cellular Component","GO:0005788","endoplasmic reticulum lumen",152,4,4.598,1.284,1.284,0.0819218498820453,1.08660024942863,1,0.236329154772898,1,"WNT5A,TMEM132A,FN1,TSPAN14","12784,31092,3778,23303"
NA,"Direct GO Cellular Component","GO:0016324","apical plasma membrane",130,3,3.448,1.094,1.094,0.16575045382756,0.780545273815887,1,0.320724988107944,1,"FAT1,FN1,ERBB2","3595,3778,3430"
NA,"Direct GO Cellular Component","GO:1904813","ficolin-1-rich granule lumen",91,2,2.299,1.024,1.024,0.258110458654078,0.588194397456405,1,0.411777687706078,1,"HSPA6,QPCT","5239,9753"
