"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0036018","cellular response to erythropoietin",3,2,2.299,5.947,5.947,0.000344064574616904,3.46336004066127,0.44900426987506,0.089800853975012,0.696096445194493,"CD40,MT2A","11919,7406"
NA,"Direct GO Biological Processes","GO:0060122","inner ear receptor cell stereocilium organization",9,2,2.299,4.362,4.362,0.0039578386454644,2.40254191523646,1,0.176649115642511,1,"TSKU,SDC4","28850,10661"
NA,"Direct GO Biological Processes","GO:0006283","transcription-coupled nucleotide-excision repair",12,2,2.299,3.947,3.947,0.00710479076670915,2.14844870734969,1,0.176649115642511,1,"ERCC8,ELOF1","3439,28691"
NA,"Direct GO Biological Processes","GO:0045747","positive regulation of Notch signaling pathway",19,3,3.448,3.869,3.869,0.0010429222894296,2.98174805066191,1,0.176649115642511,1,"TSPAN14,JAG2,TM2D3","23303,6189,24128"
NA,"Direct GO Biological Processes","GO:0030890","positive regulation of B cell proliferation",14,2,2.299,3.724,3.724,0.00965967173096467,2.01503763216142,1,0.176649115642511,1,"CD40,CD81","11919,1701"
NA,"Direct GO Biological Processes","GO:0002088","lens development in camera-type eye",15,2,2.299,3.625,3.625,0.0110680427887465,1.95592917055742,1,0.176649115642511,1,"WNT5A,FAT1","12784,3595"
NA,"Direct GO Biological Processes","GO:0042060","wound healing",40,5,5.747,3.532,3.532,6.41944480862707e-05,4.19250253065014,0.0837737547525833,0.0279245849175278,0.216459013853384,"WNT5A,FN1,TSKU,SDC4,ERBB2","12784,3778,28850,10661,3430"
NA,"Direct GO Biological Processes","GO:0071805","potassium ion transmembrane transport",16,2,2.299,3.532,3.532,0.0125610468347174,1.90097416508958,1,0.176649115642511,1,"TMEM38B,SLC1A3","25535,10941"
NA,"Direct GO Biological Processes","GO:0050714","positive regulation of protein secretion",17,2,2.299,3.444,3.444,0.0141367332824374,1.84965093575251,1,0.176649115642511,1,"ADAM9,IER3IP1","216,18550"
NA,"Direct GO Biological Processes","GO:0070372","regulation of ERK1 and ERK2 cascade",19,2,2.299,3.284,3.284,0.0175285077659725,1.75625505461863,1,0.176649115642511,1,"ERBB2,FN1","3430,3778"
NA,"Direct GO Biological Processes","GO:0001890","placenta development",21,2,2.299,3.139,3.139,0.0212283823571308,1.67308309863373,1,0.176649115642511,1,"ADGRG6,CUL7","13841,21024"
NA,"Direct GO Biological Processes","GO:0006952","defense response",22,2,2.299,3.072,3.072,0.0231893069461701,1.63471223083384,1,0.176649115642511,1,"CD40,CD84","11919,1704"
NA,"Direct GO Biological Processes","GO:0007259","cell surface receptor signaling pathway via JAK-STAT",23,2,2.299,3.008,3.008,0.0252218553565664,1.5982229692506,1,0.176649115642511,1,"CD40,IFNGR1","11919,5439"
NA,"Direct GO Biological Processes","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",36,3,3.448,2.947,2.947,0.00673297010978697,2.17179331352602,1,0.176649115642511,1,"CD84,PCDHGA11,FAT1","1704,8698,3595"
NA,"Direct GO Biological Processes","GO:0009612","response to mechanical stimulus",25,2,2.299,2.888,2.888,0.0294948938245393,1.5302531628615,1,0.176649115642511,1,"LRP11,MEIS2","16936,7001"
NA,"Direct GO Biological Processes","GO:0048146","positive regulation of fibroblast proliferation",25,2,2.299,2.888,2.888,0.0294948938245393,1.5302531628615,1,0.176649115642511,1,"WNT5A,FN1","12784,3778"
NA,"Direct GO Biological Processes","GO:0050679","positive regulation of epithelial cell proliferation",26,2,2.299,2.831,2.831,0.0317319897663948,1.49850269444633,1,0.176649115642511,1,"ERBB2,WNT5A","3430,12784"
NA,"Direct GO Biological Processes","GO:0046854","phosphatidylinositol phosphate biosynthetic process",27,2,2.299,2.777,2.777,0.034033920501769,1.46808801992526,1,0.180859578515352,1,"EFR3A,EFR3B","28970,29155"
NA,"Direct GO Biological Processes","GO:0030216","keratinocyte differentiation",29,2,2.299,2.674,2.674,0.0388258010660683,1.41087957500741,1,0.180859578515352,1,"WNT5A,ADAM9","12784,216"
NA,"Direct GO Biological Processes","GO:0043410","positive regulation of MAPK cascade",76,5,5.747,2.606,2.606,0.00132905195413092,2.87645804166724,1,0.176649115642511,1,"WNT5A,CD81,ADAM9,ERBB2,CD40","12784,1701,216,3430,11919"
