"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"KEGG Pathway H.sap","path:hsa05144","Malaria",7,2,2.299,4.724,4.724,0.00234145640095332,2.63051392457918,1,0.176649115642511,1,"CD40,CD81","11919,1701"
NA,"PANTHER Pathway H.sap","P00012","Cadherin signaling pathway",30,4,4.598,3.625,3.625,0.000281586499363906,3.55038817123558,0.367470381669897,0.089800853975012,0.696096445194493,"ERBB2,PCDHGA11,FAT1,WNT5A","3430,8698,3595,12784"
NA,"REACTOME pathway","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",19,2,2.299,3.284,3.284,0.0175285077659725,1.75625505461863,1,0.176649115642511,1,"CD40,CD81","11919,1701"
NA,"REACTOME pathway","R-HSA-877300","Interferon gamma signaling",24,2,2.299,2.947,2.947,0.0273242880147457,1.56345114558304,1,0.176649115642511,1,"IFNGR1,MT2A","5439,7406"
NA,"KEGG Pathway H.sap","path:hsa04060","Cytokine-cytokine receptor interaction",31,2,2.299,2.577,2.577,0.0438578317166056,1.35795284317356,1,0.184033666849422,1,"IFNGR1,CD40","5439,11919"
NA,"KEGG Pathway H.sap","path:hsa04658","Th1 and Th2 cell differentiation",34,2,2.299,2.444,2.444,0.0518293963519894,1.28542384928369,1,0.192300663028242,1,"JAG2,IFNGR1","6189,5439"
NA,"KEGG Pathway H.sap","path:hsa05145","Toxoplasmosis",56,3,3.448,2.309,2.309,0.0224047254831975,1.64966037296776,1,0.176649115642511,1,"HSPA6,IFNGR1,CD40","5239,5439,11919"
NA,"KEGG Pathway H.sap","path:hsa04512","ECM-receptor interaction",39,2,2.299,2.246,2.246,0.0661477787047378,1.17948473518733,1,0.217986998004249,1,"FN1,SDC4","3778,10661"
NA,"KEGG Pathway H.sap","path:hsa04514","Cell adhesion molecules",40,2,2.299,2.21,2.21,0.0691538317162493,1.16018375124346,1,0.224479294870053,1,"SDC4,CD40","10661,11919"
NA,"REACTOME pathway","R-HSA-202733","Cell surface interactions at the vascular wall",46,2,2.299,2.008,2.008,0.0880774575985671,1.05513522999054,1,0.248274928910069,1,"SDC4,CD84","10661,1704"
NA,"KEGG Pathway H.sap","path:hsa05224","Breast cancer",70,3,3.448,1.987,1.987,0.0397533807201594,1.40062593202191,1,0.180859578515352,1,"WNT5A,ERBB2,JAG2","12784,3430,6189"
NA,"PANTHER Pathway H.sap","P00057","Wnt signaling pathway",110,4,4.598,1.75,1.75,0.0309326526116753,1.50958283572858,1,0.176649115642511,1,"WNT5A,HDAC8,FAT1,PCDHGA11","12784,13315,3595,8698"
NA,"KEGG Pathway H.sap","path:hsa01522","Endocrine resistance",57,2,2.299,1.699,1.699,0.126060073611623,0.899422443608053,1,0.280681909816809,1,"ERBB2,JAG2","3430,6189"
NA,"KEGG Pathway H.sap","path:hsa05205","Proteoglycans in cancer",116,4,4.598,1.674,1.674,0.03656034358049,1.43698973158127,1,0.180859578515352,1,"WNT5A,ERBB2,SDC4,FN1","12784,3430,10661,3778"
NA,"KEGG Pathway H.sap","path:hsa05226","Gastric cancer",69,2,2.299,1.423,1.423,0.170970825633166,0.767077991055163,1,0.32429785966756,1,"ERBB2,WNT5A","3430,12784"
NA,"KEGG Pathway H.sap","path:hsa03083","Polycomb repressive complex",70,2,2.299,1.402,1.402,0.174830162248254,0.757383639390703,1,0.331136954621149,1,"SFMBT1,PCGF3","20255,10066"
NA,"KEGG Pathway H.sap","path:hsa04066","HIF-1 signaling pathway",71,2,2.299,1.382,1.382,0.17870372205791,0.747866401873889,1,0.33267953963705,1,"ERBB2,IFNGR1","3430,5439"
NA,"KEGG Pathway H.sap","path:hsa04550","Signaling pathways regulating pluripotency of stem cells",74,2,2.299,1.322,1.322,0.190402348408281,0.720327699362952,1,0.346548207353985,1,"PCGF3,WNT5A","10066,12784"
NA,"KEGG Pathway H.sap","path:hsa04360","Axon guidance",93,2,2.299,0.992,0.992,0.266151473504231,0.574871125083994,1,0.418971861185791,1,"UNC5B,WNT5A","12568,12784"
NA,"REACTOME pathway","R-HSA-1474244","Extracellular matrix organization",95,2,2.299,0.962,0.962,0.274193619064088,0.561942656174883,1,0.42887245251116,1,"ADAM9,SDC4","216,10661"
