"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0000965","mitochondrial RNA 3'-end processing",3,3,2.308,5.952,5.952,4.11793166860048e-06,5.38532086417645,0.00763052738191669,0.00127175456365278,0.0103038148651706,"PNPT1,SUPV3L1,MTPAP","23166,11471,25532"
NA,"Direct GO Biological Processes","GO:0006391","transcription initiation at mitochondrial promoter",4,3,2.308,5.537,5.537,1.6276731401504e-05,4.78843280318221,0.0301607832869869,0.0025133986072489,0.0203636728906923,"TFB2M,POLRMT,TFB1M","18559,9200,17037"
NA,"Direct GO Biological Processes","GO:0097222","mitochondrial mRNA polyadenylation",4,3,2.308,5.537,5.537,1.6276731401504e-05,4.78843280318221,0.0301607832869869,0.0025133986072489,0.0203636728906923,"SLIRP,PNPT1,MTPAP","20495,23166,25532"
NA,"Direct GO Biological Processes","GO:0000958","mitochondrial mRNA catabolic process",3,2,1.538,5.367,5.367,0.000768412483629083,3.11440558820495,1,0.0388970355571075,0.315145598560493,"SUPV3L1,PNPT1","11471,23166"
NA,"Direct GO Biological Processes","GO:0000962","positive regulation of mitochondrial RNA catabolic process",3,2,1.538,5.367,5.367,0.000768412483629083,3.11440558820495,1,0.0388970355571075,0.315145598560493,"SUPV3L1,PNPT1","11471,23166"
NA,"Direct GO Biological Processes","GO:0035928","rRNA import into mitochondrion",3,2,1.538,5.367,5.367,0.000768412483629083,3.11440558820495,1,0.0388970355571075,0.315145598560493,"TST,PNPT1","12388,23166"
NA,"Direct GO Biological Processes","GO:0006561","proline biosynthetic process",4,2,1.538,4.952,4.952,0.00152054823585666,2.81799979831886,1,0.0626127973564976,0.507291808176232,"PYCR1,ALDH18A1","9721,9722"
NA,"Direct GO Biological Processes","GO:0000154","rRNA modification",5,2,1.538,4.63,4.63,0.00250744009421767,2.60076943400505,1,0.0929257298917067,0.752888603178949,"TFB1M,TFB2M","17037,18559"
NA,"Direct GO Biological Processes","GO:0055129","L-proline biosynthetic process",5,2,1.538,4.63,4.63,0.00250744009421767,2.60076943400505,1,0.0929257298917067,0.752888603178949,"ALDH18A1,PYCR1","9722,9721"
NA,"Direct GO Biological Processes","GO:0000957","mitochondrial RNA catabolic process",6,2,1.538,4.367,4.367,0.00372142504430247,2.4292907239981,1,0.123139296555223,0.997680331248861,"SUPV3L1,PNPT1","11471,23166"
NA,"Direct GO Biological Processes","GO:0002082","regulation of oxidative phosphorylation",7,2,1.538,4.145,4.145,0.00515502308681217,2.28776938538479,1,0.138438518548738,1,"AK4,TEFM","363,26223"
NA,"Direct GO Biological Processes","GO:0006390","mitochondrial transcription",7,2,1.538,4.145,4.145,0.00515502308681217,2.28776938538479,1,0.138438518548738,1,"TFB2M,POLRMT","18559,9200"
NA,"Direct GO Biological Processes","GO:0021854","hypothalamus development",7,2,1.538,4.145,4.145,0.00515502308681217,2.28776938538479,1,0.138438518548738,1,"NKX2-1,UQCRQ","11825,29594"
NA,"Direct GO Biological Processes","GO:1902775","mitochondrial large ribosomal subunit assembly",7,2,1.538,4.145,4.145,0.00515502308681217,2.28776938538479,1,0.138438518548738,1,"DDX28,DHX30","17330,16716"
NA,"Direct GO Biological Processes","GO:0007129","homologous chromosome pairing at meiosis",8,2,1.538,3.952,3.952,0.00680093339848738,2.16743147817706,1,0.168028394498628,1,"SIRT7,NDC1","14935,25525"
NA,"Direct GO Biological Processes","GO:0042775","mitochondrial ATP synthesis coupled electron transport",8,2,1.538,3.952,3.952,0.00680093339848738,2.16743147817706,1,0.168028394498628,1,"NDUFS2,NDUFA12","7708,23987"
NA,"Direct GO Biological Processes","GO:0009101","glycoprotein biosynthetic process",9,2,1.538,3.782,3.782,0.0086520305678211,2.06288195485794,1,0.171999662983761,1,"XYLT2,GCNT1","15517,4203"
NA,"Direct GO Biological Processes","GO:0006264","mitochondrial DNA replication",10,2,1.538,3.63,3.63,0.0107013609041693,1.97056098908223,1,0.171999662983761,1,"POLRMT,TEFM","9200,26223"
NA,"Direct GO Biological Processes","GO:0006476","protein deacetylation",10,2,1.538,3.63,3.63,0.0107013609041693,1.97056098908223,1,0.171999662983761,1,"SIRT3,SIRT7","14931,14935"
NA,"Direct GO Biological Processes","GO:0060347","heart trabecula formation",10,2,1.538,3.63,3.63,0.0107013609041693,1.97056098908223,1,0.171999662983761,1,"ADAMTS1,ADGRG6","217,13841"
