"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0031089","platelet dense granule lumen",8,2,2.857,4.845,4.845,0.00201825832705539,2.69502324700174,1,0.0723968793446966,0.549606752886186,"APOH,ITIH4","616,6169"
NA,"Direct GO Cellular Component","GO:0072562","blood microparticle",36,3,4.286,3.26,3.26,0.00366248262415685,2.43622442704758,1,0.0855820049101849,0.649702697822458,"SERPINF2,PZP,ITIH4","9075,9750,6169"
NA,"Direct GO Cellular Component","GO:0043204","perikaryon",47,3,4.286,2.876,2.876,0.0077704576310903,2.10955340323194,1,0.0855820049101849,0.649702697822458,"RTN4RL2,MAP1B,PRPH","23053,6836,9461"
NA,"SLIM2 GO CC","GO:0030312","external encapsulating structure",126,6,8.571,2.453,2.453,0.000755165806856601,3.12195768267938,0.83974437722454,0.0441970724855021,0.335525643034663,"ITIH4,APLP1,CCN2,SERPINF2,CCN1,PZP","6169,597,2500,9075,2654,9750"
NA,"SLIM2 GO CC","GO:0031012","extracellular matrix",126,6,8.571,2.453,2.453,0.000755165806856601,3.12195768267938,0.83974437722454,0.0441970724855021,0.335525643034663,"CCN1,PZP,ITIH4,APLP1,CCN2,SERPINF2","2654,9750,6169,597,2500,9075"
NA,"Direct GO Cellular Component","GO:0005905","clathrin-coated pit",49,2,2.857,2.231,2.231,0.0674974496829913,1.17071263619902,1,0.171423292163109,1,"BMPR2,LRP10","1078,14553"
NA,"Direct GO Cellular Component","GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane",52,2,2.857,2.145,2.145,0.074866899739612,1.12571015076212,1,0.181663412667336,1,"ZDHHC20,UVRAG","20749,12640"
NA,"Direct GO Cellular Component","GO:0005776","autophagosome",60,2,2.857,1.938,1.938,0.0956684538443901,1.01923124487584,1,0.20577044617981,1,"UVRAG,TBC1D25","12640,8092"
NA,"Direct GO Cellular Component","GO:0043235","receptor complex",64,2,2.857,1.845,1.845,0.106622875736347,0.972149608252771,1,0.217180061088425,1,"GPRC5C,BMPR2","13309,1078"
NA,"Direct GO Cellular Component","GO:0030659","cytoplasmic vesicle membrane",98,3,4.286,1.816,1.816,0.0533610454312593,1.27277567045996,1,0.154524694061355,1,"GPRC5C,BACE1,SNX24","13309,933,21533"
