"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0005789","endoplasmic reticulum membrane",596,82,15.327,2.0699,1.05,6.95940546078835e-11,10.1574278604078,1.73985136519709e-07,1.73985136519709e-07,1.46172945430202e-06,"ALG1,SLC30A5,SLC37A3,ATP11C,TMBIM6,PTDSS1,COPG1,ALG5,BNIP3,GGCX,NCLN,DERL1,PIGU,POM121C,CLN6,MGST2,SGPL1,SLC9A6,CTDNEP1,DERL2,DHCR7,TMEM63B,SPCS3,SCD5,TAPT1,SOAT1,SPTLC2,ERLIN1,SEC22A,ERAP1,SLC37A4,AGPAT3,VKORC1,ALG2,PEDS1,SLC39A7,ALG3,SACM1L,SEC61A1,COPA,GNAI3,ATP13A1,CYBC1,GPAT4,TMEM38B,MGST3,SGCE,SEC23B,ICMT,TXNDC11,EPHX1,BCAP29,RINT1,LRRC8E,REEP3,TAP1,SEC24C,KDELR1,GHITM,ATP2A2,PIGG,GALNT1,AGPAT4,ALG8,G6PC3,ALG11,ULK1,MARCHF6,UFL1,NSDHL,COPB1,FADS1,TMEM33,RDH14,ALG9,KRTCAP2,SCD,PKMYT1,SPTLC1,RAB3GAP2,RDH11,EXTL2","18294,19089,20651,13554,11723,9587,2236,20266,1084,4247,26923,28454,15791,34005,2077,7063,10817,11079,19085,17943,2860,17735,26212,21088,26887,11177,11278,16947,20260,18173,4061,326,23663,23159,16735,4927,23056,17059,18276,2230,4387,24215,28672,20880,25535,7064,10808,10702,5350,28030,3401,24131,21876,26272,23711,43,10705,6304,17281,812,25985,4123,20885,23161,24861,32456,12558,30550,23039,13398,2231,3574,25541,19979,15672,28942,10571,29650,11277,17168,17964,3516"
NA,"SLIM2 GO CC","GO:0005783","endoplasmic reticulum",1052,114,21.308,1.6303,0.705,2.93069038459031e-08,7.53303006056753,7.32672596147578e-05,1.83168149036895e-05,0.000153888018191073,"MGST2,SGPL1,SLC9A6,DHCR7,TMEM131L,TMEM63B,LDAH,SPCS3,C4A,SCD5,REEP3,CTDNEP1,MTMR12,DERL2,SOAT1,SPTLC2,ERLIN1,KRTCAP2,SLC37A4,INPP5K,AGPAT3,ARB2A,VKORC1,PRSS23,ALG2,ALG11,SEC22A,ENTPD5,ERAP1,GNAI3,SLC39A7,ALG3,SACM1L,COPA,PRKCE,TMEM38B,VAC14,ATP13A1,TIMM50,CYBC1,GPAT4,PDCD6IP,SEC61A1,MGST3,SGCE,SEC23B,EPHX1,CES3,BCAP29,HPS6,RINT1,SERPIND1,LRRC8E,ATP11C,ICMT,ATP1A1,TXNDC11,GALNT1,TAP1,SEC24C,KDELR1,ATP2A2,MAN1A1,PIGG,ZDHHC13,AGPAT4,ZDHHC18,ALG8,FYN,G6PC3,POM121C,GHITM,FADS1,ULK1,MARCHF6,COPB1,USO1,TMEM33,RGMA,RDH14,YIPF6,ALG9,TAPT1,UFL1,THADA,NSDHL,SCD,PKMYT1,SPTLC1,EXTL2,USP25,ALG1,TRAPPC9,SLC30A5,WNT5A,SLC37A3,PEDS1,RAB3GAP2,ATP7A,RDH11,GGCX,TMBIM6,PTDSS1,COPG1,BNIP3,PCSK6,CLN6,AMBRA1,NCLN,GHDC,DERL1,PIGU,SLC30A7,ALG5","7063,10817,11079,2860,29146,17735,26145,26212,1323,21088,23711,19085,18191,17943,11177,11278,16947,28942,4061,33882,326,25365,23663,14370,23159,32456,20260,3367,18173,4387,4927,23056,17059,2230,9401,25535,25507,24215,23656,28672,20880,8766,18276,7064,10808,10702,3401,1865,24131,18817,21876,4838,26272,13554,5350,799,28030,4123,43,10705,6304,812,6821,25985,18413,20885,20712,23161,4037,24861,34005,17281,3574,12558,30550,2231,30904,25541,30308,19979,28304,15672,26887,23039,19217,13398,10571,29650,11277,3516,12624,18294,30832,19089,12784,20651,16735,17168,869,17964,4247,11723,9587,2236,1084,8569,2077,25990,26923,24438,28454,15791,19306,20266"
NA,"Direct GO Cellular Component","GO:0005783","endoplasmic reticulum",893,96,17.944,1.6174,0.694,6.97607945946811e-07,6.15638858131345,0.00174401986486703,0.000193779984985225,0.00162803511479856,"SEC61A1,ENTPD5,PIGG,MGST2,ALG1,SLC39A7,SPCS3,MARCHF6,HPS6,UFL1,ALG2,YIPF6,CES3,TXNDC11,EXTL2,TMEM33,PRKCE,NCLN,PKMYT1,VKORC1,ERLIN1,TRAPPC9,PIGU,POM121C,USP25,ATP7A,INPP5K,FADS1,VAC14,TAP1,RDH14,PTDSS1,CYBC1,SACM1L,SLC37A3,REEP3,NSDHL,DHCR7,CLN6,MGST3,AGPAT3,USO1,RINT1,SEC23B,SCD5,CTDNEP1,G6PC3,PEDS1,RAB3GAP2,ATP1A1,RDH11,SLC37A4,TMEM63B,SCD,RGMA,SPTLC2,ALG8,KDELR1,ARB2A,GPAT4,ALG5,BNIP3,ZDHHC13,MAN1A1,BCAP29,TMBIM6,LDAH,ALG3,ALG9,TMEM131L,GHDC,ATP11C,DERL2,EPHX1,TMEM38B,PCSK6,AGPAT4,SGPL1,SLC30A5,SPTLC1,ICMT,LRRC8E,TIMM50,ALG11,SEC22A,ATP2A2,ERAP1,GGCX,AMBRA1,SOAT1,ATP13A1,SEC24C,DERL1,COPG1,ZDHHC18,KRTCAP2","18276,3367,25985,7063,18294,4927,26212,30550,18817,23039,23159,28304,1865,28030,3516,25541,9401,26923,29650,23663,16947,30832,15791,34005,12624,869,33882,3574,25507,43,19979,9587,28672,17059,20651,23711,13398,2860,2077,7064,326,30904,21876,10702,21088,19085,24861,16735,17168,799,17964,4061,17735,10571,30308,11278,23161,6304,25365,20880,20266,1084,18413,6821,24131,11723,26145,23056,15672,29146,24438,13554,17943,3401,25535,8569,20885,10817,19089,11277,5350,26272,23656,32456,20260,812,18173,4247,25990,11177,24215,10705,28454,2236,20712,28942"
NA,"Direct GO Cellular Component","GO:0016323","basolateral plasma membrane",96,19,3.551,2.9776,1.574,1.40442234372631e-05,4.85250226972231,0.0351105585931579,0.00184792413648199,0.0155252637877223,"SLC31A1,SLC19A1,MYO1D,SLC23A2,ATP1A1,SLC12A2,ORAI1,ERBB2,TFRC,SLC2A1,SLC7A8,ATP7A,SLC16A1,NKD2,FLOT2,SLC7A5,AP2A1,SLC6A9,VANGL2","11016,10937,7598,10973,799,10911,25896,3430,11763,11005,11066,869,10922,17046,3758,11063,561,11056,15511"
NA,"Direct GO Cellular Component","GO:0009925","basal plasma membrane",27,9,1.682,5.015,2.326,3.75713736927232e-05,4.42514292587718,0.093928434231808,0.00375713736927232,0.0315654455684038,"MYO1C,SLC16A1,SLC7A8,SLC6A9,SLC7A5,ERBB2,LDLRAP1,SLC12A2,SLC23A2","7597,10922,11066,11056,11063,3430,18640,10911,10973"
NA,"Direct GO Cellular Component","GO:0016328","lateral plasma membrane",34,9,1.682,3.9825,1.994,0.00027643328489399,3.55840966543866,0.691083212234974,0.0130409831363179,0.109563319860099,"SLC16A1,NKD2,SLC6A9,VANGL2,ATP1A1,IQGAP3,SLC12A2,VANGL1,MYO1C","10922,17046,11056,15511,799,20669,10911,15512,7597"
NA,"Direct GO Cellular Component","GO:0016324","apical plasma membrane",130,20,3.738,2.3146,1.211,0.000339142886554232,3.46961728773251,0.84785721638558,0.014502325167161,0.121840728907917,"VANGL2,AP2A1,SLC6A9,PARD3B,ERBB2,SLC19A1,SLC7A8,PTEN,SHROOM3,ATP1A1,SLC12A2,SLC7A5,FLOT2,CLDND1,SLC2A1,SLC30A5,SLC31A1,SLC16A1,SLC23A2,ABCB1","15511,561,11056,14446,3430,10937,11066,9588,30422,799,10911,11063,3758,1322,11005,19089,11016,10922,10973,40"
NA,"Direct GO Cellular Component","GO:1990508","CKM complex",4,3,0.561,11.2836,3.496,0.0011105277236752,2.9544705950724,1,0.0258093486782857,0.216836253452763,"MED13,CDK19,MED12","22474,19338,11957"
NA,"Direct GO Cellular Component","GO:0034704","calcium channel complex",10,4,0.748,6.0179,2.589,0.0029347508915944,2.53242875676641,1,0.0450224233036133,0.378254163334754,"ORAI1,MCU,PRKACA,MICU2","25896,23526,9380,31830"
NA,"Direct GO Cellular Component","GO:0005834","heterotrimeric G-protein complex",16,5,0.935,4.7015,2.233,0.00300749787668137,2.52179467060354,1,0.0450224233036133,0.378254163334754,"GNB1,GNA11,GNB2,GNAI3,GNB4","4396,4379,4398,4387,20731"
