"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO BP","GO:0006810","transport",2032,177,33.084,1.3105,0.39,1.59341853652842e-05,4.79767013491416,0.0398354634132104,0.00199177317066052,0.01673380593355,"USO1,EFR3A,SLC2A1,SOAT1,ANKRD50,ATP5F1C,SLC30A7,CACNB3,WNT5A,SLC25A14,LRPPRC,GPAT4,MICU2,BCAP29,KPNA5,DENND10,SCYL2,LRRC8E,TSC2,TUBB,AP1B1,RITA1,TMEM115,TPRG1L,TAP1,ACVR2B,ATP11C,USP46,POM121C,MEF2A,VPS41,SLC7A5,KAT5,GHITM,NUP37,PRKACA,SLC31A1,SEC61A1,MFSD8,TNPO3,SLC25A19,SEC24C,XPO7,DDX19A,PCSK6,SLC12A2,PRKAG1,VPS39,HPS6,SLC9A6,SLC19A1,CCDC158,IFT172,SYK,GGCX,PTPN14,GPM6B,TIMM50,SLC25A1,MAP2,CSE1L,SLC37A3,SNX33,STRADA,SEC23B,UBAP1,SLC25A15,COPG1,RABGGTB,ABCB1,TECPR2,ANKRD27,BNIP3,ABCA3,WWP2,CRBN,TFRC,ATP2A2,RAB3GAP2,VAV2,ATP13A1,ATP1A1,TIMM23,SLC6A9,SACM1L,IPO7,SLC37A4,COPA,VPS45,LEPROT,C4A,USP9X,PRKCE,JUP,TMEM38B,GNA11,SLC39A7,SLC46A3,VANGL1,DERL2,ORAI1,DERL1,FBXO45,INPP5K,DYNC1H1,TMBIM6,TNPO2,SLC35E1,RABGAP1L,WASHC4,DNM3,CDK16,AP2M1,G6PC3,ACAP2,ATP5F1A,SLC30A5,TMEM63B,GNB2,IFT56,SLC16A1,CAD,LDLRAP1,MYO1D,AGAP1,AP2A1,FLOT2,STAT3,MAP6D1,CLOCK,XPOT,KDELR1,AP5M1,SLC38A9,SLC6A15,YIPF6,ATP9A,VAC14,XPO5,FAM91A1,CLTC,XPO1,PHAF1,NUP93,FYN,MYO1C,ARRDC3,RINT1,TRAPPC9,SLC7A8,ANO10,PHB2,SLC23A2,COPB1,COG2,TRIM23,EXOC4,NKD2,VPS51,TMEM102,ATP7A,SOX4,TRIB3,DYNC2I2,ZDHHC13,TCAF1,MCU,COG3,KIF16B,OPHN1,SLC25A21,CD84,SESN2,PTEN,PDCD6IP,SEC22A,SLC7A6","30904,28970,11005,11177,29223,833,19306,1403,12784,10984,15714,20880,31830,24131,6398,31793,19286,26272,12363,20778,554,25925,30055,27007,43,174,13554,20075,34005,6993,12713,11063,5275,17281,29929,9380,11016,18276,28486,17103,14409,10705,14108,25628,8569,10911,9385,20593,18817,11079,10937,26374,30391,11491,4247,9647,4461,23656,10979,6839,2431,20651,28468,30172,10702,12461,10985,2236,9796,40,19957,25310,1084,33,16804,30185,11763,812,17168,12658,24215,799,17312,11056,17059,9852,4061,2230,14579,29477,1323,12632,9401,6207,25535,4379,4927,27501,15512,17943,25896,28454,29148,33882,2961,11723,19998,20803,24663,29174,29125,8749,564,24861,16469,823,19089,17735,4398,21882,10922,1424,18640,7598,16922,561,3758,11364,25753,2082,12826,6304,20192,26907,13621,28304,13540,25507,17675,26306,2092,12825,29564,28958,4037,7597,29263,21876,30832,11066,25519,30306,10973,2231,6546,660,30389,17046,1172,26722,869,11200,16228,28296,18413,22201,23526,18619,15869,8148,14411,1704,20746,9588,8766,20260,11064","transport","ABCA3;ABCB1;ACAP2;ACVR2B;AGAP1;ANKRD27;ANKRD50;ANO10;AP1B1;AP2A1;AP2M1;AP5M1;ARRDC3;ATP11C;ATP13A1;ATP1A1;ATP2A2;ATP5F1A;ATP5F1C;ATP7A;ATP9A;BCAP29;BNIP3;C4A;CACNB3;CAD;CCDC158;CD84;CDK16;CLOCK;CLTC;COG2;COG3;COPA;COPB1;COPG1;CRBN;CSE1L;DDX19A;DENND10;DERL1;DERL2;DNM3;DYNC1H1;DYNC2I2;EFR3A;EXOC4;FAM91A1;FBXO45;FLOT2;FYN;G6PC3;GGCX;GHITM;GNA11;GNB2;GPAT4;GPM6B;HPS6;IFT172;IFT56;INPP5K;IPO7;JUP;KAT5;KDELR1;KIF16B;KPNA5;LDLRAP1;LEPROT;LRPPRC;LRRC8E;MAP2;MAP6D1;MCU;MEF2A;MFSD8;MICU2;MYO1C;MYO1D;NKD2;NUP37;NUP93;OPHN1;ORAI1;PCSK6;PDCD6IP;PHAF1;PHB2;POM121C;PRKACA;PRKAG1;PRKCE;PTEN;PTPN14;RAB3GAP2;RABGAP1L;RABGGTB;RINT1;RITA1;SACM1L;SCYL2;SEC22A;SEC23B;SEC24C;SEC61A1;SESN2;SLC12A2;SLC16A1;SLC19A1;SLC23A2;SLC25A1;SLC25A14;SLC25A15;SLC25A19;SLC25A21;SLC2A1;SLC30A5;SLC30A7;SLC31A1;SLC35E1;SLC37A3;SLC37A4;SLC38A9;SLC39A7;SLC46A3;SLC6A15;SLC6A9;SLC7A5;SLC7A6;SLC7A8;SLC9A6;SNX33;SOAT1;SOX4;STAT3;STRADA;SYK;TAP1;TCAF1;TECPR2;TFRC;TIMM23;TIMM50;TMBIM6;TMEM102;TMEM115;TMEM38B;TMEM63B;TNPO2;TNPO3;TPRG1L;TRAPPC9;TRIB3;TRIM23;TSC2;TUBB;UBAP1;USO1;USP46;USP9X;VAC14;VANGL1;VAV2;VPS39;VPS41;VPS45;VPS51;WASHC4;WNT5A;WWP2;XPO1;XPO5;XPO7;XPOT;YIPF6;ZDHHC13",177
NA,"SLIM2 GO BP","GO:0009056","catabolic process",1594,128,23.925,1.2081,0.273,0.00873517302488645,2.05872848816139,1,0.0723110349742256,0.607518388106193,"NUDT19,SPTLC1,OPHN1,TECPR2,CNOT1,ULK1,TBL1X,VPS39,CRBN,GNAI3,PHB2,PDCD6IP,ZYG11B,TRIM23,UBL7,INTS7,MAPK8,UFL1,DNA2,C6orf89,NOCT,PCCA,MARCHF6,FYN,HECTD3,GLS,APAF1,PRKCE,ATP2A2,NBR1,ERLIN1,NKD2,PTEN,XPO1,ABHD16A,TMBIM6,KAT5,PRKACA,DAGLB,TRIM2,MFSD8,GPCPD1,LRPPRC,SLC16A1,RC3H1,ANAPC16,HECTD1,ACOX3,DERL2,MAD2L2,MARCHF7,MFN2,TIMM23,RRAGA,CLOCK,MLYCD,KLHL11,TSC2,PAN2,DPYSL4,RGMA,CDK16,UBE3B,INTS8,KBTBD7,PSMD2,MAPK9,VPS51,CDC16,ASCC3,PAN3,DDHD2,IVNS1ABP,CLN6,PPP2R3A,CNOT8,SLC7A5,DIS3,SYK,RAB3GAP2,TMUB2,NUDT8,SPTLC2,USP25,CD84,TRIB3,SKP2,UBAP1,KBTBD2,BNIP3,TENT2,STAT3,YME1L1,SLC25A21,HERC4,MGST2,CEP63,NUDT12,ENTPD5,VPS41,OGG1,AMBRA1,PSMD6,TYSND1,DERL1,SESN2,SGPL1,LONP1,SNX33,OGT,PRKAG1,EXOC4,FBXO45,PSMD3,FBXL18,CLTC,ANAPC4,DAPK3,KIF16B,LDAH,WWP2,ERAP1,WNT5A,USP9X,WDR6,UPP1,MAN1A1,EPHX1","32036,11277,8148,19957,7877,12558,11585,20593,30185,4387,30306,8766,25820,660,28221,24484,6881,23039,2939,21114,14254,8653,30550,4037,26117,4331,576,9401,812,6746,16947,17046,9588,12825,13921,11723,5275,9380,28923,15974,28486,26957,15714,10922,29434,26976,20157,121,17943,6764,17393,16877,17312,16963,2082,7150,19008,12363,20074,3016,30308,8749,13478,26048,25266,9559,6886,1172,1720,18697,29991,29106,16951,2077,9307,9207,11063,20604,11491,17168,28459,8055,11278,12624,1704,16228,10901,12461,21751,1084,26776,11364,12843,14411,24521,7063,25815,18826,3367,12713,8125,25990,9564,28531,28454,20746,10817,9479,28468,8127,9385,30389,29148,9560,21874,2092,19990,2676,15869,26145,16804,18173,12784,12632,12758,12576,6821,3401","catabolic process","ABHD16A;ACOX3;AMBRA1;ANAPC16;ANAPC4;APAF1;ASCC3;ATP2A2;BNIP3;C6orf89;CD84;CDC16;CDK16;CEP63;CLN6;CLOCK;CLTC;CNOT1;CNOT8;CRBN;DAGLB;DAPK3;DDHD2;DERL1;DERL2;DIS3;DNA2;DPYSL4;ENTPD5;EPHX1;ERAP1;ERLIN1;EXOC4;FBXL18;FBXO45;FYN;GLS;GNAI3;GPCPD1;HECTD1;HECTD3;HERC4;INTS7;INTS8;IVNS1ABP;KAT5;KBTBD2;KBTBD7;KIF16B;KLHL11;LDAH;LONP1;LRPPRC;MAD2L2;MAN1A1;MAPK8;MAPK9;MARCHF6;MARCHF7;MFN2;MFSD8;MGST2;MLYCD;NBR1;NKD2;NOCT;NUDT12;NUDT19;NUDT8;OGG1;OGT;OPHN1;PAN2;PAN3;PCCA;PDCD6IP;PHB2;PPP2R3A;PRKACA;PRKAG1;PRKCE;PSMD2;PSMD3;PSMD6;PTEN;RAB3GAP2;RC3H1;RGMA;RRAGA;SESN2;SGPL1;SKP2;SLC16A1;SLC25A21;SLC7A5;SNX33;SPTLC1;SPTLC2;STAT3;SYK;TBL1X;TECPR2;TENT2;TIMM23;TMBIM6;TMUB2;TRIB3;TRIM2;TRIM23;TSC2;TYSND1;UBAP1;UBE3B;UBL7;UFL1;ULK1;UPP1;USP25;USP9X;VPS39;VPS41;VPS51;WDR6;WNT5A;WWP2;XPO1;YME1L1;ZYG11B",128
NA,"SLIM2 GO BP","GO:0044281","small molecule metabolic process",948,87,16.262,1.3807,0.465,0.00086154265551426,3.06472321549295,1,0.0258093486782857,0.216836253452763,"SOAT1,FDPS,CAD,COQ5,SLC37A4,FASN,ACSS3,SHPK,SLC16A1,PEDS1,THTPA,FPGS,CLN6,ACOT9,NUDT8,VKORC1,OGT,TYSND1,IDH3B,SCD,TRIB3,IMPA2,PDK2,MTHFD1L,MTHFD1,SPTLC1,SLC25A21,PECR,SESN2,PYCR1,RDH11,SCD5,OGG1,ERLIN1,MARCHF6,GLS,NOCT,KBTBD2,GNE,SLC2A1,PCCA,UROS,SLC25A15,CS,SLC19A1,UPP1,ACAD9,ATP5F1C,EXTL2,MGST2,FADS1,IDH3G,ACOX3,NUDT12,MLYCD,DHCR7,DPYSL4,PDSS1,MGST3,NUDT19,SYK,MFSD8,RDH14,GPAT4,STAT3,LDLRAP1,NSDHL,ATP7A,ENTPD5,EPHX1,NMRK1,SLC23A2,PRKAG1,G6PC3,GNAI3,GGCX,PDK1,ATP5F1A,DAGLB,PRKACA,SPTLC2,PAPSS2,COASY,TK2,SLC25A19,SGPL1,ICMT","11177,3631,1424,28722,4061,3594,24723,1492,10922,16735,18987,3824,2077,17152,8055,23663,8127,28531,5385,10571,16228,6051,8810,21055,7432,11277,14411,18281,20746,9721,17964,21088,8125,16947,30550,4331,14254,21751,23657,11005,8653,12592,10985,2422,10937,12576,21497,833,3516,7063,3574,5386,121,18826,7150,2860,3016,17759,7064,32036,11491,28486,19979,20880,11364,18640,13398,869,3367,3401,26057,10973,9385,24861,4387,4247,8809,823,28923,9380,11278,8604,29932,11831,14409,10817,5350","small molecule metabolic process","ACAD9;ACOT9;ACOX3;ACSS3;ATP5F1A;ATP5F1C;ATP7A;CAD;CLN6;COASY;COQ5;CS;DAGLB;DHCR7;DPYSL4;ENTPD5;EPHX1;ERLIN1;EXTL2;FADS1;FASN;FDPS;FPGS;G6PC3;GGCX;GLS;GNAI3;GNE;GPAT4;ICMT;IDH3B;IDH3G;IMPA2;KBTBD2;LDLRAP1;MARCHF6;MFSD8;MGST2;MGST3;MLYCD;MTHFD1;MTHFD1L;NMRK1;NOCT;NSDHL;NUDT12;NUDT19;NUDT8;OGG1;OGT;PAPSS2;PCCA;PDK1;PDK2;PDSS1;PECR;PEDS1;PRKACA;PRKAG1;PYCR1;RDH11;RDH14;SCD;SCD5;SESN2;SGPL1;SHPK;SLC16A1;SLC19A1;SLC23A2;SLC25A15;SLC25A19;SLC25A21;SLC2A1;SLC37A4;SOAT1;SPTLC1;SPTLC2;STAT3;SYK;THTPA;TK2;TRIB3;TYSND1;UPP1;UROS;VKORC1",87
NA,"SLIM2 GO BP","GO:0006629","lipid metabolic process",614,78,14.579,1.9112,0.934,9.41286386586594e-09,8.02627822227774,2.35321596646648e-05,1.17660798323324e-05,9.88522686283668e-05,"TYSND1,NUDT19,AGPAT3,FASN,IMPA2,ACOT9,KAT5,DAGLB,SLC16A1,OGT,PIGG,INPP5K,ATP1A1,PRKAG1,SACM1L,SCD5,UGCG,ABCA3,CHST10,HPS6,ACSS3,PDK2,ABHD16A,PTDSS1,SGPL1,MGST3,DDHD1,GGCX,MARCHF6,HDHD5,GPCPD1,AGPAT4,FADS1,EFR3A,ACAD9,CTDNEP1,SPTLC2,PDSS1,MGST2,SLC30A5,RDH11,TM9SF2,SCD,VAC14,GPAT4,RDH14,DHCR7,ERLIN1,PHB2,NUDT8,SESN2,PRKCE,TMEM38B,MLYCD,EPHX1,DGKE,ATP5F1A,NSDHL,TRIB3,PRKACA,PTPMT1,PCCA,PTEN,PECR,LDAH,SPTLC1,SOAT1,PIGU,KBTBD2,PDK1,CLN6,DDHD2,ACOX3,CREM,PEDS1,MFSD8,FDPS,LDLRAP1","28531,32036,326,3594,6051,17152,5275,28923,10922,8127,25985,33882,799,9385,17059,21088,12524,33,19650,18817,24723,8810,13921,9587,10817,7064,19714,4247,30550,1843,26957,20885,3574,28970,21497,19085,11278,17759,7063,19089,17964,11865,10571,25507,20880,19979,2860,16947,30306,8055,20746,9401,25535,7150,3401,2852,823,13398,16228,9380,26965,8653,9588,18281,26145,11277,11177,15791,21751,8809,2077,29106,121,2352,16735,28486,3631,18640","lipid metabolic process","ABCA3;ABHD16A;ACAD9;ACOT9;ACOX3;ACSS3;AGPAT3;AGPAT4;ATP1A1;ATP5F1A;CHST10;CLN6;CREM;CTDNEP1;DAGLB;DDHD1;DDHD2;DGKE;DHCR7;EFR3A;EPHX1;ERLIN1;FADS1;FASN;FDPS;GGCX;GPAT4;GPCPD1;HDHD5;HPS6;IMPA2;INPP5K;KAT5;KBTBD2;LDAH;LDLRAP1;MARCHF6;MFSD8;MGST2;MGST3;MLYCD;NSDHL;NUDT19;NUDT8;OGT;PCCA;PDK1;PDK2;PDSS1;PECR;PEDS1;PHB2;PIGG;PIGU;PRKACA;PRKAG1;PRKCE;PTDSS1;PTEN;PTPMT1;RDH11;RDH14;SACM1L;SCD;SCD5;SESN2;SGPL1;SLC16A1;SLC30A5;SOAT1;SPTLC1;SPTLC2;TM9SF2;TMEM38B;TRIB3;TYSND1;UGCG;VAC14",78
NA,"SLIM2 GO BP","GO:0042592","homeostatic process",760,66,12.336,1.3065,0.386,0.0130029692353259,1.88595746497972,1,0.0807916956706443,0.678768333819185,"ACVR2B,LDLRAP1,ATP7A,SLC2A1,PRKACB,ABCB1,ATP2A2,SOX4,SLC16A1,KAT5,RASSF2,SLC30A7,TMEM38B,SLC9A6,DYNC1H1,INPP5K,SYPL2,TMEM63B,GLS,BNIP3,PRKACA,CDK16,MFN2,MAPK8,SLC37A4,AMBRA1,SLC39A7,SLC31A1,IQCB1,PRKACG,WNT5A,STAT3,RGN,GHITM,TMBIM6,BMPR1A,UFL1,HPS6,LDAH,SCD,SESN2,MED13,NEMP1,TFRC,SOAT1,MICU2,PRKCE,LRRC8E,SYK,PDK2,CYLD,SLC30A5,THADA,ARRDC3,AKAP11,CLN6,RRAGA,ATP13A1,RC3H1,ABCA3,NFIB,ATP1A1,MTHFD1,OGT,MCU,SLC12A2","174,18640,869,11005,9381,40,812,11200,10922,5275,9883,19306,25535,11079,2961,33882,27638,17735,4331,1084,9380,8749,16877,6881,4061,25990,4927,11016,28949,9382,12784,11364,9989,17281,11723,1076,23039,18817,26145,10571,20746,22474,29001,11763,11177,31830,9401,26272,11491,8810,2584,19089,19217,29263,369,2077,16963,24215,29434,33,7785,799,7432,8127,23526,10911","homeostatic process","ABCA3;ABCB1;ACVR2B;AKAP11;AMBRA1;ARRDC3;ATP13A1;ATP1A1;ATP2A2;ATP7A;BMPR1A;BNIP3;CDK16;CLN6;CYLD;DYNC1H1;GHITM;GLS;HPS6;INPP5K;IQCB1;KAT5;LDAH;LDLRAP1;LRRC8E;MAPK8;MCU;MED13;MFN2;MICU2;MTHFD1;NEMP1;NFIB;OGT;PDK2;PRKACA;PRKACB;PRKACG;PRKCE;RASSF2;RC3H1;RGN;RRAGA;SCD;SESN2;SLC12A2;SLC16A1;SLC2A1;SLC30A5;SLC30A7;SLC31A1;SLC37A4;SLC39A7;SLC9A6;SOAT1;SOX4;STAT3;SYK;SYPL2;TFRC;THADA;TMBIM6;TMEM38B;TMEM63B;UFL1;WNT5A",66
NA,"SLIM2 GO BP","GO:0061024","membrane organization",524,42,7.85,1.2059,0.27,0.114865685906691,0.939809689737055,1,0.243979791645477,1,"EXOC4,ATR,ABCB1,REEP3,STAT3,SYPL2,ATP9A,BNIP3,PTEN,NKD2,NEMP1,SNX33,GHITM,SEC22A,ABCA3,ICMT,SEC23B,MFN2,TMEM33,WEE1,TMEM102,VPS39,TMEM63B,ATP11C,SEC24C,PDCD6IP,ANKRD27,SEC61A1,UBAP1,UGCG,DNM3,ATP2A2,NCLN,TIMM50,TRAPPC9,CTDNEP1,FARP1,VPS41,TMEM11,USO1,AP2M1,NUP93","30389,882,40,23711,11364,27638,13540,1084,9588,17046,29001,28468,17281,20260,33,5350,10702,16877,25541,12761,26722,20593,17735,13554,10705,8766,25310,18276,12461,12524,29125,812,26923,23656,30832,19085,3591,12713,16823,30904,564,28958","membrane organization","ABCA3;ABCB1;ANKRD27;AP2M1;ATP11C;ATP2A2;ATP9A;ATR;BNIP3;CTDNEP1;DNM3;EXOC4;FARP1;GHITM;ICMT;MFN2;NCLN;NEMP1;NKD2;NUP93;PDCD6IP;PTEN;REEP3;SEC22A;SEC23B;SEC24C;SEC61A1;SNX33;STAT3;SYPL2;TIMM50;TMEM102;TMEM11;TMEM33;TMEM63B;TRAPPC9;UBAP1;UGCG;USO1;VPS39;VPS41;WEE1",42
NA,"Direct GO Biological Processes","GO:0016567","protein ubiquitination",293,27,5.047,1.3864,0.471,0.0515558556502552,1.28772200094945,1,0.15408950823313,1,"HECTD3,KCTD9,TRIM23,MARCHF6,ANAPC16,KLHL9,LZTR1,HECTD1,ANAPC4,MED17,KBTBD7,AMBRA1,FYN,WWP2,RC3H1,USP9X,KBTBD2,MARCHF7,CRBN,MED12,UBE3B,CAND1,SKP2,TRIM2,FBXO45,CDC16,HERC4","26117,22401,660,30550,26976,18732,6742,20157,19990,2375,25266,25990,4037,16804,29434,12632,21751,17393,30185,11957,13478,30688,10901,15974,29148,1720,24521","protein ubiquitination","AMBRA1;ANAPC16;ANAPC4;CAND1;CDC16;CRBN;FBXO45;FYN;HECTD1;HECTD3;HERC4;KBTBD2;KBTBD7;KCTD9;KLHL9;LZTR1;MARCHF6;MARCHF7;MED12;MED17;RC3H1;SKP2;TRIM2;TRIM23;UBE3B;USP9X;WWP2",27
NA,"SLIM2 GO BP","GO:0007005","mitochondrion organization",303,26,4.86,1.291,0.368,0.106519679435622,0.972570149213475,1,0.232982675930932,1,"TFRC,TEFM,ACAD9,PHB2,TMEM102,MTFR2,DDHD1,ATP7A,DNA2,LONP1,MFN2,MEF2A,TMEM11,SESN2,BNIP3,MCU,TIMM50,STAT3,YME1L1,POLG2,MIGA1,DDHD2,GHITM,MLLT11,MFSD8,PRKACA","11763,26223,21497,30306,26722,21115,19714,869,2939,9479,16877,6993,16823,20746,1084,23526,23656,11364,12843,9180,24741,29106,17281,16997,28486,9380","mitochondrion organization","ACAD9;ATP7A;BNIP3;DDHD1;DDHD2;DNA2;GHITM;LONP1;MCU;MEF2A;MFN2;MFSD8;MIGA1;MLLT11;MTFR2;PHB2;POLG2;PRKACA;SESN2;STAT3;TEFM;TFRC;TIMM50;TMEM102;TMEM11;YME1L1",26
NA,"SLIM2 GO BP","GO:0005975","carbohydrate metabolic process",306,26,4.86,1.2783,0.354,0.115798146521541,0.936298391920405,1,0.24409910726796,1,"PHKA2,SLC37A4,CHST10,MFSD8,PRKACA,STAT3,MAN1A1,PDK2,OGT,G6PC3,SLC2A1,KBTBD2,CS,PRKAG1,AP2A1,B4GALT7,GBE1,MLYCD,GNE,SESN2,SLC23A2,INPP5K,IDH3G,PDK1,CLTC,SHPK","8926,4061,19650,28486,9380,11364,6821,8810,8127,24861,11005,21751,2422,9385,561,930,4180,7150,23657,20746,10973,33882,5386,8809,2092,1492","carbohydrate metabolic process","AP2A1;B4GALT7;CHST10;CLTC;CS;G6PC3;GBE1;GNE;IDH3G;INPP5K;KBTBD2;MAN1A1;MFSD8;MLYCD;OGT;PDK1;PDK2;PHKA2;PRKACA;PRKAG1;SESN2;SHPK;SLC23A2;SLC2A1;SLC37A4;STAT3",26
NA,"Direct GO Biological Processes","GO:0035556","intracellular signal transduction",207,22,4.112,1.599,0.677,0.0191128835270796,1.71867378675827,1,0.0969213160602413,0.814280721151844,"PRKCE,DLG5,STK32C,ABR,TGFBR1,MAP4K5,ERBB2,DGKE,LRRC40,SYK,RPS6KA5,DAPK3,TIAM1,AKAP11,FYN,RPS6KA4,DEPDC1,TFRC,RRAGA,DVL3,VAV2,KCTD9","9401,2904,21332,81,11772,6867,3430,2852,26004,11491,10434,2676,11805,369,4037,10433,22949,11763,16963,3087,12658,22401","intracellular signal transduction","ABR;AKAP11;DAPK3;DEPDC1;DGKE;DLG5;DVL3;ERBB2;FYN;KCTD9;LRRC40;MAP4K5;PRKCE;RPS6KA4;RPS6KA5;RRAGA;STK32C;SYK;TFRC;TGFBR1;TIAM1;VAV2",22
