"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"KEGG Pathway H.sap","path:hsa03010","Ribosome",158,112,6.054,3.0841,1.625,1e-25,25,2.5e-22,6.25e-23,5.25091353901531e-22,"MRPS30,MRPL16,MRPL34,MRPS22,MRPS18C,MRPL32,MRPL55,MRPL19,RPS17,RPS26,RPL13,RPS9,RPL27,RPL37A,MRPL3,MRPL21,MRPS2,MRPS28,MRPL44,MRPS26,DAP3,MRPL10,RPS13,RPS2,RPS3,RPL23,MRPL38,RPL31,RPL36A,RACK1,MRPL13,MRPL28,MRPS10,MRPS34,MRPL53,MRPS11,RPS15A,RPS24,RPL11,RPS5,RPL24,RPL35A,RPL8,MRPL18,MRPL35,MRPS23,MRPS33,MRPL11,RPS27L,MRPL17,RPS18,RPS27,RPL21,MRPL46,RPL29,RPL38,RPS10,MRPL22,MRPS7,MRPS18B,MRPL45,MRPS17,RPL22L1,MRPL2,RPS14,RPS20,RPS3A,RPL23A,MRPL37,RPL34,RPL5,RPSA,MRPL14,MRPL33,MRPS15,KGD4,MRPL54,MRPS6,RPS16,RPS25,RPL12,RPS7,RPL26,RPL36AL,RPLP2,MRPL20,MRPL40,MRPS25,MRPS35,MRPL51,RSL24D1,MRPL15,RPS19,RPS28,RPL22,MRPL39,RPL30,RPL4,RPS12,MRPL27,MRPS9,MRPL43,MRPL48,MRPS16,FAU,MRPL4,RPS15,RPS21,RPS4X,MRPL23,RPL35,RPL7A","8769,14476,14488,14508,16633,14035,16686,14052,10397,10414,10303,10442,10328,10348,10379,14479,14495,14513,16650,14045,2673,14055,10386,10404,10420,10316,14033,10334,10359,4399,14278,14484,14502,16618,16684,14050,10389,10411,10301,10426,10325,10345,10368,14477,14489,14509,16634,14042,18476,14053,10401,10416,10313,1192,10331,10349,10383,14480,14499,14516,16651,14047,27610,14056,10387,10405,10421,10317,14034,10340,10360,6502,14279,14487,14504,16631,16685,14051,10396,10413,10302,10440,10327,10346,10377,14478,14491,14511,16635,14044,18479,14054,10402,10418,10315,14027,10333,10353,10385,14483,14501,14517,16653,14048,3597,14276,10388,10409,10424,10322,10344,10364"
NA,"REACTOME pathway","R-HSA-9937383","Mitochondrial ribosome-associated quality control",86,59,3.189,2.9849,1.578,1.97185480435624e-19,18.7051250670766,4.92963701089059e-16,3.79202846991584e-17,3.18585818128201e-16,"MTRES1,MRPS33,MRPL14,MRPL34,MRPL28,MRPL15,MRPL53,MRPL27,MRPS10,MRPS11,MRPL58,MRPL44,MRPL46,MRPS18C,MRPL10,MRPS7,MRPL48,MRPL17,MRPL40,MRPL33,MRPL13,MTRFR,MRPL37,MRPL16,MRPS26,MRPL32,MRPS30,MRPL22,MRPL54,MRPL2,MRPL35,MRPS22,MRPS9,MRPL23,MRPS34,MRPS28,MRPL55,MRPS2,MRPS23,MRPS25,MRPL38,MRPL19,MRPL18,KGD4,MRPL51,MRPL20,MRPS15,MRPL11,MRPL3,MRPS16,CHCHD1,MRPL4,MRPS17,MRPS35,MRPS6,DAP3,GADD45GIP1,MRPS18B,MRPL21","17971,16634,14279,14488,14484,14054,16684,14483,14502,14050,5359,16650,1192,16633,14055,14499,16653,14053,14491,14487,14278,26784,14034,14476,14045,14035,8769,14480,16685,14056,14489,14508,14501,10322,16618,14513,16686,14495,14509,14511,14033,14052,14477,16631,14044,14478,14504,14042,10379,14048,23518,14276,14047,16635,14051,2673,29996,14516,14479"
NA,"REACTOME pathway","R-HSA-5368286","Mitochondrial translation initiation",84,58,3.135,3.0041,1.587,2.45663613934383e-19,18.6096591635758,6.14159034835957e-16,4.09439356557305e-17,3.43988905720395e-16,"MRPS26,MRPL32,MRPL28,MRPL15,MRPL37,MRPL16,CHCHD1,MRPS9,MRPL58,MRPS34,MRPL46,MRPS18C,MRPL35,MRPS22,MTIF3,MRPS25,MRPL38,MRPL33,MRPL13,MRPS7,MRPS23,MRPL53,MRPS15,MRPL11,MRPS30,MRPL22,MRPL51,MRPL20,MRPL10,MRPS6,MRPL23,MRPS28,MRPL2,MRPS17,MRPS35,GADD45GIP1,MRPL21,MRPL14,MRPL34,MRPL19,MRPL18,MRPS2,MRPS33,MRPL54,MRPS11,MRPL44,MRPL3,MRPS16,MRPL27,MRPS10,MRPL55,MRPL40,DAP3,MRPS18B,MRPL4,MRPL48,MRPL17,KGD4","14045,14035,14484,14054,14034,14476,23518,14501,5359,16618,1192,16633,14489,14508,29788,14511,14033,14487,14278,14499,14509,16684,14504,14042,8769,14480,14044,14478,14055,14051,10322,14513,14056,14047,16635,29996,14479,14279,14488,14052,14477,14495,16634,16685,14050,16650,10379,14048,14483,14502,16686,14491,2673,14516,14276,16653,14053,16631"
NA,"REACTOME pathway","R-HSA-5419276","Mitochondrial translation termination",84,58,3.135,3.0041,1.587,2.45663613934383e-19,18.6096591635758,6.14159034835957e-16,4.09439356557305e-17,3.43988905720395e-16,"MRPS18C,MRPL58,MRPL46,MRPS34,MRPL55,MRPL35,MRPS22,MRPS9,MRPL13,MRPL33,MRRF,MRPS7,MRPS23,MRPS25,MRPL38,MRPL22,MRPS30,CHCHD1,MRPL51,MRPL20,MRPS15,MRPL11,MRPS28,MRPL2,MRPL23,GADD45GIP1,MRPL21,MRPS17,MRPS35,MRPS6,MRPL18,MRPL19,MRPL53,MRPS2,MRPS33,MRPL14,MRPL34,MRPS16,MRPL3,MRPL10,MRPL27,MRPS10,MRPS11,MRPL44,MRPS18B,MRPL4,DAP3,KGD4,MRPL48,MRPL17,MRPL40,MRPL15,MRPL28,MRPL54,MRPL37,MRPL16,MRPS26,MRPL32","16633,5359,1192,16618,16686,14489,14508,14501,14278,14487,7234,14499,14509,14511,14033,14480,8769,23518,14044,14478,14504,14042,14513,14056,10322,29996,14479,14047,16635,14051,14477,14052,16684,14495,16634,14279,14488,14048,10379,14055,14483,14502,14050,16650,14516,14276,2673,16631,16653,14053,14491,14054,14484,16685,14034,14476,14045,14035"
NA,"REACTOME pathway","R-HSA-5389840","Mitochondrial translation elongation",84,57,3.081,2.9523,1.562,1.83197220448363e-18,17.7370811199318,4.57993051120908e-15,2.86245656950567e-16,2.4048819129057e-15,"MRPS17,MRPS35,MRPS6,MRPL23,GADD45GIP1,MRPS28,MRPL2,MRPS33,MRPL14,MRPL34,MRPL19,MRPL54,MRPL18,MRPS2,MRPS10,MRPS11,MRPL44,MRPL3,MRPL55,MRPS16,MRPL27,MRPL48,MRPL17,MRPL40,DAP3,KGD4,MRPS18B,MRPL4,MRPL16,MRPS26,MRPL32,MRPL28,CHCHD1,MRPL15,MRPL37,MRPS22,MRPS9,MRPL58,MRPS34,MRPL46,MRPL21,MRPS18C,MRPL35,MRPS23,MRPS25,MRPL38,MRPL33,MRPL53,MRPL13,MRPS7,MRPL20,MRPS15,MRPL11,MRPS30,MRPL10,MRPL22,MRPL51","14047,16635,14051,10322,29996,14513,14056,16634,14279,14488,14052,16685,14477,14495,14502,14050,16650,10379,16686,14048,14483,16653,14053,14491,2673,16631,14516,14276,14476,14045,14035,14484,23518,14054,14034,14508,14501,5359,16618,1192,14479,16633,14489,14509,14511,14033,14487,16684,14278,14499,14478,14504,14042,8769,14055,14480,14044"
NA,"REACTOME pathway","R-HSA-5368287","Mitochondrial translation",95,61,3.297,2.7937,1.482,7.44831269020756e-18,17.1279420993762,1.86207817255189e-14,1.09534010150111e-15,9.20245787007774e-15,"MTIF3,MRPS7,MRPL48,MRPL17,MRPL40,MRPL33,MTRFR,MRPL13,MRPL37,MRPL16,MRPS26,MRPL32,MRPS30,MRPL53,MRPL22,MRPL10,MRPL2,MRPL35,MRPS22,MRPS9,MRPL23,MRPS34,MRPS28,MRPL21,MRPS2,MRPS23,MRPS25,MRPL38,MRPL19,KGD4,MRPL18,MRPL51,MRPL20,MRPS15,MRPL11,MRPL3,MRPL54,MRPS16,MRPL55,MRPL4,MRPS17,MRPS35,MRPS6,DAP3,GADD45GIP1,MRPS18B,MTRES1,MRPS33,MRPL14,MRPL34,MRPL28,MRRF,MRPL15,MRPL27,MRPS10,MRPS11,MRPL58,MRPL44,MRPL46,CHCHD1,MRPS18C","29788,14499,16653,14053,14491,14487,26784,14278,14034,14476,14045,14035,8769,16684,14480,14055,14056,14489,14508,14501,10322,16618,14513,14479,14495,14509,14511,14033,14052,16631,14477,14044,14478,14504,14042,10379,16685,14048,16686,14276,14047,16635,14051,2673,29996,14516,17971,16634,14279,14488,14484,7234,14054,14483,14502,14050,5359,16650,1192,23518,16633"
NA,"REACTOME pathway","R-HSA-72766","Translation",314,137,7.405,1.8983,0.925,1.11763386360123e-16,15.9517004478456,2.79408465900307e-13,1.33051650428717e-14,1.11782834019917e-13,"MRPL18,RPS9,MRPS7,RPS17,RPS27,RPL13,DAP3,RPL30,MRPL3,RPL36A,GADD45GIP1,PSMA6,MRPL55,RPL4,MRPL48,MRPS35,MRPS6,APEH,MRPS16,RPS13,MRPL37,RPS20,SRP9,RPL23A,RPL23,RPL34,RCHY1,RPS3,FAU,MRRF,PSMB3,MRPL21,SARS2,MRPL14,MRPL34,MRPS18B,RPS5,MRPL2,RPS15A,RPS25,RPL8,SSR1,RPL26,MRPL28,RPL37A,MRPL44,PSMA4,CHCHD1,PSMB6,MRPL35,MRPS10,MRPS11,MRPL15,RPS10,MRPS2,RPS18,RPS28,RPL21,EIF3C,RPL29,RPL35,RPLP2,MTRFR,PSMB1,RPL22L1,RPL5,MRPS23,MRPL17,MRPL40,EIF1AX,MRPS18C,RPS14,RPS21,SRP14,MRPL23,MRPL33,RPL35A,MRPL46,RPS3A,MRPL58,MRPL53,PSMB4,MRPL51,MRPL16,MRPS26,MRPL32,MRPL13,RPS7,MRPL4,RPS16,RPS26,RPL12,UFD1,RPL27,MRPS30,RPL38,MRPS34,PSMA5,MRPL10,PSMB7,MRPS17,MRPS22,MRPS9,MRPL22,RPS12,MTRES1,RPS19,SARS1,RPL22,EIF3J,RPL31,SEC61G,RPS2,KGD4,PSMB2,MTIF3,RPL7A,MRPS33,MRPS25,MRPL38,EIF4B,RPS27L,RPS15,RPS24,SRP19,RPL24,MRPL19,RPL36AL,MRPS28,RPS4X,MRPL11,RPSA,MRPL54,PSMB5,MRPL27,MRPL20,MRPS15","14477,10442,14499,10397,10416,10303,2673,10333,10379,10359,29996,9535,16686,10353,16653,16635,14051,586,14048,10386,14034,10405,11304,10317,10316,10340,17479,10420,3597,7234,9540,14479,17697,14279,14488,14516,10426,14056,10389,10413,10368,11323,10327,14484,10348,16650,9533,23518,9543,14489,14502,14050,14054,10383,14495,10401,10418,10313,3279,10331,10344,10377,26784,9537,27610,10360,14509,14053,14491,3250,16633,10387,10409,11299,10322,14487,10345,1192,10421,5359,16684,9541,14044,14476,14045,14035,14278,10440,14276,10396,10414,10302,12520,10328,8769,10349,16618,9534,14055,9544,14047,14508,14501,14480,10385,17971,10402,10537,10315,3270,10334,18277,10404,16631,9539,29788,10364,16634,14511,14033,3285,18476,10388,10411,11300,10325,14052,10346,14513,10424,14042,6502,16685,9542,14483,14478,14504"
NA,"REACTOME pathway","R-HSA-156902","Peptide chain elongation",80,52,2.811,2.828,1.5,9.65327238106109e-16,15.0153254393892,2.41331809526527e-12,7.04379598668302e-14,5.91781819400568e-13,"RPS27,RPS20,RPSA,RPL22,RPL34,RPS3,RPS13,RPL35,RPL7A,RPL26,RPL37A,RPS5,RPS15A,RPS25,RPL13,RPL29,RPLP2,RPS10,RPS18,RPS28,RPS21,RPL4,RPL23A,RPL35A,RPS3A,RPS14,RPS27L,RPL8,RPL27,RPL38,RPS7,RPS16,RPS26,RPS19,FAU,RPL21,RPL31,RPS2,RPS12,RPL23,RPS24,RPL5,RPL24,RPL36AL,RPS4X,RPS15,RPL22L1,RPL12,RPL30,RPL36A,RPS9,RPS17","10416,10405,6502,10315,10340,10420,10386,10344,10364,10327,10348,10426,10389,10413,10303,10331,10377,10383,10401,10418,10409,10353,10317,10345,10421,10387,18476,10368,10328,10349,10440,10396,10414,10402,3597,10313,10334,10404,10385,10316,10411,10360,10325,10346,10424,10388,27610,10302,10333,10359,10442,10397"
NA,"REACTOME pathway","R-HSA-72764","Eukaryotic Translation Termination",83,53,2.865,2.7782,1.474,1.57637907302047e-15,14.8023393391782,3.94094768255117e-12,1.09470768959755e-13,9.19714468571508e-13,"RPL37A,RPS5,RPS15A,RPS25,RPL7A,RPL26,RPL29,RPLP2,RPS10,RPS18,APEH,RPS28,RPL13,RPL35A,RPS3A,RPS14,RPS21,RPL4,RPS27L,RPL23A,RPL38,RPS7,RPS16,RPS26,RPL8,RPL27,RPL31,RPS2,RPS12,RPS19,FAU,RPL23,RPL21,RPL36AL,RPS4X,RPS15,RPS24,RPL5,RPL22L1,RPL24,RPL36A,RPS9,RPS17,RPS27,RPL12,RPL30,RPL34,RPS3,RPS13,RPS20,RPSA,RPL35,RPL22","10348,10426,10389,10413,10364,10327,10331,10377,10383,10401,586,10418,10303,10345,10421,10387,10409,10353,18476,10317,10349,10440,10396,10414,10368,10328,10334,10404,10385,10402,3597,10316,10313,10346,10424,10388,10411,10360,27610,10325,10359,10442,10397,10416,10302,10333,10340,10420,10386,10405,6502,10344,10315"
NA,"REACTOME pathway","R-HSA-192823","Viral mRNA Translation",81,52,2.811,2.7931,1.482,2.10140710209222e-15,14.6774898042978,5.25351775523056e-12,1.41986966357583e-13,1.19289805441719e-12,"RPS10,RPS18,RPS28,RPL13,RPL29,RPLP2,RPS3A,RPS14,RPS21,RPL4,RPS27L,RPL23A,RPL35A,RPS7,RPS16,RPS26,RPL8,RPL27,RPL38,RPS12,RPS19,FAU,RPL23,RPL21,RPL31,RPS2,RPS4X,RPS15,RPS24,RPL5,RPL22L1,RPL24,RPL36AL,RPS9,RPS17,RPS27,RPL12,RPL30,RPL36A,RPS13,RPS20,RPSA,RPL35,RPL22,RPL34,RPS3,RPS5,RPS15A,RPS25,RPL7A,RPL26,RPL37A","10383,10401,10418,10303,10331,10377,10421,10387,10409,10353,18476,10317,10345,10440,10396,10414,10368,10328,10349,10385,10402,3597,10316,10313,10334,10404,10424,10388,10411,10360,27610,10325,10346,10442,10397,10416,10302,10333,10359,10386,10405,6502,10344,10315,10340,10420,10426,10389,10413,10364,10327,10348"
