"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0005789","endoplasmic reticulum membrane",596,97,14.608,1.9729,0.98,1.6665826224264e-11,10.7781731509057,4.16645655606601e-08,1.388818852022e-08,1.16681083413153e-07,"DERL2,GGCX,CLN6,SLC39A7,TMEM94,ERLIN1,CTDNEP1,TMT1B,ALG11,NCLN,DERL1,SLC37A3,RDH11,RPN1,PLPP3,ALG3,SLC27A3,SEC22A,DPAGT1,TAPT1,BCAP29,SPCS3,LPCAT1,LMF2,SEC61A1,EXTL2,ERAP1,VAMP7,SGCE,SEC24B,SCAP,PIGU,UBAC2,AGPAT3,VKORC1,UNC93B1,TXNDC11,STT3A,TMEM33,FZD6,PTDSS1,KDELR1,ICMT,ATP2A2,KRTCAP2,POM121C,ATP13A1,CYBC1,ALG2,HSD17B12,SBF1,DPM1,SIGMAR1,ERLIN2,GHITM,EPHX1,REEP3,ALG1,RINT1,SCD5,G6PC3,NSDHL,SLC37A4,PIGG,TAP1,SPTLC2,SLC9A6,UFL1,GPAT4,PEDS1,AGPAT4,ALG8,RNF170,TMX2,FADS1,TMEM63B,ULK1,LPGAT1,PDIA5,TBL2,BNIP3,STT3B,RDH14,ALG9,CERS5,NBAS,SOAT1,SGPL1,MARCHF6,SACM1L,SLC39A1,EXT1,TBC1D20,ATP11C,TMX4,SLC30A5,LRRC8E","17943,4247,2077,4927,28983,16947,19085,28276,32456,26923,28454,20651,17964,10381,9229,23056,10997,20260,2995,26887,24131,26212,25718,25096,18276,3516,18173,11486,10808,10704,30634,15791,20486,326,23663,13481,28030,6172,25541,4044,9587,6304,5350,812,28942,34005,24215,28672,23159,18646,10542,3005,8157,1356,17281,3401,23711,18294,21876,21088,24861,13398,4061,25985,43,11278,11079,23039,20880,16735,20885,23161,25358,30739,3574,17735,12558,28985,24811,11586,1084,30611,19979,15672,23749,15625,11177,10817,30550,17059,12876,3512,16133,13554,25237,19089,26272"
NA,"Direct GO Cellular Component","GO:0005783","endoplasmic reticulum",893,125,18.825,1.6968,0.763,5.15548126584613e-10,9.2877307869575,1.28887031646153e-06,3.22217579115383e-07,2.70709863789712e-06,"SELENOF,MARCHF6,POM121C,STOM,GLUD1,VAMP7,DHRS1,PIGG,ATP11C,AGPAT3,RINT1,SACM1L,LPCAT1,SEC22A,ZDHHC18,METTL9,SLC39A7,PTDSS1,KDELR1,ATP7A,EXTL2,FADS1,ALG2,NBAS,GPAT4,TMEM63B,RGMA,ALG8,UFL1,EDEM3,SEC61A1,DPM1,ALG3,PEDS1,ENTPD5,SLC37A4,RPN1,G6PC3,DNAJC10,STT3B,ALG1,LDAH,ERLIN2,ALG9,CES3,TRAPPC9,TXNDC11,SPTLC2,SEC24B,ATP1A1,EPHX1,HADHB,TAP1,TBC1D20,CLN6,YIPF6,AGPAT4,SLC30A5,SCAP,SCD5,SLC39A1,SLC37A3,RDH11,FZD6,LPGAT1,BCL2L1,FGFR3,PCSK6,CERS5,ERAP1,TMT1B,AMBRA1,ATP13A1,PDIA5,DERL1,CTDNEP1,UNC93B1,NSDHL,SGPL1,SIGMAR1,ALG11,DPAGT1,GGCX,SOAT1,TIMM50,ZDHHC13,REEP3,TMX4,SPCS3,MGAT4B,HPS6,TBL2,ARB2A,TMX2,TMEM94,ERLIN1,ATP2A2,EXT1,STT3A,VTN,PIGU,TMEM33,NCLN,VKORC1,TMEM131L,LRRC8E,USP25,GHDC,HSD17B12,PLPP3,PUM3,UBAC2,BNIP3,FOS,PRKCE,LMF2,INPP5K,KRTCAP2,BCAP29,RDH14,SLC27A3,CYBC1,ICMT,RNF170,DERL2","17705,30550,34005,3383,4335,11486,16445,25985,13554,326,21876,17059,25718,20260,20712,24586,4927,9587,6304,869,3516,3574,23159,15625,20880,17735,30308,23161,23039,16787,18276,3005,23056,16735,3367,4061,10381,24861,24637,30611,18294,26145,1356,15672,1865,30832,28030,11278,10704,799,3401,4803,43,16133,2077,28304,20885,19089,30634,21088,12876,20651,17964,4044,28985,992,3690,8569,23749,18173,28276,25990,24215,24811,28454,19085,13481,13398,10817,8157,32456,2995,4247,11177,23656,18413,23711,25237,26212,7048,18817,11586,25365,30739,28983,16947,812,3512,6172,12724,15791,25541,26923,23663,29146,26272,12624,24438,18646,9229,29676,20486,1084,3796,9401,25096,33882,28942,24131,19979,10997,28672,5350,25358,17943"
NA,"SLIM2 GO CC","GO:0005783","endoplasmic reticulum",1052,139,20.934,1.6017,0.68,2.4962219435454e-09,8.60271680337588,6.2405548588635e-06,1.04009247647725e-06,8.73829706649977e-06,"SEC22A,ATP2A2,RDH11,FADS1,PRSS23,PLPP3,ALG3,SLC27A3,HPS6,LMF2,YIPF6,ATP11C,MTMR12,BCAP29,GLUD1,SPCS3,CES3,LPCAT1,SEC61A1,EPHX1,ERAP1,VAMP7,SGCE,SEC24B,SCAP,STT3A,ARB2A,PIGU,ALG11,BCL2L1,AGPAT3,PRKCE,VKORC1,INPP5K,UNC93B1,TXNDC11,SLC37A4,SERPIND1,FZD6,PTDSS1,KDELR1,ICMT,STT3B,TIMM50,TAPT1,VTN,TMEM33,FGFR3,ATP13A1,MGAT4B,CYBC1,RGMA,ALG2,GHITM,BNIP3,HSD17B12,SBF1,DPM1,SIGMAR1,ERLIN2,EDEM3,G6PC3,C4A,UBAC2,ATP1A1,ALG1,HADHB,RINT1,USP25,SCD5,NSDHL,EXT1,PIGG,TAP1,SPTLC2,SLC9A6,UFL1,RPN1,ZDHHC18,GPAT4,POM121C,ENTPD5,AGPAT4,SELENOF,ALG8,ZDHHC13,RNF170,TBL2,DNAJC10,TMX2,GGCX,WNT5A,ULK1,LPGAT1,PDIA5,LDAH,CERS5,DHRS1,REEP3,THADA,TMEM63B,FOS,RDH14,TMEM131L,ALG9,SLC39A1,DPAGT1,NBAS,SOAT1,SGPL1,MARCHF6,SACM1L,TRAPPC9,TBC1D20,F5,PEDS1,ATP7A,TMX4,PCSK6,SLC30A5,METTL9,LRRC8E,DERL2,EXTL2,SLC39A7,TMEM94,ERLIN1,CTDNEP1,KRTCAP2,GHDC,TMT1B,SLC30A7,CLN6,STOM,NCLN,PUM3,DERL1,AMBRA1,SLC37A3","20260,812,17964,3574,14370,9229,23056,10997,18817,25096,28304,13554,18191,24131,4335,26212,1865,25718,18276,3401,18173,11486,10808,10704,30634,6172,25365,15791,32456,992,326,9401,23663,33882,13481,28030,4061,4838,4044,9587,6304,5350,30611,23656,26887,12724,25541,3690,24215,7048,28672,30308,23159,17281,1084,18646,10542,3005,8157,1356,16787,24861,1323,20486,799,18294,4803,21876,12624,21088,13398,3512,25985,43,11278,11079,23039,10381,20712,20880,34005,3367,20885,17705,23161,18413,25358,11586,24637,30739,4247,12784,12558,28985,24811,26145,23749,16445,23711,19217,17735,3796,19979,29146,15672,12876,2995,15625,11177,10817,30550,17059,30832,16133,3542,16735,869,25237,8569,19089,24586,26272,17943,3516,4927,28983,16947,19085,28942,24438,28276,19306,2077,3383,26923,29676,28454,25990,20651"
NA,"Direct GO Cellular Component","GO:0005739","mitochondrion",1209,148,22.289,1.4839,0.569,1.23909505437354e-07,6.90689537642744,0.000309773763593386,3.40060340842817e-05,0.000285700391650194,"PTPMT1,CPT2,NUDT8,GLUD1,NUDT19,MIPEP,ISOC2,SLC25A21,ATP5F1A,WWOX,SLC25A12,SDR39U1,LRPPRC,OSGEPL1,MLLT11,ABCB10,SLC25A3,ACAD9,TK2,APOOL,DNA2,PTGR3,HADHB,OGG1,TMEM177,ABCB7,TIMM29,ATP5PO,MRM3,GTF3C4,SQOR,SLC9A6,ACSS3,PHB2,ACOT9,PYCR1,STOML2,UQCRC2,BPHL,METTL15,NIPSNAP2,MIGA1,FADS1,PDK2,MPV17L2,SLC25A6,MARS2,TFB1M,OGT,PECR,MFN2,MCUR1,MTX2,SIRT3,GHITM,SOX4,SFXN4,CS,MFSD8,GPD2,TIMM23,NDUFA9,L2HGDH,UBE3B,ATP5F1B,TMEM160,TMEM11,VARS2,SLC25A15,METTL17,SLC27A3,GCAT,POLRMT,TIMM21,TOP3A,BCL2L1,BRI3BP,ECHS1,ARL10,IDH3B,PCCA,SPNS1,SLC25A4,MTG1,YARS2,UROS,AMBRA1,LONP1,SLC25A19,PITRM1,TEFM,VWA8,NOCT,ALDH18A1,MTFR2,CASP9,MICU2,GK,LIPT2,NBR1,RPUSD4,ANXA6,METTL9,NIPSNAP1,PLGRKT,AMMECR1,MCCC2,YME1L1,MLYCD,PHB1,HDHD5,SUPV3L1,FAM210A,SLC25A10,TMEM102,HADHA,SLC11A2,TRMT2B,MCU,ATP5F1C,PTCD3,SLC25A14,MTUS1,BCKDK,NT5DC2,POLG2,PDSS1,PRKCE,PYCR2,UQCRC1,BNIP3,SLC30A7,STOM,NDUFS7,IDH3G,PDK1,COQ5,SLC25A5,TIMM50,TMX2,SLC25A11,DDX28,PMPCB,GUF1,ATP5MG,LARS2,MTHFD1L,SLC25A1","26965,2330,8055,4335,32036,7104,26278,14411,823,12799,10982,20275,15714,23075,16997,41,10989,21497,11831,24009,2939,28697,4803,8125,28143,48,25152,850,18485,4667,20390,11079,24723,30306,17152,9721,14559,12586,1094,26606,4179,24741,3574,8810,28177,10992,25133,17037,8127,18281,16877,21097,7506,14931,17281,11200,16088,2422,28486,4456,17312,7693,20499,13478,830,26042,16823,21642,10985,19280,10997,4188,9200,25010,11992,992,14251,3151,22042,5385,8653,30621,10990,32159,24249,12592,25990,9479,14409,17663,26223,29071,14254,9722,21115,1511,31830,4289,37216,6746,25898,544,24586,7827,23633,467,6937,12843,7150,8912,1843,11471,28346,10980,26722,4801,10908,25748,23526,833,24717,10984,29789,16902,25717,9180,17759,9401,30262,12585,1084,19306,3383,7714,5386,8809,28722,10991,23656,30739,10981,17330,9119,25799,14247,17095,21055,10979"
NA,"Direct GO Cellular Component","GO:0005743","mitochondrial inner membrane",349,58,8.735,2.0145,1.01,1.36024136337127e-07,6.86638402289466,0.000340060340842817,3.40060340842817e-05,0.000285700391650194,"ATP5F1A,HADHA,UQCRC2,SPNS1,PTPMT1,PHB2,TMEM160,ATP5PO,PHB1,TMEM11,SLC25A21,MICU2,ACOT9,SLC25A19,SLC25A10,SLC25A1,SLC25A5,L2HGDH,MTG1,ATP5MG,TIMM21,ATP5F1B,HADHB,SLC25A11,COQ5,SFXN4,ABCB10,PTCD3,BCL2L1,SLC25A3,SLC25A14,ABCB7,MCU,NDUFS7,GHITM,GUF1,SLC25A6,GPD2,UQCRC1,TMEM177,TIMM50,YME1L1,STOML2,ATP5F1C,NDUFA9,SLC25A12,MPV17L2,APOOL,GCAT,SQOR,CPT2,ALDH18A1,SLC25A15,SLC25A4,TIMM29,TIMM23,ACAD9,MCUR1","823,4801,12586,30621,26965,30306,26042,850,8912,16823,14411,31830,17152,14409,10980,10979,10991,20499,32159,14247,25010,830,4803,10981,28722,16088,41,24717,992,10989,10984,48,23526,7714,17281,25799,10992,4456,12585,28143,23656,12843,14559,833,7693,10982,28177,24009,4188,20390,2330,9722,10985,10990,25152,17312,21497,21097"
NA,"SLIM2 GO CC","GO:0005739","mitochondrion",1247,151,22.741,1.4679,0.554,1.79602656795342e-07,6.74568724326436,0.000449006641988356,4.08187856353051e-05,0.000342937462621739,"ULK1,POLG2,YARS2,OSGEPL1,CPT2,UBE3B,NDUFA9,NUDT8,TK2,HDHD5,SLC25A19,SDR39U1,SLC25A10,SLC11A2,ACSS3,SLC25A11,NDUFS7,ATP5MG,OGT,LONP1,MLYCD,MRM3,SLC25A5,L2HGDH,NIPSNAP2,PTPMT1,PDK1,PTGR3,MLLT11,ABCB10,WWOX,SLC25A6,SQOR,GK,PRKCE,COQ5,SLC25A14,HADHB,NUDT19,BCKDK,MTHFD1L,MCCC2,ATP5F1C,MPV17L2,IDH3G,BRI3BP,PYCR1,GCAT,TIMM21,PECR,BPHL,FADS1,UQCRC2,MARS2,AMMECR1,MICU2,UFL1,LARS2,TFB1M,SUPV3L1,NT5DC2,CS,TIMM50,OGG1,MFSD8,TOP3A,STOML2,TIMM29,VARS2,DNA2,PHB1,TEFM,SLC25A12,LIPT2,MTX2,SLC25A15,PMPCB,PDSS1,DDX28,ATP5F1A,TMEM177,GLUD1,SFXN4,PDK2,ARL10,PHB2,GHITM,TMEM160,ANXA6,MCUR1,GPD2,SOX4,RPUSD4,GTF3C4,APOOL,TIMM23,PITRM1,PYCR2,BCL2L1,SLC25A21,MIPEP,SLC30A7,ALDH18A1,NOCT,TMX2,PLGRKT,CASP9,NBR1,METTL17,UROS,METTL15,SLC9A6,SLC25A1,NIPSNAP1,AGPAT4,SIRT3,PTCD3,SLC25A4,ISOC2,ECHS1,MTFR2,PCCA,TMEM102,YME1L1,SLC27A3,METTL9,ABCB7,MTUS1,STOM,SLC25A3,TRMT2B,TMEM11,BNIP3,MIGA1,LRPPRC,ACOT9,GUF1,ATP5F1B,SPNS1,IDH3B,FAM210A,POLRMT,VWA8,ACAD9,AMBRA1,ATP5PO,HADHA,UQCRC1,MTG1,MFN2,MCU","12558,9180,24249,23075,2330,13478,7693,8055,11831,1843,14409,20275,10980,10908,24723,10981,7714,14247,8127,9479,7150,18485,10991,20499,4179,26965,8809,28697,16997,41,12799,10992,20390,4289,9401,28722,10984,4803,32036,16902,21055,6937,833,28177,5386,14251,9721,4188,25010,18281,1094,3574,12586,25133,467,31830,23039,17095,17037,11471,25717,2422,23656,8125,28486,11992,14559,25152,21642,2939,8912,26223,10982,37216,7506,10985,9119,17759,17330,823,28143,4335,16088,8810,22042,30306,17281,26042,544,21097,4456,11200,25898,4667,24009,17312,17663,30262,992,14411,7104,19306,9722,14254,30739,23633,1511,6746,19280,12592,26606,11079,10979,7827,20885,14931,24717,10990,26278,3151,21115,8653,26722,12843,10997,24586,48,29789,3383,10989,25748,16823,1084,24741,15714,17152,25799,830,30621,5385,28346,9200,29071,21497,25990,850,4801,12585,32159,16877,23526"
NA,"Direct GO Cellular Component","GO:0005759","mitochondrial matrix",352,55,8.283,1.8941,0.922,2.19247248271437e-06,5.6590658486713,0.00548118120678592,0.000379155783296057,0.00318546277744835,"MTHFD1L,MCCC2,MARS2,PCCA,TOP3A,LARS2,ECHS1,LIPT2,TFB1M,TEFM,POLRMT,PMPCB,PDSS1,ATP5F1B,IDH3B,DDX28,RPUSD4,NDUFA9,SUPV3L1,PITRM1,CPT2,METTL15,PYCR2,METTL17,PDK1,NIPSNAP1,SIRT3,NIPSNAP2,PTCD3,TRMT2B,PYCR1,LRPPRC,ATP5F1C,IDH3G,ACOT9,GUF1,MTG1,OGG1,TK2,POLG2,CS,NDUFS7,YARS2,ACSS3,PDK2,LONP1,MLYCD,ATP5F1A,GLUD1,MRM3,COQ5,ALDH18A1,BCKDK,BCL2L1,MIPEP","21055,6937,25133,8653,11992,17095,3151,37216,17037,26223,9200,9119,17759,830,5385,17330,25898,7693,11471,17663,2330,26606,30262,19280,8809,7827,14931,4179,24717,25748,9721,15714,833,5386,17152,25799,32159,8125,11831,9180,2422,7714,24249,24723,8810,9479,7150,823,4335,18485,28722,9722,16902,992,7104"
NA,"Direct GO Cellular Component","GO:0042645","mitochondrial nucleoid",43,13,1.958,3.6648,1.874,2.60613176852871e-05,4.5840036297216,0.0651532942132178,0.00296151337332808,0.0248810410687733,"SUPV3L1,ATP5F1B,POLG2,HADHB,TEFM,LONP1,DNA2,TFB1M,POLRMT,SLC25A5,LRPPRC,HADHA,DDX28","11471,830,9180,4803,26223,9479,2939,17037,9200,10991,15714,4801,17330"
NA,"Direct GO Cellular Component","GO:0009925","basal plasma membrane",27,8,1.205,3.5917,1.845,0.00110964412920456,2.9548162802252,1,0.0279772672943983,0.23504993859329,"LDLRAP1,ERBB2,SLC23A2,BMPR2,MYO1C,SLC7A8,DTNB,SLC6A9","18640,3430,10973,1078,7597,11066,3058,11056"
NA,"Direct GO Cellular Component","GO:0032039","integrator complex",17,6,0.904,4.2783,2.097,0.00172802047423383,2.76245111614295,1,0.0340671877281884,0.286214171644993,"INTS10,INTS6L,INTS7,INTS8,INTS1,INTS3","25548,27334,24484,26048,24555,26153"
