"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-382551","Transport of small molecules",242,46,6.928,2.3042,1.204,5.09900190869829e-08,7.29251482546399,0.000127475047717457,1.82107211024939e-05,0.000152996675187707,"ATP9A,CES3,SLC6A15,ATP11C,SLC31A1,SLC25A1,SLC39A7,YME1L1,SLC7A11,SLC30A5,ABCA3,PCSK6,SLC4A7,SLC7A8,STOML2,LMF2,ATP6V0A1,PRKACG,SOAT1,SLC9A6,SLC39A14,ANO10,SLC25A10,SLC25A11,ERLIN2,LDLRAP1,DERL1,ABCB7,ABCB1,PMPCB,ABCB10,DERL2,MICU2,ATP7A,SLC6A9,TFRC,ERLIN1,ATP6V0A2,GNB4,STOM,SLC7A6,PHB2,SLC39A1,LRRC8E,ATP1A1,PHB1","13540,1865,13621,13554,11016,10979,4927,12843,11059,19089,33,8569,11033,11066,14559,25096,865,9382,11177,11079,20858,25519,10980,10981,1356,18640,28454,48,40,9119,41,17943,31830,869,11056,11763,16947,18481,20731,3383,11064,30306,12876,26272,799,8912"
NA,"KEGG Pathway H.sap","md:hsa_M00055","N-glycan precursor biosynthesis",10,7,1.054,8.4854,3.085,2.42659701309477e-06,5.6150023413116,0.00606649253273692,0.000379155783296057,0.00318546277744835,"ALG3,DPAGT1,ALG9,ALG2,ALG11,ALG1,ALG8","23056,2995,15672,23159,32456,18294,23161"
NA,"KEGG Pathway H.sap","path:hsa00510","N-Glycan biosynthesis",39,13,1.958,4.0407,2.015,7.88714106037013e-06,5.1030803918109,0.0197178526509253,0.000993900949144971,0.00835022072048879,"ALG9,STT3B,ALG2,MGAT4B,DPAGT1,ALG1,ALG11,ALG8,RPN1,DPM1,ALG3,STT3A,KRTCAP2","15672,30611,23159,7048,2995,18294,32456,23161,10381,3005,23056,6172,28942"
NA,"REACTOME pathway","R-HSA-556833","Metabolism of lipids",349,53,7.982,1.8409,0.88,7.95120759315976e-06,5.09956690766831,0.0198780189828994,0.000993900949144971,0.00835022072048879,"PLPP3,MED13,HADHB,MLYCD,PECR,DDHD1,SPTLC2,CPT2,PRKACG,SLC27A3,NSDHL,TRIB3,PTPMT1,LPGAT1,GPD2,ACOX3,CDK19,MTMR12,LPCAT1,NUDT19,SGPL1,SEC24B,FADS1,ACOT9,AGPAT3,FAM120B,CLOCK,ECHS1,SBF1,SACM1L,HSD17B12,PLEKHA3,GPAT4,MED12,HADHA,GNPAT,MED13L,ETNK1,SCD5,MED17,SLC25A17,CHKA,PCCA,LDLRAP1,AGPAT4,CERS5,PTDSS1,GK,UGCG,SCAP,INPP5K,ACSS3,MIGA1","9229,22474,4803,7150,18281,19714,11278,2330,9382,10997,13398,16228,26965,28985,4456,121,19338,18191,25718,32036,10817,10704,3574,17152,326,21109,2082,3151,10542,17059,18646,14338,20880,11957,4801,4416,22962,24649,21088,2375,10987,1937,8653,18640,20885,23749,9587,4289,12524,30634,33882,24723,24741"
NA,"REACTOME pathway","R-HSA-425410","Metal ion SLC transporters",10,6,0.904,7.2732,2.863,4.84998116601656e-05,4.31425994789484,0.121249529150414,0.00385929322643597,0.0324237040859563,"SLC31A1,SLC39A14,SLC39A7,SLC39A1,SLC9A6,SLC30A5","11016,20858,4927,12876,11079,19089"
NA,"REACTOME pathway","R-HSA-1483206","Glycerophospholipid biosynthesis",58,15,2.259,3.135,1.648,4.93989532983804e-05,4.30628225313209,0.123497383245951,0.00385929322643597,0.0324237040859563,"HADHA,LPCAT1,PTDSS1,GPAT4,CHKA,AGPAT3,HADHB,DDHD1,LPGAT1,MIGA1,GPD2,AGPAT4,GNPAT,PTPMT1,ETNK1","4801,25718,9587,20880,1937,326,4803,19714,28985,24741,4456,20885,4416,26965,24649"
NA,"REACTOME pathway","R-HSA-425407","SLC-mediated transmembrane transport",58,15,2.259,3.135,1.648,4.93989532983804e-05,4.30628225313209,0.123497383245951,0.00385929322643597,0.0324237040859563,"SLC4A7,SLC6A9,SLC39A14,SLC25A11,SLC6A15,SLC31A1,SLC9A6,SLC25A1,SLC7A11,SLC7A6,SLC30A5,SLC25A10,SLC7A8,SLC39A7,SLC39A1","11033,11056,20858,10981,13621,11016,11079,10979,11059,11064,19089,10980,11066,4927,12876"
NA,"KEGG Pathway H.sap","path:hsa00513","Various types of N-glycan biosynthesis",29,10,1.506,4.18,2.064,6.43180107973651e-05,4.19166739574416,0.160795026993413,0.00477106057387697,0.0400838825005323,"ALG1,KRTCAP2,RPN1,STT3A,ALG3,STT3B,ALG9,MGAT4B,ALG2,ALG11","18294,28942,10381,6172,23056,30611,15672,7048,23159,32456"
NA,"REACTOME pathway","R-HSA-1483166","Synthesis of PA",19,8,1.205,5.104,2.352,6.83928438513526e-05,4.16498933743861,0.170982109628381,0.00477106057387697,0.0400838825005323,"LPCAT1,MIGA1,AGPAT3,DDHD1,GPD2,AGPAT4,GPAT4,GNPAT","25718,24741,326,19714,4456,20885,20880,4416"
NA,"KEGG Pathway H.sap","path:hsa00564","Glycerophospholipid metabolism",44,12,1.807,3.306,1.725,0.000161057525864666,3.79301897674226,0.402643814661664,0.00982058084540645,0.0825072334754226,"GPAT4,GPD2,LPCAT1,AGPAT3,AGPAT4,PLPP3,DGKE,CHKA,GNPAT,ETNK1,PTDSS1,LPGAT1","20880,4456,25718,326,20885,9229,2852,1937,4416,24649,9587,28985"
NA,"REACTOME pathway","R-HSA-3781860","Diseases associated with N-glycosylation of proteins",17,7,1.054,4.9914,2.319,0.000234880359884907,3.62915329633525,0.587200899712268,0.0119836918308626,0.100680527491302,"ALG11,ALG3,ALG9,ALG1,ALG2,DPAGT1,ALG8","32456,23056,15672,18294,23159,2995,23161"
NA,"REACTOME pathway","R-HSA-8949664","Processing of SMDT1",13,6,0.904,5.5948,2.484,0.000319195244477416,3.49594358759888,0.797988111193539,0.0159597622238708,0.134085330465261,"MICU2,PHB1,PHB2,PMPCB,STOML2,YME1L1","31830,8912,30306,9119,14559,12843"
NA,"REACTOME pathway","R-HSA-1483257","Phospholipid metabolism",106,20,3.012,2.2872,1.194,0.000354532301115428,3.45034419050314,0.886330752788571,0.0165796390624169,0.139293201959731,"GPAT4,GNPAT,AGPAT4,SACM1L,CHKA,DDHD1,ETNK1,HADHB,MIGA1,PTDSS1,PLEKHA3,INPP5K,GPD2,PTPMT1,AGPAT3,SBF1,LPGAT1,LPCAT1,MTMR12,HADHA","20880,4416,20885,17059,1937,19714,24649,4803,24741,9587,14338,33882,4456,26965,326,10542,28985,25718,18191,4801"
NA,"REACTOME pathway","R-HSA-1834941","STING mediated induction of host immune responses",9,5,0.753,6.7344,2.752,0.000358120203748205,3.44597117709241,0.895300509370512,0.0165796390624169,0.139293201959731,"PRKDC,XRCC5,TRIM21,XRCC6,STAT6","9413,12833,11312,4055,11368"
NA,"PANTHER Pathway H.sap","P02721","ATP synthesis",3,3,0.452,12.122,3.6,0.000559082245475244,3.25252429921792,1,0.0179049158208737,0.150427463838008,"ATP5F1C,ATP5F1A,ATP5F1B","833,823,830"
NA,"REACTOME pathway","R-HSA-1433617","Regulation of signaling by NODAL",3,3,0.452,12.122,3.6,0.000559082245475244,3.25252429921792,1,0.0179049158208737,0.150427463838008,"ACVR2A,ACVR2B,ACVR1B","173,174,172"
NA,"REACTOME pathway","R-HSA-435354","Zinc transporters",6,4,0.602,8.0813,3.015,0.000601605171581355,3.22068843907268,1,0.0179049158208737,0.150427463838008,"SLC39A14,SLC39A1,SLC39A7,SLC30A5","20858,12876,4927,19089"
