"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO BP","GO:0006810","transport",2032,201,30.271,1.1991,0.262,0.00127655337630504,2.89396102140019,1,0.0290296689676561,0.243891650904637,"BCL2L1,SPNS1,TBC1D20,KDELR1,AP5M1,DDX19A,TIMM50,KIF16B,INPP5K,UNC93B1,RABGGTB,SLC30A7,TMEM63B,USP46,TMEM94,LRPPRC,ATP5PO,SLC37A4,AAAS,SOX4,STRADA,ATP11C,PHAF1,PMPCB,ANKRD50,FLOT2,SLC25A21,SLC37A3,AP4M1,XPO7,SLC25A14,ARRDC3,SLC38A9,TIMM23,SLC7A8,SLC25A3,EEPD1,SLC46A3,TMEM102,TRIB3,GHITM,ATP6V0A2,SLC23A2,SLC6A15,CHKA,UBAC2,VPS52,KAT5,MYO1C,POM121C,ANO10,SNX33,FLOT1,RABGAP1L,NBAS,TFRC,COG3,RINT1,STOM,SLC25A4,SLC39A1,SLC7A11,SOAT1,SLC39A7,SLC25A10,ATP5F1B,IFT56,GPM6B,MEF2A,SLC35E1,ABCB1,SCAP,LDLRAP1,ACAP2,GGCX,PCSK6,RUFY2,SEC61A1,PLPP3,PEX1,TMEM115,BCAP29,SLC7A6,AGAP1,SLC25A1,YIPF6,ANXA3,SLC11A2,SLC27A3,MTX2,ANXA6,UQCRC1,SLC25A11,MYO1D,SIRT3,NDUFA9,PRKCE,EXT1,MICU2,ANKRD27,LRRC8E,TSC2,RFTN1,COG1,SEC22A,SLC4A7,NUP37,KPNA5,TRAPPC9,SFXN4,NKD2,SLC25A5,DYNC2I2,HPS6,IFT172,MCUR1,BNIP3,SLC35F2,TAP1,SIGMAR1,PTPN14,ENTR1,VANGL1,TPRG1L,ATP7A,MFSD8,CLOCK,GSDME,SEC24B,HEATR5B,NUP93,TIMM29,FBXO45,SLC31A1,SLC25A6,SLC30A5,SLC19A1,TECPR2,SLC39A11,SLC39A14,ATP5F1C,NIPSNAP2,GLUD1,PTEN,ATP9A,CRBN,PLEKHA3,VPS53,GPAT4,CDK16,MAP2,ABCB7,CPT2,PEX13,VPS45,IFT70A,ATP13A1,SLC25A15,DENND10,SLC6A9,ACVR2B,ABCA3,CACNB3,UBR5,ABCB10,ATP2A2,ATP5MG,SLC25A12,VAMP7,CCDC158,DERL2,NDUFS7,ICAM5,VAV2,NUP155,SACM1L,PHB2,MAP6D1,AP5Z1,TIMM21,CLASP2,DERL1,ATP1A1,ATP6V0A1,SYT11,G6PC3,VPS41,SYK,ATP5F1A,IFT57,MCU,FAM91A1,SLC25A19,C4A,WNT5A,VTN,VPS39,ZDHHC13,TRIM23,SLC9A6,SLC25A17","992,30621,16133,6304,20192,25628,23656,15869,33882,13481,9796,19306,17735,20075,28983,15714,850,4061,13666,11200,30172,13554,29564,9119,29223,3758,14411,20651,574,14108,10984,29263,26907,17312,11066,10989,22223,27501,26722,16228,17281,18481,10973,13621,1937,20486,10518,5275,7597,34005,25519,28468,3757,24663,15625,11763,18619,21876,3383,10990,12876,11059,11177,4927,10980,830,21882,4461,6993,20803,40,30634,18640,16469,4247,8569,19761,18276,9229,8850,30055,24131,11064,16922,10979,28304,541,10908,10997,7506,544,12585,10981,7598,14931,7693,9401,3512,31830,25310,26272,12363,30278,6545,20260,11033,29929,6398,30832,16088,17046,10991,28296,18817,30391,21097,1084,23615,43,8157,9647,10667,15512,27007,869,28486,2082,2810,10704,29273,28958,25152,29148,11016,10992,19089,10937,19957,14463,20858,833,4179,4335,9588,13540,30185,14338,25608,20880,8749,6839,48,2330,8855,14579,25853,24215,10985,31793,11056,174,33,1403,16806,41,812,14247,10982,11486,26374,17943,7714,5348,12658,8063,17059,30306,25753,22197,25010,17078,28454,799,865,19239,24861,12713,11491,823,17367,23526,26306,14409,1323,12784,12724,20593,18413,660,11079,10987","transport","AAAS;ABCA3;ABCB1;ABCB10;ABCB7;ACAP2;ACVR2B;AGAP1;ANKRD27;ANKRD50;ANO10;ANXA3;ANXA6;AP4M1;AP5M1;AP5Z1;ARRDC3;ATP11C;ATP13A1;ATP1A1;ATP2A2;ATP5F1A;ATP5F1B;ATP5F1C;ATP5MG;ATP5PO;ATP6V0A1;ATP6V0A2;ATP7A;ATP9A;BCAP29;BCL2L1;BNIP3;C4A;CACNB3;CCDC158;CDK16;CHKA;CLASP2;CLOCK;COG1;COG3;CPT2;CRBN;DDX19A;DENND10;DERL1;DERL2;DYNC2I2;EEPD1;ENTR1;EXT1;FAM91A1;FBXO45;FLOT1;FLOT2;G6PC3;GGCX;GHITM;GLUD1;GPAT4;GPM6B;GSDME;HEATR5B;HPS6;ICAM5;IFT172;IFT56;IFT57;IFT70A;INPP5K;KAT5;KDELR1;KIF16B;KPNA5;LDLRAP1;LRPPRC;LRRC8E;MAP2;MAP6D1;MCU;MCUR1;MEF2A;MFSD8;MICU2;MTX2;MYO1C;MYO1D;NBAS;NDUFA9;NDUFS7;NIPSNAP2;NKD2;NUP155;NUP37;NUP93;PCSK6;PEX1;PEX13;PHAF1;PHB2;PLEKHA3;PLPP3;PMPCB;POM121C;PRKCE;PTEN;PTPN14;RABGAP1L;RABGGTB;RFTN1;RINT1;RUFY2;SACM1L;SCAP;SEC22A;SEC24B;SEC61A1;SFXN4;SIGMAR1;SIRT3;SLC11A2;SLC19A1;SLC23A2;SLC25A1;SLC25A10;SLC25A11;SLC25A12;SLC25A14;SLC25A15;SLC25A17;SLC25A19;SLC25A21;SLC25A3;SLC25A4;SLC25A5;SLC25A6;SLC27A3;SLC30A5;SLC30A7;SLC31A1;SLC35E1;SLC35F2;SLC37A3;SLC37A4;SLC38A9;SLC39A1;SLC39A11;SLC39A14;SLC39A7;SLC46A3;SLC4A7;SLC6A15;SLC6A9;SLC7A11;SLC7A6;SLC7A8;SLC9A6;SNX33;SOAT1;SOX4;SPNS1;STOM;STRADA;SYK;SYT11;TAP1;TBC1D20;TECPR2;TFRC;TIMM21;TIMM23;TIMM29;TIMM50;TMEM102;TMEM115;TMEM63B;TMEM94;TPRG1L;TRAPPC9;TRIB3;TRIM23;TSC2;UBAC2;UBR5;UNC93B1;UQCRC1;USP46;VAMP7;VANGL1;VAV2;VPS39;VPS41;VPS45;VPS52;VPS53;VTN;WNT5A;XPO7;YIPF6;ZDHHC13",201
NA,"SLIM2 GO BP","GO:0044281","small molecule metabolic process",948,104,15.663,1.3298,0.411,0.00105878972968833,2.97519028002777,1,0.0278628876233772,0.234088982172246,"GK,SLC25A17,RDH14,NDUFA9,PDK1,HSD17B12,UPP1,GNPAT,TK2,SGPL1,CPT2,OGG1,SLC4A7,SLC39A14,PTGR3,GPD2,NDUFS7,SOAT1,VKORC1,PECR,EPHX1,MFSD8,PEDS1,ACAD9,CS,GLUD1,TRIB3,SLC23A2,FLCN,COQ5,LDLRAP1,SLC37A4,TYSND1,PCCA,MARCHF6,NUDT12,LPGAT1,ATP5F1C,MCCC2,L2HGDH,IDH3B,UROS,ATP5MG,PDK2,NOCT,ATP5F1A,SLC25A11,PYCR1,SCD5,SLC27A3,THTPA,ALDH18A1,G6PC3,FPGT,SYK,PEX13,SPTLC2,ERLIN1,EXTL2,NUDT19,HADHA,SLC25A15,BPHL,GGCX,ATP7A,SLC7A11,DPM1,RDH11,ATP5PO,SLC19A1,PDXDC1,CLN6,KBTBD2,FADS1,ACOX3,NSDHL,ICMT,SCAP,SLC25A10,OGT,IDH3G,STOML2,MLYCD,ENTPD5,ATP5F1B,SLC25A12,PYCR2,GPAT4,ACOT9,PHKA1,GCAT,PLPP3,MTHFD1L,ACSS3,SLC25A19,PDSS1,ERLIN2,SLC25A21,NMRK1,HADHB,IMPA2,BCKDK,NUDT8,ECHS1","4289,10987,19979,7693,8809,18646,12576,4416,11831,10817,2330,8125,11033,20858,28697,4456,7714,11177,23663,18281,3401,28486,16735,21497,2422,4335,16228,10973,27310,28722,18640,4061,28531,8653,30550,18826,28985,833,6937,20499,5385,12592,14247,8810,14254,823,10981,9721,21088,10997,18987,9722,24861,3825,11491,8855,11278,16947,3516,32036,4801,10985,1094,4247,869,11059,3005,17964,850,10937,28995,2077,21751,3574,121,13398,5350,30634,10980,8127,5386,14559,7150,3367,830,10982,30262,20880,17152,8925,4188,9229,21055,24723,14409,17759,1356,14411,26057,4803,6051,16902,8055,3151","small molecule metabolic process","ACAD9;ACOT9;ACOX3;ACSS3;ALDH18A1;ATP5F1A;ATP5F1B;ATP5F1C;ATP5MG;ATP5PO;ATP7A;BCKDK;BPHL;CLN6;COQ5;CPT2;CS;DPM1;ECHS1;ENTPD5;EPHX1;ERLIN1;ERLIN2;EXTL2;FADS1;FLCN;FPGT;G6PC3;GCAT;GGCX;GK;GLUD1;GNPAT;GPAT4;GPD2;HADHA;HADHB;HSD17B12;ICMT;IDH3B;IDH3G;IMPA2;KBTBD2;L2HGDH;LDLRAP1;LPGAT1;MARCHF6;MCCC2;MFSD8;MLYCD;MTHFD1L;NDUFA9;NDUFS7;NMRK1;NOCT;NSDHL;NUDT12;NUDT19;NUDT8;OGG1;OGT;PCCA;PDK1;PDK2;PDSS1;PDXDC1;PECR;PEDS1;PEX13;PHKA1;PLPP3;PTGR3;PYCR1;PYCR2;RDH11;RDH14;SCAP;SCD5;SGPL1;SLC19A1;SLC23A2;SLC25A10;SLC25A11;SLC25A12;SLC25A15;SLC25A17;SLC25A19;SLC25A21;SLC27A3;SLC37A4;SLC39A14;SLC4A7;SLC7A11;SOAT1;SPTLC2;STOML2;SYK;THTPA;TK2;TRIB3;TYSND1;UPP1;UROS;VKORC1",104
NA,"SLIM2 GO BP","GO:0006629","lipid metabolic process",614,83,12.5,1.6386,0.712,2.82110815772933e-06,5.54958026322266,0.00705277039432332,0.000414868846724901,0.00348550471069352,"RDH14,MARCHF6,GPR180,SCAP,SLC30A5,PDK1,ATP1A1,ACOX3,SIRT3,GPAT4,ATP5F1A,OGT,TYSND1,NUDT8,SLC25A17,ECHS1,PTDSS1,MLYCD,KAT5,DDHD1,DPM1,CERS5,KBTBD2,ERLIN1,TRIB3,INPP5K,LPCAT1,FADS1,PTEN,PECR,PRKCE,MFSD8,NSDHL,PTGR3,LDLRAP1,PDK2,PLPP3,SGPL1,PEX13,PEDS1,PIGU,ATP5F1B,LPGAT1,GK,NUDT19,AGPAT3,HADHA,ETNK1,ACOT9,CTDNEP1,DGKE,CLN6,UGCG,ABCA3,HPS6,ERLIN2,PIGG,RDH11,PTPMT1,PCCA,SACM1L,SCD5,CPT2,GGCX,CHKA,PHB2,ACSS3,BCKDK,TM9SF2,SLC27A3,EPHX1,HSD17B12,PDSS1,SOAT1,HDHD5,GNPAT,AGPAT4,HADHB,IMPA2,ACAD9,LDAH,SPTLC2,ABHD16A","19979,30550,28899,30634,19089,8809,799,121,14931,20880,823,8127,28531,8055,10987,3151,9587,7150,5275,19714,3005,23749,21751,16947,16228,33882,25718,3574,9588,18281,9401,28486,13398,28697,18640,8810,9229,10817,8855,16735,15791,830,28985,4289,32036,326,4801,24649,17152,19085,2852,2077,12524,33,18817,1356,25985,17964,26965,8653,17059,21088,2330,4247,1937,30306,24723,16902,11865,10997,3401,18646,17759,11177,1843,4416,20885,4803,6051,21497,26145,11278,13921","lipid metabolic process","ABCA3;ABHD16A;ACAD9;ACOT9;ACOX3;ACSS3;AGPAT3;AGPAT4;ATP1A1;ATP5F1A;ATP5F1B;BCKDK;CERS5;CHKA;CLN6;CPT2;CTDNEP1;DDHD1;DGKE;DPM1;ECHS1;EPHX1;ERLIN1;ERLIN2;ETNK1;FADS1;GGCX;GK;GNPAT;GPAT4;GPR180;HADHA;HADHB;HDHD5;HPS6;HSD17B12;IMPA2;INPP5K;KAT5;KBTBD2;LDAH;LDLRAP1;LPCAT1;LPGAT1;MARCHF6;MFSD8;MLYCD;NSDHL;NUDT19;NUDT8;OGT;PCCA;PDK1;PDK2;PDSS1;PECR;PEDS1;PEX13;PHB2;PIGG;PIGU;PLPP3;PRKCE;PTDSS1;PTEN;PTGR3;PTPMT1;RDH11;RDH14;SACM1L;SCAP;SCD5;SGPL1;SIRT3;SLC25A17;SLC27A3;SLC30A5;SOAT1;SPTLC2;TM9SF2;TRIB3;TYSND1;UGCG",83
NA,"SLIM2 GO BP","GO:0042592","homeostatic process",760,76,11.446,1.2122,0.278,0.0406002070671131,1.39147175145051,1,0.17466272580043,1,"ABCB7,THADA,LPCAT1,SLC9A6,ANXA6,WNT5A,ATP6V0A1,TMEM94,ATP2A2,SOX4,SPNS1,MICU2,SLC30A7,SLC11A2,OGT,ABCA3,INPP5K,CYLD,ATP13A1,TMEM63B,SOAT1,ATP5F1B,PRKCE,LRRC8E,ACVR2B,FLCN,ACVR2A,ATP7A,BMPR1A,HPS6,SLC39A7,ATP6V0A2,CPT2,CLN6,SLC37A4,ABCB10,RGN,GHITM,BNIP3,IQCB1,SLC25A5,SLC39A14,MFN2,SLC7A11,MCU,RASSF2,SYPL2,NEMP1,SLC31A1,LDLRAP1,SLC4A7,PRKACG,ABCB1,LAMA4,SYK,PRKDC,EXT1,NFIB,ATP1A1,SLC30A5,LDAH,STAT6,KAT5,PDK2,AMBRA1,STOML2,RC3H1,MCUR1,ARRDC3,UFL1,CDK16,KDM6B,TFRC,MAPK8,ACVR1B,MED13","48,19217,25718,11079,544,12784,865,28983,812,11200,30621,31830,19306,10908,8127,33,33882,2584,24215,17735,11177,830,9401,26272,174,27310,173,869,1076,18817,4927,18481,2330,2077,4061,41,9989,17281,1084,28949,10991,20858,16877,11059,23526,9883,27638,29001,11016,18640,11033,9382,40,6484,11491,9413,3512,7785,799,19089,26145,11368,5275,8810,25990,14559,29434,21097,29263,23039,8749,29012,11763,6881,172,22474","homeostatic process","ABCA3;ABCB1;ABCB10;ABCB7;ACVR1B;ACVR2A;ACVR2B;AMBRA1;ANXA6;ARRDC3;ATP13A1;ATP1A1;ATP2A2;ATP5F1B;ATP6V0A1;ATP6V0A2;ATP7A;BMPR1A;BNIP3;CDK16;CLN6;CPT2;CYLD;EXT1;FLCN;GHITM;HPS6;INPP5K;IQCB1;KAT5;KDM6B;LAMA4;LDAH;LDLRAP1;LPCAT1;LRRC8E;MAPK8;MCU;MCUR1;MED13;MFN2;MICU2;NEMP1;NFIB;OGT;PDK2;PRKACG;PRKCE;PRKDC;RASSF2;RC3H1;RGN;SLC11A2;SLC25A5;SLC30A5;SLC30A7;SLC31A1;SLC37A4;SLC39A14;SLC39A7;SLC4A7;SLC7A11;SLC9A6;SOAT1;SOX4;SPNS1;STAT6;STOML2;SYK;SYPL2;TFRC;THADA;TMEM63B;TMEM94;UFL1;WNT5A",76
NA,"SLIM2 GO BP","GO:0007005","mitochondrion organization",303,37,5.572,1.4802,0.566,0.00974812551550384,2.01107888753617,1,0.0768779614787369,0.645887246048955,"DNA2,TIMM21,ATP7A,POLG2,TIMM29,MTX2,GHITM,TFRC,MFSD8,SLC25A5,YME1L1,MCU,SUPV3L1,TMEM102,POLRMT,NDUFS7,BCL2L1,PHB2,MEF2A,BNIP3,APOOL,NIPSNAP2,TOP3A,SLC25A6,ACAD9,MLLT11,MFN2,TEFM,MTFR2,TMEM11,TIMM50,STOML2,SLC25A4,MIGA1,LONP1,DDHD1,PHB1","2939,25010,869,9180,25152,7506,17281,11763,28486,10991,12843,23526,11471,26722,9200,7714,992,30306,6993,1084,24009,4179,11992,10992,21497,16997,16877,26223,21115,16823,23656,14559,10990,24741,9479,19714,8912","mitochondrion organization","ACAD9;APOOL;ATP7A;BCL2L1;BNIP3;DDHD1;DNA2;GHITM;LONP1;MCU;MEF2A;MFN2;MFSD8;MIGA1;MLLT11;MTFR2;MTX2;NDUFS7;NIPSNAP2;PHB1;PHB2;POLG2;POLRMT;SLC25A4;SLC25A5;SLC25A6;STOML2;SUPV3L1;TEFM;TFRC;TIMM21;TIMM29;TIMM50;TMEM102;TMEM11;TOP3A;YME1L1",37
NA,"SLIM2 GO BP","GO:0006091","generation of precursor metabolites and energy",315,37,5.572,1.4239,0.51,0.0173930160905373,1.75962510126931,1,0.108448861105904,0.91112894891485,"IDH3G,UQCRC1,MYBBP1A,ATP5PO,MCU,TEFM,MFN2,ACSS3,ATP5F1B,CS,BCKDK,NDUFS7,GHITM,MCUR1,GPR180,UQCRC2,PDIA5,FLCN,ATP5MG,PDK1,SIRT3,OGT,PHKA1,IDH3B,NDUFA9,ATP5F1C,ATP5F1A,THTPA,ATP7A,SLC25A14,MFSD8,SLC25A4,STOML2,PDK2,MTFR2,INPP5K,PHKA2","5386,12585,7546,850,23526,26223,16877,24723,830,2422,16902,7714,17281,21097,28899,12586,24811,27310,14247,8809,14931,8127,8925,5385,7693,833,823,18987,869,10984,28486,10990,14559,8810,21115,33882,8926","generation of precursor metabolites and energy","ACSS3;ATP5F1A;ATP5F1B;ATP5F1C;ATP5MG;ATP5PO;ATP7A;BCKDK;CS;FLCN;GHITM;GPR180;IDH3B;IDH3G;INPP5K;MCU;MCUR1;MFN2;MFSD8;MTFR2;MYBBP1A;NDUFA9;NDUFS7;OGT;PDIA5;PDK1;PDK2;PHKA1;PHKA2;SIRT3;SLC25A14;SLC25A4;STOML2;TEFM;THTPA;UQCRC1;UQCRC2",37
NA,"Direct GO Biological Processes","GO:0006486","protein glycosylation",88,20,3.012,2.755,1.462,2.30610269852257e-05,4.63712135601421,0.0576525674630643,0.00274536035538402,0.0230650397752989,"STT3A,ALG1,STT3B,DPM1,ALG9,DPAGT1,B4GALT7,ALG2,RPN1,GALNT16,ALG3,EDEM3,EXT1,GALNT10,KRTCAP2,OGT,ALG8,ENTPD5,MGAT4B,COG3","6172,18294,30611,3005,15672,2995,930,23159,10381,23233,23056,16787,3512,19873,28942,8127,23161,3367,7048,18619","protein glycosylation","ALG1;ALG2;ALG3;ALG8;ALG9;B4GALT7;COG3;DPAGT1;DPM1;EDEM3;ENTPD5;EXT1;GALNT10;GALNT16;KRTCAP2;MGAT4B;OGT;RPN1;STT3A;STT3B",20
NA,"SLIM2 GO BP","GO:0006790","sulfur compound metabolic process",155,19,2.861,1.4859,0.571,0.0519373904911863,1.28451987457095,1,0.202563925472646,1,"NUDT19,MLYCD,AAAS,BCKDK,SLC25A10,SQOR,SLC25A19,PDK1,ACOT9,SLC7A11,ICMT,EXT1,NUDT8,THTPA,HSD17B12,PDK2,GPAT4,BPHL,MCCC2","32036,7150,13666,16902,10980,20390,14409,8809,17152,11059,5350,3512,8055,18987,18646,8810,20880,1094,6937","sulfur compound metabolic process","AAAS;ACOT9;BCKDK;BPHL;EXT1;GPAT4;HSD17B12;ICMT;MCCC2;MLYCD;NUDT19;NUDT8;PDK1;PDK2;SLC25A10;SLC25A19;SLC7A11;SQOR;THTPA",19
NA,"Direct GO Biological Processes","GO:0070936","protein K48-linked ubiquitination",72,13,1.958,2.1887,1.13,0.00545993612149062,2.26281243829278,1,0.0575942628849221,0.483875991603271,"KBTBD2,FBXO45,UBR5,CDC16,KBTBD7,USP25,SKP2,ANAPC7,MARCHF6,ANAPC16,ANAPC4,TRIM21,RNF170","21751,29148,16806,1720,25266,12624,10901,17380,30550,26976,19990,11312,25358","protein k48 linked ubiquitination","ANAPC16;ANAPC4;ANAPC7;CDC16;FBXO45;KBTBD2;KBTBD7;MARCHF6;RNF170;SKP2;TRIM21;UBR5;USP25",13
NA,"Direct GO Biological Processes","GO:0001649","osteoblast differentiation",80,13,1.958,1.9698,0.978,0.0132294333831882,1.87845875625274,1,0.0936101387479936,0.786461991905506,"HIRA,BMPR1A,WWOX,PHB1,ACVR2A,MYBBP1A,BMPR2,BCAP29,PTEN,ATP5F1B,UFL1,GLI2,RDH14","4916,1076,12799,8912,173,7546,1078,24131,9588,830,23039,4318,19979","osteoblast differentiation","ACVR2A;ATP5F1B;BCAP29;BMPR1A;BMPR2;GLI2;HIRA;MYBBP1A;PHB1;PTEN;RDH14;UFL1;WWOX",13
