"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-1430728","Metabolism",1162,125,18.825,1.304,0.383,0.000681187798266774,3.16673313991212,1,0.0189218832851882,0.158971477001379,"LPCAT1,SLC27A3,SLC25A21,CES3,TIMM21,UROS,NMRK1,SLC25A14,GNB4,SLC23A2,PDK2,TK2,MIGA1,BPHL,EPHX1,HADHB,TMEM177,SCAP,MTHFD1L,TXNDC11,SLC25A11,PECR,CLOCK,PLEKHA3,SLC25A15,PRKACG,PTPMT1,ABCB7,CHKA,SLC37A4,IMPA2,COQ5,SIRT3,MOCS3,UQCRC1,INPP5K,PLPP3,TRIB3,PTDSS1,THTPA,SLC25A17,PCCA,SBF1,NUDT8,ATP5F1C,SLC25A10,GPD2,L2HGDH,B4GALT7,CERS5,PDSS1,PYCR2,AAAS,ETNK1,MED17,SLC25A19,MED12,PHKA1,UGCG,NUDT19,CACNB3,EXT1,IDH3B,DDHD1,CDK19,GLCE,RDH11,GNPAT,AGPAT3,NUP155,VKORC1,BCKDK,PYCR1,SFXN4,ATP5F1A,CPT2,GK,FADS1,FAM120B,MLYCD,ACAD9,UQCRC2,MTMR12,SGPL1,SQOR,LPGAT1,ACSS3,ATP5MG,PDK1,SLC19A1,NDUFS7,ATP5PO,ECHS1,HADHA,SCD5,SACM1L,G6PC3,ACOT9,NSDHL,ACOX3,CHST12,SPTLC2,MCCC2,MED13,PHKA2,NAT1,ENTPD5,EXTL2,IDH3G,NUDT12,MED13L,LDLRAP1,UPP1,HSD17B12,SLC25A12,AGPAT4,NUP93,NUP37,SEC24B,ALDH18A1,GPAT4,ATP5F1B,CS,GLUD1,NDUFA9","25718,10997,14411,1865,25010,12592,26057,10984,20731,10973,8810,11831,24741,1094,3401,4803,28143,30634,21055,28030,10981,18281,2082,14338,10985,9382,26965,48,1937,4061,6051,28722,14931,15765,12585,33882,9229,16228,9587,18987,10987,8653,10542,8055,833,10980,4456,20499,930,23749,17759,30262,13666,24649,2375,14409,11957,8925,12524,32036,1403,3512,5385,19714,19338,17855,17964,4416,326,8063,23663,16902,9721,16088,823,2330,4289,3574,21109,7150,21497,12586,18191,10817,20390,28985,24723,14247,8809,10937,7714,850,3151,4801,21088,17059,24861,17152,13398,121,17423,11278,6937,22474,8926,7645,3367,3516,5386,18826,22962,18640,12576,18646,10982,20885,28958,29929,10704,9722,20880,830,2422,4335,7693","metabolism","AAAS;ABCB7;ACAD9;ACOT9;ACOX3;ACSS3;AGPAT3;AGPAT4;ALDH18A1;ATP5F1A;ATP5F1B;ATP5F1C;ATP5MG;ATP5PO;B4GALT7;BCKDK;BPHL;CACNB3;CDK19;CERS5;CES3;CHKA;CHST12;CLOCK;COQ5;CPT2;CS;DDHD1;ECHS1;ENTPD5;EPHX1;ETNK1;EXT1;EXTL2;FADS1;FAM120B;G6PC3;GK;GLCE;GLUD1;GNB4;GNPAT;GPAT4;GPD2;HADHA;HADHB;HSD17B12;IDH3B;IDH3G;IMPA2;INPP5K;L2HGDH;LDLRAP1;LPCAT1;LPGAT1;MCCC2;MED12;MED13;MED13L;MED17;MIGA1;MLYCD;MOCS3;MTHFD1L;MTMR12;NAT1;NDUFA9;NDUFS7;NMRK1;NSDHL;NUDT12;NUDT19;NUDT8;NUP155;NUP37;NUP93;PCCA;PDK1;PDK2;PDSS1;PECR;PHKA1;PHKA2;PLEKHA3;PLPP3;PRKACG;PTDSS1;PTPMT1;PYCR1;PYCR2;RDH11;SACM1L;SBF1;SCAP;SCD5;SEC24B;SFXN4;SGPL1;SIRT3;SLC19A1;SLC23A2;SLC25A10;SLC25A11;SLC25A12;SLC25A14;SLC25A15;SLC25A17;SLC25A19;SLC25A21;SLC27A3;SLC37A4;SPTLC2;SQOR;THTPA;TIMM21;TK2;TMEM177;TRIB3;TXNDC11;UGCG;UPP1;UQCRC1;UQCRC2;UROS;VKORC1",125
NA,"KEGG Pathway H.sap","path:hsa01100","Metabolic pathways",849,95,14.307,1.3564,0.44,0.000939159231347954,3.02726076829504,1,0.0249776391315945,0.209848677581965,"MARS2,UGCG,PYCR2,SIRT3,EXTL2,ALG1,SQOR,ALG8,ATP5PO,ALDH18A1,GPD2,MGAT4B,CERS5,RPN1,NMRK1,UQCRC2,ALG11,PIGU,FPGT,NUDT12,AGPAT4,NDUFA9,PLPP3,IDH3B,ACSS3,TK2,DPAGT1,ABHD16A,INPP5K,GLCE,GK,CHKA,ALG3,ATP5F1B,PTEN,STT3A,LPCAT1,UPP1,STT3B,SMYD3,FADS1,ATP6V0A2,L2HGDH,GALNT16,ATP6V0A1,RGN,HADHA,MLYCD,CS,SGPL1,DGKE,UROS,AGPAT3,PEDS1,GCAT,THTPA,MTHFD1L,NDUFS7,B4GALT7,IDH3G,G6PC3,ACOX3,DPM1,ATP5MG,EXT1,RDH11,GLUD1,GALNT10,ALG2,ATP5F1C,PYCR1,MCCC2,VKORC1,PIGG,UQCRC1,ECHS1,ALG9,LIPT2,HSD17B12,GPAT4,NAT1,PCCA,HADHB,ETNK1,SPTLC2,COQ5,NSDHL,ENTPD5,SACM1L,GGCX,ASH1L,SCD5,ATP5F1A,PTDSS1,IMPA2","25133,12524,30262,14931,3516,18294,20390,23161,850,9722,4456,7048,23749,10381,26057,12586,32456,15791,3825,18826,20885,7693,9229,5385,24723,11831,2995,13921,33882,17855,4289,1937,23056,830,9588,6172,25718,12576,30611,15513,3574,18481,20499,23233,865,9989,4801,7150,2422,10817,2852,12592,326,16735,4188,18987,21055,7714,930,5386,24861,121,3005,14247,3512,17964,4335,19873,23159,833,9721,6937,23663,25985,12585,3151,15672,37216,18646,20880,7645,8653,4803,24649,11278,28722,13398,3367,17059,4247,19088,21088,823,9587,6051","metabolic pathways","ABHD16A;ACOX3;ACSS3;AGPAT3;AGPAT4;ALDH18A1;ALG1;ALG11;ALG2;ALG3;ALG8;ALG9;ASH1L;ATP5F1A;ATP5F1B;ATP5F1C;ATP5MG;ATP5PO;ATP6V0A1;ATP6V0A2;B4GALT7;CERS5;CHKA;COQ5;CS;DGKE;DPAGT1;DPM1;ECHS1;ENTPD5;ETNK1;EXT1;EXTL2;FADS1;FPGT;G6PC3;GALNT10;GALNT16;GCAT;GGCX;GK;GLCE;GLUD1;GPAT4;GPD2;HADHA;HADHB;HSD17B12;IDH3B;IDH3G;IMPA2;INPP5K;L2HGDH;LIPT2;LPCAT1;MARS2;MCCC2;MGAT4B;MLYCD;MTHFD1L;NAT1;NDUFA9;NDUFS7;NMRK1;NSDHL;NUDT12;PCCA;PEDS1;PIGG;PIGU;PLPP3;PTDSS1;PTEN;PYCR1;PYCR2;RDH11;RGN;RPN1;SACM1L;SCD5;SGPL1;SIRT3;SMYD3;SPTLC2;SQOR;STT3A;STT3B;THTPA;TK2;UGCG;UPP1;UQCRC1;UQCRC2;UROS;VKORC1",95
NA,"REACTOME pathway","R-HSA-382551","Transport of small molecules",242,46,6.928,2.3042,1.204,5.09900190869829e-08,7.29251482546399,0.000127475047717457,1.82107211024939e-05,0.000152996675187707,"ATP9A,CES3,SLC6A15,ATP11C,SLC31A1,SLC25A1,SLC39A7,YME1L1,SLC7A11,SLC30A5,ABCA3,PCSK6,SLC4A7,SLC7A8,STOML2,LMF2,ATP6V0A1,PRKACG,SOAT1,SLC9A6,SLC39A14,ANO10,SLC25A10,SLC25A11,ERLIN2,LDLRAP1,DERL1,ABCB7,ABCB1,PMPCB,ABCB10,DERL2,MICU2,ATP7A,SLC6A9,TFRC,ERLIN1,ATP6V0A2,GNB4,STOM,SLC7A6,PHB2,SLC39A1,LRRC8E,ATP1A1,PHB1","13540,1865,13621,13554,11016,10979,4927,12843,11059,19089,33,8569,11033,11066,14559,25096,865,9382,11177,11079,20858,25519,10980,10981,1356,18640,28454,48,40,9119,41,17943,31830,869,11056,11763,16947,18481,20731,3383,11064,30306,12876,26272,799,8912","transport of small molecules","ABCA3;ABCB1;ABCB10;ABCB7;ANO10;ATP11C;ATP1A1;ATP6V0A1;ATP6V0A2;ATP7A;ATP9A;CES3;DERL1;DERL2;ERLIN1;ERLIN2;GNB4;LDLRAP1;LMF2;LRRC8E;MICU2;PCSK6;PHB1;PHB2;PMPCB;PRKACG;SLC25A1;SLC25A10;SLC25A11;SLC30A5;SLC31A1;SLC39A1;SLC39A14;SLC39A7;SLC4A7;SLC6A15;SLC6A9;SLC7A11;SLC7A6;SLC7A8;SLC9A6;SOAT1;STOM;STOML2;TFRC;YME1L1",46
NA,"REACTOME pathway","R-HSA-446203","Asparagine N-linked glycosylation",202,27,4.066,1.6203,0.696,0.00821095905179426,2.08560611369948,1,0.0755949759354188,0.635108292193323,"ALG9,RPN1,KDELR1,TRAPPC9,DPM1,SEC22A,ALG8,STT3B,F5,MARCHF6,EDEM3,TUBA4A,TMEM115,ALG2,COG1,DERL2,DERL1,ALG11,STT3A,SEC24B,COG3,FPGT,MGAT4B,TBC1D20,DPAGT1,ALG3,ALG1","15672,10381,6304,30832,3005,20260,23161,30611,3542,30550,16787,12407,30055,23159,6545,17943,28454,32456,6172,10704,18619,3825,7048,16133,2995,23056,18294","asparagine n linked glycosylation","ALG1;ALG11;ALG2;ALG3;ALG8;ALG9;COG1;COG3;DERL1;DERL2;DPAGT1;DPM1;EDEM3;F5;FPGT;KDELR1;MARCHF6;MGAT4B;RPN1;SEC22A;SEC24B;STT3A;STT3B;TBC1D20;TMEM115;TRAPPC9;TUBA4A",27
NA,"KEGG Pathway H.sap","path:hsa05010","Alzheimer disease",236,26,3.916,1.3355,0.417,0.0778400242355224,1.10879703752192,1,0.247582774286013,1,"TUBA4A,SLC39A14,NDUFS7,UQCRC2,DVL3,ATP5F1B,SLC25A5,SLC39A11,MAPK8,ULK1,MCU,ATP2A2,WNT5A,SLC11A2,FZD6,ATP5F1C,SLC25A6,CASP9,NDUFA9,UQCRC1,AMBRA1,ATP5F1A,SLC39A1,SLC25A4,SLC39A7,ATP5PO","12407,20858,7714,12586,3087,830,10991,14463,6881,12558,23526,812,12784,10908,4044,833,10992,1511,7693,12585,25990,823,12876,10990,4927,850","alzheimer disease","AMBRA1;ATP2A2;ATP5F1A;ATP5F1B;ATP5F1C;ATP5PO;CASP9;DVL3;FZD6;MAPK8;MCU;NDUFA9;NDUFS7;SLC11A2;SLC25A4;SLC25A5;SLC25A6;SLC39A1;SLC39A11;SLC39A14;SLC39A7;TUBA4A;ULK1;UQCRC1;UQCRC2;WNT5A",26
NA,"KEGG Pathway H.sap","path:hsa05012","Parkinson disease",175,23,3.464,1.5932,0.672,0.0168984369982492,1.77215346310391,1,0.108448861105904,0.91112894891485,"ATP5F1B,SLC25A5,MFN2,PRKACG,UQCRC1,SLC39A7,NDUFS7,SLC11A2,SLC39A11,ATP5F1C,SLC25A6,SLC39A14,BCL2L1,UQCRC2,MAPK8,ATP5F1A,SLC25A4,CASP9,ATP5PO,TUBA4A,MCU,NDUFA9,SLC39A1","830,10991,16877,9382,12585,4927,7714,10908,14463,833,10992,20858,992,12586,6881,823,10990,1511,850,12407,23526,7693,12876","parkinson disease","ATP5F1A;ATP5F1B;ATP5F1C;ATP5PO;BCL2L1;CASP9;MAPK8;MCU;MFN2;NDUFA9;NDUFS7;PRKACG;SLC11A2;SLC25A4;SLC25A5;SLC25A6;SLC39A1;SLC39A11;SLC39A14;SLC39A7;TUBA4A;UQCRC1;UQCRC2",23
NA,"REACTOME pathway","R-HSA-1852241","Organelle biogenesis and maintenance",177,21,3.163,1.4382,0.524,0.057034797237412,1.24386009806043,1,0.204310009463089,1,"MTX2,IFT56,ATP5F1B,SIRT3,APOOL,GLUD1,TMEM11,TFB1M,POLG2,DYNC2I2,ATP5F1C,POLRMT,IFT172,ATP5F1A,ATP5MG,IFT57,HAUS5,IFT70A,ATP5PO,TUBA4A,B9D1","7506,21882,830,14931,24009,4335,16823,17037,9180,28296,833,9200,30391,823,14247,17367,29130,25853,850,12407,24123","organelle biogenesis and maintenance","APOOL;ATP5F1A;ATP5F1B;ATP5F1C;ATP5MG;ATP5PO;B9D1;DYNC2I2;GLUD1;HAUS5;IFT172;IFT56;IFT57;IFT70A;MTX2;POLG2;POLRMT;SIRT3;TFB1M;TMEM11;TUBA4A",21
NA,"REACTOME pathway","R-HSA-9609507","Protein localization",114,20,3.012,2.1267,1.089,0.000936687105363118,3.02840545832037,1,0.0249776391315945,0.209848677581965,"ACOX3,TIMM21,ATP5F1B,PMPCB,TYSND1,PEX1,MTX2,GNPAT,PECR,CS,SLC25A17,NUDT19,PEX13,MLYCD,ATP5F1A,SLC25A12,TIMM50,IDH3G,PITRM1,TIMM23","121,25010,830,9119,28531,8850,7506,4416,18281,2422,10987,32036,8855,7150,823,10982,23656,5386,17663,17312","protein localization","ACOX3;ATP5F1A;ATP5F1B;CS;GNPAT;IDH3G;MLYCD;MTX2;NUDT19;PECR;PEX1;PEX13;PITRM1;PMPCB;SLC25A12;SLC25A17;TIMM21;TIMM23;TIMM50;TYSND1",20
NA,"REACTOME pathway","R-HSA-5668914","Diseases of metabolism",121,17,2.56,1.7031,0.768,0.020522923936524,1.68776076446496,1,0.118704265111485,0.997289332500418,"SLC37A4,ALG8,ALG3,G6PC3,ECHS1,ALG1,PCCA,ALG9,ABCA3,BCKDK,ALG11,EXT1,MCCC2,DPM1,ALG2,DPAGT1,B4GALT7","4061,23161,23056,24861,3151,18294,8653,15672,33,16902,32456,3512,6937,3005,23159,2995,930","diseases of metabolism","ABCA3;ALG1;ALG11;ALG2;ALG3;ALG8;ALG9;B4GALT7;BCKDK;DPAGT1;DPM1;ECHS1;EXT1;G6PC3;MCCC2;PCCA;SLC37A4",17
NA,"KEGG Pathway H.sap","path:hsa05415","Diabetic cardiomyopathy",124,16,2.41,1.5641,0.645,0.0480185873462435,1.31859062055462,1,0.189347741901591,1,"SLC25A6,ATP5F1A,CPT2,ATP5PO,SLC25A4,NDUFS7,UQCRC1,ATP5F1B,MAPK8,PDK2,SLC25A5,ATP2A2,UQCRC2,ATP5F1C,PTEN,NDUFA9","10992,823,2330,850,10990,7714,12585,830,6881,8810,10991,812,12586,833,9588,7693","diabetic cardiomyopathy","ATP2A2;ATP5F1A;ATP5F1B;ATP5F1C;ATP5PO;CPT2;MAPK8;NDUFA9;NDUFS7;PDK2;PTEN;SLC25A4;SLC25A5;SLC25A6;UQCRC1;UQCRC2",16
