"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO BP","GO:0065003","protein-containing complex assembly",1043,130,15.796,1.219,0.286,0.00709822244302173,2.14885039492036,1,0.0490208732252882,0.41184698706083,"CD2AP,CARMIL2,EVL,GEMIN7,VBP1,SPAG1,MBD2,MAP4,FADD,DNAL1,CTTN,AIDA,LUC7L,BRK1,MED7,CREB1,GPX4,HPRT1,KCTD17,EIF3J,DARS1,MIS12,PFDN6,NHERF2,CYBA,SET,DENR,BAG4,SNAP29,PSRC1,SNRPB2,SSNA1,RPS19,BAD,CRTC1,SNRPC,TFG,RDX,MITF,NME1,ZNHIT3,KIFAP3,ASF1A,RSRP1,CUTC,RHOC,GTF2A2,PFN3,EID2,WASHC2C,LSM2,GEMIN6,ADD2,NDEL1,TTC12,WASL,PIN1,RNF4,EIF4B,GRB2,DBNL,CDKN1B,MTPN,MED15,FAU,DMTN,CHMP4A,SHMT1,TPPP,ARL2,PTGES3,FBLIM1,HAUS4,YAP1,RHOA,ANP32B,MCTS1,CDC42EP4,CFL1,UBE2K,ARPC5,MAT2A,CARMIL1,APIP,GEMIN2,TBCA,CDC42,WIPF1,MIF,SEPTIN8,GMNN,ARF6,DUT,KHDC4,RPS3,MED26,TRIM11,SF1,GOLGA2,BCL10,EIF5,CAPG,BLOC1S2,TPPP3,MAGI1,CDT1,NAP1L4,EIF4H,RAC1,SNCA,CLIP1,SNRPA1,MED30,RPSA,HES1,CHMP4B,VASP,SMN2,SLAIN2,CAPZB,INF2,BIN1,PPIH,HSP90AB4P,DNAJC9,DDX39B,LMOD1,BIRC2,RPL11,ARPC5L","14258,27089,20234,20045,12662,11212,6917,6862,3573,23247,3338,25761,6723,23057,2378,2345,4556,5157,25705,3270,2678,24967,4926,11076,2577,10760,2769,940,11133,24472,11155,11321,10402,936,16062,11157,11758,9944,7105,7849,12309,17060,20995,25234,24271,669,4647,18627,28292,23414,13940,20044,244,17620,23700,12735,8988,10067,3285,4566,2696,1785,15667,14248,3597,3382,20274,10850,24164,693,16049,24686,20163,16262,667,16677,23357,17147,1874,4914,708,6904,21581,17581,10884,11579,1736,12736,7097,16511,17493,659,3078,29145,10420,2376,16281,12950,4425,989,3299,1474,20984,24162,946,24576,7640,12741,9801,11138,10461,11152,23032,6502,5192,16171,12652,11118,29282,1491,23791,1052,14651,32538,19123,13917,6647,590,10301,23366","protein containing complex assembly","ADD2;AIDA;ANP32B;APIP;ARF6;ARL2;ARPC5;ARPC5L;ASF1A;BAD;BAG4;BCL10;BIN1;BIRC2;BLOC1S2;BRK1;CAPG;CAPZB;CARMIL1;CARMIL2;CD2AP;CDC42;CDC42EP4;CDKN1B;CDT1;CFL1;CHMP4A;CHMP4B;CLIP1;CREB1;CRTC1;CTTN;CUTC;CYBA;DARS1;DBNL;DDX39B;DENR;DMTN;DNAJC9;DNAL1;DUT;EID2;EIF3J;EIF4B;EIF4H;EIF5;EVL;FADD;FAU;FBLIM1;GEMIN2;GEMIN6;GEMIN7;GMNN;GOLGA2;GPX4;GRB2;GTF2A2;HAUS4;HES1;HPRT1;HSP90AB4P;INF2;KCTD17;KHDC4;KIFAP3;LMOD1;LSM2;LUC7L;MAGI1;MAP4;MAT2A;MBD2;MCTS1;MED15;MED26;MED30;MED7;MIF;MIS12;MITF;MTPN;NAP1L4;NDEL1;NHERF2;NME1;PFDN6;PFN3;PIN1;PPIH;PSRC1;PTGES3;RAC1;RDX;RHOA;RHOC;RNF4;RPL11;RPS19;RPS3;RPSA;RSRP1;SEPTIN8;SET;SF1;SHMT1;SLAIN2;SMN2;SNAP29;SNCA;SNRPA1;SNRPB2;SNRPC;SPAG1;SSNA1;TBCA;TFG;TPPP;TPPP3;TRIM11;TTC12;UBE2K;VASP;VBP1;WASHC2C;WASL;WIPF1;YAP1;ZNHIT3",130
NA,"SLIM2 GO BP","GO:0007010","cytoskeleton organization",859,128,15.553,1.4573,0.543,3.30823259926022e-06,5.48040396313886,0.00827058149815055,0.000517638041542028,0.00434891616102785,"PACSIN2,RHOA,TMSB10,SAPCD2,CEP85,DMTN,VASP,ZBED3,PAWR,ZPR1,RFLNB,RNF4,CARMIL1,PSRC1,RHOC,ARF6,PPP1R9B,PDLIM2,PDLIM1,TACC3,CAPZB,FLNB,TRIP10,ODF2,SHROOM1,CCDC6,BICD2,ATF2,GOLGA2,CHMP4C,UXT,TPPP3,DNAL1,SPDL1,FAM110A,CRK,RAC1,WASF2,GAPDH,SPECC1,SHTN1,EVL,NEXN,LMOD1,CSRP1,SDCCAG8,ALKBH4,WASH6P,PDLIM3,ARRB1,TAGLN3,MAP4,ADD2,FHL3,WASL,BLOC1S2,BLOC1S6,BIN1,SH3GL2,CLIP1,CARMIL2,CHMP4A,BAG4,CDC42EP4,SNCA,INF2,SORBS1,DCTN6,CDC42,FLNC,PHACTR2,MTPN,MAST2,CAPG,SPAG1,RPS3,CHMP4B,CROCC,CDKN1B,ARF1,PIN1,NDEL1,BRSK2,CTTN,RAP2A,PDLIM5,NEBL,CALD1,SSNA1,PFN3,RDX,ENAH,NCKAP5L,CHORDC1,CSRP2,MICAL3,BRK1,ZYX,BIN3,TACC1,RND3,FLNA,PDLIM7,CD2AP,LIMD2,CNN2,DBNL,CLIP2,WASHC2C,CHMP5,ARL2,MTCL1,SLAIN2,PHACTR4,TPPP,NUDC,CFL1,GRB2,ARPC5,ARPC5L,SH3BGRL3,WIPF1,TTC12,HAUS4,UBE2B,PCLAF,CNN3,WASHC2A","8571,667,11879,28055,25309,3382,12652,20711,8614,13051,28705,10067,21581,24472,669,659,9298,13992,2067,11524,1491,3755,12304,8114,24084,18782,17208,784,4425,30599,12641,24162,23247,26010,16188,2362,9801,12733,4141,30615,29319,20234,29557,6647,2469,10671,21900,31685,20767,711,29868,6862,244,3704,12735,20984,8549,1052,10831,10461,27089,20274,940,17147,11138,23791,14565,16964,1736,3756,20956,15667,19035,1474,11212,10420,16171,21299,1785,652,8988,17620,11405,3338,9861,17468,16932,1441,11321,18627,9944,18271,29321,14525,2470,24694,23057,13200,1054,11522,671,3754,22958,14258,28142,2156,2696,2586,23414,26942,693,29121,29282,25793,24164,8045,1874,4566,708,23366,15568,12736,23700,20163,12473,28961,2157,23416","cytoskeleton organization","ADD2;ALKBH4;ARF1;ARF6;ARL2;ARPC5;ARPC5L;ARRB1;ATF2;BAG4;BICD2;BIN1;BIN3;BLOC1S2;BLOC1S6;BRK1;BRSK2;CALD1;CAPG;CAPZB;CARMIL1;CARMIL2;CCDC6;CD2AP;CDC42;CDC42EP4;CDKN1B;CEP85;CFL1;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHORDC1;CLIP1;CLIP2;CNN2;CNN3;CRK;CROCC;CSRP1;CSRP2;CTTN;DBNL;DCTN6;DMTN;DNAL1;ENAH;EVL;FAM110A;FHL3;FLNA;FLNB;FLNC;GAPDH;GOLGA2;GRB2;HAUS4;INF2;LIMD2;LMOD1;MAP4;MAST2;MICAL3;MTCL1;MTPN;NCKAP5L;NDEL1;NEBL;NEXN;NUDC;ODF2;PACSIN2;PAWR;PCLAF;PDLIM1;PDLIM2;PDLIM3;PDLIM5;PDLIM7;PFN3;PHACTR2;PHACTR4;PIN1;PPP1R9B;PSRC1;RAC1;RAP2A;RDX;RFLNB;RHOA;RHOC;RND3;RNF4;RPS3;SAPCD2;SDCCAG8;SH3BGRL3;SH3GL2;SHROOM1;SHTN1;SLAIN2;SNCA;SORBS1;SPAG1;SPDL1;SPECC1;SSNA1;TACC1;TACC3;TAGLN3;TMSB10;TPPP;TPPP3;TRIP10;TTC12;UBE2B;UXT;VASP;WASF2;WASH6P;WASHC2A;WASHC2C;WASL;WIPF1;ZBED3;ZPR1;ZYX",128
NA,"SLIM2 GO BP","GO:0006412","translation",566,73,8.87,1.2614,0.335,0.0199542452142417,1.69996469511571,1,0.0867575878880074,0.728890548565517,"RPL11,RPS19,RCHY1,MRPL16,RIDA,RNF25,EIF1B,RPS3,PAIP2,SARS1,OGFOD1,RPL30,ZC3H15,DARS1,EIF4H,FOXO3,TNRC6B,SARNP,MRPL3,FAU,RPS10,RRBP1,CAPRIN1,APEH,PA2G4,ZNF385A,EIF5,MRPL37,RPL12,RPS20,SAYSD1,MRPS6,ALKBH3,SH3BGRL,METAP2,SHMT1,ALKBH5,DAP3,RPL34,DHPS,CIRBP,DENR,GAPDH,METAP1,MTPN,MRPS28,RPSA,RPS17,COPS5,MRPS23,YBX1,EIF1,PKM,SERBP1,EIF3J,SLBP,RPL27,UBE2A,MRPL11,EIF4B,ZFP36L1,YBX3,CASC3,PYM1,MRPL19,RPS5,NACA,CSNK2A1,MCTS1,CNOT3,LARP1,LSM14B,MRPL2","10301,10402,17479,14476,16897,14662,30792,10420,17970,10537,25585,10333,29528,2678,12741,3821,29190,24432,10379,3597,10383,10448,6743,586,8550,17521,3299,14034,10302,10405,21025,14051,30141,10823,16672,10850,25996,2673,10340,2869,1982,2769,4141,15789,15667,14513,6502,10397,2240,14509,8014,3249,9021,17860,3270,10904,10328,12472,14042,3285,1107,2428,17040,30258,14052,10426,7629,2457,23357,7879,29531,15887,14056","translation","ALKBH3;ALKBH5;APEH;CAPRIN1;CASC3;CIRBP;CNOT3;COPS5;CSNK2A1;DAP3;DARS1;DENR;DHPS;EIF1;EIF1B;EIF3J;EIF4B;EIF4H;EIF5;FAU;FOXO3;GAPDH;LARP1;LSM14B;MCTS1;METAP1;METAP2;MRPL11;MRPL16;MRPL19;MRPL2;MRPL3;MRPL37;MRPS23;MRPS28;MRPS6;MTPN;NACA;OGFOD1;PA2G4;PAIP2;PKM;PYM1;RCHY1;RIDA;RNF25;RPL11;RPL12;RPL27;RPL30;RPL34;RPS10;RPS17;RPS19;RPS20;RPS3;RPS5;RPSA;RRBP1;SARNP;SARS1;SAYSD1;SERBP1;SH3BGRL;SHMT1;SLBP;TNRC6B;UBE2A;YBX1;YBX3;ZC3H15;ZFP36L1;ZNF385A",73
NA,"SLIM2 GO BP","GO:0034655","nucleobase-containing compound catabolic process",386,55,6.683,1.3935,0.479,0.00642006601925827,2.19246050594172,1,0.0461211639314531,0.387485190596498,"CIRBP,ZC3H4,CAPRIN1,ZPR1,ENO1,PDE5A,PIAS4,LSM2,FAM76B,LSM7,TNKS1BP1,GPI,HPRT1,CASC3,FTO,LSM14B,MTAP,NME1,TPI1,ZFP36L1,ENDOG,TAF15,YBX3,CNOT3,DUT,ENO2,DXO,ARL2,BPGM,ALKBH5,NBDY,HDDC2,PGAM1,NT5C2,PYM1,NUDT10,CSNK2A1,DCTPP1,YAP1,SERBP1,PHAX,LARP1,LSM1,CNOT4,RIDA,ENO3,TNRC6B,NUDT5,GAPDH,ZCCHC8,TRIR,HDAC4,PKM,APEX1,YBX1","1982,17808,6743,13051,3350,8784,17002,13940,28492,20470,19081,4458,5157,17040,24678,15887,7413,7849,12009,1107,3346,11547,2428,7879,3078,3353,2992,693,1093,25996,50713,21078,8888,8022,30258,17621,2457,28777,16262,17860,10241,29531,20472,7880,16897,3354,29190,8052,4141,25265,28424,14063,9021,587,8014","nucleobase containing compound catabolic process","ALKBH5;APEX1;ARL2;BPGM;CAPRIN1;CASC3;CIRBP;CNOT3;CNOT4;CSNK2A1;DCTPP1;DUT;DXO;ENDOG;ENO1;ENO2;ENO3;FAM76B;FTO;GAPDH;GPI;HDAC4;HDDC2;HPRT1;LARP1;LSM1;LSM14B;LSM2;LSM7;MTAP;NBDY;NME1;NT5C2;NUDT10;NUDT5;PDE5A;PGAM1;PHAX;PIAS4;PKM;PYM1;RIDA;SERBP1;TAF15;TNKS1BP1;TNRC6B;TPI1;TRIR;YAP1;YBX1;YBX3;ZC3H4;ZCCHC8;ZFP36L1;ZPR1",55
NA,"SLIM2 GO BP","GO:0006397","mRNA processing",425,54,6.561,1.2426,0.313,0.0523504188234618,1.28107983944854,1,0.161177397855486,1,"SNRPA1,SMNDC1,LSM3,SDE2,SMN2,GEMIN7,LUC7L,SLBP,CASC3,ALKBH5,CSTF1,RSRP1,SREK1IP1,ZRANB2,RPUSD2,WBP4,NSRP1,YBX1,SCNM1,CWC27,SNRPB2,PPIH,LSM7,LSM2,DDX39B,LSM10,KAT8,ZPR1,KHDC4,MBNL3,DNAJC17,ZCCHC8,GEMIN6,NBDY,DDX39A,LSM1,C9orf78,CIRBP,SNRPA,PRKRIP1,UBL5,RNF113A,SNRNP27,PPIL3,ZFP36L1,GEMIN2,SNRNP48,SRSF11,SYF2,SF1,REST,MBNL1,ZMAT5,SNRPC","11152,16900,17874,26643,11118,20045,6723,10904,17040,25996,2483,25234,26716,13058,24180,12739,25305,8014,23136,10664,11155,14651,20470,13940,13917,17562,17933,13051,29145,20564,25556,25265,20044,50713,17821,20472,24932,1982,11151,21894,13736,12974,30240,9262,1107,10884,21368,10782,19824,12950,9966,6923,28046,11157","mrna processing","ALKBH5;C9orf78;CASC3;CIRBP;CSTF1;CWC27;DDX39A;DDX39B;DNAJC17;GEMIN2;GEMIN6;GEMIN7;KAT8;KHDC4;LSM1;LSM10;LSM2;LSM3;LSM7;LUC7L;MBNL1;MBNL3;NBDY;NSRP1;PPIH;PPIL3;PRKRIP1;REST;RNF113A;RPUSD2;RSRP1;SCNM1;SDE2;SF1;SLBP;SMN2;SMNDC1;SNRNP27;SNRNP48;SNRPA;SNRPA1;SNRPB2;SNRPC;SREK1IP1;SRSF11;SYF2;UBL5;WBP4;YBX1;ZCCHC8;ZFP36L1;ZMAT5;ZPR1;ZRANB2",54
NA,"Direct GO Biological Processes","GO:0043066","negative regulation of apoptotic process",265,36,4.374,1.3286,0.41,0.0456096628398688,1.34094313818059,1,0.147094749084211,1,"MNAT1,YBX3,TNFAIP8,ARF4,FLNA,PA2G4,ANP32B,ZFAND6,BAD,MIF,TPT1,COPS5,CREB1,AKR1B1,MSX2,BAG4,AAMDC,ARHGDIA,GLO1,PPP5C,MALT1,CAAP1,BAG1,MITF,UBE2B,KIFAP3,DAD1,BIRC2,NME2,AKR1A1,APIP,ATOX1,GPI,SNCA,PRDX3,CFL1","7181,2428,17260,655,3754,8550,16677,30164,936,7097,12022,2240,2345,381,7392,940,30205,678,4323,9322,6819,25834,937,7105,12473,17060,2664,590,7850,380,17581,798,4458,11138,9354,1874","negative regulation of apoptotic process","AAMDC;AKR1A1;AKR1B1;ANP32B;APIP;ARF4;ARHGDIA;ATOX1;BAD;BAG1;BAG4;BIRC2;CAAP1;CFL1;COPS5;CREB1;DAD1;FLNA;GLO1;GPI;KIFAP3;MALT1;MIF;MITF;MNAT1;MSX2;NME2;PA2G4;PPP5C;PRDX3;SNCA;TNFAIP8;TPT1;UBE2B;YBX3;ZFAND6",36
NA,"Direct GO Biological Processes","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",204,28,3.402,1.3424,0.425,0.0643147346302748,1.19168951796949,1,0.181885561737203,1,"UBE2H,PSMB1,GID4,RNF4,YWHAE,PSMA1,RNF187,UBE2B,PSMA5,UBR7,UBE2N,BIRC2,PSMB2,KCTD17,SH3BGRL,UBXN7,PSMA3,UBXN2A,UBE2G1,PSMA7,PCNP,UFD1,ARRB1,PSMB3,RNF34,UBE2A,PSMA4,UBXN1","12484,9537,28453,10067,12851,9530,27146,12473,9534,20344,12492,590,9539,25705,10823,29119,9532,27265,12482,9536,30023,12520,711,9540,17297,12472,9533,18402","proteasome mediated ubiquitin dependent protein catabolic process","ARRB1;BIRC2;GID4;KCTD17;PCNP;PSMA1;PSMA3;PSMA4;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;RNF187;RNF34;RNF4;SH3BGRL;UBE2A;UBE2B;UBE2G1;UBE2H;UBE2N;UBR7;UBXN1;UBXN2A;UBXN7;UFD1;YWHAE",28
NA,"SLIM2 GO BP","GO:0030705","cytoskeleton-dependent intracellular transport",146,27,3.281,1.8086,0.855,0.00159858966507893,2.79626299908145,1,0.0181027178744593,0.152089290207956,"BLOC1S1,NDEL1,RHOT2,BLOC1S4,ARL3,WASL,IFT25,CCDC186,LCA5,KXD1,SNAPIN,DYNC1I1,BICD2,BLOC1S5,TUB,FNBP1L,IFT20,F8A3,UXT,BORCS7,BLOC1S6,KIFAP3,RAB1A,IFT27,BLOC1S2,SSNA1,CDC42","4200,17620,21169,24206,694,12735,25019,24349,31923,28420,17145,2963,17208,18561,12406,20851,30989,31850,12641,23516,8549,17060,9758,18626,20984,11321,1736","cytoskeleton dependent intracellular transport","ARL3;BICD2;BLOC1S1;BLOC1S2;BLOC1S4;BLOC1S5;BLOC1S6;BORCS7;CCDC186;CDC42;DYNC1I1;F8A3;FNBP1L;IFT20;IFT25;IFT27;KIFAP3;KXD1;LCA5;NDEL1;RAB1A;RHOT2;SNAPIN;SSNA1;TUB;UXT;WASL",27
NA,"Direct GO Biological Processes","GO:0006897","endocytosis",141,21,2.552,1.4566,0.543,0.0494413815182029,1.30590940245505,1,0.153735639049138,1,"BIN1,EEA1,FNBP1L,NME1,PACSIN2,MICALL1,SH3GL1,DBNL,CDC42,TRIP10,NECAP2,RAB1A,FNBP1,AMPH,SH3GL2,EPN1,CTTN,WASF2,BIN3,RAC1,NECAP1","1052,3185,20851,7849,8571,29804,10830,2696,1736,12304,25528,9758,17069,471,10831,21604,3338,12733,1054,9801,24539","endocytosis","AMPH;BIN1;BIN3;CDC42;CTTN;DBNL;EEA1;EPN1;FNBP1;FNBP1L;MICALL1;NECAP1;NECAP2;NME1;PACSIN2;RAB1A;RAC1;SH3GL1;SH3GL2;TRIP10;WASF2",21
NA,"Direct GO Biological Processes","GO:0008104","protein localization",121,18,2.187,1.4549,0.541,0.0659314368963661,1.18090745922729,1,0.185827048749622,1,"YWHAE,CUTA,CDC42,AKAP10,TP53INP2,ODF2,SEPTIN8,CROCC,SEPTIN11,ID4,KIFAP3,RAP2A,GGA1,SEPTIN7,IST1,BIN3,SEPTIN2,SEPTIN6","12851,21101,1736,368,16104,8114,16511,21299,25589,5363,17060,9861,17842,1717,28977,1054,7729,15848","protein localization","AKAP10;BIN3;CDC42;CROCC;CUTA;GGA1;ID4;IST1;KIFAP3;ODF2;RAP2A;SEPTIN11;SEPTIN2;SEPTIN6;SEPTIN7;SEPTIN8;TP53INP2;YWHAE",18
