"input_file","file_stub","output_dir","n_rows_total","n_pathway_rows","n_bp_rows","n_cc_rows","n_top_pathways","n_top_bp","n_top_cc"
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Acute_RDH12_100vsVeh_100enrichment_2026-04-28.csv","Acute_RDH12_100vsVeh_100enrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Acute_RDH12_100vsVeh_100enrichment_2026-04-28/dotplots",2500,763,868,191,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Acute_RDH12_100vsVeh_Vehenrichment_2026-04-28.csv","Acute_RDH12_100vsVeh_Vehenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Acute_RDH12_100vsVeh_Vehenrichment_2026-04-28/dotplots",2500,741,524,248,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Acute_RDH12_200vsVeh_200enrichment_2026-04-28.csv","Acute_RDH12_200vsVeh_200enrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Acute_RDH12_200vsVeh_200enrichment_2026-04-28/dotplots",2500,730,839,207,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Acute_RDH12_200vsVeh_Vehenrichment_2026-04-28.csv","Acute_RDH12_200vsVeh_Vehenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Acute_RDH12_200vsVeh_Vehenrichment_2026-04-28/dotplots",2500,741,645,256,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Rcvr_RDH12_100vsVeh_100enrichment_2026-04-28.csv","Rcvr_RDH12_100vsVeh_100enrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Rcvr_RDH12_100vsVeh_100enrichment_2026-04-28/dotplots",74,22,21,28,6,1,4
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Rcvr_RDH12_100vsVeh_Vehenrichment_2026-04-28.csv","Rcvr_RDH12_100vsVeh_Vehenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Rcvr_RDH12_100vsVeh_Vehenrichment_2026-04-28/dotplots",94,22,38,30,4,7,4
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Rcvr_RDH12_200vsVeh_200enrichment_2026-04-28.csv","Rcvr_RDH12_200vsVeh_200enrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Rcvr_RDH12_200vsVeh_200enrichment_2026-04-28/dotplots",85,23,35,22,3,4,4
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Rcvr_RDH12_200vsVeh_Vehenrichment_2026-04-28.csv","Rcvr_RDH12_200vsVeh_Vehenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Rcvr_RDH12_200vsVeh_Vehenrichment_2026-04-28/dotplots",171,42,77,46,5,14,6
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/Rcvr_WT_200vsVeh_200enrichment_2026-04-28.csv","Rcvr_WT_200vsVeh_200enrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//Rcvr_WT_200vsVeh_200enrichment_2026-04-28/dotplots",1153,380,246,104,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/RDH12_100_RvrvsAcute_Acuteenrichment_2026-04-28.csv","RDH12_100_RvrvsAcute_Acuteenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//RDH12_100_RvrvsAcute_Acuteenrichment_2026-04-28/dotplots",1872,522,743,189,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/RDH12_100_RvrvsAcute_Rvcrenrichment_2026-04-28.csv","RDH12_100_RvrvsAcute_Rvcrenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//RDH12_100_RvrvsAcute_Rvcrenrichment_2026-04-28/dotplots",2500,466,671,230,19,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/RDH12_200_RvrvsAcute_Acuteenrichment_2026-04-28.csv","RDH12_200_RvrvsAcute_Acuteenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//RDH12_200_RvrvsAcute_Acuteenrichment_2026-04-28/dotplots",2500,616,1235,293,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/RDH12_200_RvrvsAcute_Rcvrenrichment_2026-04-28.csv","RDH12_200_RvrvsAcute_Rcvrenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//RDH12_200_RvrvsAcute_Rcvrenrichment_2026-04-28/dotplots",2500,626,812,260,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/RDH12_Veh_RvrvsAcute_Acuteenrichment_2026-04-28.csv","RDH12_Veh_RvrvsAcute_Acuteenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//RDH12_Veh_RvrvsAcute_Acuteenrichment_2026-04-28/dotplots",2500,770,630,248,20,20,10
"Proteomic_output_txts/PANGEA_results_pval0.01_FC2/RDH12_Veh_RvrvsAcute_Rcvrenrichment_2026-04-28.csv","RDH12_Veh_RvrvsAcute_Rcvrenrichment_2026-04-28","Proteomic_Figs/PANGEA_top_terms_plots/pval0.01_FC2//RDH12_Veh_RvrvsAcute_Rcvrenrichment_2026-04-28/dotplots",2500,678,752,258,20,20,10
