"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-168256","Immune System",848,42,14.789,1.4037,0.489,0.0141354906600933,1.84968911202252,1,0.0730138980376718,0.61342346518767,"RCHY1,EGR1,MT2A,SQSTM1,NUP37,CMTM6,ADAM10,HMOX1,PTGS2,RBX1,NCR3LG1,QPCT,NPDC1,CLU,IL13RA1,TUBA4A,GOLGA7,FOSB,NEU1,TAX1BP1,RNF34,RNF126,C4A,HSPA6,STX3,MGRN1,BRI3,COL1A1,MGST1,VTN,TRIB3,ATP6V1D,AOC1,HLA-A,PROS1,RNF7,TRIM41,PLD3,RNF130,C4BPA,IL10RB,TIMP1","17479,3238,7406,11280,29929,19177,188,5013,9605,9928,42400,9753,7899,2095,5974,12407,24876,3797,7758,11575,17297,21151,1323,5239,11438,20254,1109,2197,7061,12724,16228,13527,80,4931,9456,10070,19013,17158,18280,1325,5965,11820","immune system","ADAM10;AOC1;ATP6V1D;BRI3;C4A;C4BPA;CLU;CMTM6;COL1A1;EGR1;FOSB;GOLGA7;HLA-A;HMOX1;HSPA6;IL10RB;IL13RA1;MGRN1;MGST1;MT2A;NCR3LG1;NEU1;NPDC1;NUP37;PLD3;PROS1;PTGS2;QPCT;RBX1;RCHY1;RNF126;RNF130;RNF34;RNF7;SQSTM1;STX3;TAX1BP1;TIMP1;TRIB3;TRIM41;TUBA4A;VTN",42
NA,"REACTOME pathway","R-HSA-1266738","Developmental Biology",555,26,9.155,1.3277,0.409,0.0830490771382388,1.08066518917282,1,0.184402938477651,1,"TUBA4A,LRIG1,EPHA4,SLIT2,UNC5B,ACVR2A,MFGE8,EDIL3,COL1A1,ROBO1,VTN,CDON,EPHA7,NTN1,ADAM10,NEO1,ZNF521,DSC3,TFRC,NRP2,RGMA,ACVR1B,HOXA6,RBX1,BMP4,NTN3","12407,17360,3388,11086,12568,173,7036,3173,2197,10249,12724,17104,3390,8029,188,7754,24605,3037,11763,8005,30308,172,5107,9928,1071,8030","developmental biology","ACVR1B;ACVR2A;ADAM10;BMP4;CDON;COL1A1;DSC3;EDIL3;EPHA4;EPHA7;HOXA6;LRIG1;MFGE8;NEO1;NRP2;NTN1;NTN3;RBX1;RGMA;ROBO1;SLIT2;TFRC;TUBA4A;UNC5B;VTN;ZNF521",26
NA,"REACTOME pathway","R-HSA-109582","Hemostasis",243,21,7.394,2.4493,1.292,0.000128686493186884,3.89046703384336,0.321716232967209,0.00407235737933176,0.0342137543981472,"CD84,CAV1,PRKAR1A,F5,SELENOP,APOA1,PCDH7,TIMP3,SLC7A8,CLU,PRKAR1B,SERPIND1,SPP2,APOH,SERPINF2,TUBA4A,OLA1,COL1A1,PROS1,ITIH4,TIMP1","1704,1527,9388,3542,10751,600,8659,11822,11066,2095,9390,4838,11256,616,9075,12407,28833,2197,9456,6169,11820","hemostasis","APOA1;APOH;CAV1;CD84;CLU;COL1A1;F5;ITIH4;OLA1;PCDH7;PRKAR1A;PRKAR1B;PROS1;SELENOP;SERPIND1;SERPINF2;SLC7A8;SPP2;TIMP1;TIMP3;TUBA4A",21
NA,"REACTOME pathway","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases",223,17,5.986,2.1606,1.111,0.0022525183873996,2.64733165517084,1,0.0265627168325424,0.223165647118443,"PTPRS,ATP6V1D,COL1A1,NRP2,FOSB,SPINT2,ADAM10,RIT1,TRIB3,EGR1,PTPRU,HGFAC,LRIG1,CAV1,TGFBR3,FLT1,SPRY2","9681,13527,2197,8005,3797,11247,188,10023,16228,3238,9683,4894,17360,1527,11774,3763,11270","signaling by receptor tyrosine kinases","ADAM10;ATP6V1D;CAV1;COL1A1;EGR1;FLT1;FOSB;HGFAC;LRIG1;NRP2;PTPRS;PTPRU;RIT1;SPINT2;SPRY2;TGFBR3;TRIB3",17
NA,"REACTOME pathway","R-HSA-556833","Metabolism of lipids",349,17,5.986,1.3805,0.465,0.11034384144449,0.957251900846792,1,0.214509800630812,1,"IDI1,LPIN1,UGCG,TRIB3,CAV1,B4GALT5,NEU1,PLD3,APOA1,PLPP3,PCTP,HMGCS1,CLOCK,PTGS2,PI4K2A,ARF3,B4GALT6","5387,13345,12524,16228,1527,928,7758,17158,600,9229,8752,5007,2082,9605,30031,654,929","metabolism of lipids","APOA1;ARF3;B4GALT5;B4GALT6;CAV1;CLOCK;HMGCS1;IDI1;LPIN1;NEU1;PCTP;PI4K2A;PLD3;PLPP3;PTGS2;TRIB3;UGCG",17
NA,"REACTOME pathway","R-HSA-8957275","Post-translational protein phosphorylation",39,13,4.577,9.4472,3.24,3.56721983836843e-10,9.4476701254112,8.91804959592107e-07,1.27400708513158e-07,1.07035216833902e-06,"ADAM10,ITIH2,C4A,TIMP1,SERPIND1,APOA1,MFGE8,F5,STC2,CCN1,BMP4,SPP2,GPC3","188,6167,1323,11820,4838,600,7036,3542,11374,2654,1071,11256,4451","post translational protein phosphorylation","ADAM10;APOA1;BMP4;C4A;CCN1;F5;GPC3;ITIH2;MFGE8;SERPIND1;SPP2;STC2;TIMP1",13
NA,"REACTOME pathway","R-HSA-382551","Transport of small molecules",242,13,4.577,1.5225,0.606,0.0862355117482099,1.06431385505286,1,0.185852396009073,1,"HMOX1,ATP6V1D,PRKAR1B,APOC3,ABCB6,LDLR,SLC38A2,SLC20A1,SLC31A1,SLC7A8,PRKAR1A,TFRC,APOA1","5013,13527,9390,610,47,6547,13448,10946,11016,11066,9388,11763,600","transport of small molecules","ABCB6;APOA1;APOC3;ATP6V1D;HMOX1;LDLR;PRKAR1A;PRKAR1B;SLC20A1;SLC31A1;SLC38A2;SLC7A8;TFRC",13
NA,"KEGG Pathway H.sap","path:hsa04060","Cytokine-cytokine receptor interaction",31,10,3.521,9.1424,3.193,5.87383184751671e-08,7.23107849035338,0.000146845796187918,8.63798801105398e-06,7.25717251153524e-05,"ACVR1B,IFNAR1,TNFRSF10B,ACVR2A,BMP4,IL10RB,RELT,RELL1,BMPR1A,IL13RA1","172,5432,11905,173,1071,5965,13764,27379,1076,5974","cytokine cytokine receptor interaction","ACVR1B;ACVR2A;BMP4;BMPR1A;IFNAR1;IL10RB;IL13RA1;RELL1;RELT;TNFRSF10B",10
NA,"KEGG Pathway H.sap","path:hsa04350","TGF-beta signaling pathway",54,10,3.521,5.2484,2.392,1.54296187530903e-05,4.81164480468699,0.0385740468827257,0.000857201041838349,0.00720174168999522,"BMPR1A,RBX1,ACVR1B,RGMA,TFRC,ACVR2A,BMP4,NEO1,THBS1,BAMBI","1076,9928,172,30308,11763,173,1071,7754,11785,30251","tgf beta signaling pathway","ACVR1B;ACVR2A;BAMBI;BMP4;BMPR1A;NEO1;RBX1;RGMA;TFRC;THBS1",10
NA,"KEGG Pathway H.sap","path:hsa04137","Mitophagy - animal",78,10,3.521,3.6335,1.861,0.00038432471834645,3.41530168242028,0.960811795866125,0.00904254335937739,0.0759705813646203,"GABARAP,TAX1BP1,TOMM40L,BNIP3,NBR1,GABARAPL2,CALCOCO2,SQSTM1,MAPK8,OPTN","4067,11575,25756,1084,6746,13291,29912,11280,6881,17142","mitophagy animal","BNIP3;CALCOCO2;GABARAP;GABARAPL2;MAPK8;NBR1;OPTN;SQSTM1;TAX1BP1;TOMM40L",10
