"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-72163","mRNA Splicing - Major Pathway",173,34,6.285,2.924,1.548,9.4248114166569e-09,8.02572733093911,2.35620285416422e-05,2.14200259469475e-06,1.79959526801417e-05,"SRSF12,DHX9,BCAS2,SRRM2,SMU1,RBM25,SRSF9,SNRNP27,SYF2,BUD13,DDX23,SNRNP200,CWC15,IK,CHERP,TFIP11,XAB2,DHX35,PRP4K,CASC3,LSM3,ZNF830,DHX8,AQR,U2SURP,GPATCH1,CWC22,SRSF3,PRPF8,PRPF6,NSRP1,PPIG,SNW1,CRNKL1","21220,2750,975,16639,18247,23244,10791,30240,19824,28199,17347,30859,26939,5958,16930,17165,14089,15861,17346,17040,17874,28291,2749,29513,30855,24658,29322,10785,17340,15860,25305,14650,16696,15762"
NA,"REACTOME pathway","R-HSA-72172","mRNA Splicing",180,34,6.285,2.8103,1.491,2.68322471611797e-08,7.57134295428174,6.70806179029491e-05,5.59005149191243e-06,4.69646033002811e-05,"SRSF3,PRPF8,PRPF6,CWC22,PPIG,NSRP1,SNW1,CRNKL1,DHX9,SRSF12,BCAS2,SRRM2,SMU1,SRSF9,RBM25,SNRNP27,SYF2,BUD13,DDX23,SNRNP200,CWC15,IK,CHERP,TFIP11,XAB2,PRP4K,DHX35,CASC3,LSM3,DHX8,ZNF830,AQR,U2SURP,GPATCH1","10785,17340,15860,29322,14650,25305,16696,15762,2750,21220,975,16639,18247,10791,23244,30240,19824,28199,17347,30859,26939,5958,16930,17165,14089,17346,15861,17040,17874,2749,28291,29513,30855,24658"
NA,"REACTOME pathway","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA",238,40,7.394,2.5005,1.322,4.84706139605106e-08,7.31452147918433,0.000121176534901276,8.65546677866261e-06,7.27185723113227e-05,"ZNF830,PCF11,FIP1L1,DHX9,BCAS2,SRRM2,PRPF6,WDR33,SRSF9,SNRNP27,SARNP,CRNKL1,RBM25,DDX23,SNRNP200,SRSF12,NUP62,GPATCH1,NSRP1,IK,CHERP,SYF2,XAB2,PRP4K,CASC3,BUD13,CWC15,DHX35,DHX8,AQR,U2SURP,TFIP11,SMU1,SRSF3,PRPF8,FYTTD1,LSM3,CWC22,PPIG,SNW1","28291,30097,19124,2750,975,16639,15860,25651,10791,30240,24432,15762,23244,17347,30859,21220,8066,24658,25305,5958,16930,19824,14089,17346,17040,28199,26939,15861,2749,29513,30855,17165,18247,10785,17340,25407,17874,29322,14650,16696"
NA,"KEGG Pathway H.sap","path:hsa03040","Spliceosome",121,22,4.067,2.7051,1.436,1.49856896404705e-05,4.8243232660544,0.0374642241011762,0.00104067289169934,0.00874317340273642,"SRSF3,ACIN1,DHX8,CRNKL1,LSM3,U2SURP,SNW1,PRPF40B,SRSF9,PRPF8,AQR,PRPF6,SYF2,SNRNP200,CHERP,CWC15,XAB2,DDX23,SNRNP27,PRPF40A,RBM25,BCAS2","10785,17066,2749,15762,17874,30855,16696,25031,10791,17340,29513,15860,19824,30859,16930,26939,14089,17347,30240,16463,23244,975"
NA,"KEGG Pathway H.sap","path:hsa03083","Polycomb repressive complex",70,14,2.588,2.9756,1.573,0.000188395966557488,3.72492839942306,0.470989916393719,0.0090574983921869,0.0760962254994297,"BCOR,MAX,TEX10,PCGF2,PHC3,PHC2,L3MBTL3,FBRSL1,AUTS2,FBRS,JARID2,ASXL2,PHC1,CBX2","20893,6913,25988,12929,15682,3183,23035,29308,14262,20442,6196,23805,3182,1552"
NA,"REACTOME pathway","R-HSA-4839726","Chromatin organization",147,21,3.882,2.1254,1.088,0.000779819992528746,3.10800563483973,1,0.0234885539918297,0.197338185868145,"SS18,KDM4D,SUV39H2,NCOR2,PRDM16,DNMT3A,SETD2,BCL11B,VPS72,ATXN7L3,MSL1,HMG20B,NSD1,PHF2,MRGBP,SAP130,KMT2D,ARID1B,ATF2,KDM5B,MEAF6","11340,25498,17287,7673,14000,2978,18420,13222,11644,25416,27905,5002,14234,8920,15866,29813,7133,18040,784,18039,25674"
NA,"REACTOME pathway","R-HSA-8953854","Metabolism of RNA",615,60,11.091,1.4515,0.538,0.00185273628075378,2.73218639393759,1,0.0395883820673884,0.332600274216577,"FYTTD1,GEMIN8,DHX8,PPIG,SNRNP27,PRPF6,UTP11,DHX35,TNKS1BP1,SMU1,SRSF3,AQR,SNRNP200,UTP25,CWC15,FIP1L1,RPUSD3,RBM27,CWC22,PRP4K,PRPF8,NUP62,UTP20,SARNP,GPATCH1,DHX9,DDX23,CASC3,SYF2,DDX47,PAPOLG,ZNF830,WDR33,NOP14,BCAS2,U2SURP,PELP1,PCF11,NSRP1,TEX10,RBM25,WDR46,WDR3,TFIP11,TFB1M,BUD13,NAT10,IK,PRORP,SNW1,SENP3,CRNKL1,C2orf49,SRSF12,XAB2,SRSF9,CHERP,SRRM2,LSM3,RTRAF","25407,26044,2749,14650,30240,15860,24329,15861,19081,18247,10785,29513,30859,28440,26939,19124,28437,29243,29322,17346,17340,8066,17897,24432,24658,2750,17347,17040,19824,18682,14982,28291,25651,16821,975,30855,30134,30097,25305,25988,23244,13923,12755,17165,17037,28199,29830,5958,19958,16696,17862,15762,28772,21220,14089,10791,16930,16639,17874,23169"
NA,"REACTOME pathway","R-HSA-3247509","Chromatin modifying enzymes",138,19,3.512,2.0484,1.034,0.00211851751199924,2.6739679417016,1,0.043412244098345,0.36472630447206,"PRDM16,NCOR2,SAP130,ATF2,SETD2,VPS72,ATXN7L3,NSD1,HMG20B,SUV39H2,DNMT3A,MRGBP,KMT2D,ARID1B,MEAF6,KDM5B,MSL1,PHF2,KDM4D","14000,7673,29813,784,18420,11644,25416,14234,5002,17287,2978,15866,7133,18040,25674,18039,27905,8920,25498"
NA,"REACTOME pathway","R-HSA-2028269","Signaling by Hippo",10,4,0.739,5.9512,2.573,0.00305758000537648,2.51462217028875,1,0.0542124114428454,0.455463496364648,"LATS1,AMOTL1,LATS2,AMOT","6514,17811,6515,17810"
NA,"REACTOME pathway","R-HSA-4655427","SUMOylation of DNA methylation proteins",11,4,0.739,5.4102,2.436,0.00455176980716337,2.34181970926821,1,0.0615104027995051,0.51677729096033,"PCGF2,DNMT3A,PHC3,PHC1","12929,2978,15682,3182"
