"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO BP","GO:0007049","cell cycle",1100,102,18.854,1.3796,0.464,0.000295356979511514,3.52965276197389,0.738392448778786,0.0119871337991174,0.100709445055638,"NAT10,LATS2,CDCA2,SYF2,ESCO1,PRP4K,MEAF6,APC,BARD1,ARID1A,ATAD5,VPS72,TPX2,NCOR1,TOP2B,SETD2,SLF2,WAC,ZNF318,SGO2,NUP62,SPICE1,DACT1,DAB2IP,CENPF,SAPCD2,CDCA5,SENP2,CENPK,TTC28,RBBP8,PHF8,RBM38,RNF168,TICRR,LZTS2,JUNB,KIF22,FAM110A,MYBBP1A,MEN1,RBM14,PSRC1,SVIL,TBRG1,TRIM21,RAD51AP1,ARID1B,ZNF830,MBTD1,NUMA1,BCAS2,PLEC,PRPF40A,TIMELESS,CCSAP,PDS5B,BRD4,NUSAP1,CROCC,SON,ADARB1,IK,CCDC66,ATF2,LATS1,SPC24,BLM,INIP,NIPBL,CCNL1,PDIK1L,CNTROB,DPF3,PLAGL1,CEP250,ATRX,TOP2A,PPM1D,ANKLE2,PRKDC,EXO1,INO80E,SMARCA5,RBL1,ZNHIT1,TFAP4,MRGBP,PDE4DIP,HAUS7,POGZ,CECR2,MKI67,KIZ,RNF4,ZNF503,PHIP,ORC1,KIF20A,SFN,INCENP,DLGAP5","29830,6515,14623,19824,24645,17346,25674,583,952,11110,25752,11644,1249,7672,11990,18420,17814,17327,13578,30812,8066,25083,17748,17294,1857,28055,14626,23116,29479,29179,9891,20672,15818,26661,28704,29381,6205,6391,16188,7546,7010,14219,24472,11480,29551,11312,16956,18040,28291,19866,8059,975,9069,16463,11813,29578,20418,13575,18538,21299,11183,226,5958,27709,784,6514,26913,1058,24994,28862,20569,18981,29616,17427,9046,1859,886,11989,9277,29101,9413,3511,26905,11101,9893,21688,11745,15866,15580,32979,18801,1840,7107,15865,10067,23589,15673,8487,9787,10773,6058,16864","cell cycle","ADARB1;ANKLE2;APC;ARID1A;ARID1B;ATAD5;ATF2;ATRX;BARD1;BCAS2;BLM;BRD4;CCDC66;CCNL1;CCSAP;CDCA2;CDCA5;CECR2;CENPF;CENPK;CEP250;CNTROB;CROCC;DAB2IP;DACT1;DLGAP5;DPF3;ESCO1;EXO1;FAM110A;HAUS7;IK;INCENP;INIP;INO80E;JUNB;KIF20A;KIF22;KIZ;LATS1;LATS2;LZTS2;MBTD1;MEAF6;MEN1;MKI67;MRGBP;MYBBP1A;NAT10;NCOR1;NIPBL;NUMA1;NUP62;NUSAP1;ORC1;PDE4DIP;PDIK1L;PDS5B;PHF8;PHIP;PLAGL1;PLEC;POGZ;PPM1D;PRKDC;PRP4K;PRPF40A;PSRC1;RAD51AP1;RBBP8;RBL1;RBM14;RBM38;RNF168;RNF4;SAPCD2;SENP2;SETD2;SFN;SGO2;SLF2;SMARCA5;SON;SPC24;SPICE1;SVIL;SYF2;TBRG1;TFAP4;TICRR;TIMELESS;TOP2A;TOP2B;TPX2;TRIM21;TTC28;VPS72;WAC;ZNF318;ZNF503;ZNF830;ZNHIT1",102
NA,"Direct GO Biological Processes","GO:0006357","regulation of transcription by RNA polymerase II",700,81,14.972,1.7216,0.784,4.94073117867166e-07,6.30620877509167,0.00123518279466792,5.88182283175198e-05,0.000494159090261373,"SREBF2,ATF2,JUNB,PITX2,HES4,ZIC5,ZNF174,MXD4,HEY1,PHIP,BRD2,DHX9,MEN1,ZNF446,PRDM16,TEAD1,ZSCAN29,DPF3,SNW1,NIPBL,SOX5,BARD1,EMX1,NKX6-1,CCNL1,ZXDC,NKX2-1,CREB5,PHF8,CTDSPL2,SS18,CUX1,MAF,RBL1,BACH2,ZNF799,MAFK,RAI1,PHF3,MRGBP,SAFB,DLX6,MLLT6,MYNN,BCL11B,TEF,BRWD3,ARID1A,SPEN,FOXB1,SP2,CCNT2,ESRRA,PHF2,ARID1B,TRAF7,ZNF182,HOXB13,CIC,BCL11A,TCF20,DBP,MAX,RFX1,ALX4,ZNF280B,BRD3,ADNP2,BRD4,BATF3,SATB1,TLE5,ELF2,MXI1,ATXN7L3,ZSCAN5A,TFAP4,MYPOP,SMARCA5,ZNF609,MED4","11290,784,6205,9005,24149,20322,12963,13906,4880,15673,1103,2750,7010,21036,14000,11714,26673,17427,16696,28862,11201,952,3340,7839,20569,28160,11825,16844,20672,26936,11340,2557,6776,9893,14078,28071,6782,9834,8921,15866,10520,2919,7138,14955,13222,11722,17342,11110,17575,3799,11207,1600,3471,8920,18040,20456,13001,5112,14214,13221,11631,2697,6913,9982,450,23022,1104,23803,13575,28915,10541,307,3317,7534,25416,23710,11745,20178,11101,29003,17903","regulation of transcription by rna polymerase ii","ADNP2;ALX4;ARID1A;ARID1B;ATF2;ATXN7L3;BACH2;BARD1;BATF3;BCL11A;BCL11B;BRD2;BRD3;BRD4;BRWD3;CCNL1;CCNT2;CIC;CREB5;CTDSPL2;CUX1;DBP;DHX9;DLX6;DPF3;ELF2;EMX1;ESRRA;FOXB1;HES4;HEY1;HOXB13;JUNB;MAF;MAFK;MAX;MED4;MEN1;MLLT6;MRGBP;MXD4;MXI1;MYNN;MYPOP;NIPBL;NKX2-1;NKX6-1;PHF2;PHF3;PHF8;PHIP;PITX2;PRDM16;RAI1;RBL1;RFX1;SAFB;SATB1;SMARCA5;SNW1;SOX5;SP2;SPEN;SREBF2;SS18;TCF20;TEAD1;TEF;TFAP4;TLE5;TRAF7;ZIC5;ZNF174;ZNF182;ZNF280B;ZNF446;ZNF609;ZNF799;ZSCAN29;ZSCAN5A;ZXDC",81
NA,"SLIM2 GO BP","GO:0007010","cytoskeleton organization",859,69,12.754,1.1951,0.257,0.0628679634172405,1.20157060821957,1,0.200638817359995,1,"CCDC120,CRACD,NUP62,LZTS2,DLGAP5,AXIN1,CDC42EP4,MAP7D2,DMTN,APC,HAUS7,CNTROB,SS18,SSH2,CECR2,S100A8,EPB41L1,AMOT,SVIL,SPICE1,CCSAP,SAPCD2,BRWD3,CEP250,PALM2AKAP2,CGN,ATRX,NCOR1,TRAF3IP1,KIZ,FAM110A,ATF2,KIF20A,ZMYM4,PLEC,TPX2,LMOD1,RBM14,DISC1,NUMA1,PHIP,PSRC1,SETD2,AMOTL1,CARMIL1,CROCC,LATS1,CCDC66,RNF4,CDC42EP1,NAT10,PHLDB2,INCENP,BCAS2,ATAT1,SON,ADD2,WIPF3,NAV1,MAST2,AUTS2,CCDC88C,LIMCH1,KATNBL1,PDE4DIP,PRPF40A,CCNL1,TMSB10,NUSAP1","28910,29219,8066,29381,16864,903,17147,25899,3382,583,32979,29616,11340,30580,1840,10498,3378,17810,11480,25083,29578,28055,17342,1859,33529,17429,886,7672,17861,15865,16188,784,9787,13055,9069,1249,6647,14219,2888,8059,15673,24472,18420,17811,21581,21299,6514,27709,10067,17014,29830,29573,6058,975,21186,11183,244,22004,15989,19035,14262,19967,29191,26199,15580,16463,20569,11879,18538","cytoskeleton organization","ADD2;AMOT;AMOTL1;APC;ATAT1;ATF2;ATRX;AUTS2;AXIN1;BCAS2;BRWD3;CARMIL1;CCDC120;CCDC66;CCDC88C;CCNL1;CCSAP;CDC42EP1;CDC42EP4;CECR2;CEP250;CGN;CNTROB;CRACD;CROCC;DISC1;DLGAP5;DMTN;EPB41L1;FAM110A;HAUS7;INCENP;KATNBL1;KIF20A;KIZ;LATS1;LIMCH1;LMOD1;LZTS2;MAP7D2;MAST2;NAT10;NAV1;NCOR1;NUMA1;NUP62;NUSAP1;PALM2AKAP2;PDE4DIP;PHIP;PHLDB2;PLEC;PRPF40A;PSRC1;RBM14;RNF4;S100A8;SAPCD2;SETD2;SON;SPICE1;SS18;SSH2;SVIL;TMSB10;TPX2;TRAF3IP1;WIPF3;ZMYM4",69
NA,"SLIM2 GO BP","GO:0006259","DNA metabolic process",699,68,12.569,1.4474,0.533,0.000990215826781405,3.00427013654937,1,0.0270685783807473,0.227415623522181,"CD40,SMARCA5,RAD51AP1,RNF168,INIP,TOP2B,TIMELESS,HMBOX1,NOC3L,ATXN7L3,SETD2,MEN1,FAAP20,ZNF830,TBRG1,VPS72,ARID1B,BCL11B,MEAF6,NIPBL,NAT10,SLF2,TFIP11,BLM,TNKS1BP1,H1-6,ESCO1,CENPF,FANCG,PWWP3A,INO80E,ORC1,NUCKS1,DPF3,SENP2,SENP3,MBTD1,CIZ1,EXO1,NTHL1,RNF169,POLD3,TDRD3,CECR2,WDR33,RIF1,ERCC8,XAB2,TOP2A,PRKDC,CDCA5,KDM4D,BARD1,SPRTN,KIF22,TICRR,ATAD5,MCM10,BOD1L1,ARID1A,YLPM1,OTUD4,MRGBP,RBBP8,DHX9,POGZ,MCM9,ATRX","11919,11101,16956,26661,24994,11990,11813,26137,24034,25416,18420,7010,26428,28291,29551,11644,18040,13222,25674,28862,29830,17814,17165,1058,19081,4720,24645,1857,3588,29641,26905,8487,29923,17427,23116,17862,19866,16744,3511,8028,26961,20932,20612,1840,25651,23207,3439,14089,11989,9413,14626,25498,952,25356,6391,28704,25752,18043,31792,11110,17798,24949,15866,9891,2750,18801,21484,886","dna metabolic process","ARID1A;ARID1B;ATAD5;ATRX;ATXN7L3;BARD1;BCL11B;BLM;BOD1L1;CD40;CDCA5;CECR2;CENPF;CIZ1;DHX9;DPF3;ERCC8;ESCO1;EXO1;FAAP20;FANCG;H1-6;HMBOX1;INIP;INO80E;KDM4D;KIF22;MBTD1;MCM10;MCM9;MEAF6;MEN1;MRGBP;NAT10;NIPBL;NOC3L;NTHL1;NUCKS1;ORC1;OTUD4;POGZ;POLD3;PRKDC;PWWP3A;RAD51AP1;RBBP8;RIF1;RNF168;RNF169;SENP2;SENP3;SETD2;SLF2;SMARCA5;SPRTN;TBRG1;TDRD3;TFIP11;TICRR;TIMELESS;TNKS1BP1;TOP2A;TOP2B;VPS72;WDR33;XAB2;YLPM1;ZNF830",68
NA,"Direct GO Biological Processes","GO:0006355","regulation of DNA-templated transcription",591,65,12.015,1.6363,0.71,3.93721667811959e-05,4.40481068388331,0.0984304169529898,0.00250273532868489,0.0210266349151414,"ZBTB4,TFAP2D,BRD2,MAFK,HOXB13,MBTD1,EMX1,MLLT6,ASXL2,ALX4,ZNF280B,VPS72,SMARCA5,HEY1,GOLGB1,ATF2,CDCA7L,GPBP1,RARB,NKX2-1,ZNF536,AHDC1,MAX,DLX6,HES4,L3MBTL3,SMARCA1,BRD3,MYBBP1A,NSD3,NR2F6,NKX6-1,TLE5,MRGBP,NSD1,SPTY2D1,TEAD1,GTF2IRD1,BRD4,JUNB,CUX1,ZNF446,SAP130,RFX1,ZNF182,ZNHIT1,SETD2,MEIS1,ELF2,BACH2,ZNF799,SREBF2,KMT2D,KDM5B,SETD5,ESRRA,ATRX,BATF3,MEAF6,PITX2,TEF,CREB5,FOXB1,MAF,DBP","23847,15581,1103,6782,5112,19866,3340,7138,23805,450,23022,11644,11101,4880,4429,784,30777,29520,9865,11825,29025,25230,6913,2919,24149,23035,11097,1104,7546,12767,7977,7839,307,15866,14234,26818,11714,4661,13575,6205,2557,21036,29813,9982,13001,21688,18420,7000,3317,14078,28071,11290,7133,18039,25566,3471,886,28915,25674,9005,11722,16844,3799,6776,2697","regulation of dna templated transcription","AHDC1;ALX4;ASXL2;ATF2;ATRX;BACH2;BATF3;BRD2;BRD3;BRD4;CDCA7L;CREB5;CUX1;DBP;DLX6;ELF2;EMX1;ESRRA;FOXB1;GOLGB1;GPBP1;GTF2IRD1;HES4;HEY1;HOXB13;JUNB;KDM5B;KMT2D;L3MBTL3;MAF;MAFK;MAX;MBTD1;MEAF6;MEIS1;MLLT6;MRGBP;MYBBP1A;NKX2-1;NKX6-1;NR2F6;NSD1;NSD3;PITX2;RARB;RFX1;SAP130;SETD2;SETD5;SMARCA1;SMARCA5;SPTY2D1;SREBF2;TEAD1;TEF;TFAP2D;TLE5;VPS72;ZBTB4;ZNF182;ZNF280B;ZNF446;ZNF536;ZNF799;ZNHIT1",65
NA,"SLIM2 GO BP","GO:0006397","mRNA processing",425,64,11.83,2.2405,1.164,4.28894763689226e-10,9.36764925596367,1.07223690922307e-06,1.35810714163995e-07,1.1410085083953e-06,"RBPMS2,IK,ZC3H13,ZC3H14,GPATCH1,PRPF6,BUD13,NOVA2,CRNKL1,AQR,VIRMA,PRP4K,CWC22,SFSWAP,RPUSD3,RBM15B,BARD1,ARB2A,DHX9,CLASRP,RSRC1,PRPF40A,FIP1L1,PCF11,SNW1,SON,SRRM2,TFIP11,RBM38,SRSF12,ZNF830,SRSF3,ADARB1,BCAS2,LSM3,PRPF40B,DHX35,SRSF9,NBDY,SMU1,NSRP1,HNRNPH3,CASC3,GEMIN8,PRPF8,RAMAC,WDR33,SAFB,SCAF11,SYMPK,SYF2,SNRNP200,XAB2,DDX23,SREK1,RBM14,DHX8,SNRNP27,DDX47,CWC15,PAPOLG,ACIN1,RBM6,RBM25","19098,5958,20368,20509,24658,15860,28199,7887,15762,29513,24500,17346,29322,10790,28437,24303,952,25365,2750,17731,24152,16463,19124,30097,16696,11183,16639,17165,15818,21220,28291,10785,226,975,17874,25031,15861,10791,50713,18247,25305,5043,17040,26044,17340,31022,25651,10520,10784,22935,19824,30859,14089,17347,17882,14219,2749,30240,18682,26939,14982,17066,9903,23244","mrna processing","ACIN1;ADARB1;AQR;ARB2A;BARD1;BCAS2;BUD13;CASC3;CLASRP;CRNKL1;CWC15;CWC22;DDX23;DDX47;DHX35;DHX8;DHX9;FIP1L1;GEMIN8;GPATCH1;HNRNPH3;IK;LSM3;NBDY;NOVA2;NSRP1;PAPOLG;PCF11;PRP4K;PRPF40A;PRPF40B;PRPF6;PRPF8;RAMAC;RBM14;RBM15B;RBM25;RBM38;RBM6;RBPMS2;RPUSD3;RSRC1;SAFB;SCAF11;SFSWAP;SMU1;SNRNP200;SNRNP27;SNW1;SON;SREK1;SRRM2;SRSF12;SRSF3;SRSF9;SYF2;SYMPK;TFIP11;VIRMA;WDR33;XAB2;ZC3H13;ZC3H14;ZNF830",64
NA,"Direct GO Biological Processes","GO:0000122","negative regulation of transcription by RNA polymerase II",534,64,11.83,1.7831,0.834,2.79621180971001e-06,5.55342993439124,0.00699052952427502,0.000243724073315949,0.00204763845817388,"CIC,BATF3,ING1,SUV39H2,PLAGL1,NKX2-1,ZNF536,MYPOP,DACT1,CUX1,BACH2,MAX,SARNP,SATB1,ZNF174,ZNHIT1,SNW1,BCOR,ESRRA,SAP130,NKX6-1,SREBF2,NCOR1,AMOT,HEY1,TLE5,ZBTB4,JARID2,TET1,RARB,ZNF182,HDAC4,BCL11A,DNMT3A,PRDM16,MEN1,CBX2,SKI,MAFK,HOXB13,SPEN,RIF1,SFN,HMBOX1,PITX2,VPS72,NCOR2,JAZF1,NIPBL,ATF2,BEND3,MAF,MAGED4B,RBL1,PCGF2,ZBTB39,MBD3,NR2F6,NSD1,MXI1,DAB2IP,SP2,GTF2IRD1,MXD4","14214,28915,6062,17287,9046,11825,29025,20178,17748,2557,14078,6913,24432,10541,12963,21688,16696,20893,3471,29813,7839,11290,7672,17810,4880,307,23847,6196,29484,9865,13001,14063,13221,2978,14000,7010,1552,10896,6782,5112,17575,23207,10773,26137,9005,11644,7673,28917,28862,784,23040,6776,22880,9893,12929,29014,6918,7977,14234,7534,17294,11207,4661,13906","negative regulation of transcription by rna polymerase ii","AMOT;ATF2;BACH2;BATF3;BCL11A;BCOR;BEND3;CBX2;CIC;CUX1;DAB2IP;DACT1;DNMT3A;ESRRA;GTF2IRD1;HDAC4;HEY1;HMBOX1;HOXB13;ING1;JARID2;JAZF1;MAF;MAFK;MAGED4B;MAX;MBD3;MEN1;MXD4;MXI1;MYPOP;NCOR1;NCOR2;NIPBL;NKX2-1;NKX6-1;NR2F6;NSD1;PCGF2;PITX2;PLAGL1;PRDM16;RARB;RBL1;RIF1;SAP130;SARNP;SATB1;SFN;SKI;SNW1;SP2;SPEN;SREBF2;SUV39H2;TET1;TLE5;VPS72;ZBTB39;ZBTB4;ZNF174;ZNF182;ZNF536;ZNHIT1",64
NA,"Direct GO Biological Processes","GO:0045944","positive regulation of transcription by RNA polymerase II",606,64,11.83,1.5713,0.652,0.000151905168427147,3.81842744943409,0.379762921067869,0.00759525842135737,0.0638112724432407,"POGZ,CHCHD2,ESRRA,PRDM16,PITX2,SSBP4,SS18,KMT2D,BRD4,CCNT2,TET2,MAX,GPBP1,RARB,TEF,RBM14,AUTS2,DBP,SENP2,MLLT6,CHD6,SMARCA1,TOP2A,NCOA6,PHF8,RTRAF,JUNB,NUCKS1,PLAGL1,BCL9L,TCF20,SMARCA5,PRPF6,CD40,PHIP,MEIS1,TET1,RNF4,TFAP4,MYBBP1A,ZNF609,PELP1,DHX9,ALX4,NKX6-1,DAB2IP,SREBF2,BRD3,HEY1,ATRX,BCL11A,MAF,BCL11B,PRKDC,TEAD1,HDAC4,NIPBL,ATF2,ASXL2,MEN1,TFAP2D,SKI,NKX2-1,SNW1","18801,21645,3471,14000,9005,15676,11340,7133,13575,1600,25941,6913,29520,9865,11722,14219,14262,2697,23116,7138,19057,11097,11989,15936,20672,23169,6205,29923,9046,23688,11631,11101,15860,11919,15673,7000,29484,10067,11745,7546,29003,30134,2750,450,7839,17294,11290,1104,4880,886,13221,6776,13222,9413,11714,14063,28862,784,23805,7010,15581,10896,11825,16696","positive regulation of transcription by rna polymerase ii","ALX4;ASXL2;ATF2;ATRX;AUTS2;BCL11A;BCL11B;BCL9L;BRD3;BRD4;CCNT2;CD40;CHCHD2;CHD6;DAB2IP;DBP;DHX9;ESRRA;GPBP1;HDAC4;HEY1;JUNB;KMT2D;MAF;MAX;MEIS1;MEN1;MLLT6;MYBBP1A;NCOA6;NIPBL;NKX2-1;NKX6-1;NUCKS1;PELP1;PHF8;PHIP;PITX2;PLAGL1;POGZ;PRDM16;PRKDC;PRPF6;RARB;RBM14;RNF4;RTRAF;SENP2;SKI;SMARCA1;SMARCA5;SNW1;SREBF2;SS18;SSBP4;TCF20;TEAD1;TEF;TET1;TET2;TFAP2D;TFAP4;TOP2A;ZNF609",64
NA,"Direct GO Biological Processes","GO:0006325","chromatin organization",332,60,11.091,2.6888,1.427,6.78858754915848e-13,12.1682205767382,1.69714688728962e-09,3.39429377457924e-10,2.85170290181336e-09,"SMARCA1,SMARCA5,CABIN1,NSD3,NSD1,JARID2,CBX2,UBN2,PCGF2,HMG20B,UBN1,MRGBP,CHD1,SUV39H2,PHF2,DPF3,PHF8,MBTD1,ARID1B,DNMT3A,CHD6,SAFB,PWWP3A,VPS72,NCOR1,CECR2,PHIP,NUCKS1,MEN1,RNF169,BRD3,ZNHIT1,WAC,KDM4D,CHD2,TET1,RBL1,ARID1A,BRD4,BCOR,BEND3,ING1,L3MBTL3,SATB1,RNF168,TOP2A,HDAC4,SETD2,SETD5,ATRX,MEAF6,MLLT6,MSL1,KMT2D,KDM5B,TET2,ATXN7L3,DHX9,TDRD3,BRD2","11097,11101,24187,12767,14234,6196,1552,21931,12929,5002,12506,15866,1915,17287,8920,17427,20672,19866,18040,2978,19057,10520,29641,11644,7672,1840,15673,29923,7010,26961,1104,21688,17327,25498,1917,29484,9893,11110,13575,20893,23040,6062,23035,10541,26661,11989,14063,18420,25566,886,25674,7138,27905,7133,18039,25941,25416,2750,20612,1103","chromatin organization","ARID1A;ARID1B;ATRX;ATXN7L3;BCOR;BEND3;BRD2;BRD3;BRD4;CABIN1;CBX2;CECR2;CHD1;CHD2;CHD6;DHX9;DNMT3A;DPF3;HDAC4;HMG20B;ING1;JARID2;KDM4D;KDM5B;KMT2D;L3MBTL3;MBTD1;MEAF6;MEN1;MLLT6;MRGBP;MSL1;NCOR1;NSD1;NSD3;NUCKS1;PCGF2;PHF2;PHF8;PHIP;PWWP3A;RBL1;RNF168;RNF169;SAFB;SATB1;SETD2;SETD5;SMARCA1;SMARCA5;SUV39H2;TDRD3;TET1;TET2;TOP2A;UBN1;UBN2;VPS72;WAC;ZNHIT1",60
NA,"SLIM2 GO BP","GO:0009790","embryo development",628,52,9.612,1.2319,0.301,0.0645925414804858,1.18981762721972,1,0.204925575762962,1,"LATS1,ATF2,FOXB1,PTPN18,HEY1,TEAD1,BCOR,DHX35,SENP2,SKI,XAB2,TET1,ALX4,C2orf49,CCSAP,RBPMS2,AMOT,SETD2,FXN,TASOR,LATS2,EMX1,DLX6,PCGF2,UTP25,PITX2,NSRP1,SYF2,AHDC1,CECR2,TRAF3IP1,DACT1,RECK,RBM14,INO80E,PRKDC,MXI1,JUNB,AXIN1,RBBP8,MAF,TOP2A,BRD2,MBTD1,ZNF830,RARB,MBD3,LAMA4,MEIS1,NAGLU,BRD3,NIPBL","6514,784,3799,9649,4880,11714,20893,15861,23116,10896,14089,29484,450,28772,29578,19098,17810,18420,3951,30314,6515,3340,2919,12929,28440,9005,25305,19824,25230,1840,17861,17748,11345,14219,26905,9413,7534,6205,903,9891,6776,11989,1103,19866,28291,9865,6918,6484,7000,7632,1104,28862","embryo development","AHDC1;ALX4;AMOT;ATF2;AXIN1;BCOR;BRD2;BRD3;C2orf49;CCSAP;CECR2;DACT1;DHX35;DLX6;EMX1;FOXB1;FXN;HEY1;INO80E;JUNB;LAMA4;LATS1;LATS2;MAF;MBD3;MBTD1;MEIS1;MXI1;NAGLU;NIPBL;NSRP1;PCGF2;PITX2;PRKDC;PTPN18;RARB;RBBP8;RBM14;RBPMS2;RECK;SENP2;SETD2;SKI;SYF2;TASOR;TEAD1;TET1;TOP2A;TRAF3IP1;UTP25;XAB2;ZNF830",52
