"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0007155","cell adhesion",209,56,10.687,4.1158,2.041,7.94579858482268e-21,20.099862447915,1.98644964620567e-17,3.25264362708632e-18,2.73269607344951e-17,"CHST10,APP,CXADR,CCN1,MFGE8,ROBO1,NPTN,PTPRU,ADGRE5,EPHB4,ITGAV,PCDH1,VTN,CD99L2,FLRT3,CNTN1,FN1,LAMC1,PTPRS,ADAM9,ANXA2,CLSTN3,ATP1B1,DSC3,ITGA1,NEO1,THBS1,F11R,EDIL3,CD151,EXT1,ITGB1,PCDH7,ITGA8,JAM3,NRP2,APLP1,CCN2,HABP2,MFAP4,NECTIN2,SUSD5,DGCR2,CD47,EPHA4,ITGA7,DDR2,TPBG,CDON,CADM1,CDH2,FAT1,ITGB5,PCDH9,PLPP3,ESAM","19650,620,2559,2654,7036,10249,17867,9683,1711,3395,6150,8655,12724,18237,3762,2171,3778,6492,9681,216,537,18371,804,3037,6134,7754,11785,14685,3173,1630,3512,6153,8659,6144,15532,8005,597,2500,4798,7035,9707,29061,2845,1682,3388,6143,2731,12004,17104,5951,1759,3595,6160,8661,9229,17474"
NA,"SLIM2 GO BP","GO:0007155","cell adhesion",579,91,17.366,2.4142,1.272,3.989140463002e-16,15.399120671328,9.97285115750501e-13,8.31070929792084e-14,6.98221055540367e-13,"PCDH9,WNT5A,APP,C1QBP,DDR2,HLA-A,CALR,TFRC,CDON,FLRT3,DSC3,ITGB5,CADM1,FZD7,CD151,LAMC1,CHST10,THBS1,FN1,ITGA8,VTN,APOA1,CCN1,PCDH1,ADAM10,NDFIP1,CD83,MFAP4,ADAM9,CD99L2,IL6ST,CLSTN3,RNF7,CDH2,ITGAV,NECTIN2,PTPRU,ATP1B1,EPHA4,TPBG,EPHA7,CD276,JAM3,CD81,EGFR,LRP6,NPTN,ANTXR1,EPHB4,P4HB,DGCR2,PML,SGCE,PLPP3,EDIL3,ANXA2,ITGA1,PCDH7,SERPINF2,APLP1,CD55,MFGE8,GCNT1,SPINT2,CD46,F11R,CXADR,CNTN1,ITGB1,ROBO1,COL1A1,ADGRE5,ERBB2,NRP2,EXT1,CCN2,ESAM,CAV1,FAT1,NEO1,FBLN1,BMP4,HABP2,STX3,SUSD5,PPP1CB,PTPRS,NTN1,SDC4,CD47,ITGA7","8661,12784,620,1243,2731,4931,1455,11763,17104,3762,3037,6160,5951,4045,1630,6492,19650,11785,3778,6144,12724,600,2654,8655,188,17592,1703,7035,216,18237,6021,18371,10070,1759,6150,9707,9683,804,3388,12004,3390,19137,15532,1701,3236,6698,17867,21014,3395,8548,2845,9113,10808,9229,3173,537,6134,8659,9075,597,2665,7036,4203,11247,6953,14685,2559,2171,6153,10249,2197,1711,3430,8005,3512,2500,17474,1527,3595,7754,3600,1071,4798,11438,29061,9282,9681,8029,10661,1682,6143"
NA,"SLIM2 GO BP","GO:0040011","locomotion",530,75,14.313,2.1737,1.12,4.9296302797675e-11,10.3071856514079,1.23240756994187e-07,4.74002911516105e-09,3.98231728898015e-08,"CCN1,PHPT1,TPBG,EPHA7,PPIB,CD47,ADAM10,APOH,PAX6,CALR,CAV1,FAT1,ADAM9,FBLN1,TIMP1,SEMA3C,SCARB1,EPHA4,EGFR,PTGS2,MET,P2RX4,ITGA1,CD81,EMC10,BMP4,VEGFB,RNF7,ITGB1,CD99L2,APP,ITGAV,SERPIND1,JAM3,FN1,SERPINF1,NTN1,SLIT2,CD151,DDR2,CPNE3,SPINT2,P4HB,FLRT3,GRN,PTPRU,HSPA5,AKAP12,STX3,APOA1,CXADR,ARRDC3,SDC4,APOE,ACVR1B,C1QBP,ADIPOR1,VTN,SDCBP,WNT5A,GJA1,NRP2,PLGRKT,ROBO1,IGSF8,COL1A1,ADAMTS1,SPRY2,THBS1,GCNT1,BMPR1A,PLPP3,RAP2C,PGF,FLT1","2654,30033,12004,3390,9255,1682,188,616,8620,1455,1527,3595,216,3600,11820,10725,1664,3388,3236,9605,7029,8535,6134,1701,27609,1071,12681,10070,6153,18237,620,6150,4838,15532,3778,8824,8029,11086,1630,2731,2316,11247,8548,3762,4601,9683,5238,370,11438,600,2559,29263,10661,613,172,1243,24040,12724,10662,12784,4274,8005,23633,10249,17813,2197,217,11270,11785,4203,1076,9229,21165,8893,3763"
NA,"Direct GO Biological Processes","GO:0007229","integrin-mediated signaling pathway",51,17,3.244,5.1202,2.356,9.72026017965418e-09,8.01232211027168,2.43006504491354e-05,6.23093601259883e-07,5.23489700308692e-06,"ADAMTS1,ADAM10,ITGA7,CCN2,ITGB5,CCN1,PLPP3,APOA1,ITGAV,FBLN1,VTN,ITGA1,ADAM9,CD47,ITGB1,FN1,ITGA8","217,188,6143,2500,6160,2654,9229,600,6150,3600,12724,6134,216,1682,6153,3778,6144"
NA,"Direct GO Biological Processes","GO:0098609","cell-cell adhesion",93,23,4.389,3.7989,1.926,1.62532786928645e-08,7.7890590177873,4.06331967321612e-05,9.44958063538633e-07,7.93902894341871e-06,"ANXA2,ITGA1,PLPP3,CNTN1,ITGB1,F11R,FAT1,NEO1,ESAM,CD47,ITGA7,NTN1,DSC3,ITGB5,CDON,CCN1,ITGA8,CDH2,ITGAV,CLSTN3,EGFR,LRP6,JAM3","537,6134,9229,2171,6153,14685,3595,7754,17474,1682,6143,8029,3037,6160,17104,2654,6144,1759,6150,18371,3236,6698,15532"
NA,"SLIM2 GO BP","GO:0048870","cell motility",740,87,16.603,1.8059,0.853,1.81836899330499e-08,7.74031798277767,4.54592248326246e-05,1.03316420074147e-06,8.68008942351889e-06,"CD151,PLPP3,C1QBP,PTPRU,DDR2,COL1A1,SCARB1,SPINT2,BAMBI,GJA1,PGF,RNF7,P2RX4,ACVR1B,APOE,EXT1,CD99L2,ITGAV,TPBG,ADAM9,P4HB,GPC3,ROBO1,IGSF8,VTN,ADIPOR1,AKAP12,KIAA0319L,ITGA7,GPC1,LAMTOR2,MET,BMPR1A,FLT1,EMC10,CALR,RAP2C,ADAMTS1,SEMA3C,THBS1,MCUR1,HSPA5,TIMP1,VEGFB,EPHB4,ADAM10,PAX6,APOH,JAM3,WNT5A,ITGB5,CXADR,CPNE3,CDH2,F11R,GRN,SLIT2,EPHA4,FAT1,CAV1,APOA1,FBLN1,LAMC1,PPIB,FLRT3,CD81,NRP2,SDC4,ITGA1,BMP4,PTGS2,PHPT1,FN1,GCNT1,CCN1,APP,CD47,ITGB1,EGFR,NTN1,SERPINF1,PLAT,NEO1,SDCBP,PML,SPRY2,CCN2","1630,9229,1243,9683,2731,2197,1664,11247,30251,4274,8893,10070,8535,172,613,3512,18237,6150,12004,216,8548,4451,10249,17813,12724,24040,370,30071,6143,4449,29796,7029,1076,3763,27609,1455,21165,217,10725,11785,21097,5238,11820,12681,3395,188,8620,616,15532,12784,6160,2559,2316,1759,14685,4601,11086,3388,3595,1527,600,3600,6492,9255,3762,1701,8005,10661,6134,1071,9605,30033,3778,4203,2654,620,1682,6153,3236,8029,8824,9051,7754,10662,9113,11270,2500"
NA,"Direct GO Biological Processes","GO:0046718","symbiont entry into host cell",66,19,3.626,4.422,2.145,2.0247076838975e-08,7.69363766895998,5.06176920974376e-05,1.12483760216528e-06,9.45027999104508e-06,"LAMP1,LAMP3,SCARB2,PLSCR1,CD55,ITGB1,TFRC,LDLR,F11R,CD81,EGFR,NECTIN2,ITGB5,TMEFF1,SCARB1,CD46,CXADR,ITGAV,SMPD1","6499,14582,1665,9092,2665,6153,11763,6547,14685,1701,3236,9707,6160,11866,1664,6953,2559,6150,11120"
NA,"SLIM2 GO BP","GO:0044403","biological process involved in symbiotic interaction",118,26,4.962,3.3846,1.759,2.52703625848977e-08,7.59738852667959,6.31759064622443e-05,1.37338927091835e-06,1.15384773072057e-05,"CD55,TFRC,P4HB,ITGB5,F11R,FBLN1,ZDHHC20,CD81,CD46,CAV1,EGFR,TMEFF1,SMPD1,SCARB1,LAMP1,ITGAV,CXADR,PLSCR1,KIAA0319L,ITGB1,LAMP3,FN1,TRIM21,SCARB2,LDLR,NECTIN2","2665,11763,8548,6160,14685,3600,20749,1701,6953,1527,3236,11866,11120,1664,6499,6150,2559,9092,30071,6153,14582,3778,11312,1665,6547,9707"
NA,"SLIM2 GO BP","GO:0008283","cell population proliferation",882,97,18.511,1.6893,0.756,7.21111887959841e-08,7.14199734477633,0.00018027797198996,3.75579108312417e-06,3.15541347969435e-05,"SERPINF1,CD151,HMGA2,NOTCH2,FLT1,APP,TMEM127,SHCBP1,EMC10,SERPINF2,SLC25A5,SDCBP,FBLN1,EGFR,WNT5A,GRN,ADAMTS1,ROBO1,CD109,APOH,IL6ST,SULF2,EPHA4,TIMP1,PML,FGFR3,MCUR1,CDON,CTCF,FZD7,VEGFB,FOS,CD276,PTGS2,MEIS2,BAMBI,GPC3,CD81,EGR1,PAX6,PDCD2,ITGA1,LGR4,CCN2,NDFIP1,APOA1,CALR,SHMT2,FN1,ERBB2,NTN1,GJA1,PTPRU,SPINT2,PALB2,CDH2,CD46,CD320,ITGAV,CNBP,THBS1,CAV1,ITGB1,MARCKSL1,ZNF335,IER3IP1,CCN1,NRP2,SDC4,ADAM10,JTB,PGF,PDF,BMPR1A,CD55,BMP4,SLC20A1,CLU,TPBG,HLA-A,APOE,LAMC1,SCARB1,CD47,STX3,DDR2,EXT1,ZNF324,SIDT2,SPRY2,CADM1,ACVR2A,OGN,TFRC,PLA2G4A,MEIS1,CCPG1","8824,1630,5009,7882,3763,620,26038,29547,27609,9075,10991,10662,3600,3236,12784,4601,217,10249,21685,616,6021,20392,3388,11820,9113,3690,21097,17104,13723,4045,12681,3796,19137,9605,7001,30251,4451,1701,3238,8620,8762,6134,13299,2500,17592,600,1455,10852,3778,3430,8029,4274,9683,11247,26144,1759,6953,16692,6150,13164,11785,1527,6153,7142,15807,18550,2654,8005,10661,188,6201,8893,30012,1076,2665,1071,10946,2095,12004,4931,613,6492,1664,1682,11438,2731,3512,14096,24272,11270,5951,173,8126,11763,9035,7000,24227"
NA,"SLIM2 GO BP","GO:0030198","extracellular matrix organization",109,24,4.58,3.3822,1.758,8.88986390212319e-08,7.05110488773725,0.00022224659755308,4.53564484802203e-06,3.81060463050303e-05,"TIMP3,CCN1,ANXA2,LAMC1,ITGA8,SERPINF2,APP,QSOX1,SPINT2,ADAM10,ITGB1,COL1A1,MFAP4,ADAMTS1,SULF2,IER3IP1,FBLN1,ANTXR1,CTSV,VTN,EXT1,APLP1,DDR2,CAV1","11822,2654,537,6492,6144,9075,620,9756,11247,188,6153,2197,7035,217,20392,18550,3600,21014,2538,12724,3512,597,2731,1527"
