"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"SLIM2 GO CC","GO:0005576","extracellular region",1564,207,39.504,2.033,1.024,1e-25,25,2.5e-22,6.25e-23,5.25091353901531e-22,"IGF2R,ATP1A3,SERPINF1,EDIL3,SELENOP,C4A,ATRN,CXADR,NPC2,GCNT1,MME,PLEKHH3,NDFIP1,F11R,UBL3,ADAM10,TMEM109,SDC4,SCARB2,CPNE2,SYNGR2,EPHB4,LRP6,ITGA1,ADAMTS1,ERP44,ITIH4,MFGE8,SERPINF2,APOC3,TIMP1,CD59,ADAM9,STOM,HABP2,P2RX4,VASN,EMC10,PCBP3,PRPH,APLP2,ITM2C,VAMP7,ADGRE5,RTN4RL2,ABCB6,GLG1,NOTCH2,ITGB5,TSKU,NMU,SLC44A1,HLA-A,APOA1,CD46,SDCBP,QSOX1,BMP4,VTN,CCN2,MINPP1,FLT1,MARCKS,CRELD2,SCCPDH,C1GALT1C1,PKLR,LDLR,RAP2C,NECTIN2,CANX,TPRG1L,SNAP23,CD55,DSC3,DNPH1,HSPA5,NRP2,B4GAT1,CCN1,ATP1B1,PGF,AOC1,SMPD1,C4BPA,CILP,EGFR,GPC1,NEU1,CRISPLD1,CD99L2,GOLGA7,PPIB,ALDH1A1,ITFG1,SHMT2,CD47,ATP6V0D2,TM9SF2,FAT1,MET,ITGAV,LMAN2,SPINT2,GANAB,LAMC1,SLC11A2,PROS1,APOH,TIMP3,CLU,SLIT2,FBLN1,SERPIND1,P4HB,LRIG3,TOLLIP,PSMA6,ARF3,IGSF8,TSPAN6,CNTN1,GSTK1,TSPAN3,GLO1,NTN3,ITIH2,SULF2,CHSY1,PLD3,HPX,APOE,MFAP4,TFRC,PZP,C1QBP,WNT5A,CTSV,SEMA3C,FN1,MDH2,ULBP3,CRIM1,PHPT1,PLSCR1,ACAT2,MARCKSL1,RPE,SCARB1,CPNE8,CPNE3,ECH1,FGFR3,HSPA6,NTN1,PRSS23,IL6ST,F5,PLAT,ANXA2,THBS1,CALR,STC2,ENO3,GRN,YBX1,JAM3,GLB1L2,RAB8B,PPP1CB,ANXA7,TXNDC5,STX3,CD81,SLC46A3,TMEM59,GALNS,MFAP3,ITGB1,FLRT3,PGRMC1,MGRN1,LAMP2,OGN,PSAP,APP,VEGFB,COL1A1,ITM2B,FCGRT,HGFAC,MDFIC,QPCT,PDCD2,CD109,TMEM132A,PTPRS,PTTG1IP,H4C16,CLTCL1,CRABP2,PEF1,RIDA,GNG5,SPP2,LAMP1,LXN","5467,801,8824,3173,10751,1323,885,2559,14537,4203,7154,26105,17592,14685,12504,188,28771,10661,1665,2315,11499,3395,6698,6134,217,18311,6169,7036,9075,610,11820,1689,216,3383,4798,8535,18517,27609,8651,9461,598,6175,11486,1711,23053,47,4316,7882,6160,28850,7859,18798,4931,600,6953,10662,9756,1071,12724,2500,7102,3763,6759,28150,24275,24338,9020,6547,21165,9707,1473,27007,11131,2665,3037,21218,5238,8005,15685,2654,804,8893,80,11120,1325,1980,3236,4449,7758,18206,18237,24876,9255,402,30697,10852,1682,18266,11865,3595,7029,6150,16986,11247,4138,6492,10908,9456,616,11822,2095,11086,3600,4838,8548,30991,16476,9535,654,17813,11858,2171,16906,17752,4323,8030,6167,20392,17198,17158,5171,613,7035,11763,9750,1243,12784,2538,10725,3778,6971,14895,2359,30033,9092,94,7142,10293,1664,23498,2316,3149,3690,5239,8029,14370,6021,3542,9051,537,11785,1455,11374,3354,4601,8014,15532,25129,30273,9282,545,21073,11438,1701,27501,1239,4122,7034,6153,3762,16090,20254,6501,8126,9498,620,12681,2197,6174,3621,4894,28870,9753,8762,21685,31092,9681,13524,20510,2093,2339,30009,16897,4408,11256,6499,13347"
NA,"Direct GO Cellular Component","GO:0005576","extracellular region",553,114,21.756,3.1666,1.663,1e-25,25,2.5e-22,6.25e-23,5.25091353901531e-22,"CHSY1,CRIM1,JAM3,PGF,CLU,SDCBP,EPHB4,VEGFB,GRN,SLIT2,ITIH2,MME,APP,QPCT,NDFIP1,H4C16,ANXA2,NPC2,PROS1,CTSV,SPP2,FGFR3,ATRN,HGFAC,ADAMTS1,LRP6,YBX1,C4A,SCCPDH,CRISPLD1,RTN4RL2,APOE,NMU,P4HB,CD59,PZP,DSC3,TIMP1,GALNS,ADAM9,CCN1,MFAP4,ERP44,TOLLIP,GLB1L2,EDIL3,PLAT,COL1A1,SELENOP,F5,VTN,HABP2,NTN1,ITIH4,NEU1,BMP4,TSKU,ITFG1,CD109,APOA1,SPINT2,PSAP,CXADR,TFRC,FLT1,CILP,HPX,MINPP1,MET,NTN3,C4BPA,PRSS23,GOLGA7,CD99L2,APOH,SERPINF1,ADGRE5,SDC4,EGFR,TIMP3,GPC1,NRP2,IL6ST,MFGE8,FLRT3,SULF2,VASN,AOC1,SEMA3C,SERPINF2,CCN2,SMPD1,FBLN1,WNT5A,SERPIND1,ITM2B,LAMC1,NOTCH2,C1QBP,MDFIC,TXNDC5,EMC10,APOC3,PGRMC1,OGN,CALR,QSOX1,CD55,THBS1,FN1,STC2,HSPA6,ABCB6,MFAP3","17198,2359,15532,8893,2095,10662,3395,12681,4601,11086,6167,7154,620,9753,17592,20510,537,14537,9456,2538,11256,3690,885,4894,217,6698,8014,1323,24275,18206,23053,613,7859,8548,1689,9750,3037,11820,4122,216,2654,7035,18311,16476,25129,3173,9051,2197,10751,3542,12724,4798,8029,6169,7758,1071,28850,30697,21685,600,11247,9498,2559,11763,3763,1980,5171,7102,7029,8030,1325,14370,24876,18237,616,8824,1711,10661,3236,11822,4449,8005,6021,7036,3762,20392,18517,80,10725,9075,2500,11120,3600,12784,4838,6174,6492,7882,1243,28870,21073,27609,610,16090,8126,1455,9756,2665,11785,3778,11374,5239,47,7034"
NA,"Direct GO Cellular Component","GO:0005615","extracellular space",368,85,16.221,3.548,1.827,1e-25,25,2.5e-22,6.25e-23,5.25091353901531e-22,"APOE,CD59,STOM,LXN,IL6ST,CD109,SERPINF1,SDCBP,VTN,MINPP1,GRN,BMP4,CCN2,FCGRT,PLEKHH3,LAMP2,SERPINF2,TFRC,CILP,NPC2,HGFAC,APOA1,C4BPA,EGFR,GCNT1,VASN,MFGE8,QSOX1,TIMP3,SLIT2,TSKU,IGF2R,APOH,CLU,F5,CRELD2,ITIH4,PGF,SELENOP,WNT5A,EDIL3,HABP2,AOC1,C1QBP,CTSV,FLT1,CRISPLD1,CD46,PROS1,THBS1,STC2,LMAN2,HLA-A,APOC3,CALR,ENO3,SULF2,CCN1,LRIG3,OGN,PZP,VEGFB,ITM2B,GPC1,APP,COL1A1,FBLN1,ULBP3,LAMC1,PLAT,SMPD1,ATRN,SEMA3C,SERPIND1,ANXA2,C4A,CXADR,FN1,JAM3,MFAP4,PSAP,TIMP1,ADAM9,FLRT3,HPX","613,1689,3383,13347,6021,21685,8824,10662,12724,7102,4601,1071,2500,3621,26105,6501,9075,11763,1980,14537,4894,600,1325,3236,4203,18517,7036,9756,11822,11086,28850,5467,616,2095,3542,28150,6169,8893,10751,12784,3173,4798,80,1243,2538,3763,18206,6953,9456,11785,11374,16986,4931,610,1455,3354,20392,2654,30991,8126,9750,12681,6174,4449,620,2197,3600,14895,6492,9051,11120,885,10725,4838,537,1323,2559,3778,15532,7035,9498,11820,216,3762,5171"
NA,"Direct GO Cellular Component","GO:0009986","cell surface",224,70,13.359,4.8002,2.263,1e-25,25,2.5e-22,6.25e-23,5.25091353901531e-22,"ADGRG6,LAMP1,SLC11A2,THBS1,CLSTN3,EGFR,ADAM10,SCARB1,BACE1,VASN,ITGA1,CD46,NECTIN2,ITGA8,GPC3,APP,CD151,SULF2,RTN4RL2,ITGB1,NEO1,SDC4,MPZL1,ACVR1B,C4A,CLU,CD99L2,HSPA5,LDLR,PLAT,TPBG,LMAN2,EPHA4,ANXA2,CD47,NPTN,DCBLD2,ITGA7,MET,ROBO1,ADAM9,GPC1,BMPR1A,CDH2,RGMA,ITGB5,NOTCH2,TFRC,SLIT2,ACVR2A,CALR,CD55,ERP44,ANTXR1,IGF2R,LRP6,SERPINF2,WNT5A,FGFR3,APOH,CD59,LAMP3,CD109,ITGAV,MME,SORT1,TNFRSF10B,HLA-A,C1QBP,CLCN3","13841,6499,10908,11785,18371,3236,188,1664,933,18517,6134,6953,9707,6144,4451,620,1630,20392,23053,6153,7754,10661,7226,172,1323,2095,18237,5238,6547,9051,12004,16986,3388,537,1682,17867,24627,6143,7029,10249,216,4449,1076,1759,30308,6160,7882,11763,11086,173,1455,2665,18311,21014,5467,6698,9075,12784,3690,616,1689,14582,21685,6150,7154,11186,11905,4931,1243,2021"
NA,"SLIM2 GO CC","GO:0005615","extracellular space",1384,183,34.924,2.0311,1.022,2.29442476464878e-24,23.6393261784721,5.73606191162194e-21,1.14721238232439e-21,9.63826084875702e-21,"FLRT3,HGFAC,MGRN1,ITGB5,JAM3,LAMP2,RAB8B,P2RX4,APLP2,PROS1,TXNDC5,PRPH,CD81,TIMP1,SLC46A3,VAMP7,ADAM9,FBLN1,ABCB6,GLG1,APOH,C1QBP,CXADR,LXN,IGF2R,QPCT,MARCKS,CD109,MFGE8,TMEM132A,PKLR,PTTG1IP,PZP,H4C16,NECTIN2,CRABP2,VTN,SNAP23,LDLR,MINPP1,GCNT1,DNPH1,HSPA5,SERPINF2,CD59,STOM,ERP44,ITGAV,PLEKHH3,ITIH4,F11R,NEU1,ALDH1A1,PGF,TMEM109,PPIB,SCARB2,SMPD1,CPNE2,SHMT2,CILP,TM9SF2,FAT1,NPC2,HABP2,APP,ANXA2,CCN2,TSKU,HLA-A,SLC44A1,ITIH2,VASN,CD46,PCBP3,P4HB,ARF3,PSAP,ITM2C,PSMA6,ADGRE5,TIMP3,RTN4RL2,TSPAN6,GSTK1,SLIT2,FCGRT,TSPAN3,GLO1,C4A,C4BPA,EGFR,CRELD2,CCN1,C1GALT1C1,MDH2,ACAT2,OGN,RAP2C,PLSCR1,CANX,SDCBP,TPRG1L,RPE,CD55,WNT5A,CPNE3,ECH1,EDIL3,GPC1,B4GAT1,HSPA6,APOC3,THBS1,CLU,GANAB,ITGB1,CRISPLD1,LAMC1,GOLGA7,YBX1,ANXA7,PLAT,ITFG1,PPP1CB,CD47,TFRC,ATP6V0D2,STX3,STC2,F5,TMEM59,GALNS,LMAN2,SERPIND1,APOA1,BMP4,CTSV,SULF2,HPX,PLD3,LAMP1,LRIG3,MFAP4,TOLLIP,PDCD2,ATP1B1,QSOX1,IGSF8,PTPRS,CNTN1,VEGFB,CLTCL1,PEF1,ITM2B,FLT1,RIDA,GNG5,FN1,CALR,ENO3,ULBP3,IL6ST,PHPT1,MME,ADAM10,SERPINF1,MARCKSL1,UBL3,SCARB1,SELENOP,CPNE8,SDC4,ATRN,SYNGR2,EPHB4,SEMA3C,GRN,PRSS23,ITGA1,APOE,AOC1,COL1A1","3762,4894,20254,6160,15532,6501,30273,8535,598,9456,21073,9461,1701,11820,27501,11486,216,3600,47,4316,616,1243,2559,13347,5467,9753,6759,21685,7036,31092,9020,13524,9750,20510,9707,2339,12724,11131,6547,7102,4203,21218,5238,9075,1689,3383,18311,6150,26105,6169,14685,7758,402,8893,28771,9255,1665,11120,2315,10852,1980,11865,3595,14537,4798,620,537,2500,28850,4931,18798,6167,18517,6953,8651,8548,654,9498,6175,9535,1711,11822,23053,11858,16906,11086,3621,17752,4323,1323,1325,3236,28150,2654,24338,6971,94,8126,21165,9092,1473,10662,27007,10293,2665,12784,2316,3149,3173,4449,15685,5239,610,11785,2095,4138,6153,18206,6492,24876,8014,545,9051,30697,9282,1682,11763,18266,11438,11374,3542,1239,4122,16986,4838,600,1071,2538,20392,5171,17158,6499,30991,7035,16476,8762,804,9756,17813,9681,2171,12681,2093,30009,6174,3763,16897,4408,3778,1455,3354,14895,6021,30033,7154,188,8824,7142,12504,1664,10751,23498,10661,885,11499,3395,10725,4601,14370,6134,613,80,2197"
NA,"SLIM2 GO CC","GO:0031410","cytoplasmic vesicle",1258,164,31.298,2.0025,1.002,9.1074021558417e-21,20.0406054858457,2.27685053896042e-17,3.25264362708632e-18,2.73269607344951e-17,"PHAF1,THBS1,TMEM9B,QSOX1,LAMP1,HPX,TMED2,ITM2B,PCDH7,ITGA1,ABHD17B,CD59,M6PR,MFSD8,SDCBP,APLP2,TMEM106B,CALCOCO2,VEGFB,CANX,CLTCL1,EGFR,CD46,TOLLIP,SLC11A2,CPNE3,MREG,BACE1,TMED1,HSPA6,PI4K2A,ANXA2,TMEM59,PTPRS,SYT1,CLU,SCARB1,TMEM127,TMEM123,ITGAV,TXNDC5,LRP6,AOC1,SELENOP,IGF2R,TMED7,SPP2,FZD7,MFGE8,CALR,LAMTOR2,HLA-A,GRN,ANTXR1,SERPINF1,RNF149,SV2A,PLAT,RNF13,TRIM21,SERPINF2,LAMTOR4,TPRG1L,SMPD1,GOLGA7,ERP44,LAMP2,STOM,LAMP3,ABCB6,CD109,VDAC2,RAB8B,FGFR3,NBR1,DLD,GANAB,F5,ARRDC3,LMBRD1,SCCPDH,GALNS,APOH,ERBB2,ENTR1,SORT1,BRI3,RAP2C,PLD3,IER3IP1,TIMP1,SPPL2B,HSPA5,MAPKAP1,SYNGR2,CLCN3,TRAPPC5,WNT5A,FLT1,CCDC158,PEF1,PGRMC1,ITGB5,STX6,STX3,PML,NEU1,ITGB1,APOE,TIMP3,TM9SF2,MME,CXADR,EHD3,PLEKHB2,IFNAR1,ATP6V0D2,PPIB,APP,MGRN1,ADAMTS1,PROS1,ADGRE5,SYT11,SCARB2,GJA1,QPCT,LDLR,MGST1,ZDHHC13,ATP6V0A2,LMAN2,APOA1,NDFIP2,NRSN2,PSAP,ANXA7,VAMP7,SNAP23,CAV1,APOC3,KIAA0319L,CD47,NPC2,EPHA4,CD55,ITIH4,FCGRT,REEP6,TFRC,CMTM6,LRIG3,RNF167,LMAN2L,SLC31A1,NDFIP1,P4HB,TMEM9,SYNGR1,COL1A1,GPC1,ADAM10,FN1,LAPTM4A","29564,11785,1168,9756,6499,5171,16996,6174,8659,6134,24278,1689,6752,28486,10662,598,22407,29912,12681,1473,2093,3236,6953,16476,10908,2316,25478,933,17291,5239,30031,537,1239,9681,11509,2095,1664,26038,30138,6150,21073,6698,80,10751,5467,24253,11256,4045,7036,1455,29796,4931,4601,21014,8824,23137,20566,9051,10057,11312,9075,33772,27007,11120,24876,18311,6501,3383,14582,47,21685,12672,30273,3690,6746,2898,4138,3542,29263,23038,24275,4122,616,3430,10667,11186,1109,21165,17158,18550,11820,30627,5238,18752,11499,2021,23067,12784,3763,26374,30009,16090,6160,11441,11438,9113,7758,6153,613,11822,11865,7154,2559,3244,19236,5432,18266,9255,620,20254,217,9456,1711,19239,1665,4274,9753,6547,7061,18413,18481,16986,600,18537,16229,9498,545,11486,11131,1527,610,30071,1682,14537,3388,2665,6169,3621,30078,11763,19177,30991,24544,19263,11016,17592,8548,18823,11498,2197,4449,188,3778,6924"
NA,"Direct GO Cellular Component","GO:0070062","extracellular exosome",1198,152,29.008,1.9489,0.963,6.59373921301547e-18,17.1808682335028,1.64843480325387e-14,1.83159422583763e-15,1.53880686694929e-14,"RPE,HSPA5,TFRC,ITIH2,MFGE8,SERPINF1,ECH1,PROS1,GLG1,PLD3,APOA1,TOLLIP,PTTG1IP,CRISPLD1,CILP,SLC46A3,TMEM59,DNPH1,SELENOP,IL6ST,TSPAN6,LAMP1,YBX1,ADGRE5,SERPINF2,EPHB4,PSMA6,GPC1,ADAM10,PHPT1,APOH,MARCKSL1,SCARB1,H4C16,CPNE3,PEF1,EDIL3,PRSS23,NECTIN2,HLA-A,STX3,ITGB1,CLTCL1,CD46,P4HB,CRABP2,PPIB,FN1,MGRN1,ANXA7,RAB8B,ATP1B1,TXNDC5,CPNE2,TM9SF2,SEMA3C,SDC4,HSPA6,THBS1,ITIH4,MME,CD59,PKLR,ENO3,PRPH,GLO1,QPCT,APOC3,TMEM132A,CALR,IGSF8,ADAM9,RTN4RL2,MINPP1,LMAN2,AOC1,SHMT2,ITGA1,VTN,LAMP2,OGN,CLU,PLSCR1,FBLN1,QSOX1,GRN,ERP44,ALDH1A1,F11R,APP,TMEM109,SCARB2,TPRG1L,SYNGR2,TSPAN3,PZP,HPX,VAMP7,ITGB5,MDH2,PDCD2,CD55,PPP1CB,GALNS,SLC44A1,APLP2,PCBP3,C4A,ITM2C,ATRN,ATP6V0D2,ITM2B,NPC2,SDCBP,IGF2R,TIMP1,LAMC1,NEU1,CD81,PLAT,STOM,PSAP,GNG5,ACAT2,C1GALT1C1,APOE,RAP2C,CANX,VASN,SNAP23,GSTK1,ABCB6,B4GAT1,PTPRS,SERPIND1,SMPD1,ITGAV,WNT5A,MARCKS,P2RX4,CNTN1,UBL3,FAT1,GANAB,ANXA2,GOLGA7,ARF3,ITFG1,CD47,CPNE8,SLIT2,RIDA","10293,5238,11763,6167,7036,8824,3149,9456,4316,17158,600,16476,13524,18206,1980,27501,1239,21218,10751,6021,11858,6499,8014,1711,9075,3395,9535,4449,188,30033,616,7142,1664,20510,2316,30009,3173,14370,9707,4931,11438,6153,2093,6953,8548,2339,9255,3778,20254,545,30273,804,21073,2315,11865,10725,10661,5239,11785,6169,7154,1689,9020,3354,9461,4323,9753,610,31092,1455,17813,216,23053,7102,16986,80,10852,6134,12724,6501,8126,2095,9092,3600,9756,4601,18311,402,14685,620,28771,1665,27007,11499,17752,9750,5171,11486,6160,6971,8762,2665,9282,4122,18798,598,8651,1323,6175,885,18266,6174,14537,10662,5467,11820,6492,7758,1701,9051,3383,9498,4408,94,24338,613,21165,1473,18517,11131,16906,47,15685,9681,4838,11120,6150,12784,6759,8535,2171,12504,3595,4138,537,24876,654,30697,1682,23498,11086,16897"
NA,"SLIM2 GO CC","GO:0005783","endoplasmic reticulum",1052,138,26.336,2.015,1.011,2.23884495335447e-17,16.649975981559,5.59711238338617e-14,5.59711238338617e-15,4.70239251093003e-14,"MAPKAP1,PML,MGRN1,EMC10,SGCE,CRELD2,LMAN2,PEF1,THBS1,FLRT3,ANXA7,F5,FOS,LMBRD1,GJA1,QSOX1,CNBP,WNT5A,SELENOF,REEP6,SORT1,CD320,VTN,CLSTN3,ZDHHC18,HGFAC,ERP44,APOA1,ATP1A3,SPCS1,CAV1,SERPIND1,HADHB,MYORG,MIA2,TMEM106C,NOTCH2,NPC2,VKORC1L1,REEP5,SULF2,DHRS4,RNF149,PRKCSH,PLD3,P4HB,CDH2,STOM,TMCO1,EGFR,LAMC1,YBX1,LMAN2L,PROS1,ANGEL1,SHISA2,EI24,NDFIP1,TMED1,ADAM10,APOE,SEZ6L2,CALR,FN1,GNAZ,MOSPD1,HLA-A,SPP2,ITGA8,SERINC1,MGST1,PRSS23,MINPP1,IKBIP,SDCBP,ZDHHC13,RCE1,YIPF4,SPPL2B,LPIN1,TMEM258,BMP4,CRABP2,TMED7,SCARB2,CCN1,LRP6,TMEM109,PLA2G4A,FKBP9,ZDHHC20,PLPP3,RGMA,TMED2,EOGT,GANAB,PITPNB,PPIB,COL1A1,FGFR3,TMEM132A,EXT1,MFGE8,TPBG,TIMP1,STC2,LMF2,PTGS2,BACE1,PGRMC1,HERPUD1,TXNDC5,RNF13,APLP2,APP,SEC22A,CANX,GPC3,GRN,ADGRG6,LSS,ELOVL5,NFE2L1,SV2A,TBC1D20,VAMP7,NDFIP2,ABCB6,TRAPPC5,CLU,ARL6IP1,HSPA5,C4A,CRAT,IER3IP1,CD59,ITIH2,MARCKS","18752,9113,20254,27609,10808,28150,16986,30009,11785,3762,545,3542,3796,23038,4274,9756,13164,12784,17705,30078,11186,16692,12724,18371,20712,4894,18311,600,801,23401,1527,4838,4803,19918,18432,28775,7882,14537,21492,30077,20392,16985,23137,9411,17158,8548,1759,3383,18188,3236,6492,8014,19263,9456,19961,20366,13276,17592,17291,188,613,30844,1455,3778,4395,25235,4931,11256,6144,13464,7061,14370,7102,26430,10662,18413,13721,28145,30627,13345,1164,1071,2339,24253,1665,2654,6698,28771,9035,3725,20749,9229,30308,16996,28526,4138,9002,9255,2197,3690,31092,3512,7036,12004,11820,11374,25096,9605,933,16090,13744,21073,10057,598,620,20260,1473,4451,4601,13841,6708,21308,7781,20566,16133,11486,18537,47,23067,2095,697,5238,1323,2342,18550,1689,6167,6759"
NA,"SLIM2 GO CC","GO:0030312","external encapsulating structure",126,36,6.87,4.3888,2.134,1.06254662985716e-14,13.9736520018468,2.65636657464289e-11,1.89740469617349e-12,1.59409728130058e-11,"ANXA7,GPC1,OGN,VTN,APLP1,COL1A1,ITIH2,SERPINF2,ADAMTS1,FN1,MFAP4,TIMP1,CRELD1,APOE,HPX,SERPINF1,WNT5A,CD151,CCN2,ITIH4,PZP,EDIL3,ANXA2,GLG1,MFGE8,TIMP3,FRAS1,CDH2,CCN1,PLAT,CILP,NTN1,FBLN1,LAMC1,THBS1,FLRT3","545,4449,8126,12724,597,2197,6167,9075,217,3778,7035,11820,14630,613,5171,8824,12784,1630,2500,6169,9750,3173,537,4316,7036,11822,19185,1759,2654,9051,1980,8029,3600,6492,11785,3762"
NA,"SLIM2 GO CC","GO:0031012","extracellular matrix",126,36,6.87,4.3888,2.134,1.06254662985716e-14,13.9736520018468,2.65636657464289e-11,1.89740469617349e-12,1.59409728130058e-11,"SERPINF1,WNT5A,CD151,CCN2,ITIH4,PZP,EDIL3,GLG1,ANXA2,MFGE8,TIMP3,FRAS1,CDH2,CCN1,PLAT,CILP,NTN1,FBLN1,LAMC1,THBS1,FLRT3,ANXA7,GPC1,OGN,VTN,APLP1,COL1A1,ITIH2,SERPINF2,ADAMTS1,FN1,MFAP4,TIMP1,CRELD1,APOE,HPX","8824,12784,1630,2500,6169,9750,3173,4316,537,7036,11822,19185,1759,2654,9051,1980,8029,3600,6492,11785,3762,545,4449,8126,12724,597,2197,6167,9075,217,3778,7035,11820,14630,613,5171"
