"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"SLIM2 GO BP","GO:0007010","cytoskeleton organization",859,131,23.393,2.192,1.132,1.60781220896708e-19,18.7937646778339,4.0195305224177e-16,1.33984350747257e-16,1.12566438616791e-15,"RNF4,NCKAP5L,NEBL,SORBS1,SHROOM3,KATNA1,CNN2,CROCC,EPS8,CAMSAP1,COBL,LIMD2,DIAPH3,WIPF1,CCDC66,LMOD1,CEP85,HOOK1,CEP20,SETD2,DYNC1LI1,MAST2,CCDC88A,ADD1,TRAF3IP1,PAK1,KATNBL1,AUTS2,CCDC120,TPPP,CRACD,EML1,SH3D19,WIPF3,CDC42EP4,SKA1,ABL2,LZTS2,CGN,BRCA1,CTTN,CNTROB,WASF2,PAWR,INF2,CCDC88C,NDEL1,BCAS2,TACC2,CLIP2,PSRC1,ZBED3,NUMA1,PALM2AKAP2,KIZ,ABLIM1,PCLAF,FLNC,AGFG1,ARHGEF18,AMOT,ENAH,SRGAP2,SORBS3,MAP9,SH3KBP1,SLAIN1,CEP250,CD2AP,SHROOM1,NUSAP1,MAP1A,ADD2,ATAT1,SPTBN1,CCSAP,PDLIM3,APC,NDC80,GOLGA2,TTK,BRWD3,PTK2,NAV1,LUZP1,RUFY3,SPAST,PHLDB2,PPP1R12A,DMTN,SLAIN2,SEPTIN9,PLS1,PHACTR4,SVIL,SAPCD2,FCHSD2,FAM110A,HOOK2,CEP350,NEDD1,PDE4DIP,GEN1,SS18,CCDC6,LIMCH1,ABL1,PPP1R9B,OPHN1,LIMA1,SPECC1L,AMOTL1,CARMIL1,CCNB1,LARP4,ATF2,CDC42EP1,MAPRE3,ODF2,LATS1,MAP7D1,SPICE1,DIAPH2,CEP135,PHACTR2,CALD1,MRTFA,TPX2,NDE1,NCOR1,DLGAP5","10067,29321,16932,14565,30422,6216,2156,21299,3420,19946,22199,28142,15480,12736,27709,6647,25309,19884,26435,18420,18745,19035,25523,243,17861,8590,26199,14262,28910,24164,29219,3330,30418,22004,17147,28109,77,29381,17429,1100,3338,29616,12733,8614,23791,19967,17620,975,11523,2586,24472,20711,8059,33529,15865,78,28961,3756,5175,17090,17810,18271,19751,30907,26118,13867,26387,1859,14258,24084,18538,6835,244,21186,11275,29578,20767,583,16909,4425,12401,17342,9611,15989,14985,30285,11233,29573,7618,3382,29282,7323,9090,25793,11480,28055,29114,16188,19885,24238,7723,15580,26881,11340,18782,29191,76,9298,8148,24636,29022,17811,21581,1579,24320,784,17014,6892,8114,6514,25514,25083,2877,29086,20956,1441,14334,1249,17619,7672,16864"
NA,"Direct GO Biological Processes","GO:0051301","cell division",326,49,8.75,2.1604,1.111,1.7513022458409e-07,6.75663889539385,0.000437825561460226,5.47281951825283e-05,0.000459796833679696,"SPAST,KATNA1,CD2AP,CDT1,CCSAP,CCNT1,PTTG1,MAPRE3,DYNC1LI1,SAPCD2,SGO2,CKS1B,SKA1,NUMA1,SEPTIN9,TTC28,NDE1,CNTROB,EVI5,ZWINT,LATS2,LZTS2,MPLKIP,CDC25C,NDC80,TPX2,NUSAP1,BOD1,SPICE1,CKS2,CCDC66,RBBP8,TPPP,SPECC1L,MAP9,NEDD1,CCNB1,LATS1,CEP164,UBE2S,PSRC1,SPC24,CENPF,ARPP19,ANKLE2,PIMREG,CDCA5,SDE2,GOLGA2","11233,6216,14258,24576,29578,1599,9690,6892,18745,28055,30812,19083,28109,8059,7323,29179,17619,29616,3501,13195,6515,29381,16002,1727,16909,1249,18538,25114,25083,2000,27709,9891,24164,29022,26118,7723,1579,6514,29182,17895,24472,26913,1857,16967,29101,25483,14626,26643,4425"
NA,"Direct GO Biological Processes","GO:0051017","actin filament bundle assembly",25,11,1.964,6.3242,2.661,3.04722639059613e-07,6.51609527911036,0.000761806597649031,8.4645177516559e-05,0.000711143213814486,"ADD2,DIAPH3,EPS8,LIMA1,CALD1,SHROOM1,PAWR,ADD1,LIMD2,DMTN,PLS1","244,15480,3420,24636,1441,24084,8614,243,28142,3382,9090"
NA,"SLIM2 GO BP","GO:0051301","cell division",463,60,10.714,1.8626,0.897,1.40229515198858e-06,5.85316056740417,0.00350573787997145,0.000269672144613189,0.0022656401843915,"TPX2,PIMREG,MAP9,MPLKIP,SEPTIN9,CDC25C,PTTG1,SPECC1L,TXNIP,PSRC1,SPAST,SPICE1,SAPCD2,CKS2,TPPP,UBE2S,NUMBL,NEDD1,LZTS2,CCNB1,EVI5,CEP164,ANKLE2,NDE1,SFN,SPC24,WNK1,CENPF,NDC80,CD2AP,SOX5,BOD1,SPTBN1,SDE2,SETD2,NUMA1,KATNA1,MAPRE3,DYNC1LI1,CNTROB,CCSAP,GOLGA2,CCNT1,LATS1,TTC28,LUZP1,CDT1,APC,SGO2,SVIL,CKS1B,ARPP19,LATS2,TEAD3,CDCA5,NUSAP1,SKA1,CCDC66,RBBP8,ZWINT","1249,25483,26118,16002,7323,1727,9690,29022,16952,24472,11233,25083,28055,2000,24164,17895,8061,7723,29381,1579,3501,29182,29101,17619,10773,26913,14540,1857,16909,14258,11201,25114,11275,26643,18420,8059,6216,6892,18745,29616,29578,4425,1599,6514,29179,14985,24576,583,30812,11480,19083,16967,6515,11716,14626,18538,28109,27709,9891,13195"
NA,"SLIM2 GO BP","GO:0000278","mitotic cell cycle",658,75,13.393,1.6383,0.712,9.02114995268454e-06,5.04473809812626,0.0225528748817113,0.00125293749342841,0.010526506316453,"RBBP8,TTK,ARID1B,ARPP19,GIGYF2,CCDC66,FOXG1,FAM110A,TFDP1,ZWINT,SETD2,CDT1,CKS2,NEDD1,CCSAP,ANKLE2,MRNIP,APC,GEN1,TCF3,CENPF,BOD1,NDEL1,KHDRBS1,DLGAP5,ID4,CEP85,PPP1R9B,INIP,ATAD5,SENP2,CEP250,WAC,CDC25C,TTC28,CNTROB,ANKRD17,SPC24,EPS8,SKA1,LATS1,NUMA1,GOLGA2,CCNB1,MIIP,CDKN1A,SPTBN1,ARID1A,PPP1R12A,PSRC1,SAPCD2,CKS1B,TACC2,PHF8,NUSAP1,BRCA1,TICRR,DTL,NDC80,WNK1,TPX2,SDE2,SPAST,SYF2,MAP9,DYNC1LI1,UBE2S,ABL1,LATS2,NDE1,SPICE1,EML1,ATF2,DACT1,LZTS2","9891,12401,18040,16967,11960,27709,3811,16188,11749,13195,18420,24576,2000,7723,29578,29101,30817,583,26881,11633,1857,25114,17620,18116,16864,5363,25309,9298,24994,25752,23116,1859,17327,1727,29179,29616,23575,26913,3420,28109,6514,8059,4425,1579,25715,1784,11275,11110,7618,24472,28055,19083,11523,20672,18538,1100,28704,30288,16909,14540,1249,26643,11233,19824,26118,18745,17895,76,6515,17619,25083,3330,784,17748,29381"
NA,"SLIM2 GO BP","GO:0007049","cell cycle",1100,110,19.643,1.4373,0.523,2.92120378368331e-05,4.53443814551117,0.0730300945920826,0.00347762355200394,0.0292171209485055,"TPX2,NDEL1,FAM110A,ATAD5,RNF4,TICRR,ZNF503,ARID1A,BRD8,UBE2S,BCAS2,SPC24,FOXG1,SKA1,CCNB1,ODF2,CENPF,PSRC1,RAD51AP1,ZBED3,SFN,PHACTR4,DYNC1LI1,LATS1,RNF168,CKS1B,ANKRD17,ARPP19,TPPP,DLGAP5,CDCA5,MRNIP,CROCC,SDE2,SPTBN1,TBX2,MORF4L2,SEPTIN9,GOLGA2,C9orf78,ZWINT,CDT1,SAPCD2,MAP9,LUZP1,RBBP8,CEP135,ID4,ARID1B,MORF4L1,SENP2,MAPRE3,SETD2,MAP3K7,PPP1R12A,NUMA1,EML1,EXO1,TTC28,SPICE1,GIGYF2,CDKN1A,UBE2L3,PRCC,PPP1R9B,GEN1,LATS2,SPAST,CEP250,NDE1,TACC2,ATF2,CDC25C,ANKLE2,PCLAF,CCSAP,LZTS2,BOD1,KHDRBS1,EPS8,NCOR1,DIAPH3,APC,NEDD1,CCDC66,ABL1,INIP,CNTROB,PHF8,BIRC2,DTL,CEP85,CKS2,NUSAP1,KIZ,TCF3,NDC80,PDE4DIP,TTK,RBM7,SYF2,BRCA1,WAC,DACT1,SVIL,TFDP1,SGO2,WNK1,PTTG1,MIIP","1249,17620,16188,25752,10067,28704,23589,11110,19874,17895,975,26913,3811,28109,1579,8114,1857,24472,16956,20711,10773,25793,18745,6514,26661,19083,23575,16967,24164,16864,14626,30817,21299,26643,11275,11597,16849,7323,4425,24932,13195,24576,28055,26118,14985,9891,29086,5363,18040,16989,23116,6892,18420,6859,7618,8059,3330,3511,29179,25083,11960,1784,12488,9343,9298,26881,6515,11233,1859,17619,11523,784,1727,29101,28961,29578,29381,25114,18116,3420,7672,15480,583,7723,27709,76,24994,29616,20672,590,30288,25309,2000,18538,15865,11633,16909,15580,12401,9904,19824,1100,17327,17748,11480,11749,30812,14540,9690,25715"
NA,"Direct GO Biological Processes","GO:0030036","actin cytoskeleton organization",149,25,4.464,2.4116,1.27,3.07146596757301e-05,4.5126542923832,0.0767866491893253,0.00349030223587842,0.029323640425007,"INF2,FLNC,ARHGEF18,AMOT,SPTBN1,ADD2,PDLIM3,DMTN,SEPTIN9,PHACTR4,OPHN1,ABL1,SPECC1L,AMOTL1,DIAPH2,PHACTR2,MRTFA,EPS8,COBL,DIAPH3,PAK1,ADD1,AUTS2,CTTN,WASF2","23791,3756,17090,17810,11275,244,20767,3382,7323,25793,8148,76,29022,17811,2877,20956,14334,3420,22199,15480,8590,243,14262,3338,12733"
NA,"Direct GO Biological Processes","GO:0001578","microtubule bundle formation",21,8,1.429,5.4755,2.453,4.72015554967948e-05,4.32604368923575,0.118003888741987,0.00513060385834726,0.0431045716209917,"TPPP,NAV1,NUMA1,NCKAP5L,CCDC66,SPAST,PSRC1,CCDC88C","24164,15989,8059,29321,27709,11233,24472,19967"
NA,"Direct GO Biological Processes","GO:0007020","microtubule nucleation",23,8,1.429,4.9994,2.322,0.000100410193720726,3.99822219504027,0.251025484301815,0.0100410193720726,0.0843592393061297,"NEDD1,GOLGA2,SLAIN2,SLAIN1,TPX2,NDEL1,CCDC66,NDE1","7723,4425,29282,26387,1249,17620,27709,17619"
NA,"SLIM2 GO BP","GO:0140014","mitotic nuclear division",221,31,5.536,2.0162,1.012,0.000128851328300054,3.88991110004353,0.322128320750136,0.0119306785463013,0.100235138413461,"CCNB1,TPX2,NDC80,MAP9,ZWINT,UBE2S,PSRC1,CDC25C,GEN1,CCSAP,NUMA1,APC,DLGAP5,SPICE1,CDT1,SPC24,BOD1,NDE1,SPAST,PPP1R9B,GOLGA2,TTK,CEP85,CENPF,EPS8,CCDC66,SKA1,DYNC1LI1,NUSAP1,NDEL1,ANKLE2","1579,1249,16909,26118,13195,17895,24472,1727,26881,29578,8059,583,16864,25083,24576,26913,25114,17619,11233,9298,4425,12401,25309,1857,3420,27709,28109,18745,18538,17620,29101"
