"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0005856","cytoskeleton",839,139,24.821,2.3813,1.252,2.32310125913395e-24,23.6339318597974,5.80775314783489e-21,5.80775314783489e-21,4.879361541636e-20,"NEDD1,ADD2,WIPF2,CTTN,CEP170B,PPP1R12A,SVIL,RITA1,DYNC1LI1,PDE4DIP,NDE1,SORBS3,MTUS1,CEP250,WNK1,COBL,PLEKHG3,NAV1,CCSAP,CCNB1,SPICE1,GOLGA2,PAK1,NDEL1,LIMA1,KIAA0586,MAP7D1,SEPTIN9,SHROOM3,TPX2,MAP9,SPECC1L,RAI14,LUZP1,CEP41,ABL2,PLEKHA7,DYNC1I1,CEP112,ABLIM1,SPAST,PPP1R9B,RTRAF,CEP170,KIZ,KATNA1,KLC2,MAST2,TEDC2,CBY1,HOOK2,LATS1,SLAIN1,APC,KLC3,DMTN,CCDC66,NUMA1,WIPF1,FBF1,NUSAP1,CEP135,UACA,TACC2,WDR35,CEP164,KATNBL1,TTC28,AUTS2,CCDC120,SHROOM1,CENPF,CAMSAP1,HMMR,PTK2,FAM110A,GTSE1,DLGAP5,CCDC88A,RALBP1,NCKAP5L,LIMCH1,ATAT1,CDC42EP4,TRAF3IP1,EVI5,CNTROB,ADD1,CEP128,EML1,SKA1,MAP1A,SPTBN1,PSRC1,TRIP11,PPP1R12C,WASF2,CTTNBP2NL,CDC42EP1,RAPH1,MPRIP,CCDC92,LMOD1,SH3KBP1,TNKS1BP1,CEP20,CALD1,PROSER3,FLNC,MZT2A,ODF2,HOOK1,CROCC,CARMIL1,SORBS1,SLAIN2,MAPRE3,PEAK1,ARHGEF18,ERC2,CLIP2,BOD1,ABL1,MPLKIP,CNN2,LCA5,KLC1,SMTN,LZTS2,DTL,CEP350,ENAH,TPPP,CEP85,ERC1,MZT2B,CD2AP,LATS2,CCDC6","7723,244,30923,3338,20362,7618,11480,25925,18745,15580,17619,30907,29789,1859,14540,22199,20364,15989,29578,1579,25083,4425,8590,17620,24636,19960,25514,7323,30422,1249,26118,29022,14873,14985,12370,77,27049,2963,28514,78,11233,9298,23169,28920,15865,6216,20716,19035,25849,1307,19885,6514,26387,583,20717,3382,27709,8059,12736,24674,18538,29086,15947,11523,29250,29182,26199,29179,14262,28910,24084,1857,19946,5012,9611,16188,13698,16864,25523,9841,29321,29191,21186,17147,17861,3501,29616,243,20359,3330,28109,6835,11275,24472,12305,14947,12733,25330,17014,14436,30321,29563,6647,13867,19081,26435,1441,25204,3756,33187,8114,19884,21299,21581,14565,29282,6892,29431,17090,31922,2586,25114,76,16002,2156,31923,6387,11126,29381,30288,24238,18271,24164,25309,17072,25886,14258,6515,18782"
NA,"SLIM2 GO CC","GO:0005856","cytoskeleton",1321,179,31.964,1.9476,0.962,2.51904366483945e-21,20.5987643044215,6.29760916209862e-18,3.14880458104931e-18,2.64545609701524e-17,"KLC1,MAP1A,SLAIN1,PDE4DIP,ABLIM1,HOOK2,IFT74,WNK1,LCA5,DYNC1LI1,CGN,CNTROB,NUMA1,PLEKHG3,TTK,UBN1,RNF4,LIMCH1,ABL2,SEPTIN9,AUTS2,CBY1,NAV1,APC,PHLDB2,NDC80,DTL,TTC28,RITA1,MZT2B,CCDC88C,EML1,TEDC2,TRIP11,CEP128,PLS1,UACA,LATS1,CCDC66,KIAA1671,LIMA1,SPECC1L,SMTN,KIAA0586,LIMD2,MAPRE3,RTRAF,DMTN,PAK1,CNN2,ERC1,SLAIN2,MAP7D1,PLEKHA7,MZT2A,RPAP3,CCDC120,MAST2,HMMR,RAB11FIP5,TNKS1BP1,KATNA1,PPP1R9B,AMOT,DIAPH3,MPRIP,CEP250,SYNJ1,CLIP2,CLK3,PCLAF,ITSN2,FAM110A,MAP9,CEP112,CTTN,FLNC,NEDD1,CROCC,ERC2,LUZP1,CEP20,SS18,NEBL,ADD1,OPHN1,ODF2,AHNAK,CCDC88A,SVIL,GOLGA2,CEP170B,CCNB1,SH3PXD2A,TACC2,KIZ,NUSAP1,BOD1,NDEL1,DIAPH2,CCDC92,SORBS3,SPICE1,COBL,ENAH,DLGAP5,SPTBN1,CFAP36,PPP1R12C,PDLIM3,WIPF1,CEP350,GTSE1,KATNBL1,BORCS5,PTK2,CYBA,TRAF3IP1,NCKAP5L,MTUS1,PROSER3,DYNC1I1,CCDC50,CEP41,ARHGEF18,SPAST,LATS2,WIPF2,TPX2,SHROOM1,ABL1,LMOD1,CDC42EP4,CEP164,KLC2,PEA15,DTNA,BCAS2,HOOK1,LZTS2,ATAT1,GEN1,ITSN1,CEP85,CCDC6,CCSAP,KLC3,SH3KBP1,EVI5,SKA1,JPT1,RAI14,ADD2,PAWR,CEP135,PEAK1,CAMSAP1,NCOR1,RALBP1,PPP1R12A,CALD1,SORBS1,WDR35,NDE1,MPLKIP,PSRC1,INF2,FBF1,CDC42EP1,CENPF,CD2AP,RAPH1,TPPP,SHROOM3,BRCA1,CTTNBP2NL,CARMIL1,WASF2,CEP170","6387,6835,26387,15580,78,19885,21424,14540,31923,18745,17429,29616,8059,20364,12401,12506,10067,29191,77,7323,14262,1307,15989,583,29573,16909,30288,29179,25925,25886,19967,3330,25849,12305,20359,9090,15947,6514,27709,29345,24636,29022,11126,19960,28142,6892,23169,3382,8590,2156,17072,29282,25514,27049,33187,26151,28910,19035,5012,24845,19081,6216,9298,17810,15480,30321,1859,11503,2586,2071,28961,6184,16188,26118,28514,3338,3756,7723,21299,31922,14985,26435,11340,16932,243,8148,8114,347,25523,11480,4425,20362,1579,23664,11523,15865,18538,25114,17620,2877,29563,30907,25083,22199,18271,16864,11275,30540,14947,20767,12736,24238,13698,26199,17950,9611,2577,17861,29321,29789,25204,2963,18111,12370,17090,11233,6515,30923,1249,24084,76,6647,17147,29182,20716,8822,3057,975,19884,29381,21186,26881,6183,25309,18782,29578,20717,13867,3501,28109,14569,14873,244,8614,29086,29431,19946,7672,9841,7618,1441,14565,29250,17619,16002,24472,23791,24674,17014,1857,14258,14436,24164,30422,1100,25330,21581,12733,28920"
NA,"Direct GO Cellular Component","GO:0005813","centrosome",460,73,13.036,2.281,1.19,8.80593180395736e-12,11.0552246821833,2.20148295098934e-08,5.50370737747335e-09,4.62391865330452e-08,"ODF2,CEP135,PLEKHA7,TACC2,GEN1,TRAF3IP1,NDE1,CEP85,FBF1,CCNB1,SPAST,SPICE1,CEP250,ITSN2,KIZ,CCDC92,CNTROB,KIAA0586,PPP1R12A,LATS1,CCSAP,BCAS2,SKA1,TTC28,DTL,SLAIN2,LZTS2,PAK1,CROCC,CEP128,SORBS1,CCDC88C,LATS2,MAP7D1,MZT2B,BOD1,CENPF,LUZP1,LCA5,CEP164,DYNC1LI1,MTUS1,NDEL1,NEDD1,CEP350,NUMA1,PDE4DIP,MPLKIP,NDC80,CCDC66,CBY1,RTRAF,NCKAP5L,RITA1,APC,PTK2,PCLAF,PROSER3,KATNA1,MZT2A,HOOK2,CCDC88A,IFT74,CEP41,HMMR,EVI5,CEP20,CEP170,CEP112,ERC1,HOOK1,WDR35,FAM110A","8114,29086,27049,11523,26881,17861,17619,25309,24674,1579,11233,25083,1859,6184,15865,29563,29616,19960,7618,6514,29578,975,28109,29179,30288,29282,29381,8590,21299,20359,14565,19967,6515,25514,25886,25114,1857,14985,31923,29182,18745,29789,17620,7723,24238,8059,15580,16002,16909,27709,1307,23169,29321,25925,583,9611,28961,25204,6216,33187,19885,25523,21424,12370,5012,3501,26435,28920,28514,17072,19884,29250,16188"
NA,"SLIM2 GO CC","GO:0005815","microtubule organizing center",611,87,15.536,2.0466,1.033,3.08675612568219e-11,10.5104976813227,7.71689031420548e-08,1.5433780628411e-08,1.29666316255865e-07,"TTC28,RAB11FIP5,MAP7D1,NEDD1,CCDC92,CCNB1,DIAPH3,CEP135,LUZP1,PROSER3,UBN1,NDC80,CEP350,ITSN2,WDR35,SLAIN2,CCDC50,TPPP,PPP1R12A,BRCA1,RITA1,CCDC88C,KATNA1,ERC1,DTL,CEP41,MZT2B,SKA1,NDE1,SPAST,ODF2,PLEKHA7,DLGAP5,LATS2,TRAF3IP1,KIZ,CEP20,FAM110A,LATS1,APC,PCLAF,CROCC,TEDC2,CEP112,TACC2,CEP170,DYNC1LI1,RPAP3,NCKAP5L,SPICE1,MAPRE3,NUMA1,BOD1,MZT2A,CEP164,CBY1,RTRAF,CNTROB,IFT74,CCDC66,NDEL1,EVI5,PTK2,CEP128,CD2AP,BCAS2,KIAA0586,HOOK2,CCDC88A,MTUS1,CCSAP,PDE4DIP,HMMR,CCDC120,LZTS2,GEN1,SORBS1,CEP250,HOOK1,FBF1,CEP85,LCA5,SPECC1L,PAK1,CENPF,MPLKIP,KATNBL1","29179,24845,25514,7723,29563,1579,15480,29086,14985,25204,12506,16909,24238,6184,29250,29282,18111,24164,7618,1100,25925,19967,6216,17072,30288,12370,25886,28109,17619,11233,8114,27049,16864,6515,17861,15865,26435,16188,6514,583,28961,21299,25849,28514,11523,28920,18745,26151,29321,25083,6892,8059,25114,33187,29182,1307,23169,29616,21424,27709,17620,3501,9611,20359,14258,975,19960,19885,25523,29789,29578,15580,5012,28910,29381,26881,14565,1859,19884,24674,25309,31923,29022,8590,1857,16002,26199"
NA,"Direct GO Cellular Component","GO:0005874","microtubule",230,40,7.143,2.4997,1.322,4.73643298369791e-08,7.32454860319487,0.000118410824592448,1.97351374320746e-05,0.000165804000538253,"CEP170,NUSAP1,MAP9,CAMSAP1,KLC1,ODF2,KATNA1,NDE1,LZTS2,CCDC66,LUZP1,HOOK2,NCKAP5L,SHROOM1,EML1,SEPTIN9,HOOK1,ATAT1,MAP1A,SKA1,SPAST,MAPRE3,MTUS1,NAV1,APC,SYNJ1,DYNC1LI1,KLC2,KLC3,GOLGA2,NUMA1,TPPP,GTSE1,NDEL1,CEP170B,CLIP2,TPX2,SHROOM3,CCSAP,DYNC1I1","28920,18538,26118,19946,6387,8114,6216,17619,29381,27709,14985,19885,29321,24084,3330,7323,19884,21186,6835,28109,11233,6892,29789,15989,583,11503,18745,20716,20717,4425,8059,24164,13698,17620,20362,2586,1249,30422,29578,2963"
NA,"Direct GO Cellular Component","GO:0001725","stress fiber",57,17,3.036,4.2867,2.1,1.67458434338804e-07,6.77609297356721,0.000418646085847011,5.47281951825283e-05,0.000459796833679696,"SORBS1,AMOT,CALD1,RAI14,ABLIM1,LUZP1,PPP1R12C,SEPTIN9,CNN2,PPP1R12A,PDLIM3,NEBL,CTTNBP2NL,LIMCH1,CYBA,PTK2,LIMA1","14565,17810,1441,14873,78,14985,14947,7323,2156,7618,20767,16932,25330,29191,2577,9611,24636"
NA,"Direct GO Cellular Component","GO:0005814","centriole",97,22,3.929,3.2599,1.705,5.58536925888932e-07,6.25294810960355,0.00139634231472233,0.000139634231472233,0.00117313164247607,"CEP170,FBF1,SPICE1,ODF2,CBY1,CNTROB,KIAA0586,TEDC2,CCSAP,CEP250,CCDC120,CEP135,CCDC88A,NEDD1,CEP350,CCDC92,CEP128,CEP164,CEP41,CROCC,CEP85,CEP20","28920,24674,25083,8114,1307,29616,19960,25849,29578,1859,28910,29086,25523,7723,24238,29563,20359,29182,12370,21299,25309,26435"
NA,"Direct GO Cellular Component","GO:0070161","anchoring junction",216,36,6.429,2.3955,1.26,6.6635182770269e-07,6.17629640673797,0.00166587956925672,0.000148262249409793,0.00124561960440119,"LUZP1,ERC1,CGN,TJAP1,CTTN,FCHSD2,RAI14,ATAT1,AMOTL1,PTK2,SORBS1,LIMA1,SAPCD2,MAGI1,APC,SPECC1L,SHROOM3,PLEKHA7,AFDN,SORBS3,UBN1,PPP1R9B,CCDC88C,SVIL,RUFY3,ENAH,PHLDB2,ATN1,SH3PXD2A,CD2AP,PEAK1,AMOT,PAK1,YAP1,SH3KBP1,FBF1","14985,17072,17429,17949,3338,29114,14873,21186,17811,9611,14565,24636,28055,946,583,29022,30422,27049,7137,30907,12506,9298,19967,11480,30285,18271,29573,3033,23664,14258,29431,17810,8590,16262,13867,24674"
NA,"Direct GO Cellular Component","GO:0042995","cell projection",539,68,12.143,1.8133,0.859,7.11658797167006e-07,6.14772817774622,0.00177914699291752,0.000148262249409793,0.00124561960440119,"ENAH,IFT74,CEP20,COBL,TANC2,DTNA,OPHN1,WIPF1,WASF2,ANKMY2,PPP1R9B,CCDC66,GRIP1,EPS8,PTK2,SH3PXD2A,RUFY3,CARMIL1,PHACTR4,CEP41,N4BP3,AUTS2,CBL,MAX,SPTBN1,CEP350,KIZ,TEDC2,CCSAP,WWC1,TRAF3IP1,CTTN,PAK1,LUZP1,CEP250,WDR35,CCDC120,CD2AP,AGFG1,ITSN1,CROCC,SETX,CCDC88A,ATAT1,CFAP36,DIP2A,ERC2,CSPG4,ODF2,SVIL,FCHSD2,CTTNBP2NL,TSC22D4,LCA5,SRGAP2,DMTN,PLS1,MAGI1,CASC3,LIMA1,RAPH1,PHLDB2,CBY1,APC,KLC1,SPAST,KIAA0586,ERC1","18271,21424,26435,22199,30212,3057,8148,12736,12733,25370,9298,27709,18708,3420,9611,23664,30285,21581,25793,12370,29852,14262,1541,6913,11275,24238,15865,25849,29578,29435,17861,3338,8590,14985,1859,29250,28910,14258,5175,6183,21299,445,25523,21186,30540,17217,31922,2466,8114,11480,29114,25330,21696,31923,19751,3382,9090,946,17040,24636,14436,29573,1307,583,6387,11233,19960,17072"
NA,"Direct GO Cellular Component","GO:0005884","actin filament",55,15,2.679,3.92,1.971,3.15034290280993e-06,5.50164217233956,0.00787585725702482,0.00056256123264463,0.00472633662883012,"LUZP1,DMTN,LMOD1,PLS1,DIAPH3,DIAPH2,COBL,PAK1,LIMA1,WIPF1,AMOT,CTTN,CD2AP,PAWR,INF2","14985,3382,6647,9090,15480,2877,22199,8590,24636,12736,17810,3338,14258,8614,23791"
