"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO CC","GO:0005654","nucleoplasm",2904,225,40.179,1.1136,0.155,0.0207689087782108,1.68258632118523,1,0.15093683705095,1,"LYSMD1,CIC,PEA15,YLPM1,CBY1,MORF4L2,TNRC6A,HMG20B,JPT1,ARPP19,CRTC2,CEP164,TFDP1,CDC25C,NSRP1,UACA,CUX1,BOD1,CCDC88A,AFDN,MPLKIP,INIP,PRCC,EID2,PAPOLG,TBX2,ABL1,CCDC92,MED15,NCOA6,USP1,RAPH1,CSTF2T,MED7,ZC3H14,ZDHHC5,MAML1,UBE2T,SIVA1,GTSE1,RALBP1,RNF169,YIPF5,MBD3,CENPF,PSRC1,SETD5,ELF2,MED8,ARID1B,CNOT2,SPTY2D1,BACH2,RNF4,DDA1,TCF20,APC,MSL1,TAB2,UBL4A,RAB11FIP5,CRTC1,NCOR1,RAI14,RBM7,CCDC106,KHDRBS1,LCA5,CASC3,RIOK1,BCOR,ATF2,SAPCD2,BATF3,IFI35,CEP20,SUGP1,PCBD1,SGO2,CRTC3,SPAST,KATNBL1,PPHLN1,CCNB1,RBIS,ZC3H4,EXO1,EIF4ENIF1,CIZ1,HDAC4,UBE2S,NDC80,WAC,BRD8,SKA1,SNW1,UBE2L3,CDKN1A,TNRC18,GPATCH1,ATN1,RBM18,REXO1,MXI1,NOL4L,UBL5,RARB,SDE2,CUEDC2,TCF3,ADD1,LIMD2,RTRAF,SETX,ZNF217,ATXN2L,EHBP1,GTF2IRD1,SIMC1,SYF2,TATDN2,ANKRD11,TACC2,DTL,MORF4L1,BOD1L1,FIP1L1,PLEKHA5,CKS1B,RITA1,WDR33,FOXG1,CDCA5,NUFIP2,NUMA1,SPC24,IRF2BPL,ATXN1,SECISBP2,BCL9,GEN1,PHF8,ARID1A,CARMIL1,HEY1,NCOR2,TRAF3IP1,BCAS2,MRNIP,KDM5B,FAAP20,KHDC4,TEAD3,SPRTN,GEMIN8,CSPG4,TICRR,CDCA7L,MAX,TAF8,POLD4,PITX2,SH3D19,KLC2,SS18,JARID2,MZT2B,PCF11,CCNT1,MZT2A,RPRD2,MAGI1,S100PBP,TNFAIP8,PCLAF,SETD2,YAP1,DACT1,PAPOLA,JAZF1,TPX2,UCHL3,C9orf78,CEBPB,PPP1R9B,AKIRIN2,DTNA,MRFAP1,PLEKHG1,PPP1R12A,PLEKHA7,SENP2,RBBP8,RNF168,SCNM1,TCF12,ALAS1,TDRD3,BCL9L,TNRC6B,PRRC2A,PRPF40B,FNBP4,SOX13,TET1,ANKRD17,CEP350,UBN1,RAD51AP1,ZWINT,CDT1,PIMREG,CLK3,LTV1,PIDD1,ID4,NEDD1,MRTFA,PAK1,C1orf52,NUCKS1,SOX12,C2orf49,CXXC5,BRCA1","32070,14214,8822,17798,1307,16849,11969,5002,14569,16967,27301,29182,11749,1727,25305,15947,2557,25114,25523,7137,16002,24994,9343,28292,14982,11597,76,29563,14248,15936,12607,14436,17086,2378,20509,18472,13632,25009,17712,13698,9841,26961,24877,6918,1857,24472,25566,3317,19971,18040,7878,26818,14078,10067,28360,11631,583,27905,17075,12505,24845,16062,7672,14873,9904,30181,18116,31923,17040,18656,20893,784,28055,28915,5399,26435,18643,8646,30812,26148,11233,26199,19369,1579,32235,17808,3511,16687,16744,14063,17895,16909,17327,19874,28109,16696,12488,1784,11962,24658,3033,28413,24616,7534,16106,13736,9865,26643,28352,11633,243,28142,23169,445,13009,31326,29144,4661,24779,19824,28988,21316,11523,30288,16989,31792,19124,30036,19083,25925,25651,3811,14626,17634,8059,26913,14282,10548,30972,1008,26881,20672,11110,21581,4880,7673,17861,975,30817,18039,26428,29145,11716,25356,26044,2466,28704,30777,6913,17300,14106,9005,30418,20716,11340,6196,25886,30097,1599,33187,29039,946,25768,17260,28961,18420,16262,17748,14981,28917,1249,12515,24932,1834,9298,21407,3057,24549,20884,7618,27049,23116,9891,26661,23136,11623,396,20612,23688,29190,13918,25031,19752,11192,29484,23575,24238,12506,16956,13195,24576,25483,2071,21173,16491,5363,7723,14334,8590,24871,29923,11198,28772,26943,1100","nucleoplasm","ABL1;ADD1;AFDN;AKIRIN2;ALAS1;ANKRD11;ANKRD17;APC;ARID1A;ARID1B;ARPP19;ATF2;ATN1;ATXN1;ATXN2L;BACH2;BATF3;BCAS2;BCL9;BCL9L;BCOR;BOD1;BOD1L1;BRCA1;BRD8;C1orf52;C2orf49;C9orf78;CARMIL1;CASC3;CBY1;CCDC106;CCDC88A;CCDC92;CCNB1;CCNT1;CDC25C;CDCA5;CDCA7L;CDKN1A;CDT1;CEBPB;CENPF;CEP164;CEP20;CEP350;CIC;CIZ1;CKS1B;CLK3;CNOT2;CRTC1;CRTC2;CRTC3;CSPG4;CSTF2T;CUEDC2;CUX1;CXXC5;DACT1;DDA1;DTL;DTNA;EHBP1;EID2;EIF4ENIF1;ELF2;EXO1;FAAP20;FIP1L1;FNBP4;FOXG1;GEMIN8;GEN1;GPATCH1;GTF2IRD1;GTSE1;HDAC4;HEY1;HMG20B;ID4;IFI35;INIP;IRF2BPL;JARID2;JAZF1;JPT1;KATNBL1;KDM5B;KHDC4;KHDRBS1;KLC2;LCA5;LIMD2;LTV1;LYSMD1;MAGI1;MAML1;MAX;MBD3;MED15;MED7;MED8;MORF4L1;MORF4L2;MPLKIP;MRFAP1;MRNIP;MRTFA;MSL1;MXI1;MZT2A;MZT2B;NCOA6;NCOR1;NCOR2;NDC80;NEDD1;NOL4L;NSRP1;NUCKS1;NUFIP2;NUMA1;PAK1;PAPOLA;PAPOLG;PCBD1;PCF11;PCLAF;PEA15;PHF8;PIDD1;PIMREG;PITX2;PLEKHA5;PLEKHA7;PLEKHG1;POLD4;PPHLN1;PPP1R12A;PPP1R9B;PRCC;PRPF40B;PRRC2A;PSRC1;RAB11FIP5;RAD51AP1;RAI14;RALBP1;RAPH1;RARB;RBBP8;RBIS;RBM18;RBM7;REXO1;RIOK1;RITA1;RNF168;RNF169;RNF4;RPRD2;RTRAF;S100PBP;SAPCD2;SCNM1;SDE2;SECISBP2;SENP2;SETD2;SETD5;SETX;SGO2;SH3D19;SIMC1;SIVA1;SKA1;SNW1;SOX12;SOX13;SPAST;SPC24;SPRTN;SPTY2D1;SS18;SUGP1;SYF2;TAB2;TACC2;TAF8;TATDN2;TBX2;TCF12;TCF20;TCF3;TDRD3;TEAD3;TET1;TFDP1;TICRR;TNFAIP8;TNRC18;TNRC6A;TNRC6B;TPX2;TRAF3IP1;UACA;UBE2L3;UBE2S;UBE2T;UBL4A;UBL5;UBN1;UCHL3;USP1;WAC;WDR33;YAP1;YIPF5;YLPM1;ZC3H14;ZC3H4;ZDHHC5;ZNF217;ZWINT",225
NA,"SLIM2 GO CC","GO:0005856","cytoskeleton",1321,179,31.964,1.9476,0.962,2.51904366483945e-21,20.5987643044215,6.29760916209862e-18,3.14880458104931e-18,2.64545609701524e-17,"KLC1,MAP1A,SLAIN1,PDE4DIP,ABLIM1,HOOK2,IFT74,WNK1,LCA5,DYNC1LI1,CGN,CNTROB,NUMA1,PLEKHG3,TTK,UBN1,RNF4,LIMCH1,ABL2,SEPTIN9,AUTS2,CBY1,NAV1,APC,PHLDB2,NDC80,DTL,TTC28,RITA1,MZT2B,CCDC88C,EML1,TEDC2,TRIP11,CEP128,PLS1,UACA,LATS1,CCDC66,KIAA1671,LIMA1,SPECC1L,SMTN,KIAA0586,LIMD2,MAPRE3,RTRAF,DMTN,PAK1,CNN2,ERC1,SLAIN2,MAP7D1,PLEKHA7,MZT2A,RPAP3,CCDC120,MAST2,HMMR,RAB11FIP5,TNKS1BP1,KATNA1,PPP1R9B,AMOT,DIAPH3,MPRIP,CEP250,SYNJ1,CLIP2,CLK3,PCLAF,ITSN2,FAM110A,MAP9,CEP112,CTTN,FLNC,NEDD1,CROCC,ERC2,LUZP1,CEP20,SS18,NEBL,ADD1,OPHN1,ODF2,AHNAK,CCDC88A,SVIL,GOLGA2,CEP170B,CCNB1,SH3PXD2A,TACC2,KIZ,NUSAP1,BOD1,NDEL1,DIAPH2,CCDC92,SORBS3,SPICE1,COBL,ENAH,DLGAP5,SPTBN1,CFAP36,PPP1R12C,PDLIM3,WIPF1,CEP350,GTSE1,KATNBL1,BORCS5,PTK2,CYBA,TRAF3IP1,NCKAP5L,MTUS1,PROSER3,DYNC1I1,CCDC50,CEP41,ARHGEF18,SPAST,LATS2,WIPF2,TPX2,SHROOM1,ABL1,LMOD1,CDC42EP4,CEP164,KLC2,PEA15,DTNA,BCAS2,HOOK1,LZTS2,ATAT1,GEN1,ITSN1,CEP85,CCDC6,CCSAP,KLC3,SH3KBP1,EVI5,SKA1,JPT1,RAI14,ADD2,PAWR,CEP135,PEAK1,CAMSAP1,NCOR1,RALBP1,PPP1R12A,CALD1,SORBS1,WDR35,NDE1,MPLKIP,PSRC1,INF2,FBF1,CDC42EP1,CENPF,CD2AP,RAPH1,TPPP,SHROOM3,BRCA1,CTTNBP2NL,CARMIL1,WASF2,CEP170","6387,6835,26387,15580,78,19885,21424,14540,31923,18745,17429,29616,8059,20364,12401,12506,10067,29191,77,7323,14262,1307,15989,583,29573,16909,30288,29179,25925,25886,19967,3330,25849,12305,20359,9090,15947,6514,27709,29345,24636,29022,11126,19960,28142,6892,23169,3382,8590,2156,17072,29282,25514,27049,33187,26151,28910,19035,5012,24845,19081,6216,9298,17810,15480,30321,1859,11503,2586,2071,28961,6184,16188,26118,28514,3338,3756,7723,21299,31922,14985,26435,11340,16932,243,8148,8114,347,25523,11480,4425,20362,1579,23664,11523,15865,18538,25114,17620,2877,29563,30907,25083,22199,18271,16864,11275,30540,14947,20767,12736,24238,13698,26199,17950,9611,2577,17861,29321,29789,25204,2963,18111,12370,17090,11233,6515,30923,1249,24084,76,6647,17147,29182,20716,8822,3057,975,19884,29381,21186,26881,6183,25309,18782,29578,20717,13867,3501,28109,14569,14873,244,8614,29086,29431,19946,7672,9841,7618,1441,14565,29250,17619,16002,24472,23791,24674,17014,1857,14258,14436,24164,30422,1100,25330,21581,12733,28920","cytoskeleton","ABL1;ABL2;ABLIM1;ADD1;ADD2;AHNAK;AMOT;APC;ARHGEF18;ATAT1;AUTS2;BCAS2;BOD1;BORCS5;BRCA1;CALD1;CAMSAP1;CARMIL1;CBY1;CCDC120;CCDC50;CCDC6;CCDC66;CCDC88A;CCDC88C;CCDC92;CCNB1;CCSAP;CD2AP;CDC42EP1;CDC42EP4;CENPF;CEP112;CEP128;CEP135;CEP164;CEP170;CEP170B;CEP20;CEP250;CEP350;CEP41;CEP85;CFAP36;CGN;CLIP2;CLK3;CNN2;CNTROB;COBL;CROCC;CTTN;CTTNBP2NL;CYBA;DIAPH2;DIAPH3;DLGAP5;DMTN;DTL;DTNA;DYNC1I1;DYNC1LI1;EML1;ENAH;ERC1;ERC2;EVI5;FAM110A;FBF1;FLNC;GEN1;GOLGA2;GTSE1;HMMR;HOOK1;HOOK2;IFT74;INF2;ITSN1;ITSN2;JPT1;KATNA1;KATNBL1;KIAA0586;KIAA1671;KIZ;KLC1;KLC2;KLC3;LATS1;LATS2;LCA5;LIMA1;LIMCH1;LIMD2;LMOD1;LUZP1;LZTS2;MAP1A;MAP7D1;MAP9;MAPRE3;MAST2;MPLKIP;MPRIP;MTUS1;MZT2A;MZT2B;NAV1;NCKAP5L;NCOR1;NDC80;NDE1;NDEL1;NEBL;NEDD1;NUMA1;NUSAP1;ODF2;OPHN1;PAK1;PAWR;PCLAF;PDE4DIP;PDLIM3;PEA15;PEAK1;PHLDB2;PLEKHA7;PLEKHG3;PLS1;PPP1R12A;PPP1R12C;PPP1R9B;PROSER3;PSRC1;PTK2;RAB11FIP5;RAI14;RALBP1;RAPH1;RITA1;RNF4;RPAP3;RTRAF;SEPTIN9;SH3KBP1;SH3PXD2A;SHROOM1;SHROOM3;SKA1;SLAIN1;SLAIN2;SMTN;SORBS1;SORBS3;SPAST;SPECC1L;SPICE1;SPTBN1;SS18;SVIL;SYNJ1;TACC2;TEDC2;TNKS1BP1;TPPP;TPX2;TRAF3IP1;TRIP11;TTC28;TTK;UACA;UBN1;WASF2;WDR35;WIPF1;WIPF2;WNK1",179
NA,"SLIM2 GO CC","GO:0005694","chromosome",1207,98,17.5,1.167,0.223,0.0505330550095544,1.29642444540544,1,0.223202539794851,1,"NDE1,CDT1,MORF4L2,TNKS1BP1,INIP,NUMA1,ZC3H4,JARID2,SOX5,NCOR1,AKIRIN2,BCL11B,NUCKS1,CDCA5,ARID1A,SKA1,MAP3K7,LUZP1,NUSAP1,MXI1,TCF12,KDM5B,ZBED3,TTK,PPHLN1,TET1,RNF169,SWI5,SS18,CENPF,ZWINT,ELF2,PITX2,TFDP1,ANKRD17,ZC3H6,TCF3,NOL8,SPRTN,BRD8,NDC80,RNF168,PAK1,SETD2,MAF,SOX12,NCOR2,BATF3,APC,CYREN,SGO2,ARID1B,ATAD5,HMG20B,RTF2,NKX6-1,TEAD3,CIC,TNRC18,BCAS2,CUX1,C9orf78,NDEL1,BOD1L1,MBD3,ATF2,DYNC1I1,SETX,FOXG1,RARB,SOX13,KLF13,MSL1,BIRC2,SETD5,BOD1,MORF4L1,SPC24,CCNB1,RBBP8,DYNC1LI1,MAX,TBX2,HDAC4,BACH2,PPP1R12A,DTL,OBI1,FAAP20,POLD4,BRCA1,RAD51AP1,DBP,PAWR,TEF,HEY1,JDP2,CEBPB","17619,24576,16849,19081,24994,8059,17808,6196,11201,7672,21407,13222,29923,14626,11110,28109,6859,14985,18538,7534,11623,18039,20711,12401,19369,29484,26961,31412,11340,1857,13195,3317,9005,11749,23575,24762,11633,23387,25356,19874,16909,26661,8590,18420,6776,11198,7673,28915,583,22432,30812,18040,25752,5002,15890,7839,11716,14214,11962,975,2557,24932,17620,31792,6918,784,2963,445,3811,9865,11192,13672,27905,590,25566,25114,16989,26913,1579,9891,18745,6913,11597,14063,14078,7618,30288,20308,26428,14106,1100,16956,2697,8614,11722,4880,17546,1834","chromosome","AKIRIN2;ANKRD17;APC;ARID1A;ARID1B;ATAD5;ATF2;BACH2;BATF3;BCAS2;BCL11B;BIRC2;BOD1;BOD1L1;BRCA1;BRD8;C9orf78;CCNB1;CDCA5;CDT1;CEBPB;CENPF;CIC;CUX1;CYREN;DBP;DTL;DYNC1I1;DYNC1LI1;ELF2;FAAP20;FOXG1;HDAC4;HEY1;HMG20B;INIP;JARID2;JDP2;KDM5B;KLF13;LUZP1;MAF;MAP3K7;MAX;MBD3;MORF4L1;MORF4L2;MSL1;MXI1;NCOR1;NCOR2;NDC80;NDE1;NDEL1;NKX6-1;NOL8;NUCKS1;NUMA1;NUSAP1;OBI1;PAK1;PAWR;PITX2;POLD4;PPHLN1;PPP1R12A;RAD51AP1;RARB;RBBP8;RNF168;RNF169;RTF2;SETD2;SETD5;SETX;SGO2;SKA1;SOX12;SOX13;SOX5;SPC24;SPRTN;SS18;SWI5;TBX2;TCF12;TCF3;TEAD3;TEF;TET1;TFDP1;TNKS1BP1;TNRC18;TTK;ZBED3;ZC3H4;ZC3H6;ZWINT",98
NA,"Direct GO Cellular Component","GO:0042995","cell projection",539,68,12.143,1.8133,0.859,7.11658797167006e-07,6.14772817774622,0.00177914699291752,0.000148262249409793,0.00124561960440119,"ENAH,IFT74,CEP20,COBL,TANC2,DTNA,OPHN1,WIPF1,WASF2,ANKMY2,PPP1R9B,CCDC66,GRIP1,EPS8,PTK2,SH3PXD2A,RUFY3,CARMIL1,PHACTR4,CEP41,N4BP3,AUTS2,CBL,MAX,SPTBN1,CEP350,KIZ,TEDC2,CCSAP,WWC1,TRAF3IP1,CTTN,PAK1,LUZP1,CEP250,WDR35,CCDC120,CD2AP,AGFG1,ITSN1,CROCC,SETX,CCDC88A,ATAT1,CFAP36,DIP2A,ERC2,CSPG4,ODF2,SVIL,FCHSD2,CTTNBP2NL,TSC22D4,LCA5,SRGAP2,DMTN,PLS1,MAGI1,CASC3,LIMA1,RAPH1,PHLDB2,CBY1,APC,KLC1,SPAST,KIAA0586,ERC1","18271,21424,26435,22199,30212,3057,8148,12736,12733,25370,9298,27709,18708,3420,9611,23664,30285,21581,25793,12370,29852,14262,1541,6913,11275,24238,15865,25849,29578,29435,17861,3338,8590,14985,1859,29250,28910,14258,5175,6183,21299,445,25523,21186,30540,17217,31922,2466,8114,11480,29114,25330,21696,31923,19751,3382,9090,946,17040,24636,14436,29573,1307,583,6387,11233,19960,17072","cell projection","AGFG1;ANKMY2;APC;ATAT1;AUTS2;CARMIL1;CASC3;CBL;CBY1;CCDC120;CCDC66;CCDC88A;CCSAP;CD2AP;CEP20;CEP250;CEP350;CEP41;CFAP36;COBL;CROCC;CSPG4;CTTN;CTTNBP2NL;DIP2A;DMTN;DTNA;ENAH;EPS8;ERC1;ERC2;FCHSD2;GRIP1;IFT74;ITSN1;KIAA0586;KIZ;KLC1;LCA5;LIMA1;LUZP1;MAGI1;MAX;N4BP3;ODF2;OPHN1;PAK1;PHACTR4;PHLDB2;PLS1;PPP1R9B;PTK2;RAPH1;RUFY3;SETX;SH3PXD2A;SPAST;SPTBN1;SRGAP2;SVIL;TANC2;TEDC2;TRAF3IP1;TSC22D4;WASF2;WDR35;WIPF1;WWC1",68
NA,"Direct GO Cellular Component","GO:0070161","anchoring junction",216,36,6.429,2.3955,1.26,6.6635182770269e-07,6.17629640673797,0.00166587956925672,0.000148262249409793,0.00124561960440119,"LUZP1,ERC1,CGN,TJAP1,CTTN,FCHSD2,RAI14,ATAT1,AMOTL1,PTK2,SORBS1,LIMA1,SAPCD2,MAGI1,APC,SPECC1L,SHROOM3,PLEKHA7,AFDN,SORBS3,UBN1,PPP1R9B,CCDC88C,SVIL,RUFY3,ENAH,PHLDB2,ATN1,SH3PXD2A,CD2AP,PEAK1,AMOT,PAK1,YAP1,SH3KBP1,FBF1","14985,17072,17429,17949,3338,29114,14873,21186,17811,9611,14565,24636,28055,946,583,29022,30422,27049,7137,30907,12506,9298,19967,11480,30285,18271,29573,3033,23664,14258,29431,17810,8590,16262,13867,24674","anchoring junction","AFDN;AMOT;AMOTL1;APC;ATAT1;ATN1;CCDC88C;CD2AP;CGN;CTTN;ENAH;ERC1;FBF1;FCHSD2;LIMA1;LUZP1;MAGI1;PAK1;PEAK1;PHLDB2;PLEKHA7;PPP1R9B;PTK2;RAI14;RUFY3;SAPCD2;SH3KBP1;SH3PXD2A;SHROOM3;SORBS1;SORBS3;SPECC1L;SVIL;TJAP1;UBN1;YAP1",36
NA,"Direct GO Cellular Component","GO:0030425","dendrite",198,21,3.75,1.5244,0.608,0.034306532000734,1.46462318194582,1,0.185240453567678,1,"CYBA,LUZP1,ZDHHC5,MAX,RUFY3,ABL1,OPHN1,GRIP1,TSC22D4,CTTN,ZWINT,NRGN,N4BP3,AMFR,PAK1,CD2AP,PPP1R9B,MAP1A,CASC3,NUMA1,COBL","2577,14985,18472,6913,30285,76,8148,18708,21696,3338,13195,8000,29852,463,8590,14258,9298,6835,17040,8059,22199","dendrite","ABL1;AMFR;CASC3;CD2AP;COBL;CTTN;CYBA;GRIP1;LUZP1;MAP1A;MAX;N4BP3;NRGN;NUMA1;OPHN1;PAK1;PPP1R9B;RUFY3;TSC22D4;ZDHHC5;ZWINT",21
NA,"Direct GO Cellular Component","GO:0030027","lamellipodium",125,17,3.036,1.9548,0.967,0.00571387990076562,2.2430688922317,1,0.0965311870932974,0.811003067592664,"WASF2,RAPH1,AMOT,APC,LIMA1,PAK1,ENAH,PHACTR4,RUFY3,CTTN,CARMIL1,ITSN1,CTTNBP2NL,PPP1R9B,SRGAP2,ABLIM1,CCDC88A","12733,14436,17810,583,24636,8590,18271,25793,30285,3338,21581,6183,25330,9298,19751,78,25523","lamellipodium","ABLIM1;AMOT;APC;CARMIL1;CCDC88A;CTTN;CTTNBP2NL;ENAH;ITSN1;LIMA1;PAK1;PHACTR4;PPP1R9B;RAPH1;RUFY3;SRGAP2;WASF2",17
NA,"Direct GO Cellular Component","GO:0030054","cell junction",118,14,2.5,1.7053,0.77,0.0340595231921223,1.46776143612913,1,0.184304779178151,1,"AFDN,CCDC66,YAP1,DTNA,PLEKHA7,SPTBN1,CCDC88C,ADD1,ARHGEF18,CTTN,FAAP20,MAGI1,APC,CGN","7137,27709,16262,3057,27049,11275,19967,243,17090,3338,26428,946,583,17429","cell junction","ADD1;AFDN;APC;ARHGEF18;CCDC66;CCDC88C;CGN;CTTN;DTNA;FAAP20;MAGI1;PLEKHA7;SPTBN1;YAP1",14
NA,"Direct GO Cellular Component","GO:0030426","growth cone",85,13,2.321,2.1983,1.136,0.00556262327474723,2.25472035139092,1,0.0965311870932974,0.811003067592664,"KLC1,ABL1,CD2AP,CTTN,PPP1R9B,RUFY3,AMFR,AUTS2,EPS8,CCDC120,SETX,CBL,ERC2","6387,76,14258,3338,9298,30285,463,14262,3420,28910,445,1541,31922","growth cone","ABL1;AMFR;AUTS2;CBL;CCDC120;CD2AP;CTTN;EPS8;ERC2;KLC1;PPP1R9B;RUFY3;SETX",13
NA,"Direct GO Cellular Component","GO:0005912","adherens junction",118,13,2.321,1.5835,0.663,0.0657570674862664,1.18205756290916,1,0.247207020625062,1,"PDLIM3,AFDN,TNKS1BP1,CDC42EP1,SHROOM3,ADD1,MAGI1,SHROOM1,CDC42EP4,APC,PPP1R9B,SORBS1,PLEKHA7","20767,7137,19081,17014,30422,243,946,24084,17147,583,9298,14565,27049","adherens junction","ADD1;AFDN;APC;CDC42EP1;CDC42EP4;MAGI1;PDLIM3;PLEKHA7;PPP1R9B;SHROOM1;SHROOM3;SORBS1;TNKS1BP1",13
