"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-8873719","RAB geranylgeranylation",44,29,2.413,4.4135,2.142,1.96727755303608e-14,13.7061343633911,4.91819388259021e-11,7.02599126084316e-12,5.90285962185033e-11,"RAB14,RAB12,RAB5C,RAB35,RAB4B,RAB8A,RAB11A,RAB21,RAB22A,RAB5A,RAB10,RAB6B,RAB43,RAB7A,RAB31,RAB24,RAB1A,RAB11B,RAB9B,RAB1B,RAB5B,RAB32,RAB8B,CHM,PTP4A2,RAB18,RAB39A,RAB4A,RAB9A","16524,31332,9785,9774,9782,7007,9760,18263,9764,9783,9759,14902,19983,9788,9771,9765,9758,9761,14090,18370,9784,9772,30273,1940,9635,14244,16521,9781,9792"
NA,"REACTOME pathway","R-HSA-8957275","Post-translational protein phosphorylation",39,22,1.83,3.7774,1.917,2.24443892188242e-09,8.64889220859619,5.61109730470606e-06,1.65032273667825e-07,1.38651232028298e-06,"APOA1,LAMB1,SDC2,F5,NUCB1,WFS1,CCN1,QSOX1,BMP4,LAMC1,SPP2,STC2,GPC3,P4HB,ADAM10,ITIH2,RCN1,CDH2,MFGE8,TIMP1,IGFBP5,PRKCSH","600,6486,10659,3542,8043,12762,2654,9756,1071,6492,11256,11374,4451,8548,188,6167,9934,1759,7036,11820,5474,9411"
NA,"REACTOME pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",40,22,1.83,3.683,1.881,4.28902148718169e-09,8.36764177802274,1.07225537179542e-05,3.06358677655835e-07,2.57386068527656e-06,"ADAM10,ITIH2,RCN1,CDH2,MFGE8,TIMP1,IGFBP5,PRKCSH,APOA1,LAMB1,SDC2,F5,NUCB1,WFS1,CCN1,QSOX1,BMP4,LAMC1,SPP2,GPC3,P4HB,STC2","188,6167,9934,1759,7036,11820,5474,9411,600,6486,10659,3542,8043,12762,2654,9756,1071,6492,11256,4451,8548,11374"
NA,"REACTOME pathway","R-HSA-422475","Axon guidance",278,78,6.489,1.8788,0.91,7.47669948224857e-09,8.12629007499382,1.86917487056214e-05,3.87502460545881e-07,3.25558706637137e-06,"SHTN1,RPS13,ITGAV,RPS27,NRAS,RBX1,PSMB3,RPL12,RPL34,EFNB3,RPS15A,LAMB1,CLTCL1,PSMA4,USP33,PSMB6,RPL23A,RHOC,RPS3A,FAU,RPS20,MSN,NTN1,PSMB1,ROBO1,RPL29,CNTN1,RPS7,ITGA1,UNC5B,RPS14,ITGB1,RRAS,PITPNA,SEMA4D,PSMB4,RPL17,ADAM10,RPS2,EPHA4,RPS16,LAMC1,UNC5C,PSMA5,PSMB7,RPL26,CFL1,RPS4X,GRB2,NCSTN,ITGA5,RPS21,NEO1,AKAP5,PSMB2,RPL5,RPL31,CSNK2A1,RPS10,RPS15,KRAS,SDC2,PSEN2,ADRM1,PSMB5,RPL22,ALCAM,RPS3,EPHA7,RPS18,RPSA,SLIT2,PSMA6,RDX,RPL30,CLTB,RPS5,HSPA8","29319,10386,6150,10416,7989,9928,9540,10302,10340,3228,10389,6486,2093,9533,20059,9543,10317,669,10421,3597,10405,7373,8029,9537,10249,10331,2171,10440,6134,12568,10387,6153,10447,9001,10732,9541,10307,188,10404,3388,10396,6492,12569,9534,9544,10327,1874,10424,4566,17091,6141,10409,7754,375,9539,10360,10334,2457,10383,10388,6407,10659,9509,15759,9542,10315,400,10420,3390,10401,6502,11086,9535,9944,10333,2091,10426,5241"
NA,"REACTOME pathway","R-HSA-71291","Metabolism of amino acids and derivatives",217,65,5.408,2.0058,1.004,8.63273737207193e-09,8.06385147113505,2.15818434301798e-05,3.99663767225552e-07,3.35775981820562e-06,"SERINC1,RPL23A,RPS3A,RPS15A,SRM,QDPR,BCKDHB,GOT2,PSMB1,RPL29,RPS7,RPS20,RIDA,RPL17,DLD,RPSA,PSMB4,RPS2,RPS14,SARS1,ETHE1,PSMB7,GLUL,PSMA5,ASRGL1,RPL26,RPS4X,RPS16,SUOX,RPL5,CAV1,GSTZ1,PSMB2,RPL31,RPS10,RPS21,SERINC3,DLST,MTAP,PSMB5,RPL22,RPS3,RPS15,SHMT1,ADI1,PSPH,ALDH7A1,GOT1,PSMA6,ADO,RPL30,RPS5,RPS18,ALDH4A1,RPL12,CKB,IVD,PSMB3,RPL34,RPS13,RPS27,ADRM1,PSMB6,FAU,PSMA4","13464,10317,10421,10389,11296,9752,987,4433,9537,10331,10440,10405,16897,10307,2898,6502,9541,10404,10387,10537,23287,9544,4341,9534,16448,10327,10424,10396,11460,10360,1527,4643,9539,10334,10383,10409,11699,2911,7413,9542,10315,10420,10388,10850,30576,9577,877,4432,9535,23506,10333,10426,10401,406,10302,1991,6186,9540,10340,10386,10416,15759,9543,3597,9533"
NA,"REACTOME pathway","R-HSA-9010553","Regulation of expression of SLITs and ROBOs",121,43,3.577,2.3797,1.251,1.28760306629799e-08,7.8902179977563,3.21900766574499e-05,5.74822797454462e-07,4.82935169550126e-06,"PSMB6,PSMA4,RPL26,RPS4X,RPS16,USP33,PSMB1,RPL5,RPL31,RPS10,RPS21,PSMB4,FAU,RPL22,RPS3,RPS15,RBX1,PSMA5,PSMB7,RPL30,RPS5,RPS18,PSMB2,RPL12,RPL34,RPS13,RPS27,PSMB5,RPSA,RPL23A,RPS3A,RPS15A,ADRM1,PSMA6,ROBO1,RPL29,RPS7,RPS20,PSMB3,RPL17,RPS2,RPS14,SLIT2","9543,9533,10327,10424,10396,20059,9537,10360,10334,10383,10409,9541,3597,10315,10420,10388,9928,9534,9544,10333,10426,10401,9539,10302,10340,10386,10416,9542,6502,10317,10421,10389,15759,9535,10249,10331,10440,10405,9540,10307,10404,10387,11086"
NA,"REACTOME pathway","R-HSA-6798695","Neutrophil degranulation",246,70,5.824,1.9055,0.93,2.41296792293052e-08,7.617448451397,6.03241980732629e-05,9.88921279889557e-07,8.30838422014787e-06,"CSTB,HLA-B,NEU1,AOC1,SNAP29,NCSTN,RAB24,PSMB1,STK10,FTL,IGF2R,ATP6V0C,KCNAB2,NPC2,RAB9B,RAP2C,PA2G4,RAB5B,CD63,GPI,LAMP1,SNAP23,ENPP4,YPEL5,PSAP,RAP1B,CD55,HSPA8,NME2,ADAM10,PPIE,BRI3,TOLLIP,PSMB7,TIMP2,CAPN1,GAA,IMPDH2,PDXK,RAB10,ATP6V1D,CYSTM1,PAFAH1B2,RAB5C,ADGRE5,GUSB,MGST1,CPNE3,RAB18,RAB4B,PSMA5,RAP2B,FABP5,IDH1,APEH,PRDX4,GOLGA7,CPPED1,NRAS,QSOX1,RAB7A,CD58,GALNS,ITGAV,VAMP8,RAB31,RAB14,NAPRT,PGAM1,RAP1A","2482,4932,7758,80,11133,17091,9765,9537,11388,3999,5467,855,6229,14537,14090,21165,8550,9784,1692,4458,6499,11131,3359,18329,9498,9857,2665,5241,7850,188,9258,1109,16476,9544,11821,1476,4065,6053,8819,9759,13527,30239,8575,9785,1711,4696,7061,2316,14244,9782,9534,9862,3560,5382,586,17169,24876,25632,7989,9756,9788,1688,4122,6150,12647,9771,16524,30450,8888,9855"
NA,"KEGG Pathway H.sap","path:hsa04514","Cell adhesion molecules",40,21,1.747,3.5156,1.814,2.91786410574456e-08,7.53493493845339,7.2946602643614e-05,1.17655810715506e-06,9.884807830878e-06,"ITGB1,CXADR,HLA-A,PTPRS,JAM3,ITGA8,CD276,NEO1,SDC2,ALCAM,HLA-B,NECTIN1,CD58,ITGAV,CNTN1,NRXN3,F11R,GLG1,CADM1,NECTIN2,CDH2","6153,2559,4931,9681,15532,6144,19137,7754,10659,400,4932,9706,1688,6150,2171,8010,14685,4316,5951,9707,1759"
NA,"REACTOME pathway","R-HSA-9675108","Nervous system development",288,78,6.489,1.8136,0.859,4.06215561152776e-08,7.39124344382305,0.000101553890288194,1.50556022913214e-06,1.26489065455247e-05,"ALCAM,RPS15,KRAS,SDC2,PSEN2,ADRM1,PSMB5,RPL22,RPS3,EPHA7,CLTB,RPS5,HSPA8,RPS18,RPSA,SLIT2,PSMA6,SHTN1,RDX,RPL30,RPS13,ITGAV,RPS27,NRAS,RBX1,PSMB3,RPL12,RPL34,EFNB3,RHOC,RPS15A,LAMB1,CLTCL1,PSMA4,USP33,PSMB6,RPL23A,RPS3A,FAU,CNTN1,RPS7,ITGA1,RPS20,MSN,NTN1,PSMB1,UNC5B,ROBO1,RPL29,ADAM10,RPS14,ITGB1,RRAS,PITPNA,SEMA4D,PSMB4,RPL17,RPS2,EPHA4,CFL1,RPS4X,GRB2,RPS16,LAMC1,UNC5C,PSMA5,NCSTN,PSMB7,RPL26,CSNK2A1,RPS10,ITGA5,RPS21,NEO1,AKAP5,PSMB2,RPL5,RPL31","400,10388,6407,10659,9509,15759,9542,10315,10420,3390,2091,10426,5241,10401,6502,11086,9535,29319,9944,10333,10386,6150,10416,7989,9928,9540,10302,10340,3228,669,10389,6486,2093,9533,20059,9543,10317,10421,3597,2171,10440,6134,10405,7373,8029,9537,12568,10249,10331,188,10387,6153,10447,9001,10732,9541,10307,10404,3388,1874,10424,4566,10396,6492,12569,9534,17091,9544,10327,2457,10383,6141,10409,7754,375,9539,10360,10334"
NA,"KEGG Pathway H.sap","path:hsa03010","Ribosome",158,50,4.16,2.1191,1.083,6.80029374858852e-08,7.16747232690617,0.000170007343714713,2.01454246026043e-06,1.69251012472043e-05,"MRPL38,MRPS10,DAP3,RPS4X,RPL12,RPL34,RPS16,MRPS17,MRPS23,RPSA,MRPL46,RPL23A,RPS10,RPS20,MRPS2,MRPL45,RPS3,RPL30,RPS15,MRPL11,MRPS15,FAU,RPS5,RPL17,RPL5,RPS18,MRPL19,MRPS28,RPL26,RPS13,RPS21,MRPL39,MRPS9,MRPL48,RPS3A,RPL11,RPL31,RPS15A,MRPL51,MRPS22,RACK1,RPS7,RPL22,MRPL3,RPS2,MRPL18,MRPS33,RPS27,RPL29,RPS14","14033,14502,2673,10424,10302,10340,10396,14047,14509,6502,1192,10317,10383,10405,14495,16651,10420,10333,10388,14042,14504,3597,10426,10307,10360,10401,14052,14513,10327,10386,10409,14027,14501,16653,10421,10301,10334,10389,14044,14508,4399,10440,10315,10379,10404,14477,16634,10416,10331,10387"
