"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0005789","endoplasmic reticulum membrane",596,111,13.105,1.7698,0.824,4.57910687734648e-10,9.33921921982672,1.14477671933662e-06,2.28955343867324e-07,1.92355954390854e-06,"RINT1,ERMP1,RFT1,LPCAT4,PIGX,PTDSS1,SEC23B,CLCC1,BNIP3,TBL2,FADS1,RDH11,ULK1,PEDS1,AGPAT3,ALG8,YIPF5,GPAT4,AGPAT5,ALG3,KDELR1,CTDNEP1,DHCR7,ALG5,SCD,HACD3,PKMYT1,ALG11,STIM2,ALG9,ALG2,TAPT1,SEC24B,SACM1L,AMFR,ATL3,GGCX,DERL2,MAP3K7,ERAP1,SPTLC2,ALG1,SLC30A5,SCD5,G6PC3,ATP11C,CLN6,C2CD2L,POMT1,SCFD1,CYBA,SEC22A,RPN1,HSD17B12,CDS2,PLPP6,AGPAT4,DERL1,UNC93B1,TMT1B,TMEM63B,MARCHF6,SLC27A3,ICMT,EXTL2,SEC61A1,SOAT1,NBAS,ZW10,POM121C,GBA2,LPCAT1,YIF1B,REEP3,TECR,SLC9A6,ANKLE2,ATP2A2,ABHD12,STT3A,TXNDC11,VRK2,PIGG,UBAC2,TMX4,VKORC1,REEP4,PIGU,TMEM38B,LPGAT1,PNPLA6,UFL1,DDOST,GHITM,RPN2,HSD17B7,SGPL1,TMEM41B,ATP13A1,CYBC1,SLC37A3,KRTCAP2,BCAP29,CDIPT,DOLK,SEC11A,SLC37A4,NSDHL,SSR3,DHRS7,FADS2","21876,23703,30220,30059,26046,9587,10702,29675,1084,11586,3574,17964,12558,16735,326,23161,24877,20880,20886,23056,6304,19085,2860,20266,10571,24175,29650,32456,19205,15672,23159,26887,10704,17059,463,24526,4247,17943,6859,18173,11278,18294,19089,21088,24861,13554,2077,29000,9202,20726,2577,20260,10381,18646,1801,23682,20885,28454,13481,28276,17735,30550,10997,5350,3516,18276,11177,15625,13194,34005,18986,25718,30511,23711,4551,11079,29101,812,15868,6172,28030,12719,25985,20486,25237,23663,26176,15791,25535,28985,16268,23039,2728,17281,10382,5215,10817,28948,24215,28672,20651,28942,24131,1769,23406,17718,4061,13398,11325,21524,3575"
NA,"Direct GO Cellular Component","GO:0032040","small-subunit processome",69,24,2.834,3.3054,1.725,5.55212457061679e-08,7.2555407983665,0.00013880311426542,1.54225682517133e-05,0.000129572115902895,"PWP2,UTP25,NOC4L,UTP15,TBL3,UTP18,WDR36,WDR43,NAT10,WDR46,UTP20,NOL10,UTP4,WDR3,NOP58,PRKDC,DCAF13,NOL6,WDR75,NOP56,FCF1,IMP4,PDCD11,HEATR1","9711,28440,28461,25758,11587,24274,30696,28945,29830,13923,17897,25862,1983,12755,29926,9413,24535,19910,25725,15911,20220,30856,13408,25517"
NA,"Direct GO Cellular Component","GO:0005783","endoplasmic reticulum",893,132,15.584,1.4047,0.49,1.58088716256954e-05,4.80109912717231,0.0395221790642386,0.00141150639515138,0.0118587168651313,"POM121C,LDAH,ALG9,TRAPPC9,HACD3,RFT1,PIGX,LPCAT4,ALG1,ATL3,RPN1,SGPL1,LPGAT1,PNPLA6,TMEM131L,DHCR7,SLC30A5,SCD5,DERL2,ZDHHC18,ERAP1,PIGU,AGPAT5,UBAC2,AGPAT3,SEC22A,SOAT1,FADS2,MARCHF6,MGAT4B,ATP2A2,CTDNEP1,SLC37A4,DERL1,YIPF5,HSD17B12,ALG2,ZDHHC13,KRTCAP2,VAC14,TMEM41B,STIM2,CES3,FADS1,SEC61A1,USO1,PTDSS1,SEC23B,ANKLE2,ENTPD5,RINT1,LPCAT1,ARB2A,NBAS,G6PC3,CLN6,ATP11C,TMX4,ABHD12,RPN2,PKMYT1,PUM3,KDELR1,SCFD1,DIAPH2,VKORC1,EDEM3,TXNDC11,SLC37A3,INPP5K,GPAT4,TMEM63B,PEDS1,AGPAT4,USP25,SSR3,SPTLC2,CDIPT,DOLK,ATP7A,ICMT,GGCX,CYBC1,UNC93B1,HSD17B7,YIF1B,PIGG,REEP3,BCAP29,ALG11,GBA2,SLC39A6,PRKCE,CDS2,C2CD2L,POMT1,CLCC1,DDOST,YTHDC2,ERMP1,NSDHL,UTP15,DHRS7,TIMM50,TMEM38B,YIPF6,UGGT1,TBL2,SCD,ZW10,ALG3,SLC27A3,AMFR,UFL1,EXTL2,ALG8,REEP4,RDH11,GHDC,DNAJC10,TMT1B,AMBRA1,PLPP6,ATP13A1,SEC11A,STT3A,ALG5,VRK2,TECR,SEC24B,SACM1L,BNIP3","34005,26145,15672,30832,24175,30220,26046,30059,18294,24526,10381,10817,28985,16268,29146,2860,19089,21088,17943,20712,18173,15791,20886,20486,326,20260,11177,3575,30550,7048,812,19085,4061,28454,24877,18646,23159,18413,28942,25507,28948,19205,1865,3574,18276,30904,9587,10702,29101,3367,21876,25718,25365,15625,24861,2077,13554,25237,15868,10382,29650,29676,6304,20726,2877,23663,16787,28030,20651,33882,20880,17735,16735,20885,12624,11325,11278,1769,23406,869,5350,4247,28672,13481,5215,30511,25985,23711,24131,32456,18986,18607,9401,1801,29000,9202,29675,2728,24721,23703,13398,25758,21524,23656,25535,28304,15663,11586,10571,13194,23056,10997,463,23039,3516,23161,26176,17964,24438,24637,28276,25990,23682,24215,17718,6172,20266,12719,4551,10704,17059,1084"
NA,"Direct GO Cellular Component","GO:0005759","mitochondrial matrix",352,62,7.32,1.6738,0.743,2.59205252472502e-05,4.58635620227401,0.0648013131181256,0.00202504103494142,0.0170133046198968,"GLS,YARS2,ACSS3,MARS2,PCCA,TK2,LARS2,ATP5F1C,PDSS1,DHTKD1,TARS2,MIPEP,METTL15,PDK2,PRORP,FPGS,NFU1,TFB2M,COQ5,OGG1,NSUN4,ALDH18A1,POLG2,IDH3B,TFB1M,TEFM,SDHAF4,PCK2,TOP3A,SIRT3,CCNB1,ACOT9,DDX28,NUBPL,NDUFA9,RPUSD3,POLRMT,LRPPRC,FXN,PYCR2,METTL17,MTG1,OXA1L,LIPT2,SUPV3L1,DHX30,ATP5F1A,PDPR,TRMT2B,IDH3G,ALDH1L2,PDK1,LONP1,MLYCD,CS,MTHFD1L,GUF1,COASY,NDUFB8,NDUFS7,PYCR1,BCKDK","4331,24249,24723,25133,8653,11831,17095,833,17759,23537,30740,7104,26606,8810,19958,3824,16287,18559,28722,8125,31802,9722,9180,5385,17037,26223,20957,8725,11992,14931,1579,17152,17330,20278,7693,28437,9200,15714,3951,30262,19280,32159,8526,37216,11471,16716,823,30264,25748,5386,26777,8809,9479,7150,2422,21055,25799,29932,7703,7714,9721,16902"
NA,"SLIM2 GO CC","GO:0005783","endoplasmic reticulum",1052,145,17.119,1.3098,0.389,0.000208022104743847,3.68189051379587,0.520055261859617,0.00886320209480472,0.0744638526058223,"EXTL2,YIPF5,TBL2,VRK2,GPAT4,RDH11,TECR,PLPP6,PIGX,SLC9A6,ATP7A,AGPAT3,ANKLE2,RPN2,CES3,ALG8,LDAH,TIMM50,FADS1,ALG2,ALG5,SGPL1,REEP3,HACD3,LPGAT1,POM121C,AGPAT5,PNPLA6,PRKCE,STIM2,UFL1,AMFR,ALG9,TRAPPC9,COL14A1,INPP5K,SCD5,ATL3,SSR3,G6PC3,DERL2,FADS2,UBAC2,ERAP1,CDIPT,THADA,ALG1,DOLK,STT3A,MGAT4B,SLC30A5,CYBA,VAC14,ZDHHC18,SLC37A4,UNC93B1,SEC22A,ULK1,TMT1B,HSD17B12,PTDSS1,TMEM41B,CLN6,SEC23B,ENTPD5,AGPAT4,CLCC1,KRTCAP2,SLC39A6,DERL1,YTHDC2,YIPF6,SCD,YIF1B,SEC61A1,PKMYT1,LPCAT4,NBAS,ALG3,CAMK2G,TMEM63B,KDELR1,USO1,GBA2,CTDNEP1,ATP2A2,LPCAT1,ICMT,ARB2A,WNT5A,ZDHHC13,REEP4,ABHD12,MAP3K7,PIGU,TXNDC11,SPTLC2,PEDS1,PIGG,SEC24B,MTMR12,TMX4,SACM1L,RPN1,TMEM131L,VKORC1,DHCR7,UGGT1,GHDC,GGCX,SLC37A3,GHITM,CDS2,TAPT1,HSD17B7,C2CD2L,ALG11,TMEM38B,POMT1,DIAPH2,ATP13A1,SCFD1,DNAJC10,CYBC1,EDEM3,COL4A5,USP25,SOAT1,RFT1,NSDHL,ZW10,ATP11C,DHRS7,MARCHF6,SLC30A7,BCAP29,SLC27A3,DDOST,PUM3,RINT1,BNIP3,ERMP1,SEC11A,UTP15,AMBRA1","3516,24877,11586,12719,20880,17964,4551,23682,26046,11079,869,326,29101,10382,1865,23161,26145,23656,3574,23159,20266,10817,23711,24175,28985,34005,20886,16268,9401,19205,23039,463,15672,30832,2191,33882,21088,24526,11325,24861,17943,3575,20486,18173,1769,19217,18294,23406,6172,7048,19089,2577,25507,20712,4061,13481,20260,12558,28276,18646,9587,28948,2077,10702,3367,20885,29675,28942,18607,28454,24721,28304,10571,30511,18276,29650,30059,15625,23056,1463,17735,6304,30904,18986,19085,812,25718,5350,25365,12784,18413,26176,15868,6859,15791,28030,11278,16735,25985,10704,18191,25237,17059,10381,29146,23663,2860,15663,24438,4247,20651,17281,1801,26887,5215,29000,32456,25535,9202,2877,24215,20726,24637,28672,16787,2207,12624,11177,30220,13398,13194,13554,21524,30550,19306,24131,10997,2728,29676,21876,1084,23703,17718,25758,25990"
NA,"Direct GO Cellular Component","GO:0042645","mitochondrial nucleoid",43,13,1.535,2.873,1.523,0.00031985333150031,3.49504912143644,0.799633328750776,0.0119348258022504,0.100269981425321,"POLRMT,ATAD3A,PRORP,TEFM,DHX30,SUPV3L1,DDX28,LRPPRC,DNA2,TFB1M,LONP1,TFB2M,POLG2","9200,25567,19958,26223,16716,11471,17330,15714,2939,17037,9479,18559,9180"
NA,"Direct GO Cellular Component","GO:0016328","lateral plasma membrane",34,11,1.299,3.0745,1.62,0.00048087611076181,3.31796679751972,1,0.0156128607390198,0.131170850939647,"SLC6A9,VANGL2,MYO1C,IQGAP3,SLC12A2,CTNNB1,VANGL1,NUMA1,SLC16A1,MARK2,NKD2","11056,15511,7597,20669,10911,2514,15512,8059,10922,3332,17046"
NA,"Direct GO Cellular Component","GO:0160226","oligosaccharyltransferase complex A",8,5,0.59,5.9393,2.57,0.000544143834426935,3.26428628735832,1,0.0158567120439118,0.133219558329029,"DDOST,RPN2,STT3A,KRTCAP2,RPN1","2728,10382,6172,28942,10381"
NA,"Direct GO Cellular Component","GO:0034388","Pwp2p-containing subcomplex of 90S preribosome",5,4,0.472,7.6024,2.926,0.000558156263945694,3.25324419699681,1,0.0158567120439118,0.133219558329029,"UTP18,PWP2,WDR36,WDR3","24274,9711,30696,12755"
NA,"Direct GO Cellular Component","GO:0032039","integrator complex",17,7,0.826,3.913,1.968,0.00104961058194515,2.97897179948402,1,0.0244563210727795,0.205468843896901,"INTS7,INTS8,INTS6L,INTS1,INTS13,INTS10,INTS3","24484,26048,27334,24555,20174,25548,26153"
