"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO BP","GO:0007049","cell cycle",1100,133,15.702,1.149,0.2,0.039976767427378,1.39819232640626,1,0.161811363114551,1,"POC5,PUM2,PIAS1,CDK16,NEK3,PDS5B,TUBGCP4,TAF6,EPC2,YTHDC2,LATS2,RNF168,IQGAP3,SPICE1,CDC16,ARID1A,SNX33,SUN2,INTS3,STRADA,RAD54B,ZW10,NAT10,ANAPC5,PPP2R5B,REEP3,YEATS2,DBF4,CEP63,DDX3X,PDIK1L,MELK,KIF20B,KAT5,WDR62,ORC4,MAD2L2,PLK1,ZNF318,TUBGCP2,RBM14,NUP214,TIMELESS,CABLES1,AMBRA1,UFL1,DIAPH3,C6orf89,CYLD,RTKN,CCNB1,PPP2R1B,PHF8,PRKCE,NEK4,FANCA,TUBGCP6,ANKLE2,MBTD1,NCAPD3,MYBBP1A,CTNNB1,ABCB1,SLC16A1,TTC28,ARID1B,NUMA1,POC1A,PHB2,TTI2,ATAD5,NIN,AURKB,ANAPC16,SFN,CTDNEP1,EP400,SGO2,BUB1B,STAG1,FOXG1,CCNY,PTEN,CCDC66,PUM1,CUL4B,SIN3A,CLTC,AAAS,CEP250,WNT5A,CDK19,INIP,CCNA2,SENP2,INTS7,DCAF13,TOP3A,DAPK3,KIF20A,CLASP2,CPSF3,SVIL,PKMYT1,XPO1,NEDD1,REEP4,RBM38,SMC6,HAUS5,PLEC,MIIP,PPM1D,CEP68,ANAPC4,ARID2,PDE4DIP,INTS13,PRKDC,LGMN,DONSON,EXO1,NCAPD2,RINT1,SKP2,DNA2,CCNL2,NFIB,ATR,MAU2,MAP3K7,KLHL9,DACT1","26658,14958,2752,8749,7746,20418,16691,11540,24543,24721,6515,26661,20669,25083,1720,11110,28468,14210,26153,30172,17228,13194,29830,15713,9310,23711,25489,17364,25815,2745,18981,16870,7212,5275,24502,8490,6764,9077,13578,18599,14219,8064,11813,25097,25990,23039,15480,21114,2584,10466,1579,9303,20672,9401,11399,3582,18127,29101,19866,28952,7546,2514,40,10922,29179,18040,8059,24488,30306,26262,25752,14906,11390,26976,10773,19085,11958,30812,1149,11354,3811,23354,9588,27709,14957,2555,19353,2092,13666,1859,12784,19338,24994,1578,23116,24484,24535,11992,2676,9787,17078,2326,11480,29650,12825,7723,26176,15818,20466,29130,9069,25715,9277,29076,19990,18037,15580,20174,9413,9472,2993,3511,24305,21876,10901,2939,20570,7785,882,29140,6859,18732,17748","cell cycle","AAAS;ABCB1;AMBRA1;ANAPC16;ANAPC4;ANAPC5;ANKLE2;ARID1A;ARID1B;ARID2;ATAD5;ATR;AURKB;BUB1B;C6orf89;CABLES1;CCDC66;CCNA2;CCNB1;CCNL2;CCNY;CDC16;CDK16;CDK19;CEP250;CEP63;CEP68;CLASP2;CLTC;CPSF3;CTDNEP1;CTNNB1;CUL4B;CYLD;DACT1;DAPK3;DBF4;DCAF13;DDX3X;DIAPH3;DNA2;DONSON;EP400;EPC2;EXO1;FANCA;FOXG1;HAUS5;INIP;INTS13;INTS3;INTS7;IQGAP3;KAT5;KIF20A;KIF20B;KLHL9;LATS2;LGMN;MAD2L2;MAP3K7;MAU2;MBTD1;MELK;MIIP;MYBBP1A;NAT10;NCAPD2;NCAPD3;NEDD1;NEK3;NEK4;NFIB;NIN;NUMA1;NUP214;ORC4;PDE4DIP;PDIK1L;PDS5B;PHB2;PHF8;PIAS1;PKMYT1;PLEC;PLK1;POC1A;POC5;PPM1D;PPP2R1B;PPP2R5B;PRKCE;PRKDC;PTEN;PUM1;PUM2;RAD54B;RBM14;RBM38;REEP3;REEP4;RINT1;RNF168;RTKN;SENP2;SFN;SGO2;SIN3A;SKP2;SLC16A1;SMC6;SNX33;SPICE1;STAG1;STRADA;SUN2;SVIL;TAF6;TIMELESS;TOP3A;TTC28;TTI2;TUBGCP2;TUBGCP4;TUBGCP6;UFL1;WDR62;WNT5A;XPO1;YEATS2;YTHDC2;ZNF318;ZW10",133
NA,"SLIM2 GO BP","GO:0006629","lipid metabolic process",614,91,10.744,1.4084,0.494,0.000345459832958074,3.4616024413108,0.863649582395186,0.0127007291528704,0.106704689062678,"PECR,SPTLC2,LPGAT1,NUDT8,SGPL1,LPCAT4,SACM1L,LDAH,AIG1,PIGG,PDK1,PEDS1,DHCR7,LDLRAP1,PRKCE,SLC27A3,PIGU,ALDH1L2,PTDSS1,ERRFI1,GGCX,PHB2,ABHD12,ACAD9,DDHD1,HSD17B7,PCK2,SCD,AGPAT4,EFR3A,KAT5,PDSS1,HDHD5,INPP5K,SCD5,ABCA3,SOAT1,CLN6,FADS2,PTPMT1,VAC14,DOLK,JAZF1,NUDT19,PIGX,PDK2,MLYCD,HSD17B12,MARCHF6,GBA2,FADS1,AGPAT5,TMEM38B,PEX13,ATP5F1A,TYSND1,GPCPD1,HACD3,DGKE,OGT,ACSS3,ACOX3,LPCAT1,PTEN,CTDNEP1,KBTBD2,LGMN,RDH11,GPAT4,PLPP6,SULT1A1,ABHD16A,TECR,CDS2,SIRT3,DHRS7,PTGR3,PNPLA6,SLC30A5,BCKDK,ACOT9,SYNJ1,NSDHL,CDIPT,PCCA,AGPAT3,IMPA2,DDX20,SLC16A1,GK,GNPAT","18281,11278,28985,8055,10817,30059,17059,26145,21607,25985,8809,16735,2860,18640,9401,10997,15791,26777,9587,18185,4247,30306,15868,21497,19714,5215,8725,10571,20885,28970,5275,17759,1843,33882,21088,33,11177,2077,3575,26965,25507,23406,28917,32036,26046,8810,7150,18646,30550,18986,3574,20886,25535,8855,823,28531,26957,24175,2852,8127,24723,121,25718,9588,19085,21751,9472,17964,20880,23682,11453,13921,4551,1801,14931,21524,28697,16268,19089,16902,17152,11503,13398,1769,8653,326,6051,2743,10922,4289,4416","lipid metabolic process","ABCA3;ABHD12;ABHD16A;ACAD9;ACOT9;ACOX3;ACSS3;AGPAT3;AGPAT4;AGPAT5;AIG1;ALDH1L2;ATP5F1A;BCKDK;CDIPT;CDS2;CLN6;CTDNEP1;DDHD1;DDX20;DGKE;DHCR7;DHRS7;DOLK;EFR3A;ERRFI1;FADS1;FADS2;GBA2;GGCX;GK;GNPAT;GPAT4;GPCPD1;HACD3;HDHD5;HSD17B12;HSD17B7;IMPA2;INPP5K;JAZF1;KAT5;KBTBD2;LDAH;LDLRAP1;LGMN;LPCAT1;LPCAT4;LPGAT1;MARCHF6;MLYCD;NSDHL;NUDT19;NUDT8;OGT;PCCA;PCK2;PDK1;PDK2;PDSS1;PECR;PEDS1;PEX13;PHB2;PIGG;PIGU;PIGX;PLPP6;PNPLA6;PRKCE;PTDSS1;PTEN;PTGR3;PTPMT1;RDH11;SACM1L;SCD;SCD5;SGPL1;SIRT3;SLC16A1;SLC27A3;SLC30A5;SOAT1;SPTLC2;SULT1A1;SYNJ1;TECR;TMEM38B;TYSND1;VAC14",91
NA,"SLIM2 GO BP","GO:0055085","transmembrane transport",505,70,8.264,1.3172,0.397,0.00877095778404592,2.05695297931197,1,0.0803201262275267,0.674806461221662,"ATP5F1A,SLC9A6,SLC30A7,PEX1,SLC25A19,SLC25A10,SLC38A9,SLC23A2,MICU2,NDUFB8,SLC30A5,PRKCE,SLC37A4,ATP13A1,CRBN,SLC4A7,TMEM63B,MPC2,SLC25A12,SLC39A6,INPP5K,MFSD10,WWP2,PHB2,SLC7A6,TIMM50,ATP5F1C,GHITM,ABCA3,CYBA,NNT,SLC35E1,TMEM38B,CLCC1,SLC12A2,SLC7A11,SLC25A3,SLC25A6,ABCB10,SLC25A1,PEX13,STIM2,MCOLN3,SFXN4,SLC25A4,SLC25A14,SLC39A10,NDUFS7,CNNM3,ATP2A2,SLC6A15,TIMM23,NDUFA9,MCU,SLC6A9,SLC37A3,ATP7A,AP4M1,SLC25A21,ABCB1,ANO10,SEC61A1,SLC16A1,SLC25A15,SLC25A24,SLC25A11,CACNB3,ZDHHC13,MEF2A,ATP11C","823,11079,19306,8850,14409,10980,26907,10973,31830,7703,19089,9401,4061,24215,30185,11033,17735,24515,10982,18607,33882,16894,16804,30306,11064,23656,833,17281,33,2577,7863,20803,25535,29675,10911,11059,10989,10992,41,10979,8855,19205,13358,16088,10990,10984,20861,7714,104,812,13621,17312,7693,23526,11056,20651,869,574,14411,40,25519,18276,10922,10985,20662,10981,1403,18413,6993,13554","transmembrane transport","ABCA3;ABCB1;ABCB10;ANO10;AP4M1;ATP11C;ATP13A1;ATP2A2;ATP5F1A;ATP5F1C;ATP7A;CACNB3;CLCC1;CNNM3;CRBN;CYBA;GHITM;INPP5K;MCOLN3;MCU;MEF2A;MFSD10;MICU2;MPC2;NDUFA9;NDUFB8;NDUFS7;NNT;PEX1;PEX13;PHB2;PRKCE;SEC61A1;SFXN4;SLC12A2;SLC16A1;SLC23A2;SLC25A1;SLC25A10;SLC25A11;SLC25A12;SLC25A14;SLC25A15;SLC25A19;SLC25A21;SLC25A24;SLC25A3;SLC25A4;SLC25A6;SLC30A5;SLC30A7;SLC35E1;SLC37A3;SLC37A4;SLC38A9;SLC39A10;SLC39A6;SLC4A7;SLC6A15;SLC6A9;SLC7A11;SLC7A6;SLC9A6;STIM2;TIMM23;TIMM50;TMEM38B;TMEM63B;WWP2;ZDHHC13",70
NA,"SLIM2 GO BP","GO:0042254","ribosome biogenesis",297,54,6.375,1.7278,0.789,3.54243955685175e-05,4.45069755120039,0.0885609889212937,0.00253031396917982,0.0212583358059614,"NOL8,NOP58,IMP4,URB2,NOC4L,NOL9,UTP20,METTL17,LAS1L,DCAF13,TFB1M,UTP25,NOP56,PELP1,FCF1,UTP15,PRKDC,DDX56,NOC2L,PWP2,DDX18,HEATR1,WDR36,MYBBP1A,NSUN4,URB1,NOP9,NOL10,WDR3,NOL6,MDN1,NOL11,TFB2M,GEMIN4,UTP18,UTP4,CUL4B,DDX28,MTREX,TBL3,MTG1,NAT10,METTL15,DHX30,ZCCHC4,DDX52,WDR46,PDCD11,WDR43,WDR75,DDX3X,DDX47,TRMT2B,XPO1","23387,29926,30856,28967,28461,26265,17897,19280,25726,24535,17037,28440,15911,30134,20220,25758,9413,18193,24517,9711,2741,25517,30696,7546,31802,17344,19826,25862,12755,19910,18302,24557,18559,15717,24274,1983,2555,17330,18734,11587,32159,29830,26606,16716,22917,20038,13923,13408,28945,25725,2745,18682,25748,12825","ribosome biogenesis","CUL4B;DCAF13;DDX18;DDX28;DDX3X;DDX47;DDX52;DDX56;DHX30;FCF1;GEMIN4;HEATR1;IMP4;LAS1L;MDN1;METTL15;METTL17;MTG1;MTREX;MYBBP1A;NAT10;NOC2L;NOC4L;NOL10;NOL11;NOL6;NOL8;NOL9;NOP56;NOP58;NOP9;NSUN4;PDCD11;PELP1;PRKDC;PWP2;TBL3;TFB1M;TFB2M;TRMT2B;URB1;URB2;UTP15;UTP18;UTP20;UTP25;UTP4;WDR3;WDR36;WDR43;WDR46;WDR75;XPO1;ZCCHC4",54
NA,"Direct GO Biological Processes","GO:0051301","cell division",326,46,5.431,1.3409,0.423,0.0227280243708572,1.64343831359861,1,0.121590038610288,1,"ANAPC4,PARD3B,SNX33,CLTC,TIMELESS,PDS5B,NCAPD3,INTS13,MPLKIP,PLK1,KIF20B,MAU2,REEP4,CCNY,CCNB1,EVI5,STAG1,CLASP2,ANAPC5,ANAPC16,CCDC66,NEK3,ZW10,TTC28,KLHL9,SGO2,BUB1B,PRKCE,NCAPD2,LATS2,CABLES1,REEP3,CCNT2,CDC16,MAD2L2,ANKLE2,MIS18BP1,NEDD1,NUMA1,AURKB,HAUS5,CEP63,SPICE1,CCNA2,NEK4,DCLRE1A","19990,14446,28468,2092,11813,20418,28952,20174,16002,9077,7212,29140,26176,23354,1579,3501,11354,17078,15713,26976,27709,7746,13194,29179,18732,30812,1149,9401,24305,6515,25097,23711,1600,1720,6764,29101,20190,7723,8059,11390,29130,25815,25083,1578,11399,17660","cell division","ANAPC16;ANAPC4;ANAPC5;ANKLE2;AURKB;BUB1B;CABLES1;CCDC66;CCNA2;CCNB1;CCNT2;CCNY;CDC16;CEP63;CLASP2;CLTC;DCLRE1A;EVI5;HAUS5;INTS13;KIF20B;KLHL9;LATS2;MAD2L2;MAU2;MIS18BP1;MPLKIP;NCAPD2;NCAPD3;NEDD1;NEK3;NEK4;NUMA1;PARD3B;PDS5B;PLK1;PRKCE;REEP3;REEP4;SGO2;SNX33;SPICE1;STAG1;TIMELESS;TTC28;ZW10",46
NA,"SLIM2 GO BP","GO:0006913","nucleocytoplasmic transport",251,36,4.25,1.363,0.447,0.0327370067692621,1.484961031797,1,0.147345144477171,1,"TNPO1,DDX19A,XPO1,NUP160,POM121C,TNPO3,NUP214,NUP85,NOL6,DDX56,IPO11,NUP93,CSE1L,SYK,PCID2,XPO5,RBM15B,DHX9,TNPO2,WASHC4,AAAS,SFN,NF1,NCBP1,PTPN14,XPO7,STRADA,PHB2,RITA1,GLE1,NUP107,KPNA5,FAM53C,THOC2,NUP155,NOP9","6401,25628,12825,18017,34005,17103,8064,8734,19910,18193,20628,28958,2431,11491,25653,17675,24303,2750,19998,29174,13666,10773,7765,7658,9647,14108,30172,30306,25925,4315,29914,6398,1336,19073,8063,19826","nucleocytoplasmic transport","AAAS;CSE1L;DDX19A;DDX56;DHX9;FAM53C;GLE1;IPO11;KPNA5;NCBP1;NF1;NOL6;NOP9;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;PCID2;PHB2;POM121C;PTPN14;RBM15B;RITA1;SFN;STRADA;SYK;THOC2;TNPO1;TNPO2;TNPO3;WASHC4;XPO1;XPO5;XPO7",36
NA,"Direct GO Biological Processes","GO:0006486","protein glycosylation",88,19,2.243,2.0518,1.037,0.00168901026307492,2.77236771148094,1,0.0324809665975946,0.272887595628181,"POMT1,EDEM3,STT3A,ALG1,KRTCAP2,OGT,ALG8,ENTPD5,MGAT4B,COG3,RPN1,UGGT1,ALG3,ALG9,DDOST,ALG5,ALG2,RPN2,GALNT16","9202,16787,6172,18294,28942,8127,23161,3367,7048,18619,10381,15663,23056,15672,2728,20266,23159,10382,23233","protein glycosylation","ALG1;ALG2;ALG3;ALG5;ALG8;ALG9;COG3;DDOST;EDEM3;ENTPD5;GALNT16;KRTCAP2;MGAT4B;OGT;POMT1;RPN1;RPN2;STT3A;UGGT1",19
NA,"Direct GO Biological Processes","GO:0008104","protein localization",121,19,2.243,1.4922,0.577,0.0482852278520003,1.31618571487209,1,0.184859218422666,1,"AKAP11,STK11IP,PLEC,NBEA,AMOT,AP4M1,ZDHHC18,CTNNB1,SIN3A,PARD3B,WNT5A,DISC1,CEP250,CCDC120,SFN,LATS2,CEP128,ULK1,NIN","369,19184,9069,7648,17810,574,20712,2514,19353,14446,12784,2888,1859,28910,10773,6515,20359,12558,14906","protein localization","AKAP11;AMOT;AP4M1;CCDC120;CEP128;CEP250;CTNNB1;DISC1;LATS2;NBEA;NIN;PARD3B;PLEC;SFN;SIN3A;STK11IP;ULK1;WNT5A;ZDHHC18",19
NA,"Direct GO Biological Processes","GO:0006487","protein N-linked glycosylation",39,16,1.889,3.8986,1.963,7.17026494428249e-07,6.14446479667334,0.00179256623607062,0.000122458805869663,0.00102883296274025,"ALG1,RPN2,ALG2,DOLK,ALG11,STT3A,ALG8,ALG3,RFT1,ENTPD5,ALG5,RPN1,ALG9,MGAT4B,KRTCAP2,DDOST","18294,10382,23159,23406,32456,6172,23161,23056,30220,3367,20266,10381,15672,7048,28942,2728","protein n linked glycosylation","ALG1;ALG11;ALG2;ALG3;ALG5;ALG8;ALG9;DDOST;DOLK;ENTPD5;KRTCAP2;MGAT4B;RFT1;RPN1;RPN2;STT3A",16
NA,"Direct GO Biological Processes","GO:0051028","mRNA transport",89,16,1.889,1.7084,0.773,0.0221719164074117,1.65419676745411,1,0.119460756505451,1,"XPO1,NUP107,NUP155,NUP85,GLE1,NUP160,NUP214,THOC2,NUP93,POM121C,NCBP1,PCID2,AAAS,SENP2,DHX9,LRPPRC","12825,29914,8063,8734,4315,18017,8064,19073,28958,34005,7658,25653,13666,23116,2750,15714","mrna transport","AAAS;DHX9;GLE1;LRPPRC;NCBP1;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;PCID2;POM121C;SENP2;THOC2;XPO1",16
