"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"REACTOME pathway","R-HSA-8953854","Metabolism of RNA",615,79,9.327,1.2207,0.288,0.0321776933318942,1.49244509165822,1,0.145739181727055,1,"GLE1,CPSF3,SUPV3L1,NUP107,NUP93,NOL9,WDR3,IMP4,PRPF6,CPSF1,HEATR1,AAAS,THADA,PAN2,LAS1L,PDCD11,RPUSD3,NOL11,UTP18,NCBP1,DHX9,SMU1,DDX23,PAPOLG,PRPF8,UTP4,NUP160,PELP1,CRNKL1,PTBP1,TNPO1,CPSF2,XPO1,THOC2,PRORP,NUP85,DDX52,WDR36,MTO1,GEMIN4,MTPAP,WDR46,OSGEPL1,LRPPRC,WDR75,SNRNP200,NSUN4,SENP3,TFB1M,CNOT2,DHX15,NOP58,PWP2,XAB2,NUP155,NOC4L,TBL3,CTU1,MTREX,UTP20,TEX10,NUP214,TRMT11,AQR,WDR82,DDX20,PAN3,DCAF13,FCF1,HNRNPM,NAT10,CNOT8,YTHDC2,NOP56,UTP15,WDR43,UTP25,DDX47,POLR2A","4315,2326,11471,29914,28958,26265,12755,30856,15860,2324,25517,13666,19217,20074,25726,13408,28437,24557,24274,7658,2750,18247,17347,14982,17340,1983,18017,30134,15762,9583,6401,2325,12825,19073,19958,8734,20038,30696,19261,15717,25532,13923,23075,15714,25725,30859,31802,17862,17037,7878,2738,29926,9711,14089,8063,28461,11587,29590,18734,17897,25988,8064,21080,29513,28826,2743,29991,24535,20220,5046,29830,9207,24721,15911,25758,28945,28440,18682,9187","metabolism of rna","AAAS;AQR;CNOT2;CNOT8;CPSF1;CPSF2;CPSF3;CRNKL1;CTU1;DCAF13;DDX20;DDX23;DDX47;DDX52;DHX15;DHX9;FCF1;GEMIN4;GLE1;HEATR1;HNRNPM;IMP4;LAS1L;LRPPRC;MTO1;MTPAP;MTREX;NAT10;NCBP1;NOC4L;NOL11;NOL9;NOP56;NOP58;NSUN4;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;OSGEPL1;PAN2;PAN3;PAPOLG;PDCD11;PELP1;POLR2A;PRORP;PRPF6;PRPF8;PTBP1;PWP2;RPUSD3;SENP3;SMU1;SNRNP200;SUPV3L1;TBL3;TEX10;TFB1M;THADA;THOC2;TNPO1;TRMT11;UTP15;UTP18;UTP20;UTP25;UTP4;WDR3;WDR36;WDR43;WDR46;WDR75;WDR82;XAB2;XPO1;YTHDC2",79
NA,"REACTOME pathway","R-HSA-556833","Metabolism of lipids",349,54,6.375,1.4704,0.556,0.00218295369583219,2.66095547631919,1,0.0376371326867619,0.316206927351414,"MIGA1,SLC27A3,NSDHL,PECR,DDHD1,PTPN13,TECR,MED13L,HACD3,AGPAT4,GK,GNPAT,MED12,GPAT4,SEC24B,SIN3A,AGPAT5,LPCAT1,PRKACG,SGPL1,NUDT19,SACM1L,HSD17B12,GPCPD1,FAM120B,SCD,PTDSS1,MLYCD,INPP5K,GBA2,FADS1,CDS2,MED13,LPCAT4,PNPLA6,LDLRAP1,VAC14,SCD5,LGMN,SPTLC2,PLPP6,CDK19,HSD17B7,AGPAT3,DHCR7,PTPMT1,ACOX3,LPGAT1,CDIPT,ACOT9,MTMR12,ACSS3,PCCA,SYNJ1","24741,10997,13398,18281,19714,9646,4551,22962,24175,20885,4289,4416,11957,20880,10704,19353,20886,25718,9382,10817,32036,17059,18646,26957,21109,10571,9587,7150,33882,18986,3574,1801,22474,30059,16268,18640,25507,21088,9472,11278,23682,19338,5215,326,2860,26965,121,28985,1769,17152,18191,24723,8653,11503","metabolism of lipids","ACOT9;ACOX3;ACSS3;AGPAT3;AGPAT4;AGPAT5;CDIPT;CDK19;CDS2;DDHD1;DHCR7;FADS1;FAM120B;GBA2;GK;GNPAT;GPAT4;GPCPD1;HACD3;HSD17B12;HSD17B7;INPP5K;LDLRAP1;LGMN;LPCAT1;LPCAT4;LPGAT1;MED12;MED13;MED13L;MIGA1;MLYCD;MTMR12;NSDHL;NUDT19;PCCA;PECR;PLPP6;PNPLA6;PRKACG;PTDSS1;PTPMT1;PTPN13;SACM1L;SCD;SCD5;SEC24B;SGPL1;SIN3A;SLC27A3;SPTLC2;SYNJ1;TECR;VAC14",54
NA,"REACTOME pathway","R-HSA-68886","M Phase",261,38,4.486,1.3836,0.468,0.0233620345257724,1.63148933857844,1,0.124266141094534,1,"SGO2,PPP2R1B,AURKB,CLASP2,ANAPC4,NUP85,BUB1B,NUP214,NCAPD2,NUP160,ANAPC16,NUMA1,CDC16,TUBGCP2,MAU2,ANAPC5,PPP2R5B,NUP155,PHF8,CEP78,CCNB1,AAAS,KIF20A,NCAPD3,NEDD1,PLK1,ZW10,CEP250,CTDNEP1,NUP107,XPO1,NUP93,ANKLE2,TUBGCP6,TNPO1,USO1,STAG1,HAUS5","30812,9303,11390,17078,19990,8734,1149,8064,24305,18017,26976,8059,1720,18599,29140,15713,9310,8063,20672,25740,1579,13666,9787,28952,7723,9077,13194,1859,19085,29914,12825,28958,29101,18127,6401,30904,11354,29130","m phase","AAAS;ANAPC16;ANAPC4;ANAPC5;ANKLE2;AURKB;BUB1B;CCNB1;CDC16;CEP250;CEP78;CLASP2;CTDNEP1;HAUS5;KIF20A;MAU2;NCAPD2;NCAPD3;NEDD1;NUMA1;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;PHF8;PLK1;PPP2R1B;PPP2R5B;SGO2;STAG1;TNPO1;TUBGCP2;TUBGCP6;USO1;XPO1;ZW10",38
NA,"REACTOME pathway","R-HSA-446203","Asparagine N-linked glycosylation",202,29,3.424,1.3643,0.448,0.0507586697447498,1.29448976817869,1,0.185844236686654,1,"TMEM115,ALG1,ALG2,STT3A,USO1,DOLK,DERL1,SEC24B,ALG5,COG3,AMFR,MGAT4B,UGGT1,RFT1,RPN1,ALG3,SCFD1,ALG9,KDELR1,DERL2,TRAPPC9,DDOST,COG2,ALG8,ALG11,RPN2,MARCHF6,SEC22A,EDEM3","30055,18294,23159,6172,30904,23406,28454,10704,20266,18619,463,7048,15663,30220,10381,23056,20726,15672,6304,17943,30832,2728,6546,23161,32456,10382,30550,20260,16787","asparagine n linked glycosylation","ALG1;ALG11;ALG2;ALG3;ALG5;ALG8;ALG9;AMFR;COG2;COG3;DDOST;DERL1;DERL2;DOLK;EDEM3;KDELR1;MARCHF6;MGAT4B;RFT1;RPN1;RPN2;SCFD1;SEC22A;SEC24B;STT3A;TMEM115;TRAPPC9;UGGT1;USO1",29
NA,"KEGG Pathway H.sap","path:hsa04110","Cell cycle",123,23,2.715,1.777,0.829,0.00426206509099667,2.37037992195058,1,0.0537783510001272,0.451816754195976,"AURKB,PDS5B,PLK1,PRKDC,CCNA2,PKMYT1,SKP2,DBF4,ORC5,BUB1B,ANAPC16,PPP2R1B,CCNB1,MAD2L2,STAG1,ANAPC4,ATR,PPP2R5B,ANAPC5,MAU2,SFN,CDC16,ORC4","11390,20418,9077,9413,1578,29650,10901,17364,8491,1149,26976,9303,1579,6764,11354,19990,882,9310,15713,29140,10773,1720,8490","cell cycle","ANAPC16;ANAPC4;ANAPC5;ATR;AURKB;BUB1B;CCNA2;CCNB1;CDC16;DBF4;MAD2L2;MAU2;ORC4;ORC5;PDS5B;PKMYT1;PLK1;PPP2R1B;PPP2R5B;PRKDC;SFN;SKP2;STAG1",23
NA,"KEGG Pathway H.sap","path:hsa03013","Nucleocytoplasmic transport",92,22,2.597,2.2724,1.184,0.000164312103345432,3.78433044494879,0.410780258363579,0.00733536175649249,0.0616277605771864,"NUP93,NUP214,TNPO2,GLE1,XPO7,CSE1L,NCBP1,NUP160,NUP107,NUP85,XPO1,IPO11,KPNA5,TNPO3,NUP155,DDX19A,THOC2,POM121C,AAAS,SENP2,TNPO1,XPO5","28958,8064,19998,4315,14108,2431,7658,18017,29914,8734,12825,20628,6398,17103,8063,25628,19073,34005,13666,23116,6401,17675","nucleocytoplasmic transport","AAAS;CSE1L;DDX19A;GLE1;IPO11;KPNA5;NCBP1;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;POM121C;SENP2;THOC2;TNPO1;TNPO2;TNPO3;XPO1;XPO5;XPO7",22
NA,"REACTOME pathway","R-HSA-196854","Metabolism of vitamins and cofactors",102,19,2.243,1.7702,0.824,0.00927877101664434,2.03250954275047,1,0.0807153973905423,0.678127316743999,"PCCA,SLC25A19,ALDH1L2,MTHFD1L,DCAKD,RDH11,NUDT12,SLC23A2,VKORC1,NUDT8,LDLRAP1,COQ8B,FPGS,NMRK1,COQ5,PDSS1,THTPA,MOCS3,COASY","8653,14409,26777,21055,26238,17964,18826,10973,23663,8055,18640,19041,3824,26057,28722,17759,18987,15765,29932","metabolism of vitamins and cofactors","ALDH1L2;COASY;COQ5;COQ8B;DCAKD;FPGS;LDLRAP1;MOCS3;MTHFD1L;NMRK1;NUDT12;NUDT8;PCCA;PDSS1;RDH11;SLC23A2;SLC25A19;THTPA;VKORC1",19
NA,"KEGG Pathway H.sap","path:hsa03008","Ribosome biogenesis in eukaryotes",70,18,2.125,2.4436,1.289,0.000242363880354185,3.61553210287084,0.605909700885464,0.0093176199957016,0.0782816271789269,"XPO1,WDR75,UTP4,NAT10,TBL3,UTP18,IMP4,NOP56,UTP15,NOL6,NOP58,WDR3,HEATR1,PWP2,MDN1,WDR43,FCF1,WDR36","12825,25725,1983,29830,11587,24274,30856,15911,25758,19910,29926,12755,25517,9711,18302,28945,20220,30696","ribosome biogenesis in eukaryotes","FCF1;HEATR1;IMP4;MDN1;NAT10;NOL6;NOP56;NOP58;PWP2;TBL3;UTP15;UTP18;UTP4;WDR3;WDR36;WDR43;WDR75;XPO1",18
NA,"REACTOME pathway","R-HSA-2990846","SUMOylation",108,18,2.125,1.5838,0.663,0.0321792113253338,1.49242460415411,1,0.145739181727055,1,"STAG1,SMC6,AAAS,SIN3A,NUP155,NUP107,PCGF2,SCMH1,NUP85,PIAS1,SENP1,NUP93,SENP2,RNF168,NUP214,NUP160,AURKB,NOP58","11354,20466,13666,19353,8063,29914,12929,19003,8734,2752,17927,28958,23116,26661,8064,18017,11390,29926","sumoylation","AAAS;AURKB;NOP58;NUP107;NUP155;NUP160;NUP214;NUP85;NUP93;PCGF2;PIAS1;RNF168;SCMH1;SENP1;SENP2;SIN3A;SMC6;STAG1",18
NA,"REACTOME pathway","R-HSA-425407","SLC-mediated transmembrane transport",58,13,1.535,2.13,1.091,0.00624860404222537,2.20421699457165,1,0.0676255848725689,0.568153758705921,"SLC30A5,SLC25A1,SLC4A7,SLC6A15,SLC12A2,SLC25A11,SLC9A6,SLC25A10,SLC39A10,SLC16A1,SLC7A6,SLC7A11,SLC6A9","19089,10979,11033,13621,10911,10981,11079,10980,20861,10922,11064,11059,11056","slc mediated transmembrane transport","SLC12A2;SLC16A1;SLC25A1;SLC25A10;SLC25A11;SLC30A5;SLC39A10;SLC4A7;SLC6A15;SLC6A9;SLC7A11;SLC7A6;SLC9A6",13
