"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Biological Processes","GO:0110076","negative regulation of ferroptosis",11,2,7.143,52.2662,5.708,0.000629552874961297,3.20096778844798,0.387175018101197,0.0830112387229539,0.581049676937617,"HMOX1,NFE2L2","5013,7782"
NA,"Direct GO Biological Processes","GO:0045088","regulation of innate immune response",12,2,7.143,47.9107,5.582,0.000753838773678354,3.12272152838617,0.463610845812188,0.0830112387229539,0.581049676937617,"IFI35,NFE2L2","5399,7782"
NA,"Direct GO Biological Processes","GO:0002376","immune system process",216,4,14.286,5.3234,2.412,0.00622760755256525,2.20567876333666,1,0.0830112387229539,0.581049676937617,"IFI35,TRIM23,ORAI1,C4BPA","5399,660,25896,1325"
NA,"Direct GO Biological Processes","GO:0006811","monoatomic ion transport",139,3,10.714,6.2043,2.633,0.01204140994539,1.9193226579576,1,0.0830112387229539,0.581049676937617,"SLC39A7,ORAI1,SLC26A11","4927,25896,14471"
NA,"Direct GO Biological Processes","GO:0045766","positive regulation of angiogenesis",52,2,7.143,11.0563,3.467,0.0139001078975816,1.85698182858458,1,0.0830112387229539,0.581049676937617,"NFE2L2,HMOX1","7782,5013"
NA,"Direct GO Biological Processes","GO:0045087","innate immune response",192,3,10.714,4.4916,2.167,0.0282514944001988,1.54895857465535,1,0.0927448818946489,0.649181779377567,"IFI35,TRIM23,C4BPA","5399,660,1325"
NA,"Direct GO Biological Processes","GO:0006979","response to oxidative stress",91,2,7.143,6.3179,2.659,0.0395067007105993,1.40332923766884,1,0.0927448818946489,0.649181779377567,"HMOX1,NFE2L2","5013,7782"
NA,"Direct GO Biological Processes","GO:0055085","transmembrane transport",116,2,7.143,4.9563,2.309,0.0610344364858162,1.21442506079416,1,0.106636870564707,0.746420847881269,"SLC39A7,SLC26A11","4927,14471"
NA,"SLIM2 GO BP","GO:0002376","immune system process",1076,7,25,1.8701,0.903,0.0705458743316164,1.15152837960495,1,0.116489230075064,0.815383923226666,"TRIM23,NFE2L2,C4BPA,IFI35,SLC39A7,ORAI1,HMOX1","660,7782,1325,5399,4927,25896,5013"
NA,"SLIM2 GO BP","GO:0055085","transmembrane transport",505,4,14.286,2.2769,1.187,0.0951018971278458,1.0218108195091,1,0.148823579474873,1,"ORAI1,SLC39A7,NFE2L2,SLC26A11","25896,4927,7782,14471"
NA,"Direct GO Biological Processes","GO:0035556","intracellular signal transduction",207,2,7.143,2.7774,1.474,0.161314883650626,0.792325560762718,1,0.22294079425873,1,"PIDD1,HMOX1","16491,5013"
NA,"Direct GO Biological Processes","GO:0006915","apoptotic process",402,3,10.714,2.1453,1.101,0.162007406925383,0.790465129202521,1,0.223395863809665,1,"HMOX1,PIDD1,BCL2L12","5013,16491,13787"
NA,"Direct GO Biological Processes","GO:0016192","vesicle-mediated transport",221,2,7.143,2.6015,1.379,0.178688011556495,0.747904583977364,1,0.240466361284998,1,"SFT2D2,TRIM23","25140,660"
