"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"PANTHER Pathway H.sap","P00012","Cadherin signaling pathway",30,4,8.163,21.902,4.453,2.95727529729144e-05,4.52910824445279,0.0369659412161429,0.0184829706080715,0.142476245860877,"FAT1,WNT5A,ERBB2,PCDHGA11","3595,12784,3430,8698"
NA,"KEGG Pathway H.sap","path:hsa05205","Proteoglycans in cancer",116,4,8.163,5.6643,2.502,0.00526700863236179,2.27843596985516,1,0.090772125330803,0.699718239031234,"SDC4,FN1,WNT5A,ERBB2","10661,3778,12784,3430"
NA,"KEGG Pathway H.sap","path:hsa04512","ECM-receptor interaction",39,2,4.082,8.4239,3.074,0.0233125336737747,1.63241052353039,1,0.0957692362438261,0.738238540671871,"SDC4,FN1","10661,3778"
NA,"PANTHER Pathway H.sap","P00057","Wnt signaling pathway",110,3,6.122,4.48,2.163,0.0290417040195101,1.53697790503259,1,0.10079622701952,0.776989171665428,"PCDHGA11,FAT1,WNT5A","8698,3595,12784"
NA,"KEGG Pathway H.sap","path:hsa05226","Gastric cancer",69,2,4.082,4.7613,2.251,0.0658181153343621,1.18165455764792,1,0.140877815356083,1,"ERBB2,WNT5A","3430,12784"
NA,"KEGG Pathway H.sap","path:hsa05224","Breast cancer",70,2,4.082,4.6933,2.231,0.0674974496829913,1.17071263619902,1,0.143937819087793,1,"ERBB2,WNT5A","3430,12784"
NA,"KEGG Pathway H.sap","path:hsa04360","Axon guidance",93,2,4.082,3.5326,1.821,0.109630240604286,0.960069632749062,1,0.182521092227653,1,"UNC5B,WNT5A","12568,12784"
NA,"REACTOME pathway","R-HSA-5673001","RAF/MAP kinase cascade",101,2,4.082,3.2528,1.702,0.125593748748882,0.901031976454151,1,0.199146081011177,1,"ERBB2,RCE1","3430,13721"
NA,"REACTOME pathway","R-HSA-196854","Metabolism of vitamins and cofactors",102,2,4.082,3.2209,1.687,0.127627719753004,0.894054989969589,1,0.20168729417352,1,"SDC4,NUDT8","10661,8055"
NA,"REACTOME pathway","R-HSA-5684996","MAPK1/MAPK3 signaling",103,2,4.082,3.1896,1.673,0.129669680708593,0.887161558536136,1,0.20465543041129,1,"ERBB2,RCE1","3430,13721"
NA,"KEGG Pathway H.sap","path:hsa04820","Cytoskeleton in muscle cells",104,2,4.082,3.1589,1.659,0.131719464429574,0.880350043794882,1,0.206845892634381,1,"SDC4,FN1","10661,3778"
NA,"KEGG Pathway H.sap","path:hsa04510","Focal adhesion",114,2,4.082,2.8818,1.527,0.152611944342295,0.816411474513865,1,0.227643115069055,1,"ERBB2,FN1","3430,3778"
NA,"REACTOME pathway","R-HSA-5683057","MAPK family signaling cascades",119,2,4.082,2.7608,1.465,0.163296239645369,0.787023815998602,1,0.239016744211605,1,"RCE1,ERBB2","13721,3430"
