"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"Direct GO Cellular Component","GO:0005743","mitochondrial inner membrane",349,17,13.386,3.0872,1.626,3.11670615566686e-05,4.50630414125477,0.0779176538916714,0.00498118707868701,0.0418492522749532,"ATP5MF,APOOL,NDUFA1,PHB2,SLC25A1,STOML2,ATP5F1A,TRAP1,TIMM23,PLA2G4A,ABCB10,SLC25A12,MAIP1,ATP5F1C,SLC25A13,ALDH18A1,ACOT9","848,24009,7683,30306,10979,14559,823,16264,17312,9035,41,10982,26198,833,10983,9722,17152"
NA,"SLIM2 GO CC","GO:0005739","mitochondrion",1247,36,28.346,1.8297,0.872,0.000146129578556987,3.83526186822782,0.365323946392468,0.013047283799731,0.109616254642212,"ATP5MF,NUDT19,GLUD1,ACOT9,ABCB10,STOML2,ALDH18A1,APOOL,ABCD3,CLPB,ATP5F1C,TRAP1,SLC25A1,SLC25A13,TIMM23,LIG3,MAIP1,TOMM40L,TEX10,SUPV3L1,NIPSNAP1,NDUFA1,SLC25A12,FAM185A,ECHS1,LARS2,SLC30A9,PHB2,PLA2G4A,PYCR1,TEFM,NTHL1,CISD1,ATP5F1A,LONP1,PRKCA","848,32036,4335,17152,41,14559,9722,24009,67,30664,833,16264,10979,10983,17312,6600,26198,25756,25988,11471,7827,7683,10982,22412,3151,17095,1329,30306,9035,9721,26223,8028,30880,823,9479,9393"
NA,"Direct GO Cellular Component","GO:0005739","mitochondrion",1209,35,27.559,1.8348,0.876,0.000177021502602341,3.75197397717292,0.442553756505853,0.0137237205417019,0.115299311996936,"NTHL1,SLC25A12,ABCB10,TOMM40L,ATP5F1C,NUDT19,PYCR1,TRAP1,TEX10,LIG3,SUPV3L1,PHB2,TEFM,PRKCA,LONP1,ACOT9,APOOL,ECHS1,TIMM23,ALDH18A1,SLC25A13,CISD1,NDUFA1,NIPSNAP1,LARS2,CLPB,ATP5F1A,FAM185A,ABCD3,ATP5MF,STOML2,GLUD1,SLC25A1,SLC30A9,MAIP1","8028,10982,41,25756,833,32036,9721,16264,25988,6600,11471,30306,26223,9393,9479,17152,24009,3151,17312,9722,10983,30880,7683,7827,17095,30664,823,22412,67,848,14559,4335,10979,1329,26198"
NA,"Direct GO Cellular Component","GO:0042589","zymogen granule membrane",8,3,2.362,23.7667,4.571,0.00020276727370898,3.69300213806901,0.50691818427245,0.0137237205417019,0.115299311996936,"TMED10,ANXA4,TMED2","16998,542,16996"
NA,"Direct GO Cellular Component","GO:0005759","mitochondrial matrix",352,15,11.811,2.7008,1.433,0.000407739639398611,3.38961706550333,1,0.0176896836420228,0.148619198938872,"ATP5F1C,LONP1,ACOT9,LIG3,SUPV3L1,ECHS1,TRAP1,MAIP1,PYCR1,ATP5F1A,NIPSNAP1,LARS2,GLUD1,TEFM,ALDH18A1","833,9479,17152,6600,11471,3151,16264,26198,9721,823,7827,17095,4335,26223,9722"
NA,"Direct GO Cellular Component","GO:0008250","oligosaccharyltransferase complex",11,3,2.362,17.2849,4.111,0.000577044633327666,3.23879059367575,1,0.0189817313594627,0.159474288302967,"RPN1,STT3B,STT3A","10381,30611,6172"
NA,"Direct GO Cellular Component","GO:0005615","extracellular space",368,15,11.811,2.5833,1.369,0.000649950705401246,3.18711958056338,1,0.0190116866163185,0.159725956245028,"PLEKHH3,C4BPA,MTMR4,RNASE4,UTP11,TIMP3,HABP2,EDIL3,SMARCA4,CHID1,ABCA3,VTN,SERPINF1,TSKU,SERPINA7","26105,1325,7452,10047,24329,11822,4798,3173,11100,28474,33,12724,8824,28850,11583"
NA,"Direct GO Cellular Component","GO:0000438","core TFIIH complex portion of holo TFIIH complex",3,2,1.575,42.252,5.401,0.000733406404164586,3.13465530206399,1,0.0190116866163185,0.159725956245028,"GTF2H3,GTF2H4","4657,4658"
NA,"Direct GO Cellular Component","GO:0045259","proton-transporting ATP synthase complex",14,3,2.362,13.581,3.764,0.0012296296860814,2.91022566051668,1,0.026500639786237,0.222644109193791,"ATP5F1C,ATP5MF,ATP5F1A","833,848,823"
NA,"Direct GO Cellular Component","GO:0032993","protein-DNA complex",31,4,3.15,8.1778,3.032,0.00133717322415149,2.8738123283999,1,0.0272864889150019,0.22924639052156,"PRKDC,FOS,HMGA2,NPM1","9413,3796,5009,7910"
NA,"Direct GO Cellular Component","GO:0035976","transcription factor AP-1 complex",4,2,1.575,31.689,4.986,0.0014516412102781,2.83814071121939,1,0.0272864889150019,0.22924639052156,"JUN,FOS","6204,3796"
NA,"Direct GO Cellular Component","GO:0031526","brush border membrane",17,3,2.362,11.1843,3.483,0.00221902173805704,2.65383844329662,1,0.0354202380273059,0.29758177186036,"SLC46A1,PEX19,SLC19A1","30521,9713,10937"
NA,"Direct GO Cellular Component","GO:0097165","nuclear stress granule",5,2,1.575,25.3512,4.664,0.00239440809064588,2.62080182869504,1,0.0354202380273059,0.29758177186036,"SYMPK,DHX9","22935,2750"
NA,"Direct GO Cellular Component","GO:0005604","basement membrane",37,4,3.15,6.8517,2.776,0.00260943764253919,2.58345307697473,1,0.0383740829785175,0.322398386974711,"SERPINF1,ADAMTS1,TIMP3,VTN","8824,217,11822,12724"
NA,"Direct GO Cellular Component","GO:0000127","transcription factor TFIIIC complex",6,2,1.575,21.126,4.401,0.00355455399530034,2.4492148842539,1,0.0423161189916707,0.355517251411115,"GTF3C1,GTF3C3","4664,4666"
NA,"Direct GO Cellular Component","GO:0160227","oligosaccharyltransferase complex B",7,2,1.575,18.108,4.179,0.00492509264103761,2.30758559600636,1,0.0517341663974539,0.434642615625698,"RPN1,STT3B","10381,30611"
NA,"Direct GO Cellular Component","GO:0005778","peroxisomal membrane",45,4,3.15,5.6336,2.494,0.0053433722088539,2.27218457265947,1,0.0556601271755615,0.467626424591151,"SLC25A17,PEX19,DHRS7B,ABCD3","10987,9713,24547,67"
NA,"Direct GO Cellular Component","GO:0005789","endoplasmic reticulum membrane",596,18,14.173,1.9141,0.937,0.00556562306608152,2.25448620976339,1,0.0574961060545612,0.483051330756088,"STT3A,SACM1L,TBC1D20,EMC2,PIGX,TMED10,CYBC1,PLA2G4A,ICMT,STT3B,LPGAT1,SMPD4,SEC63,SLC37A3,RPN1,DHRS7B,TMED2,NCLN","6172,17059,16133,28963,26046,16998,28672,9035,5350,30611,28985,32949,21082,20651,10381,24547,16996,26923"
NA,"Direct GO Cellular Component","GO:0005783","endoplasmic reticulum",893,24,18.898,1.7033,0.768,0.00603423480722603,2.21937779434358,1,0.0608539428540619,0.511262067895772,"SMPD4,GLUD1,SLC30A9,SLC37A3,PRKCA,SEC63,DHRS7B,SLC26A11,EMC2,NCLN,STT3A,TMED2,TBC1D20,RPN1,SACM1L,PIGX,FOS,LPGAT1,CYBC1,PLA2G4A,TMED10,ICMT,STT3B,VTN","32949,4335,1329,20651,9393,21082,24547,14471,28963,26923,6172,16996,16133,10381,17059,26046,3796,28985,28672,9035,16998,5350,30611,12724"
NA,"Direct GO Cellular Component","GO:0031089","platelet dense granule lumen",8,2,1.575,15.8445,3.986,0.00649920109681381,2.18714002498317,1,0.0608539428540619,0.511262067895772,"SPP2,TIMP3","11256,11822"
