"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
NA,"REACTOME pathway","R-HSA-1369062","ABC transporters in lipid homeostasis",5,3,2.362,38.0268,5.249,3.74908897264425e-05,4.42607425286468,0.0937272243161062,0.00498118707868701,0.0418492522749532,"PEX19,ABCD3,ABCA3","9713,67,33"
NA,"REACTOME pathway","R-HSA-382551","Transport of small molecules",242,13,10.236,3.4046,1.767,0.000107552719755821,3.96837860284964,0.268881799389554,0.0112034083078981,0.0941250053872937,"MAIP1,PEX19,SLC25A1,STOML2,ABCA3,SLC46A1,ABCD3,PHB2,ANO10,PRKACG,SLC26A11,SLC7A2,ABCB10","26198,9713,10979,14559,33,30521,67,30306,25519,9382,14471,11060,41"
NA,"KEGG Pathway H.sap","md:hsa_M00072","N-glycosylation by oligosaccharyltransferase",8,3,2.362,23.7667,4.571,0.00020276727370898,3.69300213806901,0.50691818427245,0.0137237205417019,0.115299311996936,"STT3A,RPN1,STT3B","6172,10381,30611"
NA,"REACTOME pathway","R-HSA-9609507","Protein localization",114,8,6.299,4.4476,2.153,0.000418435082621406,3.37837191030199,1,0.0176896836420228,0.148619198938872,"ATP5F1A,SLC25A12,NUDT19,PEX19,SLC25A13,TIMM23,ABCD3,SLC25A17","823,10982,32036,9713,10983,17312,67,10987"
NA,"REACTOME pathway","R-HSA-8964539","Glutamate and glutamine metabolism",10,3,2.362,19.0134,4.249,0.000424552407408548,3.37206869212555,1,0.0176896836420228,0.148619198938872,"GLUD1,PYCR1,ALDH18A1","4335,9721,9722"
NA,"KEGG Pathway H.sap","path:hsa05031","Amphetamine addiction",24,4,3.15,10.563,3.401,0.00049177855058748,3.30823041737169,1,0.0189817313594627,0.159474288302967,"FOS,PRKCA,JUN,PRKACG","3796,9393,6204,9382"
NA,"REACTOME pathway","R-HSA-9931295","PD-L1(CD274) glycosylation and translocation to plasma membrane",11,3,2.362,17.2849,4.111,0.000577044633327666,3.23879059367575,1,0.0189817313594627,0.159474288302967,"STT3B,STT3A,RPN1","30611,6172,10381"
NA,"KEGG Pathway H.sap","md:hsa_M00158","F-type ATPase, eukaryotes",11,3,2.362,17.2849,4.111,0.000577044633327666,3.23879059367575,1,0.0189817313594627,0.159474288302967,"ATP5F1C,ATP5MF,ATP5F1A","833,848,823"
NA,"KEGG Pathway H.sap","path:hsa02010","ABC transporters",11,3,2.362,17.2849,4.111,0.000577044633327666,3.23879059367575,1,0.0189817313594627,0.159474288302967,"ABCD3,ABCA3,ABCB10","67,33,41"
NA,"KEGG Pathway H.sap","path:hsa04977","Vitamin digestion and absorption",11,3,2.362,17.2849,4.111,0.000577044633327666,3.23879059367575,1,0.0189817313594627,0.159474288302967,"SLC46A1,SLC19A1,SLC19A2","30521,10937,10938"
