"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs","term_norm","overlap_string","overlap_count"
NA,"SLIM2 GO BP","GO:0006810","transport",2032,42,33.071,1.31,0.39,0.0284220276292891,1.54634494270692,1,0.119502626527251,1,"C4BPA,NPM1,SLC25A1,TOMM40L,SIRT7,ATP5F1C,GLUD1,SLC30A9,PLA2G4A,SACM1L,MTMR4,SLC19A1,SLC25A13,TMED2,ABCD3,DHX9,RAP1BL,NDUFA1,PRKCA,TMED10,TIMM23,VTN,ABCA3,PEX19,ANO10,TSKU,SERPINA7,SLC46A1,ABCB10,SEC63,SLC25A12,ATP5F1A,ATP5MF,SLC7A2,PHB2,SLC19A2,HMGA2,SLC25A17,SLC26A11,TBC1D20,SLC37A3,MAIP1","1325,7910,10979,25756,14935,833,4335,1329,9035,17059,7452,10937,10983,16996,67,2750,55079,7683,9393,16998,17312,12724,33,9713,25519,28850,11583,30521,41,21082,10982,823,848,11060,30306,10938,5009,10987,14471,16133,20651,26198","transport","ABCA3;ABCB10;ABCD3;ANO10;ATP5F1A;ATP5F1C;ATP5MF;C4BPA;DHX9;GLUD1;HMGA2;MAIP1;MTMR4;NDUFA1;NPM1;PEX19;PHB2;PLA2G4A;PRKCA;RAP1BL;SACM1L;SEC63;SERPINA7;SIRT7;SLC19A1;SLC19A2;SLC25A1;SLC25A12;SLC25A13;SLC25A17;SLC26A11;SLC30A9;SLC37A3;SLC46A1;SLC7A2;TBC1D20;TIMM23;TMED10;TMED2;TOMM40L;TSKU;VTN",42
NA,"SLIM2 GO BP","GO:0006950","response to stress",1967,39,30.709,1.2566,0.33,0.0626814815546168,1.20286074699301,1,0.168165773929324,1,"TSKU,SMARCA4,SIRT7,RNASE4,CYBC1,PIAS1,PRKDC,PIDD1,PYCR1,SLC30A9,PHB2,PRKACG,FOS,HMGA2,C4BPA,SLC19A1,STOML2,SUPT20H,NTHL1,GTF2H3,VTN,TRAP1,TRRAP,PRKCA,LONP1,JUN,ABCB10,CLPB,SENP3,CHID1,KDM4D,LIG3,TMED2,GTF2H4,PLA2G4A,STT3B,NPM1,DHX9,PARP2","28850,11100,14935,10047,28672,2752,9413,16491,9721,1329,30306,9382,3796,5009,1325,10937,14559,20596,8028,4657,12724,16264,12347,9393,9479,6204,41,30664,17862,28474,25498,6600,16996,4658,9035,30611,7910,2750,272","response to stress","ABCB10;C4BPA;CHID1;CLPB;CYBC1;DHX9;FOS;GTF2H3;GTF2H4;HMGA2;JUN;KDM4D;LIG3;LONP1;NPM1;NTHL1;PARP2;PHB2;PIAS1;PIDD1;PLA2G4A;PRKACG;PRKCA;PRKDC;PYCR1;RNASE4;SENP3;SIRT7;SLC19A1;SLC30A9;SMARCA4;STOML2;STT3B;SUPT20H;TMED2;TRAP1;TRRAP;TSKU;VTN",39
NA,"SLIM2 GO BP","GO:0044281","small molecule metabolic process",948,25,19.685,1.6714,0.741,0.00641597363690664,2.19273742922662,1,0.0608539428540619,0.511262067895772,"GLUD1,ICMT,DHRS7B,SLC46A1,ATP5F1C,SLC25A17,LPGAT1,NUDT19,STOML2,ECHS1,NTHL1,SLC25A12,TSKU,NDUFA1,SLC19A2,PLA2G4A,ALDH18A1,PYCR1,SIRT7,SLC19A1,ABCD3,SLC25A13,ATP5F1A,ATP5MF,ACOT9","4335,5350,24547,30521,833,10987,28985,32036,14559,3151,8028,10982,28850,7683,10938,9035,9722,9721,14935,10937,67,10983,823,848,17152","small molecule metabolic process","ABCD3;ACOT9;ALDH18A1;ATP5F1A;ATP5F1C;ATP5MF;DHRS7B;ECHS1;GLUD1;ICMT;LPGAT1;NDUFA1;NTHL1;NUDT19;PLA2G4A;PYCR1;SIRT7;SLC19A1;SLC19A2;SLC25A12;SLC25A13;SLC25A17;SLC46A1;STOML2;TSKU",25
NA,"SLIM2 GO BP","GO:0006259","DNA metabolic process",699,21,16.535,1.9041,0.929,0.00289517349442322,2.53832540588716,1,0.0420810100933607,0.353541993015468,"TRRAP,GTF2H4,PIAS1,SUPT20H,PARP2,SLC30A9,DHX9,LONP1,ORC5,NPM1,KDM4D,LIG3,HMGA2,PRKDC,GTF2H3,SMARCA4,SIRT7,NTHL1,SUPV3L1,TEFM,SENP3","12347,4658,2752,20596,272,1329,2750,9479,8491,7910,25498,6600,5009,9413,4657,11100,14935,8028,11471,26223,17862","dna metabolic process","DHX9;GTF2H3;GTF2H4;HMGA2;KDM4D;LIG3;LONP1;NPM1;NTHL1;ORC5;PARP2;PIAS1;PRKDC;SENP3;SIRT7;SLC30A9;SMARCA4;SUPT20H;SUPV3L1;TEFM;TRRAP",21
NA,"SLIM2 GO BP","GO:0006629","lipid metabolic process",614,18,14.173,1.858,0.894,0.00752872140674464,2.12327877322088,1,0.0689184702838067,0.579015885922344,"PLA2G4A,SLC25A17,PIGX,SMPD4,TSKU,LPGAT1,ATP5F1A,ACOT9,MTMR4,PIPSL,DHRS7B,ECHS1,NUDT19,PHB2,ABCD3,SACM1L,ABCA3,UGCG","9035,10987,26046,32949,28850,28985,823,17152,7452,23733,24547,3151,32036,30306,67,17059,33,12524","lipid metabolic process","ABCA3;ABCD3;ACOT9;ATP5F1A;DHRS7B;ECHS1;LPGAT1;MTMR4;NUDT19;PHB2;PIGX;PIPSL;PLA2G4A;SACM1L;SLC25A17;SMPD4;TSKU;UGCG",18
NA,"SLIM2 GO BP","GO:0061024","membrane organization",524,12,9.449,1.4514,0.537,0.123114966157369,0.909689149956712,1,0.23915106091175,1,"NCLN,PRKCA,MAIP1,MTMR4,EMC2,TMED2,TBC1D20,APOOL,ICMT,UGCG,TMED10,ABCA3","26923,9393,26198,7452,28963,16996,16133,24009,5350,12524,16998,33","membrane organization","ABCA3;APOOL;EMC2;ICMT;MAIP1;MTMR4;NCLN;PRKCA;TBC1D20;TMED10;TMED2;UGCG",12
NA,"Direct GO Biological Processes","GO:0043066","negative regulation of apoptotic process",265,10,7.874,2.3916,1.258,0.00896689394341471,2.04735796686001,1,0.0730203089854618,0.613477326519748,"PIDD1,JUN,SUPV3L1,SPRY2,NPM1,HMGA2,PHB2,ANXA4,PRKDC,PIAS1","16491,6204,11471,11270,7910,5009,30306,542,9413,2752","negative regulation of apoptotic process","ANXA4;HMGA2;JUN;NPM1;PHB2;PIAS1;PIDD1;PRKDC;SPRY2;SUPV3L1",10
NA,"SLIM2 GO BP","GO:0007005","mitochondrion organization",303,10,7.874,2.0917,1.065,0.0212267373777247,1.6731167532546,1,0.0977289934517711,0.821066391792389,"MAIP1,LONP1,TEFM,PHB2,SLC30A9,APOOL,STOML2,LIG3,SIRT7,SUPV3L1","26198,9479,26223,30306,1329,24009,14559,6600,14935,11471","mitochondrion organization","APOOL;LIG3;LONP1;MAIP1;PHB2;SIRT7;SLC30A9;STOML2;SUPV3L1;TEFM",10
NA,"SLIM2 GO BP","GO:0006091","generation of precursor metabolites and energy",315,9,7.087,1.8108,0.857,0.0607852027569888,1.21620213031812,1,0.167517821451298,1,"ATP5F1C,TRAP1,TEFM,STOML2,CISD1,ATP5F1A,NDUFA1,SLC25A13,ATP5MF","833,16264,26223,14559,30880,823,7683,10983,848","generation of precursor metabolites and energy","ATP5F1A;ATP5F1C;ATP5MF;CISD1;NDUFA1;SLC25A13;STOML2;TEFM;TRAP1",9
NA,"SLIM2 GO BP","GO:0006520","amino acid metabolic process",164,6,4.724,2.3187,1.213,0.0449615946618192,1.34715829395708,1,0.143443269262187,1,"ECHS1,ALDH18A1,LARS2,GLUD1,ICMT,PYCR1","3151,9722,17095,4335,5350,9721","amino acid metabolic process","ALDH18A1;ECHS1;GLUD1;ICMT;LARS2;PYCR1",6
