"ProteinID","Gene","Phase","CellType","Treatment","Condition","n_total","n_detected","mean_LFQ","sd_LFQ","CV_percent","CV_percent_capped"
"A0A0U1RRE5","NBDY","Acute","RDH12","Veh","Acute RDH12 Veh",3,3,5621902.83333333,1037915.21512529,18.4619913558679,18.4619913558679
"A0A0U1RRE5","NBDY","Acute","RDH12","100 µM","Acute RDH12 100 µM",3,0,NA,NA,NA,NA
"A0A0U1RRE5","NBDY","Acute","RDH12","200 µM","Acute RDH12 200 µM",3,0,NA,NA,NA,NA
"A0A0U1RRE5","NBDY","Recovery","RDH12","Veh","Recovery RDH12 Veh",3,2,3530413.875,1595296.00763707,45.187223484869,45.187223484869
"A0A0U1RRE5","NBDY","Recovery","RDH12","100 µM","Recovery RDH12 100 µM",3,1,3237366.5,NA,NA,NA
"A0A0U1RRE5","NBDY","Recovery","RDH12","200 µM","Recovery RDH12 200 µM",3,1,5305038.5,NA,NA,NA
"A0A0U1RRE5","NBDY","Recovery","WT","Veh","Recovery WT Veh",3,1,5299337,NA,NA,NA
"A0A0U1RRE5","NBDY","Recovery","WT","100 µM","Recovery WT 100 µM",3,0,NA,NA,NA,NA
"A0A0U1RRE5","NBDY","Recovery","WT","200 µM","Recovery WT 200 µM",3,0,NA,NA,NA,NA
"A0A1W2PQ72","MSANTD7","Acute","RDH12","Veh","Acute RDH12 Veh",3,3,6613906.33333333,282871.867085759,4.27692581100094,4.27692581100094
"A0A1W2PQ72","MSANTD7","Acute","RDH12","100 µM","Acute RDH12 100 µM",3,3,4988226.33333333,215379.17082574,4.31775056770159,4.31775056770159
"A0A1W2PQ72","MSANTD7","Acute","RDH12","200 µM","Acute RDH12 200 µM",3,3,7203260.16666667,2174342.63032246,30.1855351606527,30.1855351606527
"A0A1W2PQ72","MSANTD7","Recovery","RDH12","Veh","Recovery RDH12 Veh",3,3,7736991.83333333,501208.855971573,6.47808433520909,6.47808433520909
"A0A1W2PQ72","MSANTD7","Recovery","RDH12","100 µM","Recovery RDH12 100 µM",3,3,7880400,731792.101255712,9.28623041033084,9.28623041033084
"A0A1W2PQ72","MSANTD7","Recovery","RDH12","200 µM","Recovery RDH12 200 µM",3,3,8865285.66666667,1554084.05432222,17.5299941000835,17.5299941000835
"A0A1W2PQ72","MSANTD7","Recovery","WT","Veh","Recovery WT Veh",3,3,6889068.16666667,1522635.33790106,22.1021958422252,22.1021958422252
"A0A1W2PQ72","MSANTD7","Recovery","WT","100 µM","Recovery WT 100 µM",3,3,6551881.5,809933.924093966,12.3618524555727,12.3618524555727
"A0A1W2PQ72","MSANTD7","Recovery","WT","200 µM","Recovery WT 200 µM",3,3,7737913,1719732.63156457,22.2247604950401,22.2247604950401
"A0A3B3IS91","POLGARF","Acute","RDH12","Veh","Acute RDH12 Veh",3,3,1043013.5,432232.1617838,41.4407063555553,41.4407063555553
"A0A3B3IS91","POLGARF","Acute","RDH12","100 µM","Acute RDH12 100 µM",3,1,537166.0625,NA,NA,NA
"A0A3B3IS91","POLGARF","Acute","RDH12","200 µM","Acute RDH12 200 µM",3,3,993981.979166667,909034.849080852,91.453856119501,91.453856119501
"A0A3B3IS91","POLGARF","Recovery","RDH12","Veh","Recovery RDH12 Veh",3,3,798278.75,185069.270204936,23.1835396100592,23.1835396100592
"A0A3B3IS91","POLGARF","Recovery","RDH12","100 µM","Recovery RDH12 100 µM",3,3,654033.1875,214713.763950941,32.8291848264873,32.8291848264873
"A0A3B3IS91","POLGARF","Recovery","RDH12","200 µM","Recovery RDH12 200 µM",3,3,1009747.52083333,499240.708095156,49.4421325920304,49.4421325920304
"A0A3B3IS91","POLGARF","Recovery","WT","Veh","Recovery WT Veh",3,3,734267.333333333,161213.006248288,21.9556282745733,21.9556282745733
"A0A3B3IS91","POLGARF","Recovery","WT","100 µM","Recovery WT 100 µM",3,3,532183.7396,57694.671743865,10.8411188562863,10.8411188562863
"A0A3B3IS91","POLGARF","Recovery","WT","200 µM","Recovery WT 200 µM",3,3,604262.020833333,159535.590593549,26.4017239365027,26.4017239365027
