"SampleCol","SampleName","Treatment_raw","Replicate","CellType_raw","Phase","Treatment","CellType","Condition"
"LFQ.100_a_RDH12_atRAL5hr","100_a_RDH12_atRAL5hr","100","a","RDH12","Acute","100 µM","RDH12","Acute RDH12 100 µM"
"LFQ.100_b_RDH12_atRAL5hr","100_b_RDH12_atRAL5hr","100","b","RDH12","Acute","100 µM","RDH12","Acute RDH12 100 µM"
"LFQ.100_c_RDH12_atRAL5hr","100_c_RDH12_atRAL5hr","100","c","RDH12","Acute","100 µM","RDH12","Acute RDH12 100 µM"
"LFQ.200_a_RDH12_atRAL5hr","200_a_RDH12_atRAL5hr","200","a","RDH12","Acute","200 µM","RDH12","Acute RDH12 200 µM"
"LFQ.200_b_RDH12_atRAL5hr","200_b_RDH12_atRAL5hr","200","b","RDH12","Acute","200 µM","RDH12","Acute RDH12 200 µM"
"LFQ.200_c_RDH12_atRAL5hr","200_c_RDH12_atRAL5hr","200","c","RDH12","Acute","200 µM","RDH12","Acute RDH12 200 µM"
"LFQ.control_a_RDH12_atRAL5hr","control_a_RDH12_atRAL5hr","control","a","RDH12","Acute","Veh","RDH12","Acute RDH12 Veh"
"LFQ.control_b_RDH12_atRAL5hr","control_b_RDH12_atRAL5hr","control","b","RDH12","Acute","Veh","RDH12","Acute RDH12 Veh"
"LFQ.control_c_RDH12_atRAL5hr","control_c_RDH12_atRAL5hr","control","c","RDH12","Acute","Veh","RDH12","Acute RDH12 Veh"
"LFQ.100_a_GFP_atRAL5hr+24h_recvr","100_a_GFP_atRAL5hr+24h_recvr","100","a","GFP","Recovery","100 µM","WT","Recovery WT 100 µM"
"LFQ.100_b_GFP_atRAL5hr+24h_recvr","100_b_GFP_atRAL5hr+24h_recvr","100","b","GFP","Recovery","100 µM","WT","Recovery WT 100 µM"
"LFQ.100_c_GFP_atRAL5hr+24h_recvr","100_c_GFP_atRAL5hr+24h_recvr","100","c","GFP","Recovery","100 µM","WT","Recovery WT 100 µM"
"LFQ.200_a_GFP_atRAL5hr+24h_recvr","200_a_GFP_atRAL5hr+24h_recvr","200","a","GFP","Recovery","200 µM","WT","Recovery WT 200 µM"
"LFQ.200_b_GFP_atRAL5hr+24h_recvr","200_b_GFP_atRAL5hr+24h_recvr","200","b","GFP","Recovery","200 µM","WT","Recovery WT 200 µM"
"LFQ.200_c_GFP_atRAL5hr+24h_recvr","200_c_GFP_atRAL5hr+24h_recvr","200","c","GFP","Recovery","200 µM","WT","Recovery WT 200 µM"
"LFQ.control_a_GFP_atRAL5hr+24h_recvr","control_a_GFP_atRAL5hr+24h_recvr","control","a","GFP","Recovery","Veh","WT","Recovery WT Veh"
"LFQ.control_b_GFP_atRAL5hr+24h_recvr","control_b_GFP_atRAL5hr+24h_recvr","control","b","GFP","Recovery","Veh","WT","Recovery WT Veh"
"LFQ.control_c_GFP_atRAL5hr+24h_recvr","control_c_GFP_atRAL5hr+24h_recvr","control","c","GFP","Recovery","Veh","WT","Recovery WT Veh"
"LFQ.100_a_RDH12_atRAL5hr+24h_recvr","100_a_RDH12_atRAL5hr+24h_recvr","100","a","RDH12","Recovery","100 µM","RDH12","Recovery RDH12 100 µM"
"LFQ.100_b_RDH12_atRAL5hr+24h_recvr","100_b_RDH12_atRAL5hr+24h_recvr","100","b","RDH12","Recovery","100 µM","RDH12","Recovery RDH12 100 µM"
"LFQ.100_c_RDH12_atRAL5hr+24h_recvr","100_c_RDH12_atRAL5hr+24h_recvr","100","c","RDH12","Recovery","100 µM","RDH12","Recovery RDH12 100 µM"
"LFQ.200_a_RDH12_atRAL5hr+24h_recvr","200_a_RDH12_atRAL5hr+24h_recvr","200","a","RDH12","Recovery","200 µM","RDH12","Recovery RDH12 200 µM"
"LFQ.200_b_RDH12_atRAL5hr+24h_recvr","200_b_RDH12_atRAL5hr+24h_recvr","200","b","RDH12","Recovery","200 µM","RDH12","Recovery RDH12 200 µM"
"LFQ.200_c_RDH12_atRAL5hr+24h_recvr","200_c_RDH12_atRAL5hr+24h_recvr","200","c","RDH12","Recovery","200 µM","RDH12","Recovery RDH12 200 µM"
"LFQ.control_a_RDH12_atRAL5hr+24h_recvr","control_a_RDH12_atRAL5hr+24h_recvr","control","a","RDH12","Recovery","Veh","RDH12","Recovery RDH12 Veh"
"LFQ.control_b_RDH12_atRAL5hr+24h_recvr","control_b_RDH12_atRAL5hr+24h_recvr","control","b","RDH12","Recovery","Veh","RDH12","Recovery RDH12 Veh"
"LFQ.control_c_RDH12_atRAL5hr+24h_recvr","control_c_RDH12_atRAL5hr+24h_recvr","control","c","RDH12","Recovery","Veh","RDH12","Recovery RDH12 Veh"
