...1,label,condition,replicate,Genetype,ExpType,Treatment,name,intensity,Protein.Group,Genes,ID,condition_label,condition_factor,condition_label_factor
53916,LFQ.control_a_RDH12_atRAL5hr,RDH12_control_atRAL5hr,a,RDH12,atRAL5hr,control,RDH12,28.6215826373578,Q96NR8,RDH12,Q96NR8,Acute RDH12 Veh,RDH12_control_atRAL5hr,Acute RDH12 Veh
61965,LFQ.control_b_RDH12_atRAL5hr,RDH12_control_atRAL5hr,b,RDH12,atRAL5hr,control,RDH12,27.916718028659,Q96NR8,RDH12,Q96NR8,Acute RDH12 Veh,RDH12_control_atRAL5hr,Acute RDH12 Veh
70014,LFQ.control_c_RDH12_atRAL5hr,RDH12_control_atRAL5hr,c,RDH12,atRAL5hr,control,RDH12,28.6961084679009,Q96NR8,RDH12,Q96NR8,Acute RDH12 Veh,RDH12_control_atRAL5hr,Acute RDH12 Veh
5622,LFQ.100_a_RDH12_atRAL5hr,RDH12_100_atRAL5hr,a,RDH12,atRAL5hr,100,RDH12,29.5543671746251,Q96NR8,RDH12,Q96NR8,Acute RDH12 100uM,RDH12_100_atRAL5hr,Acute RDH12 100uM
13671,LFQ.100_b_RDH12_atRAL5hr,RDH12_100_atRAL5hr,b,RDH12,atRAL5hr,100,RDH12,29.396836135943,Q96NR8,RDH12,Q96NR8,Acute RDH12 100uM,RDH12_100_atRAL5hr,Acute RDH12 100uM
21720,LFQ.100_c_RDH12_atRAL5hr,RDH12_100_atRAL5hr,c,RDH12,atRAL5hr,100,RDH12,29.3243690079762,Q96NR8,RDH12,Q96NR8,Acute RDH12 100uM,RDH12_100_atRAL5hr,Acute RDH12 100uM
29769,LFQ.200_a_RDH12_atRAL5hr,RDH12_200_atRAL5hr,a,RDH12,atRAL5hr,200,RDH12,29.4233803719248,Q96NR8,RDH12,Q96NR8,Acute RDH12 200uM,RDH12_200_atRAL5hr,Acute RDH12 200uM
37818,LFQ.200_b_RDH12_atRAL5hr,RDH12_200_atRAL5hr,b,RDH12,atRAL5hr,200,RDH12,28.9707911179874,Q96NR8,RDH12,Q96NR8,Acute RDH12 200uM,RDH12_200_atRAL5hr,Acute RDH12 200uM
45867,LFQ.200_c_RDH12_atRAL5hr,RDH12_200_atRAL5hr,c,RDH12,atRAL5hr,200,RDH12,29.6167066613251,Q96NR8,RDH12,Q96NR8,Acute RDH12 200uM,RDH12_200_atRAL5hr,Acute RDH12 200uM
198798,LFQ.control_a_RDH12_atRAL5hr+24h_recvr,RDH12_control_atRAL5hr.24h_recvr,a,RDH12,atRAL5hr+24h_recvr,control,RDH12,28.4666662385247,Q96NR8,RDH12,Q96NR8,Recvr RDH12 Veh,RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh
206847,LFQ.control_b_RDH12_atRAL5hr+24h_recvr,RDH12_control_atRAL5hr.24h_recvr,b,RDH12,atRAL5hr+24h_recvr,control,RDH12,29.2177027517082,Q96NR8,RDH12,Q96NR8,Recvr RDH12 Veh,RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh
214896,LFQ.control_c_RDH12_atRAL5hr+24h_recvr,RDH12_control_atRAL5hr.24h_recvr,c,RDH12,atRAL5hr+24h_recvr,control,RDH12,28.818569890668,Q96NR8,RDH12,Q96NR8,Recvr RDH12 Veh,RDH12_control_atRAL5hr.24h_recvr,Recvr RDH12 Veh
150504,LFQ.100_a_RDH12_atRAL5hr+24h_recvr,RDH12_100_atRAL5hr.24h_recvr,a,RDH12,atRAL5hr+24h_recvr,100,RDH12,28.9532975487417,Q96NR8,RDH12,Q96NR8,Recvr RDH12 100uM,RDH12_100_atRAL5hr.24h_recvr,Recvr RDH12 100uM
158553,LFQ.100_b_RDH12_atRAL5hr+24h_recvr,RDH12_100_atRAL5hr.24h_recvr,b,RDH12,atRAL5hr+24h_recvr,100,RDH12,28.8656155760927,Q96NR8,RDH12,Q96NR8,Recvr RDH12 100uM,RDH12_100_atRAL5hr.24h_recvr,Recvr RDH12 100uM
166602,LFQ.100_c_RDH12_atRAL5hr+24h_recvr,RDH12_100_atRAL5hr.24h_recvr,c,RDH12,atRAL5hr+24h_recvr,100,RDH12,28.9954656103664,Q96NR8,RDH12,Q96NR8,Recvr RDH12 100uM,RDH12_100_atRAL5hr.24h_recvr,Recvr RDH12 100uM
174651,LFQ.200_a_RDH12_atRAL5hr+24h_recvr,RDH12_200_atRAL5hr.24h_recvr,a,RDH12,atRAL5hr+24h_recvr,200,RDH12,29.1180610450648,Q96NR8,RDH12,Q96NR8,Recvr RDH12 200uM,RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM
182700,LFQ.200_b_RDH12_atRAL5hr+24h_recvr,RDH12_200_atRAL5hr.24h_recvr,b,RDH12,atRAL5hr+24h_recvr,200,RDH12,28.9157824784909,Q96NR8,RDH12,Q96NR8,Recvr RDH12 200uM,RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM
190749,LFQ.200_c_RDH12_atRAL5hr+24h_recvr,RDH12_200_atRAL5hr.24h_recvr,c,RDH12,atRAL5hr+24h_recvr,200,RDH12,28.8371575555609,Q96NR8,RDH12,Q96NR8,Recvr RDH12 200uM,RDH12_200_atRAL5hr.24h_recvr,Recvr RDH12 200uM
